Year,Units,Unit measure,Observation status,Unit multiplier,Value
1996,Marine protected area extent,Hectares,Undefined,Million,0.96
1997,Marine protected area extent,Hectares,Undefined,Million,1.1
1998,Marine protected area extent,Hectares,Undefined,Million,1.13
1999,Marine protected area extent,Hectares,Undefined,Million,1.16
2000,Marine protected area extent,Hectares,Undefined,Million,1.17
2001,Marine protected area extent,Hectares,Undefined,Million,1.21
2002,Marine protected area extent,Hectares,Undefined,Million,1.22
2003,Marine protected area extent,Hectares,Undefined,Million,1.3
2004,Marine protected area extent,Hectares,Undefined,Million,1.3
2005,Marine protected area extent,Hectares,Undefined,Million,1.3
2006,Marine protected area extent,Hectares,Undefined,Million,1.36
2007,Marine protected area extent,Hectares,Undefined,Million,1.41
2008,Marine protected area extent,Hectares,Undefined,Million,1.68
2009,Marine protected area extent,Hectares,Undefined,Million,1.87
2010,Marine protected area extent,Hectares,Undefined,Million,3.79
2011,Marine protected area extent,Hectares,Undefined,Million,5.04
2012,Marine protected area extent,Hectares,Undefined,Million,7.5
2013,Marine protected area extent,Hectares,Undefined,Million,8.41
2014,Marine protected area extent,Hectares,Undefined,Million,14.47
2015,Marine protected area extent,Hectares,Undefined,Million,14.48
2016,Marine protected area extent,Hectares,Undefined,Million,16.69
2017,Marine protected area extent,Hectares,Undefined,Million,20.78
2018,Marine protected area extent,Hectares,Undefined,Million,20.94
2019,Marine protected area extent,Hectares,Undefined,Million,21.84
1950,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.0
1951,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.01
1952,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.02
1953,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.03
1954,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.04
1955,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.05
1956,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.08
1957,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.09
1958,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.09
1959,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.09
1960,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.09
1961,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.09
1962,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.09
1963,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.09
1964,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.1
1965,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.1
1966,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.12
1967,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.12
1968,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.13
1969,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.13
1970,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.13
1971,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.13
1972,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.21
1973,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.22
1974,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.23
1975,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.23
1976,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.25
1977,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.25
1978,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.25
1979,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1980,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1981,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1982,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1983,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1984,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1985,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.28
1986,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.3
1987,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.3
1988,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.31
1989,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.31
1990,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.34
1991,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.34
1992,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.34
1993,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.35
1994,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.39
1995,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.4
1996,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.08
1997,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.24
1998,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.27
1999,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.31
2000,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.32
2001,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.37
2002,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.38
2003,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.47
2004,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.47
2005,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.47
2006,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.54
2007,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.6
2008,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.9
2009,Proportion of marine protected area,Percentage (%),Undefined,Unit,2.11
2010,Proportion of marine protected area,Percentage (%),Undefined,Unit,4.28
2011,Proportion of marine protected area,Percentage (%),Undefined,Unit,5.68
2012,Proportion of marine protected area,Percentage (%),Undefined,Unit,8.47
2013,Proportion of marine protected area,Percentage (%),Undefined,Unit,9.49
2014,Proportion of marine protected area,Percentage (%),Undefined,Unit,16.330000000000002
2015,Proportion of marine protected area,Percentage (%),Undefined,Unit,16.34
2016,Proportion of marine protected area,Percentage (%),Undefined,Unit,18.83
2017,Proportion of marine protected area,Percentage (%),Undefined,Unit,23.45
2018,Proportion of marine protected area,Percentage (%),Undefined,Unit,23.63
2019,Proportion of marine protected area,Percentage (%),Undefined,Unit,24.65
