Year,Speed (mb/sec),Units,Unit multiplier,Observation status,Value
2010,10 mbps and over,Number,Units,Undefined,12588345.0
2011,10 mbps and over,Number,Units,Undefined,14304394.0
2012,10 mbps and over,Number,Units,Undefined,16390030.0
2013,10 mbps and over,Number,Units,Undefined,18019050.0
2014,10 mbps and over,Number,Units,Undefined,20663411.0
2015,10 mbps and over,Number,Units,Undefined,22996354.0
2016,10 mbps and over,Number,Units,Undefined,23425498.0
2017,10 mbps and over,Number,Units,Undefined,24206767.0
2018,10 mbps and over,Number,Units,Undefined,26063844.0
2017,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2018,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2016,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2015,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2014,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2013,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2011,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2012,Between 256 kbps and 2 mbps,Number,Units,Undefined,0.0
2010,Between 256 kbps and 2 mbps,Number,Units,Undefined,242891.0
2009,Between 256 kbps and 2 mbps,Number,Units,Undefined,396005.0
2008,Between 256 kbps and 2 mbps,Number,Units,Undefined,837991.0
2008,Between 2 mbps and 10 mbps,Number,Units,Undefined,15266549.0
2009,Between 2 mbps and 10 mbps,Number,Units,Undefined,11457811.0
2010,Between 2 mbps and 10 mbps,Number,Units,Undefined,6301828.0
2011,Between 2 mbps and 10 mbps,Number,Units,Undefined,5485439.0
2014,Between 2 mbps and 10 mbps,Number,Units,Undefined,3066389.0
2012,Between 2 mbps and 10 mbps,Number,Units,Undefined,4789579.0
2013,Between 2 mbps and 10 mbps,Number,Units,Undefined,3774383.0
2015,Between 2 mbps and 10 mbps,Number,Units,Undefined,1645224.0
2018,Between 2 mbps and 10 mbps,Number,Units,Undefined,443895.0
2016,Between 2 mbps and 10 mbps,Number,Units,Undefined,1764150.0
2017,Between 2 mbps and 10 mbps,Number,Units,Undefined,1806164.0
2018,,Number,Units,Undefined,26586110.0
2015,,Number,Units,Undefined,24686486.0
2016,,Number,Units,Undefined,25445619.0
2017,,Number,Units,Undefined,26043431.0
2013,,Number,Units,Undefined,23039803.0
2014,,Number,Units,Undefined,23729800.0
2012,,Number,Units,Undefined,21685668.0
2011,,Number,Units,Undefined,20588901.0
2010,,Number,Units,Undefined,19151508.0
2009,,Number,Units,Undefined,17877223.0
2008,,Number,Units,Undefined,17310023.0
2000,,Number,Units,Undefined,52890.0
2001,,Number,Units,Undefined,330960.0
2002,,Number,Units,Undefined,1356481.0
2003,,Number,Units,Undefined,3113702.33
2004,,Number,Units,Undefined,6123907.0
2005,,Number,Units,Undefined,9898653.0
2006,,Number,Units,Undefined,13013000.0
2007,,Number,Units,Undefined,15606000.0
2019,,Number,Units,Undefined,26786963.0
