Year,Country income classification,Units,Unit multiplier,Observation status,Value
2016,LMICs,Constant USD ($ thousands),Thousands,Normal value,1418.836
2016,Other LICs,Constant USD ($ thousands),Thousands,Normal value,150.251
2016,UMICs,Constant USD ($ thousands),Thousands,Normal value,2793.317
2016,Unspecified,Constant USD ($ thousands),Thousands,Normal value,30583.442
2009,,Constant USD ($ thousands),Thousands,Normal value,81680.122
2010,,Constant USD ($ thousands),Thousands,Normal value,229910.316
2011,,Constant USD ($ thousands),Thousands,Normal value,80072.345
2012,,Constant USD ($ thousands),Thousands,Normal value,99011.03
2013,,Constant USD ($ thousands),Thousands,Normal value,123153.366
2014,,Constant USD ($ thousands),Thousands,Normal value,95219.824
2015,,Constant USD ($ thousands),Thousands,Normal value,85319.901
2016,,Constant USD ($ thousands),Thousands,Normal value,71718.595
2017,LDCs,GBP (£ thousands),Thousands,Normal value,14169.07
2017,LMICs,GBP (£ thousands),Thousands,Normal value,22824.74
2017,Other LICs,GBP (£ thousands),Thousands,Normal value,3833.74
2017,UMICs,GBP (£ thousands),Thousands,Normal value,5845.68
2017,Unspecified,GBP (£ thousands),Thousands,Normal value,32895.69
2018,LDCs,GBP (£ thousands),Thousands,Normal value,13833.95
2018,LMICs,GBP (£ thousands),Thousands,Normal value,21711.57
2018,UMICs,GBP (£ thousands),Thousands,Normal value,1366.1
2018,Unspecified,GBP (£ thousands),Thousands,Normal value,34378.61
2019,LDCs,GBP (£ thousands),Thousands,Normal value,19741.1
2019,LMICs,GBP (£ thousands),Thousands,Normal value,17325.6
2019,Other LICs,GBP (£ thousands),Thousands,Normal value,67.63
2019,UMICs,GBP (£ thousands),Thousands,Normal value,1225.67
2019,Unspecified,GBP (£ thousands),Thousands,Normal value,52438.51
2020,LDCs,GBP (£ thousands),Thousands,Normal value,16940.44
2020,LMICs,GBP (£ thousands),Thousands,Normal value,9462.52
2020,Other LICs,GBP (£ thousands),Thousands,Normal value,71.42
2020,UMICs,GBP (£ thousands),Thousands,Normal value,4403.96
2020,Unspecified,GBP (£ thousands),Thousands,Normal value,44730.51
2021,LDCs,GBP (£ thousands),Thousands,Normal value,18689.59
2021,LMICs,GBP (£ thousands),Thousands,Normal value,8844.47
2021,UMICs,GBP (£ thousands),Thousands,Normal value,5068.92
2021,Unspecified,GBP (£ thousands),Thousands,Normal value,28178.85
2017,,GBP (£ thousands),Thousands,Normal value,79568.92
2018,,GBP (£ thousands),Thousands,Normal value,71290.23
2019,,GBP (£ thousands),Thousands,Normal value,90798.51
2020,,GBP (£ thousands),Thousands,Normal value,75608.85
2021,,GBP (£ thousands),Thousands,Normal value,60781.83
2017,LDCs,Constant USD ($ thousands),Thousands,Normal value,21528.059
2017,LMICs,Constant USD ($ thousands),Thousands,Normal value,34679.223
2017,Other LICs,Constant USD ($ thousands),Thousands,Normal value,5824.869
2017,UMICs,Constant USD ($ thousands),Thousands,Normal value,8881.75
2017,Unspecified,Constant USD ($ thousands),Thousands,Normal value,49980.722
2018,LDCs,Constant USD ($ thousands),Thousands,Normal value,20659.85
2018,LMICs,Constant USD ($ thousands),Thousands,Normal value,32424.418
2018,UMICs,Constant USD ($ thousands),Thousands,Normal value,2040.156
2018,Unspecified,Constant USD ($ thousands),Thousands,Normal value,51341.585
2019,LDCs,Constant USD ($ thousands),Thousands,Normal value,28871.511
2019,LMICs,Constant USD ($ thousands),Thousands,Normal value,25338.824
2019,Other LICs,Constant USD ($ thousands),Thousands,Normal value,98.909
2019,UMICs,Constant USD ($ thousands),Thousands,Normal value,1792.552
2019,Unspecified,Constant USD ($ thousands),Thousands,Normal value,76691.725
2020,LDCs,Constant USD ($ thousands),Thousands,Normal value,23387.886
2020,LMICs,Constant USD ($ thousands),Thousands,Normal value,13063.908
2020,Other LICs,Constant USD ($ thousands),Thousands,Normal value,98.602
2020,UMICs,Constant USD ($ thousands),Thousands,Normal value,6080.085
2020,Unspecified,Constant USD ($ thousands),Thousands,Normal value,61754.717
2021,LDCs,Constant USD ($ thousands),Thousands,Normal value,25707.827
2021,LMICs,Constant USD ($ thousands),Thousands,Normal value,12165.708
2021,UMICs,Constant USD ($ thousands),Thousands,Normal value,6972.38
2021,Unspecified,Constant USD ($ thousands),Thousands,Normal value,38760.454
2017,,Constant USD ($ thousands),Thousands,Normal value,120894.623
2018,,Constant USD ($ thousands),Thousands,Normal value,106466.009
2019,,Constant USD ($ thousands),Thousands,Normal value,132793.521
2020,,Constant USD ($ thousands),Thousands,Normal value,104385.198
2021,,Constant USD ($ thousands),Thousands,Normal value,83606.369
