Year,Age,Sex,Nationality,Unit measure,Unit multiplier,Observation status,Value
2010,40 to 49,Male,,Percentage (%),Units,Normal value,12.63516516071693
2010,50 to 59,Male,,Percentage (%),Units,Normal value,10.068560235063662
2010,60 and over,Male,,Percentage (%),Units,Normal value,7.214644651830582
2011,,Male,,Percentage (%),Units,Normal value,14.431757996772962
2011,15 to 17,Male,,Percentage (%),Units,Normal value,27.150192554557123
2011,18 to 20,Male,,Percentage (%),Units,Normal value,21.46245059288537
2011,21 to 24,Male,,Percentage (%),Units,Normal value,14.746680513315036
2011,25 to 29,Male,,Percentage (%),Units,Normal value,14.447090847226947
2011,30 to 39,Male,,Percentage (%),Units,Normal value,14.496600540188137
2011,40 to 49,Male,,Percentage (%),Units,Normal value,12.46471226927253
2011,50 to 59,Male,,Percentage (%),Units,Normal value,9.47724039829303
2011,60 and over,Male,,Percentage (%),Units,Normal value,6.300813008130081
2012,,Male,,Percentage (%),Units,Normal value,13.049740616417454
2012,15 to 17,Male,,Percentage (%),Units,Normal value,22.01907790143084
2012,18 to 20,Male,,Percentage (%),Units,Normal value,20.178870877585243
2012,21 to 24,Male,,Percentage (%),Units,Normal value,13.98959881129272
2012,25 to 29,Male,,Percentage (%),Units,Normal value,13.342762847713344
2012,30 to 39,Male,,Percentage (%),Units,Normal value,12.880258899676376
2012,40 to 49,Male,,Percentage (%),Units,Normal value,11.448991031390134
2012,50 to 59,Male,,Percentage (%),Units,Normal value,8.32651725830198
2012,60 and over,Male,,Percentage (%),Units,Normal value,5.550329256820319
2013,,Male,,Percentage (%),Units,Normal value,12.96428258885597
2013,15 to 17,Male,,Percentage (%),Units,Normal value,21.44522144522145
2013,18 to 20,Male,,Percentage (%),Units,Normal value,20.01972386587771
2013,21 to 24,Male,,Percentage (%),Units,Normal value,13.83383221422215
2013,25 to 29,Male,,Percentage (%),Units,Normal value,13.867572156196944
2013,30 to 39,Male,,Percentage (%),Units,Normal value,12.845247303999637
2013,40 to 49,Male,,Percentage (%),Units,Normal value,11.421713963010024
2013,50 to 59,Male,,Percentage (%),Units,Normal value,9.126243781094526
2013,60 and over,Male,,Percentage (%),Units,Normal value,5.552274069698759
2014,,Male,,Percentage (%),Units,Normal value,14.100269673939692
2014,15 to 17,Male,,Percentage (%),Units,Normal value,25.236167341430495
2014,18 to 20,Male,,Percentage (%),Units,Normal value,22.0675944333996
2014,21 to 24,Male,,Percentage (%),Units,Normal value,17.061808501788537
2014,25 to 29,Male,,Percentage (%),Units,Normal value,14.63619886069394
2014,30 to 39,Male,,Percentage (%),Units,Normal value,14.064538575280508
2014,40 to 49,Male,,Percentage (%),Units,Normal value,11.859154929577464
2014,50 to 59,Male,,Percentage (%),Units,Normal value,9.346060692406326
2014,60 and over,Male,,Percentage (%),Units,Normal value,5.76710816777042
2015,,Male,,Percentage (%),Units,Normal value,13.560743234211134
2015,15 to 17,Male,,Percentage (%),Units,Normal value,22.647058823529413
2015,18 to 20,Male,,Percentage (%),Units,Normal value,23.48841975814716
2015,21 to 24,Male,,Percentage (%),Units,Normal value,16.063250669662143
2015,25 to 29,Male,,Percentage (%),Units,Normal value,14.385919334935377
2015,30 to 39,Male,,Percentage (%),Units,Normal value,13.69389132635842
2015,40 to 49,Male,,Percentage (%),Units,Normal value,11.76510989010989
2015,50 to 59,Male,,Percentage (%),Units,Normal value,8.39898517826145
2015,60 and over,Male,,Percentage (%),Units,Normal value,4.916396306463689
2016,,Male,,Percentage (%),Units,Normal value,10.783541687173935
2016,15 to 17,Male,,Percentage (%),Units,Normal value,23.30708661417323
2016,18 to 20,Male,,Percentage (%),Units,Normal value,18.82219705549264
2016,21 to 24,Male,,Percentage (%),Units,Normal value,12.548500047317118
2016,25 to 29,Male,,Percentage (%),Units,Normal value,11.610782380013148
2016,30 to 39,Male,,Percentage (%),Units,Normal value,10.716539739975596
2016,40 to 49,Male,,Percentage (%),Units,Normal value,9.899758036640169
2016,50 to 59,Male,,Percentage (%),Units,Normal value,6.721728081321474
2016,60 and over,Male,,Percentage (%),Units,Normal value,4.259728298411237
2016,60 to 69,Male,,Percentage (%),Units,Normal value,4.708672086720867
2016,70 and over,Male,,Percentage (%),Units,Normal value,3.306973400431344
2017,,Male,,Percentage (%),Units,Normal value,11.0767689601251
2017,15 to 17,Male,,Percentage (%),Units,Normal value,27.5808936825886
2017,18 to 20,Male,,Percentage (%),Units,Normal value,20.886788206167004
2017,21 to 24,Male,,Percentage (%),Units,Normal value,13.312755152842776
2017,25 to 29,Male,,Percentage (%),Units,Normal value,11.489418519260298
2017,30 to 39,Male,,Percentage (%),Units,Normal value,11.0683585755219
2017,40 to 49,Male,,Percentage (%),Units,Normal value,9.841730596447578
2017,50 to 59,Male,,Percentage (%),Units,Normal value,7.206875383670964
2017,60 and over,Male,,Percentage (%),Units,Normal value,3.980417198808004
2017,60 to 69,Male,,Percentage (%),Units,Normal value,4.882749759074848
2017,70 and over,Male,,Percentage (%),Units,Normal value,2.2082018927444795
2018,,Male,,Percentage (%),Units,Normal value,11.082689628973029
2018,15 to 17,Male,,Percentage (%),Units,Normal value,30.8411214953271
2018,18 to 20,Male,,Percentage (%),Units,Normal value,22.438549525431977
2018,21 to 24,Male,,Percentage (%),Units,Normal value,14.001071237279058
2018,25 to 29,Male,,Percentage (%),Units,Normal value,11.835115801402363
2018,30 to 39,Male,,Percentage (%),Units,Normal value,10.981230098877155
2018,40 to 49,Male,,Percentage (%),Units,Normal value,9.345117357287744
2018,50 to 59,Male,,Percentage (%),Units,Normal value,6.931901391261899
2018,60 and over,Male,,Percentage (%),Units,Normal value,3.572157583180241
2018,60 to 69,Male,,Percentage (%),Units,Normal value,4.322321704229701
2018,70 and over,Male,,Percentage (%),Units,Normal value,2.108433734939759
2019,,Male,,Percentage (%),Units,Normal value,10.88548264504687
2019,15 to 17,Male,,Percentage (%),Units,Normal value,29.72508591065292
2019,18 to 20,Male,,Percentage (%),Units,Normal value,22.956052050085933
2019,21 to 24,Male,,Percentage (%),Units,Normal value,13.45705078342038
2019,25 to 29,Male,,Percentage (%),Units,Normal value,11.798233114847536
2019,30 to 39,Male,,Percentage (%),Units,Normal value,10.87804277328517
2019,40 to 49,Male,,Percentage (%),Units,Normal value,9.341534008683068
2019,50 to 59,Male,,Percentage (%),Units,Normal value,6.634603526945369
2019,60 and over,Male,,Percentage (%),Units,Normal value,2.802419354838709
2019,60 to 69,Male,,Percentage (%),Units,Normal value,3.278688524590164
2019,70 and over,Male,,Percentage (%),Units,Normal value,1.910828025477707
2020,,Male,,Percentage (%),Units,Normal value,14.146526967308777
2020,15 to 17,Male,,Percentage (%),Units,Normal value,40.36697247706422
2020,18 to 20,Male,,Percentage (%),Units,Normal value,28.426966292134832
2020,21 to 24,Male,,Percentage (%),Units,Normal value,18.749251227986104
2020,25 to 29,Male,,Percentage (%),Units,Normal value,15.87265748475954
2020,30 to 39,Male,,Percentage (%),Units,Normal value,13.844943261823904
2020,40 to 49,Male,,Percentage (%),Units,Normal value,12.50729713952131
2020,50 to 59,Male,,Percentage (%),Units,Normal value,8.610271903323262
2020,60 and over,Male,,Percentage (%),Units,Normal value,3.8262668045501553
2020,60 to 69,Male,,Percentage (%),Units,Normal value,4.618791521670357
2020,70 and over,Male,,Percentage (%),Units,Normal value,2.3297491039426523
2009,,,,Percentage (%),Units,Normal value,15.920183233202623
2009,15 to 17,,,Percentage (%),Units,Normal value,24.245283018867923
2009,18 to 20,,,Percentage (%),Units,Normal value,22.70861833105335
2009,21 to 24,,,Percentage (%),Units,Normal value,17.334100222877275
2009,25 to 29,,,Percentage (%),Units,Normal value,15.60379918588874
2009,30 to 39,,,Percentage (%),Units,Normal value,15.221899626710908
2009,40 to 49,,,Percentage (%),Units,Normal value,13.803548247511898
2009,50 to 59,,,Percentage (%),Units,Normal value,11.288074855663949
2009,60 and over,,,Percentage (%),Units,Normal value,6.336633663366337
2009,,,British nationals,Percentage (%),Units,Normal value,14.801545882817567
2009,,,Foreign nationals,Percentage (%),Units,Normal value,20.48486962588297
2009,,,Nationality not recorded,Percentage (%),Units,Normal value,42.20272904483431
2010,,,,Percentage (%),Units,Normal value,15.298463565563164
2010,15 to 17,,,Percentage (%),Units,Normal value,28.44202898550725
2010,18 to 20,,,Percentage (%),Units,Normal value,21.98647703427373
2010,21 to 24,,,Percentage (%),Units,Normal value,16.04315538741768
2010,25 to 29,,,Percentage (%),Units,Normal value,15.568022440392706
2010,30 to 39,,,Percentage (%),Units,Normal value,14.85148514851485
2010,40 to 49,,,Percentage (%),Units,Normal value,12.93542757417103
2010,50 to 59,,,Percentage (%),Units,Normal value,10.23272995936461
2010,60 and over,,,Percentage (%),Units,Normal value,7.300807300807301
2010,,,British nationals,Percentage (%),Units,Normal value,13.480060831361945
2010,,,Foreign nationals,Percentage (%),Units,Normal value,22.44274809160305
2010,,,Nationality not recorded,Percentage (%),Units,Normal value,32.690284110838306
2011,,,,Percentage (%),Units,Normal value,14.59929252465622
2011,15 to 17,,,Percentage (%),Units,Normal value,27.197975964579378
2011,18 to 20,,,Percentage (%),Units,Normal value,21.53399772927968
2011,21 to 24,,,Percentage (%),Units,Normal value,14.892859685342067
2011,25 to 29,,,Percentage (%),Units,Normal value,14.647214511651926
2011,30 to 39,,,Percentage (%),Units,Normal value,14.665787159190852
2011,40 to 49,,,Percentage (%),Units,Normal value,12.693752133834074
2011,50 to 59,,,Percentage (%),Units,Normal value,9.733468286099866
2011,60 and over,,,Percentage (%),Units,Normal value,6.467661691542288
2011,,,British nationals,Percentage (%),Units,Normal value,13.122004655620978
2011,,,Foreign nationals,Percentage (%),Units,Normal value,21.91297894053252
2011,,,Nationality not recorded,Percentage (%),Units,Normal value,33.1629392971246
2012,,,,Percentage (%),Units,Normal value,13.160096690219412
2012,15 to 17,,,Percentage (%),Units,Normal value,22.230889235569425
2012,18 to 20,,,Percentage (%),Units,Normal value,20.19347037484885
2012,21 to 24,,,Percentage (%),Units,Normal value,14.05926454837558
2012,25 to 29,,,Percentage (%),Units,Normal value,13.354735152487962
2012,30 to 39,,,Percentage (%),Units,Normal value,13.03056768558952
2012,40 to 49,,,Percentage (%),Units,Normal value,11.66975390314898
2012,50 to 59,,,Percentage (%),Units,Normal value,8.591331269349846
2012,60 and over,,,Percentage (%),Units,Normal value,5.632078359351087
2012,,,British nationals,Percentage (%),Units,Normal value,11.84084764739616
2012,,,Foreign nationals,Percentage (%),Units,Normal value,19.08664027253476
2012,,,Nationality not recorded,Percentage (%),Units,Normal value,29.707542329399693
2013,,,,Percentage (%),Units,Normal value,13.085327162997066
2013,15 to 17,,,Percentage (%),Units,Normal value,21.247113163972287
2013,18 to 20,,,Percentage (%),Units,Normal value,20.105229591836736
2013,21 to 24,,,Percentage (%),Units,Normal value,13.905786928716267
2013,25 to 29,,,Percentage (%),Units,Normal value,14.069503085417342
2013,30 to 39,,,Percentage (%),Units,Normal value,12.98176187198899
2013,40 to 49,,,Percentage (%),Units,Normal value,11.58049040511727
2013,50 to 59,,,Percentage (%),Units,Normal value,9.2603550295858
2013,60 and over,,,Percentage (%),Units,Normal value,5.617977528089887
2013,,,British nationals,Percentage (%),Units,Normal value,11.830310755205808
2013,,,Foreign nationals,Percentage (%),Units,Normal value,19.015390320786203
2013,,,Nationality not recorded,Percentage (%),Units,Normal value,43.44355758266818
2014,,,,Percentage (%),Units,Normal value,14.263995602802042
2014,15 to 17,,,Percentage (%),Units,Normal value,25.236167341430495
2014,18 to 20,,,Percentage (%),Units,Normal value,22.206630415716543
2014,21 to 24,,,Percentage (%),Units,Normal value,17.18912851759801
2014,25 to 29,,,Percentage (%),Units,Normal value,14.780614774417453
2014,30 to 39,,,Percentage (%),Units,Normal value,14.305652477320308
2014,40 to 49,,,Percentage (%),Units,Normal value,12.126256908836652
2014,50 to 59,,,Percentage (%),Units,Normal value,9.36141304347826
2014,60 and over,,,Percentage (%),Units,Normal value,5.913978494623656
2014,,,British nationals,Percentage (%),Units,Normal value,13.009635265341425
2014,,,Foreign nationals,Percentage (%),Units,Normal value,20.79564334502492
2014,,,Nationality not recorded,Percentage (%),Units,Normal value,46.89349112426036
2015,,,,Percentage (%),Units,Normal value,13.67280405601383
2015,15 to 17,,,Percentage (%),Units,Normal value,22.647058823529413
2015,18 to 20,,,Percentage (%),Units,Normal value,23.465346534653463
2015,21 to 24,,,Percentage (%),Units,Normal value,16.1738839098752
2015,25 to 29,,,Percentage (%),Units,Normal value,14.52635504724018
2015,30 to 39,,,Percentage (%),Units,Normal value,13.798604187437688
2015,40 to 49,,,Percentage (%),Units,Normal value,11.982315844223391
2015,50 to 59,,,Percentage (%),Units,Normal value,8.499555329691272
2015,60 and over,,,Percentage (%),Units,Normal value,5.013385251886104
2015,,,British nationals,Percentage (%),Units,Normal value,12.38275169303229
2015,,,Foreign nationals,Percentage (%),Units,Normal value,21.22336377473364
2015,,,Nationality not recorded,Percentage (%),Units,Normal value,47.5
2016,,,,Percentage (%),Units,Normal value,10.90985975051096
2016,15 to 17,,,Percentage (%),Units,Normal value,23.30708661417323
2016,18 to 20,,,Percentage (%),Units,Normal value,19.017328361482782
2016,21 to 24,,,Percentage (%),Units,Normal value,12.685473529950542
2016,25 to 29,,,Percentage (%),Units,Normal value,11.672979797979798
2016,30 to 39,,,Percentage (%),Units,Normal value,10.889674064075589
2016,40 to 49,,,Percentage (%),Units,Normal value,10.004580252568212
2016,50 to 59,,,Percentage (%),Units,Normal value,6.957575757575758
2016,60 and over,,,Percentage (%),Units,Normal value,4.3273542600896855
2016,60 to 69,,,Percentage (%),Units,Normal value,4.785316289741068
2016,70 and over,,,Percentage (%),Units,Normal value,3.33569907735983
2016,,,British nationals,Percentage (%),Units,Normal value,9.979864250376712
2016,,,Foreign nationals,Percentage (%),Units,Normal value,17.278333838843395
2016,,,Nationality not recorded,Percentage (%),Units,Normal value,37.698412698412696
2017,,,,Percentage (%),Units,Normal value,11.224858204348788
2017,15 to 17,,,Percentage (%),Units,Normal value,27.5808936825886
2017,18 to 20,,,Percentage (%),Units,Normal value,21.181619256017505
2017,21 to 24,,,Percentage (%),Units,Normal value,13.451361493312808
2017,25 to 29,,,Percentage (%),Units,Normal value,11.63371088500672
2017,30 to 39,,,Percentage (%),Units,Normal value,11.21109137251873
2017,40 to 49,,,Percentage (%),Units,Normal value,10.088576266770874
2017,50 to 59,,,Percentage (%),Units,Normal value,7.39140588510042
2017,60 and over,,,Percentage (%),Units,Normal value,3.948462177888612
2017,60 to 69,,,Percentage (%),Units,Normal value,4.824151882975412
2017,70 and over,,,Percentage (%),Units,Normal value,2.1888680425265794
2017,,,British nationals,Percentage (%),Units,Normal value,10.37072230800702
2017,,,Foreign nationals,Percentage (%),Units,Normal value,16.738417384173843
2017,,,Nationality not recorded,Percentage (%),Units,Normal value,43.75
2018,,,,Percentage (%),Units,Normal value,11.217425972237324
2018,15 to 17,,,Percentage (%),Units,Normal value,30.8411214953271
2018,18 to 20,,,Percentage (%),Units,Normal value,22.400377269511907
2018,21 to 24,,,Percentage (%),Units,Normal value,14.207082770796552
2018,25 to 29,,,Percentage (%),Units,Normal value,11.921926006528835
2018,30 to 39,,,Percentage (%),Units,Normal value,11.161596207032794
2018,40 to 49,,,Percentage (%),Units,Normal value,9.555054336682389
2018,50 to 59,,,Percentage (%),Units,Normal value,7.087254560241664
2018,60 and over,,,Percentage (%),Units,Normal value,3.653423837093232
2018,60 to 69,,,Percentage (%),Units,Normal value,4.387019230769231
2018,70 and over,,,Percentage (%),Units,Normal value,2.2010707911957166
2018,,,British nationals,Percentage (%),Units,Normal value,10.350745760403187
2018,,,Foreign nationals,Percentage (%),Units,Normal value,17.1630266931392
2018,,,Nationality not recorded,Percentage (%),Units,Normal value,44.52054794520548
2019,,,,Percentage (%),Units,Normal value,11.056704147019708
2019,15 to 17,,,Percentage (%),Units,Normal value,29.72508591065292
2019,18 to 20,,,Percentage (%),Units,Normal value,23.113658070678127
2019,21 to 24,,,Percentage (%),Units,Normal value,13.628052059804238
2019,25 to 29,,,Percentage (%),Units,Normal value,11.941727652007389
2019,30 to 39,,,Percentage (%),Units,Normal value,11.023499708681298
2019,40 to 49,,,Percentage (%),Units,Normal value,9.645293315143247
2019,50 to 59,,,Percentage (%),Units,Normal value,6.877562975981253
2019,60 and over,,,Percentage (%),Units,Normal value,2.9909484454939
2019,60 to 69,,,Percentage (%),Units,Normal value,3.4306349684020465
2019,70 and over,,,Percentage (%),Units,Normal value,2.1603183627060827
2019,,,British nationals,Percentage (%),Units,Normal value,10.123598108553752
2019,,,Foreign nationals,Percentage (%),Units,Normal value,17.592694465837827
2019,,,Nationality not recorded,Percentage (%),Units,Normal value,49.15966386554621
2020,,,,Percentage (%),Units,Normal value,14.322006187589606
2020,15 to 17,,,Percentage (%),Units,Normal value,40.36697247706422
2020,18 to 20,,,Percentage (%),Units,Normal value,28.524229074889867
2020,21 to 24,,,Percentage (%),Units,Normal value,18.808085501858734
2020,25 to 29,,,Percentage (%),Units,Normal value,16.06481145099179
2020,30 to 39,,,Percentage (%),Units,Normal value,14.102817402299758
2020,40 to 49,,,Percentage (%),Units,Normal value,12.77505690832586
2020,50 to 59,,,Percentage (%),Units,Normal value,8.795572133317291
2020,60 and over,,,Percentage (%),Units,Normal value,3.9112903225806455
2020,60 to 69,,,Percentage (%),Units,Normal value,4.750229849831444
2020,70 and over,,,Percentage (%),Units,Normal value,2.298173246906305
2020,,,British nationals,Percentage (%),Units,Normal value,12.698956993856264
2020,,,Foreign nationals,Percentage (%),Units,Normal value,25.354533734422
2020,,,Nationality not recorded,Percentage (%),Units,Normal value,64.81481481481481
2021,,,,Percentage (%),Units,Normal value,16.24917011388591
2021,15 to 17,,,Percentage (%),Units,Normal value,48.209366391184574
2021,18 to 20,,,Percentage (%),Units,Normal value,33.29545454545455
2021,21 to 24,,,Percentage (%),Units,Normal value,21.11534795042898
2021,25 to 29,,,Percentage (%),Units,Normal value,18.457908357436445
2021,30 to 39,,,Percentage (%),Units,Normal value,16.42536987822776
2021,40 to 49,,,Percentage (%),Units,Normal value,13.652275379229872
2021,50 to 59,,,Percentage (%),Units,Normal value,9.987714987714988
2021,60 and over,,,Percentage (%),Units,Normal value,4.808655580044079
2021,60 to 69,,,Percentage (%),Units,Normal value,5.690326445043426
2021,70 and over,,,Percentage (%),Units,Normal value,3.026634382566586
2021,,Male,,Percentage (%),Units,Normal value,16.084549036311362
