Year,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,PM 10,Eastbourne,Undefined,Units,microgram/m3,E07000061,19.0
2014,,Eastbourne,Undefined,Units,microgram/m3,E07000061,12.0
2016,PM 10,Eccles,Undefined,Units,microgram/m3,,15.0
2016,,Eccles,Undefined,Units,microgram/m3,,10.0
2016,PM 10,Erith,Undefined,Units,microgram/m3,,16.0
2016,,Erith,Undefined,Units,microgram/m3,,11.0
2013,PM 10,Gibraltar,Undefined,Units,microgram/m3,,31.13807947
2013,,Gibraltar,Undefined,Units,microgram/m3,,14.22181818
2016,PM 10,Gillingham,Undefined,Units,microgram/m3,,19.0
2016,,Gillingham,Undefined,Units,microgram/m3,,12.0
2008,PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,24.453
2011,PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,16.526
2013,PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,22.93713748
2013,,Glasgow City,Undefined,Units,microgram/m3,S12000046,16.03820498
2016,PM 10,Glasgow City,Undefined,Units,microgram/m3,S12000046,12.0
2016,,Glasgow City,Undefined,Units,microgram/m3,S12000046,8.0
2013,,Grangemouth,Undefined,Units,microgram/m3,,9.16582496
2016,PM 10,Grangemouth,Undefined,Units,microgram/m3,,9.0
2016,,Grangemouth,Undefined,Units,microgram/m3,,6.0
2016,PM 10,Harlington,Undefined,Units,microgram/m3,,14.0
2016,,Harlington,Undefined,Units,microgram/m3,,10.0
2016,PM 10,Hull,Undefined,Units,microgram/m3,,16.0
2016,,Hull,Undefined,Units,microgram/m3,,11.0
2013,,Inverness,Undefined,Units,microgram/m3,,6.06134453
2016,PM 10,Inverness,Undefined,Units,microgram/m3,,9.0
2016,,Inverness,Undefined,Units,microgram/m3,,5.0
2008,PM 10,Kingston upon Hull,Undefined,Units,microgram/m3,E06000010,17.349
2011,PM 10,Kingston upon Hull,Undefined,Units,microgram/m3,E06000010,17.342
2013,,Kingston upon Hull,Undefined,Units,microgram/m3,E06000010,12.35895879
2013,,Leamington Spa,Undefined,Units,microgram/m3,,12.98562446
2013,PM 10,Leamington Spa,Undefined,Units,microgram/m3,,18.0
2013,,Leamington Spa,Undefined,Units,microgram/m3,,13.0
2016,PM 10,Leamington Spa,Undefined,Units,microgram/m3,,16.0
2016,,Leamington Spa,Undefined,Units,microgram/m3,,10.0
2008,PM 10,Leeds,Undefined,Units,microgram/m3,E08000035,22.603
2011,PM 10,Leeds,Undefined,Units,microgram/m3,E08000035,20.678
2013,,Leeds,Undefined,Units,microgram/m3,E08000035,15.30161227
2016,PM 10,Leeds,Undefined,Units,microgram/m3,E08000035,18.0
2016,,Leeds,Undefined,Units,microgram/m3,E08000035,11.0
2008,PM 10,Leicester,Undefined,Units,microgram/m3,E06000016,16.992
2011,PM 10,Leicester,Undefined,Units,microgram/m3,E06000016,17.455
2016,PM 10,Leicester,Undefined,Units,microgram/m3,E06000016,22.0
2016,,Leicester,Undefined,Units,microgram/m3,E06000016,12.0
2008,PM 10,Liverpool,Undefined,Units,microgram/m3,E08000012,15.852
2011,PM 10,Liverpool,Undefined,Units,microgram/m3,E08000012,16.23
2013,,Liverpool,Undefined,Units,microgram/m3,E08000012,11.62283464
2013,PM 10,Liverpool,Undefined,Units,microgram/m3,E08000012,14.0
2013,,Liverpool,Undefined,Units,microgram/m3,E08000012,12.0
2013,,Londonderry,Undefined,Units,microgram/m3,,11.48932256
2015,PM 10,Londonderry,Undefined,Units,microgram/m3,,16.0
2015,,Londonderry,Undefined,Units,microgram/m3,,12.0
2008,PM 10,Manchester,Undefined,Units,microgram/m3,E08000003,19.861
2013,,Manchester,Undefined,Units,microgram/m3,E08000003,12.50100951
2016,PM 10,Manchester,Undefined,Units,microgram/m3,E08000003,15.0
2016,,Manchester,Undefined,Units,microgram/m3,E08000003,10.0
