Year,Series,Activity (default),Industry higher sub-category,Industry middle sub-category,Industry lower sub-category,Observation status,Unit multiplier,Units,Value
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",,,Normal value,Units,Percentage (%),0.1931860146597708
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles,,Normal value,Units,Percentage (%),0.0820917670437194
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,Normal value,Units,Percentage (%),0.0805556187083204
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,Normal value,Units,Percentage (%),0.0344711686463522
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",,,Normal value,Units,Percentage (%),0.4943325343313791
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,Normal value,Units,Percentage (%),0.1492521722673611
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products,,Normal value,Units,Percentage (%),0.1215400562967641
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,Normal value,Units,Percentage (%),0.2401307077895624
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of coke, and refined petroleum products",,,Normal value,Units,Percentage (%),0.2402535996563943
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,Normal value,Units,Percentage (%),0.2406222752568901
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,,,Normal value,Units,Percentage (%),0.4558673800129896
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,Normal value,Units,Percentage (%),0.4549456910117503
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",Normal value,Units,Percentage (%),0.1923257715919474
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,Normal value,Units,Percentage (%),0.0838122531793662
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",Normal value,Units,Percentage (%),0.1897450423884771
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Normal value,Units,Percentage (%),0.0827062263778789
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",Normal value,Units,Percentage (%),0.0615073793493735
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,Normal value,Units,Percentage (%),0.0986821690660279
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,Normal value,Units,Percentage (%),0.7913621764641183
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,Normal value,Units,Percentage (%),0.791730852064614
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",,,Normal value,Units,Percentage (%),0.8447586926025855
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Manufacture of rubber and plastic products,,Normal value,Units,Percentage (%),0.4403830047921683
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Manufacture of other non-metallic mineral products,,Normal value,Units,Percentage (%),0.4151901720916257
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",Normal value,Units,Percentage (%),0.2001908510691899
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",Normal value,Units,Percentage (%),0.2108824434835665
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,,,Normal value,Units,Percentage (%),1.5017386126860046
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,,Normal value,Units,Percentage (%),0.5316916618482814
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,Normal value,Units,Percentage (%),0.2697476476960539
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,Normal value,Units,Percentage (%),0.495930128600194
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,Normal value,Units,Percentage (%),1.021231413373216
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",Normal value,Units,Percentage (%),0.9722590044406976
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,Normal value,Units,Percentage (%),0.0537037458055469
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacturing of computer, electronic & optical products",,,Normal value,Units,Percentage (%),0.3243730825028403
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacturing of computer, electronic & optical products","Manufacture of computer, electronic and optical products",,Normal value,Units,Percentage (%),0.3241272987691765
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of electrical equipment,,,Normal value,Units,Percentage (%),0.2901476975901519
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of electrical equipment,Manufacture of electrical equipment,,Normal value,Units,Percentage (%),0.2896561301228242
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of machinery and equipment,,,Normal value,Units,Percentage (%),0.8085670378205866
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of machinery and equipment,Manufacture of machinery and equipment,,Normal value,Units,Percentage (%),0.8086899296874185
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,,,Normal value,Units,Percentage (%),1.2664006877028868
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,Normal value,Units,Percentage (%),0.559895345286206
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,,Normal value,Units,Percentage (%),0.683217333652033
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,Normal value,Units,Percentage (%),0.0534579620718831
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,Normal value,Units,Percentage (%),0.7235873119063171
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,Normal value,Units,Percentage (%),0.0120434029495276
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,,,Normal value,Units,Percentage (%),0.9618746416934008
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Manufacture of furniture,,Normal value,Units,Percentage (%),0.2503921786700274
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Other manufacturing,,Normal value,Units,Percentage (%),0.2312824933776645
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,,Normal value,Units,Percentage (%),0.498818087470744
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,Normal value,Units,Percentage (%),0.033242249978033
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,Normal value,Units,Percentage (%),0.2052908635427144
2000,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,Normal value,Units,Percentage (%),0.2795175511091913
2001,Manufacturing value added as a proportion of GDP,Manufacturing,,,,Normal value,Units,Percentage (%),9.266203043743436
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",,,Normal value,Units,Percentage (%),1.556878015684265
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,Normal value,Units,Percentage (%),1.2174612855611655
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,Normal value,Units,Percentage (%),0.2673590936376355
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Normal value,Units,Percentage (%),0.113439651428702
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,Normal value,Units,Percentage (%),0.0169618142645249
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,Normal value,Units,Percentage (%),0.404316721582044
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",Normal value,Units,Percentage (%),0.0713960054325924
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,Normal value,Units,Percentage (%),0.1881438121256521
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,Normal value,Units,Percentage (%),0.4437138433666674
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,Normal value,Units,Percentage (%),0.0537124118376622
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,Normal value,Units,Percentage (%),0.2131053473021693
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,Normal value,Units,Percentage (%),0.1644453907773443
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,Normal value,Units,Percentage (%),0.0466750633662103
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of tobacco products,,Normal value,Units,Percentage (%),0.1252888621028559
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",,,Normal value,Units,Percentage (%),0.1953616054297053
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles,,Normal value,Units,Percentage (%),0.0874555955341106
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,Normal value,Units,Percentage (%),0.0825835850538748
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,Normal value,Units,Percentage (%),0.024720942066382
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",,,Normal value,Units,Percentage (%),0.4998923345832146
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,Normal value,Units,Percentage (%),0.1496489145040353
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products,,Normal value,Units,Percentage (%),0.1302811691381594
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,Normal value,Units,Percentage (%),0.2348188754918625
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of coke, and refined petroleum products",,,Normal value,Units,Percentage (%),0.1976472399759888
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,Normal value,Units,Percentage (%),0.1980081296411915
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,,,Normal value,Units,Percentage (%),0.4329473016881215
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,Normal value,Units,Percentage (%),0.4321653740801824
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",Normal value,Units,Percentage (%),0.2008952469628127
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,Normal value,Units,Percentage (%),0.0679074053356334
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",Normal value,Units,Percentage (%),0.1431529005303875
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Normal value,Units,Percentage (%),0.0824031402212734
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",Normal value,Units,Percentage (%),0.0716365985427275
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,Normal value,Units,Percentage (%),0.107785713340527
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,Normal value,Units,Percentage (%),0.82427199532287
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,Normal value,Units,Percentage (%),0.8247531815431401
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,Normal value,Units,Percentage (%),0.8748566967287758
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,Normal value,Units,Percentage (%),0.4697580475387926
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,Normal value,Units,Percentage (%),0.4106322907230906
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",Normal value,Units,Percentage (%),0.1974667951433874
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",Normal value,Units,Percentage (%),0.2093761540950751
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,,,Normal value,Units,Percentage (%),1.4413331745418807
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,,Normal value,Units,Percentage (%),0.5196209696142932
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,Normal value,Units,Percentage (%),0.2363225824302069
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,Normal value,Units,Percentage (%),0.5311694389007782
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,Normal value,Units,Percentage (%),0.9719961649458244
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",Normal value,Units,Percentage (%),0.9373507570863692
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,Normal value,Units,Percentage (%),0.0393971217846234
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacturing of computer, electronic and optical products",,,Normal value,Units,Percentage (%),0.3354469438058702
2001,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacturing of computer, electronic and optical products","Manufacture of computer, electronic and optical products",,Normal value,Units,Percentage (%),0.3352664989732689
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of electrical equipment,,,Normal value,Units,Percentage (%),0.3340635334225934
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of electrical equipment,Manufacture of electrical equipment,,Normal value,Units,Percentage (%),0.3336424954798569
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of machinery and equipment not elsewhere classified,,,Normal value,Units,Percentage (%),0.811099522542973
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of machinery and equipment,Manufacture of machinery and equipment,,Normal value,Units,Percentage (%),0.8114002639306419
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,,,Normal value,Units,Percentage (%),1.3459380063733115
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,Normal value,Units,Percentage (%),0.6224745241970505
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,,Normal value,Units,Percentage (%),0.690381929532684
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,Normal value,Units,Percentage (%),0.0555168601636754
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,Normal value,Units,Percentage (%),0.7246062994494027
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,Normal value,Units,Percentage (%),0.0129318796697618
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,,,Normal value,Units,Percentage (%),0.8993370456850227
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Manufacture of furniture,,Normal value,Units,Percentage (%),0.2474500137739555
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Other manufacturing,,Normal value,Units,Percentage (%),0.2413750377430441
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,,Normal value,Units,Percentage (%),0.4131585183795091
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,Normal value,Units,Percentage (%),0.030916214652361
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,Normal value,Units,Percentage (%),0.1714225909712623
2001,Manufacturing value added as a proportion of GDP,Manufacturing,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,Normal value,Units,Percentage (%),0.2277213787428769
2002,Manufacturing value added as a proportion of GDP,Manufacturing,,,,Normal value,Units,Percentage (%),9.39516476969831
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",,,Normal value,Units,Percentage (%),1.5845763411067864
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,Normal value,Units,Percentage (%),1.2238194134981248
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,Normal value,Units,Percentage (%),0.2721043405488659
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Normal value,Units,Percentage (%),0.1098110045047334
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,Normal value,Units,Percentage (%),0.0138298035813281
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,Normal value,Units,Percentage (%),0.3836883967947953
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",Normal value,Units,Percentage (%),0.068085186861923
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,Normal value,Units,Percentage (%),0.1943264708350719
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,Normal value,Units,Percentage (%),0.4532511267743815
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,Normal value,Units,Percentage (%),0.0551419091511928
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,Normal value,Units,Percentage (%),0.2242910452612828
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,Normal value,Units,Percentage (%),0.1756503258278083
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,Normal value,Units,Percentage (%),0.0473404814899308
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of tobacco products,,Normal value,Units,Percentage (%),0.1370568995944439
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",,,Normal value,Units,Percentage (%),0.1999411346821923
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles,,Normal value,Units,Percentage (%),0.09539018367634
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,Normal value,Units,Percentage (%),0.0772459541914352
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,Normal value,Units,Percentage (%),0.0268912847414713
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",,,Normal value,Units,Percentage (%),0.5226956533045547
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,Normal value,Units,Percentage (%),0.1452720393286516
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products,,Normal value,Units,Percentage (%),0.1553784342534684
2002,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,Normal value,Units,Percentage (%),0.2323288798213709
