Year,Age,Sex,Country,Region,Police Force Area,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2010/11,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.488755622188905
2010/11,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.67538527660097
2010/11,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.5927431587889085
2010/11,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.268431001890359
2010/11,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.0496003444842157
2010/11,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.6579724210441185
2010/11,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.233219134627585
2010/11,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.1502012852249144
2010/11,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.6876999420640315
2010/11,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.8351551902976144
2010/11,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.4973952197701511
2010/11,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.1609805008047709
2010/11,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.2757086405924267
2010/11,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5436259853220984
2010/11,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.9042145593869731
2010/11,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.7396771526780663
2010/11,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6026032460228186
2010/11,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.6684073107049608
2010/11,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.9205983889528192
2010/11,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.732064421669107
2010/11,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.8076798818479716
2011/12,,,,,,"Rate per 100,000 population",Units,Undefined,,0.9364262697833402
2011/12,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.284486657620986
2011/12,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5957909124362593
2011/12,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.364256480218281
2011/12,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,2.579535683576956
2011/12,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,2.096729102599944
2011/12,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.7699307062364387
2011/12,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5136106831022087
2011/12,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.6447915174093709
2011/12,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.1930395455297556
2011/12,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2027516292541636
2011/12,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.1977764278751748
2011/12,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.925811803744963
2011/12,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.0079413561392792
2011/12,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.4738615171749985
2011/12,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.1204972566066744
2011/12,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7682933290944736
2011/12,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.4442250871172473
2011/12,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.2473651580905147
2011/12,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6622179206357293
2011/12,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.4492010157231898
2011/12,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.0175063268021602
2011/12,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6402376562179882
2011/12,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,0.8271191697791334
2011/12,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.0218932895673984
2011/12,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2704245665695141
2011/12,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.640497758257846
2011/12,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.552509668919206
2011/12,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.3147004445143778
2011/12,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.4290091930541369
2011/12,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.841798080700376
2011/12,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6490035886080782
2011/12,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.7270579147070183
2012/13,,,,,,"Rate per 100,000 population",Units,Undefined,,0.9616744449158536
2012/13,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.346813439402374
2012/13,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5883479259865272
2012/13,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.6673779674579885
2012/13,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,3.360403248389807
2012/13,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,3.005464480874317
2012/13,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.9627286480539128
2012/13,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5767428447840819
2012/13,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.7742934572202864
2012/13,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.3843830651803854
2012/13,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2592613930978856
2012/13,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.3233243364822312
2012/13,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.011536754917912
2012/13,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5834484876401044
2012/13,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.310833207774597
2012/13,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.8128316956544583
2012/13,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7321409894362515
2012/13,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.271197546719786
2012/13,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.001896533558108
2012/13,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6231500233681259
2012/13,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.3075655744135568
2012/13,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.6933063088488085
2012/13,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5534451963472617
2012/13,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.1177725840869832
2012/13,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.8190266183650969
2012/13,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5189413596263622
2012/13,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.6666253255612056
2012/13,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.8449004224502114
2012/13,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.373524577917227
2012/13,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.6004609990896237
2012/13,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.6006333952167741
2012/13,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.755172934602024
2012/13,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.6919951783561767
2013/14,,,,,,"Rate per 100,000 population",Units,Undefined,,0.9095980842529802
2013/14,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.1978952979614816
2013/14,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6297788579984667
2013/14,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.192033055858482
2013/14,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,2.3123459038237533
2013/14,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,2.250582689924564
2013/14,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4066272102730298
2013/14,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7821237789092502
2013/14,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.5898722406123568
2013/14,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.1633970463805239
2013/14,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.1428792279035131
2013/14,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.1533850119974968
2013/14,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.107729936266403
2013/14,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7424267827987139
2013/14,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.4391333690339398
2013/14,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.7363437214199766
2013/14,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7218336637440996
2013/14,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.2277561283447145
2013/14,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.8171750837503928
2013/14,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6070164770663896
2013/14,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.2083234631453377
2013/14,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.4200003499286578
2013/14,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5955100034514766
2013/14,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.0032832444173558
2013/14,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.9159964888906998
2013/14,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5507514391441077
2013/14,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.7304700668131441
2013/14,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4653731361805896
2013/14,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.612725221572253
2013/14,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.5417456089650304
2013/14,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.6918014082948053
2013/14,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.897669089999181
2013/14,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.8126968730719041
2014/15,,,,,,"Rate per 100,000 population",Units,Undefined,,0.8866259083517269
2014/15,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.1415641712274156
2014/15,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6354300038987923
2014/15,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,4.194114818087259
2014/15,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,2.645743733261996
2014/15,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,3.582621705241949
2014/15,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4694284708367562
2014/15,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.4226411691945305
2014/15,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.4466096998817171
2014/15,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.2424810662700754
2014/15,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.1978443445487523
2014/15,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.2206968087931126
2014/15,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.0205069570808663
2014/15,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5909845616169835
2014/15,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.3220948182089232
2014/15,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.361094874989856
2014/15,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5632591196772012
2014/15,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,0.9615675551208984
2014/15,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.5352662784687523
2014/15,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8788282290279626
2014/15,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.2051885778654263
2014/15,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.3040677132144445
2014/15,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8085066661374624
2014/15,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.0533983746930582
2014/15,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.8468675310988576
2014/15,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5770657663630795
2014/15,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.7097955958417705
2014/15,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.7920018374442629
2014/15,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.3158103060833487
2014/15,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.5453235686483301
2014/15,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.723632760509086
2014/15,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.0307566747936925
2014/15,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.9030055896045996
2015/16,,,,,,"Rate per 100,000 population",Units,Undefined,,0.9432428166315407
2015/16,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.3097601258378306
2015/16,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.583009547105228
2015/16,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.399067102056349
