Year,Industry sector,Industry higher sub-category,Industry middle sub-category,Industry lower sub-category,Observation status,Unit multiplier,Unit measure,Value
1990,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,,Undefined,Units,Percentage (%),0.6922896278786852
1990,Manufacturing,Manufacture of basic metals and metal products,,Basic iron and steel,Undefined,Units,Percentage (%),0.4857480539279472
1990,Manufacturing,Manufacture of basic metals and metal products,,Other basic metals and casting,Undefined,Units,Percentage (%),0.261786151512585
1990,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,Undefined,Units,Percentage (%),1.5931419727896394
1990,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Fabricated metal products, excluding weapons and ammunition",Undefined,Units,Percentage (%),1.4696597549989605
1990,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Weapons and ammunition,Undefined,Units,Percentage (%),0.146965975499896
1990,Manufacturing,"Manufacturing of computer, electronic and optical products",,,Undefined,Units,Percentage (%),1.2132633183704582
1990,Manufacturing,Manufacture of electrical equipment,,,Undefined,Units,Percentage (%),0.4965274836961125
1990,Manufacturing,Manufacture of machinery and equipment not elsewhere classified,,,Undefined,Units,Percentage (%),1.7148917822247205
1990,Manufacturing,Manufacture of transport equipment,,,Undefined,Units,Percentage (%),1.3694688051002102
1990,Manufacturing,Manufacture of transport equipment,"Motor vehicles, trailers and semi-trailers",,Undefined,Units,Percentage (%),1.1127836337457748
1990,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,,Undefined,Units,Percentage (%),0.462841765670596
1990,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,Undefined,Units,Percentage (%),0.1170338089115086
1990,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Air and spacecraft and related machinery,Undefined,Units,Percentage (%),0.3576460805223403
1990,Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Other transport equipment,Undefined,Units,Percentage (%),0.0142442464793612
1990,Manufacturing,Other manufacturing and repair,,,Undefined,Units,Percentage (%),1.5501204986256227
1990,Manufacturing,Furniture and other manufacturing,,,Undefined,Units,Percentage (%),0.8307860514178801
1990,Manufacturing,Furniture and other manufacturing,Furniture,,Undefined,Units,Percentage (%),0.3862308183897072
1990,Manufacturing,Furniture and other manufacturing,Other manufacturing,,Undefined,Units,Percentage (%),0.459665683685333
1990,Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,,Undefined,Units,Percentage (%),0.7297288973413306
1990,Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,Undefined,Units,Percentage (%),0.0350331467465371
1990,Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,Undefined,Units,Percentage (%),0.1588040992631489
1990,Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,Rest of repair; installation,Undefined,Units,Percentage (%),0.5902700247156926
1990,"Electricity, gas, steam and air conditioning supply",,,,Undefined,Units,Percentage (%),1.603343933105939
1990,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",,Undefined,Units,Percentage (%),1.2087398076641749
1990,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,,Undefined,Units,Percentage (%),0.3920055129083671
1990,"Water supply; sewerage, waste management and remediation activities",,,,Undefined,Units,Percentage (%),1.2790948358831815
1990,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",,,Undefined,Units,Percentage (%),0.6880548518983346
1990,"Water supply; sewerage, waste management and remediation activities","Sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services",Remediation activities and other waste management services,,Undefined,Units,Percentage (%),0.6843013004612055
1990,"Water supply; sewerage, waste management and remediation activities","Sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services",Sewerage,,Undefined,Units,Percentage (%),0.3356059964427882
1990,"Water supply; sewerage, waste management and remediation activities","Sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services","Waste collection, treatment and disposal activities; materials recovery",,Undefined,Units,Percentage (%),0.3376271395243191
1990,"Water supply; sewerage, waste management and remediation activities","Sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services",Remediation activities and other waste management services,,Undefined,Units,Percentage (%),0.0156879201090262
1990,Construction,,,,Undefined,Units,Percentage (%),9.31477474841581
1990,Construction,Construction of buildings,,,Undefined,Units,Percentage (%),3.119393734071468
1990,Construction,Civil engineering,,,Undefined,Units,Percentage (%),1.883801596895524
1990,Construction,Specialised construction activities,,,Undefined,Units,Percentage (%),4.318605295779853
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,,Undefined,Units,Percentage (%),10.248157872448548
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale and retail trade and repair of motor vehicles and motorcycles,,,Undefined,Units,Percentage (%),1.4786105315028837
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles",,,Undefined,Units,Percentage (%),4.393291344887856
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade, except of motor vehicles and motorcycles",,,Undefined,Units,Percentage (%),4.52976662534552
1990,Transportation and storage,,,,Undefined,Units,Percentage (%),4.026405753135659
1990,Transportation and storage,Land transport and transport via pipelines,,,Undefined,Units,Percentage (%),1.6438630396452028
1990,Transportation and storage,Land transport and transport via pipelines,Rail transport,,Undefined,Units,Percentage (%),0.2067340637680266
1990,Transportation and storage,Land transport and transport via pipelines,"Land transport services and transport services via pipelines, excluding rail transport",,Undefined,Units,Percentage (%),1.4533943654380683
1990,Transportation and storage,Water transport,,,Undefined,Units,Percentage (%),0.6619724816557204
1990,Transportation and storage,Air transport,,,Undefined,Units,Percentage (%),0.1862338982267838
1990,Transportation and storage,Warehousing and support activities for transportation,,,Undefined,Units,Percentage (%),1.1581149857172557
1990,Transportation and storage,Postal and courier activities,,,Undefined,Units,Percentage (%),0.5715022675300476
1990,Accommodation and food services,,,,Undefined,Units,Percentage (%),3.512746675700856
1990,Accommodation and food services,Accommodation,,,Undefined,Units,Percentage (%),0.930880756407986
1990,Accommodation and food services,Food and beverage service activities,,,Undefined,Units,Percentage (%),2.5891805323498387
1990,Information and communication,,,,Undefined,Units,Percentage (%),3.220835867782594
1990,Information and communication,Publishing audio visual broadcsting,,,Undefined,Units,Percentage (%),1.8723484527668488
1990,Information and communication,Publishing audio visual broadcsting,Publishing activities,,Undefined,Units,Percentage (%),1.2592683847024493
1990,Information and communication,"Motion picture, video and tv programme production, sound recording and music publishing activities and programming and broadcasting activities",,,Undefined,Units,Percentage (%),0.7920955981428582
1990,Information and communication,"Motion picture, video and tv programme production, sound recording and music publishing activities and programming and broadcasting activities","Motion picture, video and tv programme production, sound recording and music publishing activities",,Undefined,Units,Percentage (%),0.5165464246941337
1990,Information and communication,"Motion picture, video and tv programme production, sound recording and music publishing activities and programming and broadcasting activities",Programming and broadcasting activities,,Undefined,Units,Percentage (%),0.2870985624860445
1990,Information and communication,Telecommunications,,,Undefined,Units,Percentage (%),0.6422422753836322
1990,Information and communication,IT and other information service,,,Undefined,Units,Percentage (%),1.198345357530587
1990,Information and communication,IT and other information service,"Computer programming, consultancy and related activities",,Undefined,Units,Percentage (%),1.0153837861977102
1990,Information and communication,IT and other information service,Information service activities,,Undefined,Units,Percentage (%),0.196435858543083
1990,Financial and insurance,,,,Undefined,Units,Percentage (%),5.595197764038282
1990,Financial and insurance,"Financial service activities, except insurance and pension funding",,,Undefined,Units,Percentage (%),2.593896532873411
1990,Financial and insurance,"Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",,Undefined,Units,Percentage (%),2.5775348984038744
1990,Financial and insurance,"Financial service activities, except insurance and pension funding","Insurance and reinsurance, except compulsory social security",,Undefined,Units,Percentage (%),2.5773424085865857
1990,Financial and insurance,Pension funding,,,Undefined,Units,Percentage (%),0.0
1990,Financial and insurance,Activities auxiliary to financial services and insurance activities,,,Undefined,Units,Percentage (%),1.1719742525620394
1990,Real estate,,,,Undefined,Units,Percentage (%),11.7638226937795
1990,Real estate,Real estate activities,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rental",,Undefined,Units,Percentage (%),1.9643585854308303
1990,Real estate,Real estate activities,Imputed rental,,Undefined,Units,Percentage (%),9.746048184051064
1990,Real estate,Real estate activities,Real estate activities on a fee or contract basis,,Undefined,Units,Percentage (%),0.1542805885568653
1990,"Professional, scientific and technical activities",,,,Undefined,Units,Percentage (%),4.430730614350501
1990,"Professional, scientific and technical activities",Legal accounting management architecture engineering tech testing,,,Undefined,Units,Percentage (%),2.685521685902816
1990,"Professional, scientific and technical activities",Legal and accounting activities and activites of head offices; management consultancy activities,,,Undefined,Units,Percentage (%),1.835101673121492
1990,"Professional, scientific and technical activities",Legal and accounting activities and activites of head offices; management consultancy activities,Legal and accounting activities,,Undefined,Units,Percentage (%),1.6246140579163362
1990,"Professional, scientific and technical activities",Legal and accounting activities and activites of head offices; management consultancy activities,Legal and accounting activities,Legal activities,Undefined,Units,Percentage (%),0.8773685872017369
1990,"Professional, scientific and technical activities",Legal and accounting activities and activites of head offices; management consultancy activities,Legal and accounting activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Undefined,Units,Percentage (%),0.7506140425171509
1990,"Professional, scientific and technical activities",Legal and accounting activities and activites of head offices; management consultancy activities,Activities of head offices; management consultancy activities,,Undefined,Units,Percentage (%),0.3678480408386396
1990,"Professional, scientific and technical activities",Legal and accounting activities and activites of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,,Undefined,Units,Percentage (%),0.8401218075563802
1990,"Professional, scientific and technical activities",Scientific research and development,,,Undefined,Units,Percentage (%),0.3644794690360879
1990,"Professional, scientific and technical activities","Other Professional, scientific and technical activities",,,Undefined,Units,Percentage (%),1.5277916798201376
1990,"Professional, scientific and technical activities","Other Professional, scientific and technical activities",Advertising and market research,,Undefined,Units,Percentage (%),0.9698599444089409
1990,"Professional, scientific and technical activities","Other professional, scientific and technical activities and veterinary activities",,,Undefined,Units,Percentage (%),0.5755445536931096
1990,"Professional, scientific and technical activities","Other professional, scientific and technical activities and veterinary activities","Other professional, scientific and technical activities",,Undefined,Units,Percentage (%),0.4510036419073431
1990,"Professional, scientific and technical activities","Other professional, scientific and technical activities and veterinary activities",Veterinary activities,,Undefined,Units,Percentage (%),0.1286794428574728
1990,Administrative and support activities,,,,Undefined,Units,Percentage (%),2.788792472878185
1990,Administrative and support activities,,Rental and leasing activities,,Undefined,Units,Percentage (%),0.6968131385849688
1990,Administrative and support activities,,Employment activities,,Undefined,Units,Percentage (%),0.4777597265104676
1990,Administrative and support activities,,"Travel agency, tour operator and other reservation service and related activities",,Undefined,Units,Percentage (%),0.8812183835475104
1990,Administrative and support activities,"Security and investigation activities, services to buildings and landscape activities and office administrative, office support and other business support activities",,,Undefined,Units,Percentage (%),1.2926653680020326
1990,Administrative and support activities,"Security and investigation activities, services to buildings and landscape activities and office administrative, office support and other business support activities",Security and investigation activities,,Undefined,Units,Percentage (%),0.1154938903731992
1990,Administrative and support activities,"Security and investigation activities, services to buildings and landscape activities and office administrative, office support and other business support activities",Services to buildings and landscape activities,,Undefined,Units,Percentage (%),0.3996088606912694
1990,Administrative and support activities,"Security and investigation activities, services to buildings and landscape activities and office administrative, office support and other business support activities","Office administrative, office support and other business support activities",,Undefined,Units,Percentage (%),0.7966191088491418
1990,Public administration and defence; compulsory social security,,,,Undefined,Units,Percentage (%),9.218722329588765
1990,Education,,,,Undefined,Units,Percentage (%),7.776973598096661
1990,Human health and social activities,,,,Undefined,Units,Percentage (%),5.638892952562809
1990,Human health and social activities,Human health activities,,,Undefined,Units,Percentage (%),3.5166927169552733
1990,Human health and social activities,Residential care and social work activities,,,Undefined,Units,Percentage (%),2.222968654958153
1990,Human health and social activities,Residential care and social work activities,Residential care activities,,Undefined,Units,Percentage (%),0.9484935746898988
1990,Human health and social activities,Residential care and social work activities,Social work activities without accommodation,,Undefined,Units,Percentage (%),1.286409448940151
1990,"Arts, entertainment and recreation",,,,Undefined,Units,Percentage (%),1.7166241905803186
1990,"Arts, entertainment and recreation","Creative, arts and entertainment activities and libraries, archives, museums and other cultural activities and gambling and betting activities",,,Undefined,Units,Percentage (%),0.9183689182842228
1990,"Arts, entertainment and recreation","Creative, arts and entertainment activities and libraries, archives, museums and other cultural activities and gambling and betting activities","Creative, arts and entertainment activities",,Undefined,Units,Percentage (%),0.3391670580626285
1990,"Arts, entertainment and recreation","Creative, arts and entertainment activities and libraries, archives, museums and other cultural activities and gambling and betting activities","Libraries, archives, museums and other cultural activities",,Undefined,Units,Percentage (%),0.1279094835883182
1990,"Arts, entertainment and recreation","Creative, arts and entertainment activities and libraries, archives, museums and other cultural activities and gambling and betting activities",Gambling and betting activities,,Undefined,Units,Percentage (%),0.4973936878739114
1990,"Arts, entertainment and recreation","Creative, arts and entertainment activities and libraries, archives, museums and other cultural activities and gambling and betting activities",Sports activities and amusement and recreation activities,,Undefined,Units,Percentage (%),0.8073985386173071
1990,Other service activities,,,,Undefined,Units,Percentage (%),1.7850543206264389
1990,Other service activities,Activities of membership organisations,,,Undefined,Units,Percentage (%),0.3753551437128976
1990,Other service activities,Repair of computers and personal and household goods,,,Undefined,Units,Percentage (%),0.1711234475696235
1990,Other service activities,Other personal service activities,,,Undefined,Units,Percentage (%),1.3181702687927808
1990,Activities of households as employers,,,,Undefined,Units,Percentage (%),0.2661171724015799
1991,"Agriculture, forestry and fishing",,,,Undefined,Units,Percentage (%),1.102007147682916
1991,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",,,Undefined,Units,Percentage (%),0.9915059471939964
1991,"Agriculture, forestry and fishing",Forestry and logging,,,Undefined,Units,Percentage (%),0.0512764342619634
1991,"Agriculture, forestry and fishing",Fishing and aquaculture,,,Undefined,Units,Percentage (%),0.1064301036288012
1991,Mining and quarrying,,,,Undefined,Units,Percentage (%),1.8064038353609655
1991,Mining and quarrying,Mining of coal and lignite,,,Undefined,Units,Percentage (%),0.1967696815723739
1991,Mining and quarrying,Extraction of crude petroleum and natural gas,,,Undefined,Units,Percentage (%),1.4970004739919915
1991,Mining and quarrying,Mining of metal ores,,,Undefined,Units,Percentage (%),0.0
1991,Mining and quarrying,Other mining and quarrying,,,Undefined,Units,Percentage (%),0.0971247393771028
1991,Mining and quarrying,Mining support service activities,,,Undefined,Units,Percentage (%),0.0750244992793189
1991,Manufacturing,,,,Undefined,Units,Percentage (%),16.152658377784217
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",,,Undefined,Units,Percentage (%),2.479007195179046
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,Undefined,Units,Percentage (%),1.816484646633639
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,Undefined,Units,Percentage (%),0.3004857206277631
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Undefined,Units,Percentage (%),0.1794190544780611
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Vegetable and animal oils and fats,Undefined,Units,Percentage (%),0.0063974379230426
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Dairy products,Undefined,Units,Percentage (%),0.1782558839465988
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Grain mill products, starches and starch products",Undefined,Units,Percentage (%),0.1928924464674995
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Bakery and farinaceous products,Undefined,Units,Percentage (%),0.2876908447816777
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Other food products,Undefined,Units,Percentage (%),0.6445903361853629
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Prepared animal feeds,Undefined,Units,Percentage (%),0.1060423801183138
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,Undefined,Units,Percentage (%),0.341778274494675
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Alcoholic beverages,Undefined,Units,Percentage (%),0.2222625023869228
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Soft drinks; production of mineral waters and other bottled waters,Undefined,Units,Percentage (%),0.136187883058712
1991,Manufacturing,"Manufacture of food products, beverages and tobacco",Tobacco products,,Undefined,Units,Percentage (%),0.5532814494655716
1991,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",,,Undefined,Units,Percentage (%),1.2281142194689545
1991,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Textiles,,Undefined,Units,Percentage (%),0.7157376003598074
1991,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Wearing apparel,,Undefined,Units,Percentage (%),0.4213585250222214
1991,Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Leather and related products,,Undefined,Units,Percentage (%),0.0888856147792447
1991,Manufacturing,"Manufacture of wood and paper products, and printing",,,Undefined,Units,Percentage (%),1.5295692488729362
1991,Manufacturing,"Manufacture of wood and paper products, and printing","Wood and products of wood and cork, except furniture; articles of straw and plaiting materials",,Undefined,Units,Percentage (%),0.4190321839592967
1991,Manufacturing,"Manufacture of wood and paper products, and printing",Paper and paper products,,Undefined,Units,Percentage (%),0.4791293280848494
1991,Manufacturing,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,Undefined,Units,Percentage (%),0.6329586308707398
1991,Manufacturing,"Manufacture of coke, and refined petroleum products",,,Undefined,Units,Percentage (%),0.2363174796420924
1991,Manufacturing,Manufacture of chemicals and chemical products,,,Undefined,Units,Percentage (%),0.9163845170370556
1991,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Industrial gases, inorganics and fertilisers (all inorganic chemicals)",Undefined,Units,Percentage (%),0.0668823055590827
1991,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Petrochemicals,Undefined,Units,Percentage (%),0.218676059914914
1991,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Dyestuffs, agro-chemicals",Undefined,Units,Percentage (%),0.0694994392548729
1991,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Paints, varnishes and similar coatings, printing ink and mastics",Undefined,Units,Percentage (%),0.0972216702547246
1991,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Undefined,Units,Percentage (%),0.2563821713098173
1991,Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Other chemical products,Undefined,Units,Percentage (%),0.3030059234459314
1991,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,Undefined,Units,Percentage (%),0.8029753902194805
1991,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,Undefined,Units,Percentage (%),1.3051742671783324
1991,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Rubber and plastic products,,Undefined,Units,Percentage (%),0.8822648481141613
1991,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,Undefined,Units,Percentage (%),0.4520856132283507
1991,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Glass, refractory, clay, porcelain, ceramic, stone products",Undefined,Units,Percentage (%),0.2176098202610736
1991,Manufacturing,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Cement, lime, plaster and articles of concrete, cement and plaster",Undefined,Units,Percentage (%),0.237286788418311
1991,Manufacturing,Manufacture of basic metals and metal products,,,Undefined,Units,Percentage (%),2.095645574184593
1991,Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,,Undefined,Units,Percentage (%),0.6381928982623202
1991,Manufacturing,Manufacture of basic metals and metal products,,Basic iron and steel,Undefined,Units,Percentage (%),0.4478206546129888
1991,Manufacturing,Manufacture of basic metals and metal products,,Other basic metals and casting,Undefined,Units,Percentage (%),0.2412609544008072
1991,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,Undefined,Units,Percentage (%),1.4687935886040306
1991,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Fabricated metal products, excluding weapons and ammunition",Undefined,Units,Percentage (%),1.3548028765207245
1991,Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Weapons and ammunition,Undefined,Units,Percentage (%),0.1355093669153589
1991,Manufacturing,"Manufacturing of computer, electronic and optical products",,,Undefined,Units,Percentage (%),1.1766439234517474
1991,Manufacturing,Manufacture of electrical equipment,,,Undefined,Units,Percentage (%),0.472538028406563
1991,Manufacturing,Manufacture of machinery and equipment not elsewhere classified,,,Undefined,Units,Percentage (%),1.5522510742364513
