Year,Series,Product,Units,Unit multiplier,Observation status,Value
2014,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.146640928150008
2014,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1833037390691289
2014,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.0128333906418137
2014,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.082803596828656
2014,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.551432126556914
2014,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,25.353319405742127
2014,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,-1.0987827519575464
2014,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,6.754195823111144
2014,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,-2.4024193512609906
2014,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,-26.52060559180401
2014,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,-210.10215148620577
2014,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,-0.5024465856432256
2014,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,34.94437403191682
2014,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,-8.30315475546005
2014,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,36.558329033988926
2014,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,-55.65701248005483
2014,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,-4.716687654494971
2014,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,-2.856385485551255
2015,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,0.2180347401642432
2015,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.2101883453610562
2015,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1030365974775301
2015,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.1021191736628698
2015,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.0320972828374414
2015,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.0125717117896474
2015,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.0317132497127401
2015,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.025162080620831
2015,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.160764829232047
2015,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1981695336954448
2015,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.0131066959326797
2015,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.36458284655026
2015,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,6.075497880390505
2015,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,-6.595614974029607
2015,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,10.001698276779472
2015,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,4.261838245882416
2015,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,11.675892553321452
2015,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,-16.466839336322593
2015,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,-60.6936011696352
2015,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,6.490630113702443
2015,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,-23.477709787404137
2015,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,12.25522067360144
2015,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,10.697106432779044
2015,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,4.5737098326370855
2015,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,16.24570640380408
2015,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,12.059206927147532
2016,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.2149028415797119
2016,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.202374615878373
2016,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1400857469998444
2016,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0739055348944762
2016,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.0336299031745181
2016,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.1615947623994995
2016,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.0572661730357103
2016,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0931671311764169
2016,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.1537808253286103
2016,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1607298872660009
2016,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.0229511006000168
2016,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.409593521825504
2016,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,6.01811915454434
2016,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,-200.69768292041613
2016,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,1.5055640512711046
2016,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,38.9010272401968
2016,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,-26.06115048087572
2016,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,7.043515518814831
2016,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,1213.215137559693
2016,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,84.48473213987923
2016,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,278.2850597488071
2016,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,-2.2730916339733462
2016,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,-17.136596253706063
2016,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,78.90122256498735
2016,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,4.109957264297565
2016,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,1.2003290399208353
2017,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.2613707110998945
2017,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.240764751224127
2017,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1504087263224268
2017,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0783716420258431
2017,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.0484387641589318
2017,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.1655053317304153
2017,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.1061418751849955
2017,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0939126004707994
2017,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.1500497896616171
2017,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1829385334354832
2017,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.016000807855088
2017,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.2505400593465974
2017,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.926511941254602
2017,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,24.59467104632531
2017,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,5.714449983446192
2017,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,9.992681481268011
2017,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,8.634229382756855
2017,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,47.55439295785937
2017,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,4.922689681133975
2017,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,89.87741088232482
2017,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,3.2632644159370776
2017,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,-0.0419189851730358
2017,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,16.598579486301592
2017,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,-28.579464873233924
2017,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,-4.318567837406443
2017,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,0.8841845644816538
2018,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.2097090041332176
2018,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.2146767188185237
2018,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1438669222020019
2018,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0807069526830346
2018,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.037405159496814
2018,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.1776995959750641
2018,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.0824100917490729
2018,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0962563509168076
2018,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.1592122059442175
2018,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1505685157349277
2018,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.0182534787593769
2018,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.1937371695664805
2018,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.760338689617591
2018,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,-18.397671322469268
2018,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,-0.4334052040202617
2018,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,-2.718487785432881
2018,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,4.735617463979467
2018,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,-21.46181681123622
2018,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,9.198543365767488
2018,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,-21.03474619089693
2018,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,4.243244723380803
2018,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,7.915384546813678
2018,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,-16.291151074194975
2018,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,16.023544420925035
2018,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,-0.8619802075019732
2018,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,-1.1466823440029774
2019,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.2307354281420526
2019,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.2733706743051112
2019,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1438932792483729
2019,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0904425510911805
2019,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.0457143671368874
2019,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.1534323998171146
2019,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.1482671708173381
2019,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0901037293769358
2019,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.1654330757980615
2019,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1833337356639738
2019,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.0286831983029067
2019,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.567119003332527
2019,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,6.507149356438416
2019,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,11.791640786676345
2019,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,6.513893801149051
2019,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,1.6229230118259768
2019,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,13.860734070528144
2019,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,24.17475907777845
2019,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,-12.271084107116137
2019,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,82.800225896743
2019,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,-4.890149648793511
2019,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,5.574275516818172
2019,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,23.71442579022415
2019,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,59.65923932355174
2019,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,18.8977217510745
2019,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,14.777003112917471
2020,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,0.1224874447936137
2020,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,0.7202731081282957
2020,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.0753735340740538
2020,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0618519131177723
2020,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.021969977042957
2020,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.0310288692285454
2020,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.0789192427032092
2020,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0437484468800407
2020,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.0908323032015083
2020,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1023073127940202
2020,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.0104865281758839
2020,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,1.1485016984359435
2020,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,3.064850802481844
2020,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,-147.22986365356462
2020,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,-49.6752348796204
2020,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,-53.39658213713958
2020,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,-39.15572321285442
2020,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,-57.24210747488304
2020,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,-82.00763423418971
2020,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,-52.64374955962232
2020,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,-56.80243438315488
2020,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,-51.15080826595659
2020,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,-50.351779183937
2020,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,-67.47303422858738
2020,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,-60.19615373491506
2020,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,-58.09576054418349
