Year,Tourism sector,Tourism sub-sector (upper),Tourism sub-sector (middle),Tourism sub-sector (lower),Unit measure,Unit multiplier,Observation status,Value
2009,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,18.0
2009,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,563.6
2009,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,118.0
2009,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,445.6
2009,Railway passenger transport,,,,Number,Thousands,Undefined,58.2
2009,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,45.2
2009,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,13.0
2009,Road passenger transport,,,,Number,Thousands,Undefined,223.9
2009,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,121.2
2009,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,37.6
2009,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,65.1
2009,Water passenger transport,,,,Number,Thousands,Undefined,8.9
2009,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,7.9
2009,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,1.0
2009,Air passenger transport,,,,Number,Thousands,Undefined,72.3
2009,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,60.1
2009,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,12.2
2009,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,44.0
2009,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,35.6
2009,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,8.4
2009,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,78.1
2009,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,77.7
2009,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,53.4
2009,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,24.2
2009,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,0.4
2009,Cultural activities,,,,Number,Thousands,Undefined,144.8
2009,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,88.5
2009,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,40.9
2009,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,2.9
2009,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,31.2
2009,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,13.4
2009,Cultural activities,Museums activities,,,Number,Thousands,Undefined,26.7
2009,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,11.1
2009,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,18.5
2009,Sport and recreational activities,,,,Number,Thousands,Undefined,306.8
2009,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,4.1
2009,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,84.1
2009,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,145.3
2009,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,2.0
2009,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,20.8
2009,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,50.5
2009,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,14.3
2009,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,36.2
2010,Accommodation,,,,Number,Thousands,Undefined,826.9
2010,Accommodation,Accommodation,,,Number,Thousands,Undefined,381.1
2010,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,312.7
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,34.9
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,22.7
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.3
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,10.0
2010,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,27.0
2010,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,6.4
2010,Accommodation,Real estate activities,,,Number,Thousands,Undefined,445.8
2010,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,6.3
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,215.6
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,84.4
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,7.9
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,123.3
2010,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,223.8
2010,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,134.3
2010,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,89.6
2010,Food and beverage serving activities,,,,Number,Thousands,Undefined,1247.7
2010,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,691.6
2010,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,344.4
2010,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,199.6
2010,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,147.6
2010,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,22.3
2010,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,533.8
2010,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,110.6
2010,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,423.1
2010,Railway passenger transport,,,,Number,Thousands,Undefined,59.8
2010,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,45.5
2010,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,14.3
2010,Road passenger transport,,,,Number,Thousands,Undefined,223.4
2010,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,117.7
2010,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,38.7
2010,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,67.0
2010,Water passenger transport,,,,Number,Thousands,Undefined,9.1
2010,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,7.9
2010,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,1.2
2010,Air passenger transport,,,,Number,Thousands,Undefined,67.2
2010,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,55.1
2010,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,12.1
2010,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,35.6
2010,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,29.4
2010,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,6.2
2010,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,83.0
2010,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,82.5
2010,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,58.1
2010,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,24.4
2010,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,0.5
2010,Cultural activities,,,,Number,Thousands,Undefined,148.9
2010,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,89.0
2010,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,41.5
2010,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,3.6
2010,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,30.5
2010,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,13.4
2010,Cultural activities,Museums activities,,,Number,Thousands,Undefined,28.4
2010,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,11.8
2010,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,19.7
2010,Sport and recreational activities,,,,Number,Thousands,Undefined,332.7
2010,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,5.3
2010,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,100.2
2010,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,141.5
2010,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,2.0
2010,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,23.6
2010,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,60.1
2010,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,14.6
2010,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,45.6
2011,Accommodation,,,,Number,Thousands,Undefined,879.9
2011,Accommodation,Accommodation,,,Number,Thousands,Undefined,420.5
2011,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,349.5
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,35.8
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,21.9
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.3
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,11.6
2011,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,28.7
2011,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,6.6
2011,Accommodation,Real estate activities,,,Number,Thousands,Undefined,459.4
2011,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,9.8
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,235.3
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,94.9
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,8.2
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,132.3
2011,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,214.3
2011,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,126.6
2011,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,87.7
2011,Food and beverage serving activities,,,,Number,Thousands,Undefined,1265.9
2011,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,743.2
2011,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,363.5
2011,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,211.2
2011,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,168.4
2011,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,25.6
2011,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,497.1
2011,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,97.7
2011,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,399.3
2011,Railway passenger transport,,,,Number,Thousands,Undefined,62.7
2011,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,43.3
2011,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,19.4
2011,Road passenger transport,,,,Number,Thousands,Undefined,219.5
2011,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,110.1
2011,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,41.1
2011,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,68.3
2011,Water passenger transport,,,,Number,Thousands,Undefined,7.7
2011,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,6.7
2011,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,1.0
2011,Air passenger transport,,,,Number,Thousands,Undefined,68.1
2011,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,56.7
2011,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,11.4
2011,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,37.7
2011,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,30.4
2011,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,7.3
2011,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,79.7
2011,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,78.7
2011,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,54.1
2011,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,24.6
2011,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,1.0
2011,Cultural activities,,,,Number,Thousands,Undefined,144.4
2011,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,86.1
2011,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,39.9
2011,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,4.1
2011,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,27.5
2011,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,14.5
2011,Cultural activities,Museums activities,,,Number,Thousands,Undefined,27.2
2011,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,12.5
2011,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,18.6
2011,Sport and recreational activities,,,,Number,Thousands,Undefined,328.6
2011,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,8.8
2011,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,97.1
2011,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,143.0
2011,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,1.8
2011,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,25.1
2011,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,52.8
2011,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,14.5
2011,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,38.3
2012,Accommodation,,,,Number,Thousands,Undefined,909.9
2012,Accommodation,Accommodation,,,Number,Thousands,Undefined,416.9
2012,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,342.3
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,35.9
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,21.6
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.3
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,11.9
2012,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,31.8
2012,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,7.0
2012,Accommodation,Real estate activities,,,Number,Thousands,Undefined,493.0
2012,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,9.6
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,246.9
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,97.4
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,8.0
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,141.6
2012,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,236.5
2012,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,142.7
2012,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,93.8
2012,Food and beverage serving activities,,,,Number,Thousands,Undefined,1277.2
2012,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,764.9
2012,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,372.7
2012,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,224.0
2012,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,168.2
2012,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,27.7
2012,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,484.6
2012,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,94.0
2012,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,390.6
2012,Railway passenger transport,,,,Number,Thousands,Undefined,65.3
2012,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,46.9
2012,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,18.4
2012,Road passenger transport,,,,Number,Thousands,Undefined,210.7
2012,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,112.3
2012,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,35.9
2012,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,62.5
2012,Water passenger transport,,,,Number,Thousands,Undefined,8.9
2012,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,7.8
2012,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,1.1
2012,Air passenger transport,,,,Number,Thousands,Undefined,72.7
2012,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,60.0
2012,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,12.7
2012,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,39.2
2012,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,31.4
2012,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,7.8
2012,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,82.9
2012,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,81.6
2012,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,56.1
2012,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,25.5
2012,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,1.3
2012,Cultural activities,,,,Number,Thousands,Undefined,156.5
2012,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,97.3
2012,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,45.8
2012,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,6.2
2012,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,29.6
2012,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,15.7
2012,Cultural activities,Museums activities,,,Number,Thousands,Undefined,27.4
2012,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,12.9
2012,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,18.9
2012,Sport and recreational activities,,,,Number,Thousands,Undefined,331.1
2012,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,3.2
2012,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,98.7
2012,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,139.1
2012,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,1.5
2012,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,28.4
2012,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,60.2
2012,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,14.8
2012,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,45.4
2013,Accommodation,,,,Number,Thousands,Undefined,950.2
2013,Accommodation,Accommodation,,,Number,Thousands,Undefined,425.7
2013,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,349.4
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,36.6
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,21.9
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.4
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,12.3
2013,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,31.9
2013,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,7.8
2013,Accommodation,Real estate activities,,,Number,Thousands,Undefined,524.5
2013,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,11.8
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,273.5
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,101.7
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,8.5
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,163.3
2013,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,239.2
2013,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,147.3
2013,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,91.9
2013,Food and beverage serving activities,,,,Number,Thousands,Undefined,1433.5
2013,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,831.4
2013,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,395.6
2013,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,251.6
2013,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,184.2
