Year,Units,Disability status,Age,Sex,Region,Country of birth,Nationality,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2016,Headcount (ONS data),,,,South East,,,"Rate per 1,000,000 population",Units,Undefined,E12000008,11330.5
2017,Headcount (ONS data),,,,South East,,,"Rate per 1,000,000 population",Units,Undefined,E12000008,11082.1
2012,Headcount (ONS data),,,,South West,,,"Rate per 1,000,000 population",Units,Undefined,E12000009,8230.5
2013,Headcount (ONS data),,,,South West,,,"Rate per 1,000,000 population",Units,Undefined,E12000009,7778.7
2014,Headcount (ONS data),,,,South West,,,"Rate per 1,000,000 population",Units,Undefined,E12000009,9327.2
2015,Headcount (ONS data),,,,South West,,,"Rate per 1,000,000 population",Units,Undefined,E12000009,10548.3
2016,Headcount (ONS data),,,,South West,,,"Rate per 1,000,000 population",Units,Undefined,E12000009,9386.7
2017,Headcount (ONS data),,,,South West,,,"Rate per 1,000,000 population",Units,Undefined,E12000009,10456.8
2012,Headcount (ONS data),,,,Wales,,,"Rate per 1,000,000 population",Units,Undefined,W92000004,7626.9
2013,Headcount (ONS data),,,,Wales,,,"Rate per 1,000,000 population",Units,Undefined,W92000004,7703.5
2014,Headcount (ONS data),,,,Wales,,,"Rate per 1,000,000 population",Units,Undefined,W92000004,8097.5
2015,Headcount (ONS data),,,,Wales,,,"Rate per 1,000,000 population",Units,Undefined,W92000004,7904.5
2016,Headcount (ONS data),,,,Wales,,,"Rate per 1,000,000 population",Units,Undefined,W92000004,8430.3
2017,Headcount (ONS data),,,,Wales,,,"Rate per 1,000,000 population",Units,Undefined,W92000004,7633.8
2012,Headcount (ONS data),,,,Scotland,,,"Rate per 1,000,000 population",Units,Undefined,S92000003,9023.7
2013,Headcount (ONS data),,,,Scotland,,,"Rate per 1,000,000 population",Units,Undefined,S92000003,9630.8
2014,Headcount (ONS data),,,,Scotland,,,"Rate per 1,000,000 population",Units,Undefined,S92000003,9912.6
2015,Headcount (ONS data),,,,Scotland,,,"Rate per 1,000,000 population",Units,Undefined,S92000003,11114.5
2016,Headcount (ONS data),,,,Scotland,,,"Rate per 1,000,000 population",Units,Undefined,S92000003,11173.8
2017,Headcount (ONS data),,,,Scotland,,,"Rate per 1,000,000 population",Units,Undefined,S92000003,11924.5
2012,Headcount (ONS data),,,,Northern Ireland,,,"Rate per 1,000,000 population",Units,Undefined,N92000002,7076.7
2013,Headcount (ONS data),,,,Northern Ireland,,,"Rate per 1,000,000 population",Units,Undefined,N92000002,5615.0
2014,Headcount (ONS data),,,,Northern Ireland,,,"Rate per 1,000,000 population",Units,Undefined,N92000002,6701.4
2015,Headcount (ONS data),,,,Northern Ireland,,,"Rate per 1,000,000 population",Units,Undefined,N92000002,7528.1
2016,Headcount (ONS data),,,,Northern Ireland,,,"Rate per 1,000,000 population",Units,Undefined,N92000002,7823.9
2017,Headcount (ONS data),,,,Northern Ireland,,,"Rate per 1,000,000 population",Units,Undefined,N92000002,6037.2
2012,Headcount (ONS data),,,,,Born in UK,,"Rate per 1,000,000 population",Units,Undefined,,7570.3
2013,Headcount (ONS data),,,,,Born in UK,,"Rate per 1,000,000 population",Units,Undefined,,7657.7
2014,Headcount (ONS data),,,,,Born in UK,,"Rate per 1,000,000 population",Units,Undefined,,8288.3
2015,Headcount (ONS data),,,,,Born in UK,,"Rate per 1,000,000 population",Units,Undefined,,8793.7
2016,Headcount (ONS data),,,,,Born in UK,,"Rate per 1,000,000 population",Units,Undefined,,8613.4
2017,Headcount (ONS data),,,,,Born in UK,,"Rate per 1,000,000 population",Units,Undefined,,8684.6
2012,Headcount (ONS data),,,,,Born in European Economic Area,,"Rate per 1,000,000 population",Units,Undefined,,16319.5
2013,Headcount (ONS data),,,,,Born in European Economic Area,,"Rate per 1,000,000 population",Units,Undefined,,15673.5
2014,Headcount (ONS data),,,,,Born in European Economic Area,,"Rate per 1,000,000 population",Units,Undefined,,17715.8
2015,Headcount (ONS data),,,,,Born in European Economic Area,,"Rate per 1,000,000 population",Units,Undefined,,17074.6
2016,Headcount (ONS data),,,,,Born in European Economic Area,,"Rate per 1,000,000 population",Units,Undefined,,18331.8
2017,Headcount (ONS data),,,,,Born in European Economic Area,,"Rate per 1,000,000 population",Units,Undefined,,17996.1
2012,Headcount (ONS data),,,,,Other country of birth,,"Rate per 1,000,000 population",Units,Undefined,,12041.0
2013,Headcount (ONS data),,,,,Other country of birth,,"Rate per 1,000,000 population",Units,Undefined,,14332.4
2014,Headcount (ONS data),,,,,Other country of birth,,"Rate per 1,000,000 population",Units,Undefined,,15898.0
