Year,Series,Industry sector,Units,Unit multiplier,Observation status,Value
2004,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2005,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2006,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2007,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2008,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2009,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2010,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2011,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2012,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2013,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2014,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2015,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2016,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2017,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2018,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2019,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
1990,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1991,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1992,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1993,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1994,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1995,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1996,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1997,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1998,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
1999,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2000,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2001,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2002,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2003,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2004,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2005,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2006,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2007,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2008,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2009,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2010,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2011,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2012,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2013,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
2014,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2015,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2016,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2017,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2018,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2019,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
1990,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.3
1991,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,15.7
1992,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,15.2
1993,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.9
1994,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.4
1995,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.9
1996,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.9
1997,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.4
1998,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.1
1999,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.1
2000,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.5
2001,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.3
2002,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.7
2003,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.1
2004,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.1
2005,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.9
2006,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.8
2007,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.0
2008,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,8.6
2009,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.0
2010,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.9
2011,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,8.6
2012,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.3
2013,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.4
2014,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,7.6
2015,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.3
2016,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.1
2017,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.6
2018,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.8
2019,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.9
1990,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.6
1991,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.7
1992,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
1993,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
1994,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
1995,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
1996,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
1997,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
1998,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
1999,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.1
2000,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2001,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2002,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
2003,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2004,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2005,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
2006,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2007,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2008,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2009,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2010,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2011,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
2012,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2013,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.7
2014,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.5
2015,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
2016,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2017,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2018,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2019,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
1990,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1991,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.5
1992,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.7
1993,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.7
1994,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
1995,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.9
1996,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.9
1997,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.9
1998,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
1999,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.7
2000,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
2001,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.9
2002,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
2003,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.9
2004,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2005,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2006,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2007,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2008,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2009,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.6
2010,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2011,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2012,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2013,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2014,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2015,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2016,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2017,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2018,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2019,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
1990,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.5
1991,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
1992,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.7
1993,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1994,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1995,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1996,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1997,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.5
1998,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
1999,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2000,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2001,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2002,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2003,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2004,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2005,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2006,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2007,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2008,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2009,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2010,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2011,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2012,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2013,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2014,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2015,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
