Year,Series,City,Urbanisation,Value
2017,PM2.5,Coventry,,11.38
2018,PM2.5,Coventry,,10.63
2019,PM2.5,Coventry,,9.08
2010,PM2.5,Didcot,,9.46
2013,PM2.5,Didcot,,8.98
2014,PM2.5,Didcot,,8.07
2015,PM2.5,Didcot,,7.72
2010,PM2.5,Eastbourne,,13.41
2013,PM2.5,Eastbourne,,15.28
2014,PM2.5,Eastbourne,,12.23
2017,PM2.5,Eastbourne,,11.34
2018,PM2.5,Eastbourne,,12.71
2019,PM2.5,Eastbourne,,10.46
2013,PM2.5,Eccles,,15.03
2014,PM2.5,Eccles,,15.48
2015,PM2.5,Eccles,,10.59
2016,PM2.5,Eccles,,10.46
2017,PM2.5,Eccles,,10.71
2018,PM2.5,Eccles,,10.58
2019,PM2.5,Eccles,,9.45
2010,PM2.5,Edinburgh,,9.49
2013,PM2.5,Edinburgh,,7.52
2015,PM2.5,Edinburgh,,6.39
2016,PM2.5,Edinburgh,,6.35
2017,PM2.5,Edinburgh,,6.64
2018,PM2.5,Edinburgh,,6.31
2019,PM2.5,Edinburgh,,6.34
2019,PM2.5,Enniskillen,,4.97
2013,PM2.5,Erith,,15.64
2014,PM2.5,Erith,,15.95
2015,PM2.5,Erith,,10.49
2016,PM2.5,Erith,,10.66
2017,PM2.5,Erith,,10.79
2018,PM2.5,Erith,,11.92
2019,PM2.5,Erith,,11.64
2013,PM2.5,Gillingham,,13.44
2014,PM2.5,Gillingham,,13.52
2015,PM2.5,Gillingham,,11.81
2016,PM2.5,Gillingham,,11.52
2017,PM2.5,Gillingham,,14.12
2018,PM2.5,Gillingham,,15.19
2019,PM2.5,Gillingham,,13.9
2010,PM2.5,Glasgow,,17.74
2013,PM2.5,Glasgow,,16.04
2014,PM2.5,Glasgow,,7.5
2015,PM2.5,Glasgow,,7.52
2016,PM2.5,Glasgow,,7.44
2017,PM2.5,Glasgow,,7.38
2018,PM2.5,Glasgow,,7.15
2019,PM2.5,Glasgow,,6.5
2010,PM2.5,Grangemouth,,11.01
2014,PM2.5,Grangemouth,,7.96
2015,PM2.5,Grangemouth,,9.27
2016,PM2.5,Grangemouth,,6.42
2017,PM2.5,Grangemouth,,6.38
2018,PM2.5,Grangemouth,,7.22
2019,PM2.5,Grangemouth,,7.81
2017,PM2.5,Greenock,,5.26
2018,PM2.5,Greenock,,6.18
2019,PM2.5,Greenock,,6.56
2013,PM2.5,Harlington,,13.7
2014,PM2.5,Harlington,,13.94
2015,PM2.5,Harlington,,10.44
2016,PM2.5,Harlington,,9.63
2018,PM2.5,Harlington,,9.56
2019,PM2.5,Harlington,,9.54
2010,PM2.5,Hull,,9.79
2013,PM2.5,Hull,,12.36
2014,PM2.5,Hull,,12.35
2015,PM2.5,Hull,,10.88
2016,PM2.5,Hull,,11.24
2017,PM2.5,Hull,,10.22
2018,PM2.5,Hull,,10.68
2019,PM2.5,Hull,,10.76
2010,PM2.5,Inverness,,6.88
2013,PM2.5,Inverness,,6.06
2014,PM2.5,Inverness,,5.86
2015,PM2.5,Inverness,,4.78
2016,PM2.5,Inverness,,4.74
2017,PM2.5,Inverness,,4.28
2019,PM2.5,Inverness,,5.43
2010,PM2.5,Leamington Spa,,16.03
2010,PM2.5,Leeds,,16.76
2014,PM2.5,Leeds,,13.69
2015,PM2.5,Leeds,,11.97
2016,PM2.5,Leeds,,10.39
2017,PM2.5,Leeds,,9.94
2018,PM2.5,Leeds,,11.36
2019,PM2.5,Leeds,,12.32
2014,PM2.5,Leicester,,13.31
2015,PM2.5,Leicester,,12.02
2016,PM2.5,Leicester,,11.55
2017,PM2.5,Leicester,,10.59
2018,PM2.5,Leicester,,10.42
2019,PM2.5,Leicester,,11.22
2010,PM2.5,Liverpool,,11.74
2010,PM2.5,London,,14.39
2013,PM2.5,London,,15.59
2014,PM2.5,London,,14.38
2015,PM2.5,London,,11.72
2016,PM2.5,London,,12.27
2017,PM2.5,London,,12.45
2018,PM2.5,London,,11.47
2019,PM2.5,London,,11.41
2013,PM2.5,Londonderry,,11.49
2014,PM2.5,Londonderry,,11.97
2015,PM2.5,Londonderry,,11.75
2017,PM2.5,Londonderry,,8.02
2018,PM2.5,Londonderry,,9.67
2019,PM2.5,Londonderry,,9.36
2013,PM2.5,Manchester,,12.5
2014,PM2.5,Manchester,,11.86
2015,PM2.5,Manchester,,10.48
2016,PM2.5,Manchester,,10.21
2017,PM2.5,Manchester,,8.37
2018,PM2.5,Manchester,,10.86
2019,PM2.5,Manchester,,11.5
2010,PM2.5,Middlesbrough,,9.43
2014,PM2.5,Middlesbrough,,12.94
2015,PM2.5,Middlesbrough,,10.59
2016,PM2.5,Middlesbrough,,10.18
2017,PM2.5,Middlesbrough,,7.46
2018,PM2.5,Middlesbrough,,8.9
2019,PM2.5,Middlesbrough,,10.26
2019,PM2.5,Narberth,,6.54
2010,PM2.5,Newcastle Upon Tyne,,10.39
2013,PM2.5,Newcastle Upon Tyne,,10.38
2014,PM2.5,Newcastle Upon Tyne,,9.55
2016,PM2.5,Newcastle Upon Tyne,,8.93
2017,PM2.5,Newcastle Upon Tyne,,7.0
2018,PM2.5,Newcastle Upon Tyne,,8.97
2019,PM2.5,Newcastle Upon Tyne,,8.83
2010,PM2.5,Newport,,15.19
2013,PM2.5,Newport,,12.95
2014,PM2.5,Newport,,12.02
2015,PM2.5,Newport,,9.57
2016,PM2.5,Newport,,10.18
2019,PM2.5,Newport,,9.51
2010,PM2.5,Northampton,,8.97
2013,PM2.5,Northampton,,8.73
2014,PM2.5,Northampton,,8.05
2015,PM2.5,Northampton,,6.79
2016,PM2.5,Northampton,,7.09
2018,PM2.5,Northampton,,11.0
2019,PM2.5,Northampton,,11.55
2010,PM2.5,Norwich,,12.65
2013,PM2.5,Norwich,,13.23
2014,PM2.5,Norwich,,12.02
2015,PM2.5,Norwich,,11.95
2016,PM2.5,Norwich,,10.88
2017,PM2.5,Norwich,,12.03
2018,PM2.5,Norwich,,10.24
2019,PM2.5,Norwich,,10.33
2010,PM2.5,Nottingham,,15.86
2013,PM2.5,Nottingham,,12.23
2014,PM2.5,Nottingham,,12.21
2015,PM2.5,Nottingham,,11.5
2016,PM2.5,Nottingham,,11.92
2017,PM2.5,Nottingham,,11.57
2018,PM2.5,Nottingham,,9.99
2019,PM2.5,Nottingham,,10.83
2010,PM2.5,Oxford,,14.35
2013,PM2.5,Oxford,,13.74
2015,PM2.5,Oxford,,10.11
2018,PM2.5,Oxford,,9.66
2019,PM2.5,Oxford,,8.91
2010,PM2.5,Penicuik,,4.27
2013,PM2.5,Penicuik,,4.22
2014,PM2.5,Penicuik,,5.56
2015,PM2.5,Penicuik,,3.18
2016,PM2.5,Penicuik,,2.55
2017,PM2.5,Penicuik,,4.53
2018,PM2.5,Penicuik,,4.98
2019,PM2.5,Penicuik,,4.36
2010,PM2.5,Plymouth,,11.02
2013,PM2.5,Plymouth,,12.01
2016,PM2.5,Plymouth,,10.7
2017,PM2.5,Plymouth,,9.16
2018,PM2.5,Plymouth,,9.92
2019,PM2.5,Plymouth,,11.12
2010,PM2.5,Port Talbot,,9.77
2013,PM2.5,Port Talbot,,14.34
2015,PM2.5,Port Talbot,,9.69
2016,PM2.5,Port Talbot,,9.37
2017,PM2.5,Port Talbot,,10.3
2018,PM2.5,Port Talbot,,10.8
2019,PM2.5,Port Talbot,,10.83
2013,PM2.5,Portsmouth,,13.94
2014,PM2.5,Portsmouth,,14.14
2015,PM2.5,Portsmouth,,10.4
2016,PM2.5,Portsmouth,,11.62
2019,PM2.5,Portsmouth,,8.88
2013,PM2.5,Preston,,11.63
2014,PM2.5,Preston,,12.12
2015,PM2.5,Preston,,9.95
2016,PM2.5,Preston,,9.76
2017,PM2.5,Preston,,8.65
2018,PM2.5,Preston,,9.28
2019,PM2.5,Preston,,9.38
2010,PM2.5,Reading,,13.37
2013,PM2.5,Reading,,9.92
2015,PM2.5,Reading,,7.42
2017,PM2.5,Reading,,9.67
2018,PM2.5,Reading,,9.11
2013,PM2.5,Rochester,,16.34
2014,PM2.5,Rochester,,14.96
2015,PM2.5,Rochester,,8.73
2017,PM2.5,Rochester,,9.69
2018,PM2.5,Rochester,,10.09
2019,PM2.5,Rochester,,10.84
2013,PM2.5,Royal Leamington Spa,,12.52
2014,PM2.5,Royal Leamington Spa,,12.05
2015,PM2.5,Royal Leamington Spa,,11.82
2016,PM2.5,Royal Leamington Spa,,10.1
2017,PM2.5,Royal Leamington Spa,,10.83
2018,PM2.5,Royal Leamington Spa,,9.8
2019,PM2.5,Royal Leamington Spa,,9.49
2010,PM2.5,Salford,,14.99
2013,PM2.5,Saltash,,10.71
2015,PM2.5,Saltash,,9.73
2016,PM2.5,Saltash,,8.35
2017,PM2.5,Saltash,,7.76
2018,PM2.5,Saltash,,8.4
2019,PM2.5,Saltash,,9.5
2013,PM2.5,Sandy,,13.0
2014,PM2.5,Sandy,,12.77
2015,PM2.5,Sandy,,11.8
2016,PM2.5,Sandy,,11.97
2019,PM2.5,Sandy,,9.7
2010,PM2.5,Sheffield,,15.72
2014,PM2.5,Sheffield,,12.33
2017,PM2.5,Sheffield,,8.94
2018,PM2.5,Sheffield,,12.77
2019,PM2.5,Sheffield,,12.49
2010,PM2.5,Southampton,,13.29
2013,PM2.5,Southampton,,15.01
2014,PM2.5,Southampton,,14.67
2015,PM2.5,Southampton,,9.96
2017,PM2.5,Southampton,,11.15
2018,PM2.5,Southampton,,11.88
2019,PM2.5,Southampton,,9.6
2010,PM2.5,Southend - On - Sea,,14.23
2013,PM2.5,Southend-On-Sea,,10.64
2015,PM2.5,Southend-On-Sea,,10.62
2016,PM2.5,Southend-On-Sea,,11.72
2019,PM2.5,Southend-On-Sea,,10.64
2013,PM2.5,Speke,,11.62
2014,PM2.5,Speke,,10.81
2015,PM2.5,Speke,,9.15
2016,PM2.5,Speke,,10.05
2017,PM2.5,Speke,,8.49
2018,PM2.5,Speke,,8.8
2019,PM2.5,Speke,,9.09
2013,PM2.5,Stanford-Le-Hope,,14.24
2014,PM2.5,Stanford-Le-Hope,,14.23
2015,PM2.5,Stanford-Le-Hope,,9.84
2016,PM2.5,Stanford-Le-Hope,,13.4
2017,PM2.5,Stanford-Le-Hope,,11.06
2018,PM2.5,Stanford-Le-Hope,,10.06
2019,PM2.5,Stanford-Le-Hope,,11.54
2013,PM2.5,Stanmore,,13.47
2014,PM2.5,Stanmore,,12.67
2015,PM2.5,Stanmore,,10.83
2016,PM2.5,Stanmore,,11.17
2016,PM2.5,Stockbridge,,9.45
2017,PM2.5,Stockbridge,,7.38
2018,PM2.5,Stockbridge,,8.62
2019,PM2.5,Stockbridge,,8.06
2010,PM2.5,Stockton-On-Tees,,9.37
2013,PM2.5,Stockton-On-Tees,,10.05
2014,PM2.5,Stockton-On-Tees,,11.0
2015,PM2.5,Stockton-On-Tees,,10.81
2016,PM2.5,Stockton-On-Tees,,9.28
2017,PM2.5,Stockton-On-Tees,,8.27
2018,PM2.5,Stockton-On-Tees,,9.79
2019,PM2.5,Stockton-On-Tees,,8.21
2010,PM2.5,Stoke - On - Trent,,16.52
2013,PM2.5,Stoke-On-Trent,,13.78
2014,PM2.5,Stoke-On-Trent,,13.35
2015,PM2.5,Stoke-On-Trent,,11.69
2016,PM2.5,Stoke-On-Trent,,11.67
2017,PM2.5,Stoke-On-Trent,,8.66
2018,PM2.5,Stoke-On-Trent,,9.45
2019,PM2.5,Stoke-On-Trent,,9.47
2010,PM2.5,Storrington,,14.45
2013,PM2.5,Storrington,,16.62
2014,PM2.5,Storrington,,11.32
2015,PM2.5,Storrington,,11.18
2016,PM2.5,Storrington,,13.24
2010,PM2.5,Sunderland,,10.79
2013,PM2.5,Sunderland,,9.08
2014,PM2.5,Sunderland,,10.25
2015,PM2.5,Sunderland,,7.1
2016,PM2.5,Sunderland,,8.03
2017,PM2.5,Sunderland,,7.18
2018,PM2.5,Sunderland,,8.44
2019,PM2.5,Sunderland,,9.4
2010,PM2.5,Swansea,,8.99
2013,PM2.5,Swansea,,11.93
2014,PM2.5,Swansea,,12.71
2015,PM2.5,Swansea,,12.78
2016,PM2.5,Swansea,,13.36
2017,PM2.5,Swansea,,14.66
2018,PM2.5,Swansea,,12.82
2019,PM2.5,Swansea,,9.86
2010,PM2.5,Warrington,,13.96
2013,PM2.5,Warrington,,13.61
2014,PM2.5,Warrington,,14.45
2015,PM2.5,Warrington,,9.27
2016,PM2.5,Warrington,,10.59
2017,PM2.5,Warrington,,9.71
2018,PM2.5,Warrington,,8.97
2013,PM2.5,Wigan,,12.81
2014,PM2.5,Wigan,,14.25
2015,PM2.5,Wigan,,10.76
2017,PM2.5,Wigan,,10.13
2018,PM2.5,Wigan,,11.63
2019,PM2.5,Wigan,,9.56
2018,PM2.5,Worthing,,10.42
2019,PM2.5,Worthing,,10.04
2010,PM2.5,Wrexham,,9.84
2013,PM2.5,Wrexham,,10.39
2014,PM2.5,Wrexham,,9.34
2015,PM2.5,Wrexham,,8.04
2016,PM2.5,Wrexham,,7.83
2017,PM2.5,Wrexham,,6.56
2019,PM2.5,Wrexham,,7.87
2010,PM2.5,York,,13.59
2013,PM2.5,York,,12.38
2014,PM2.5,York,,13.0
2015,PM2.5,York,,11.11
2016,PM2.5,York,,10.88
2017,PM2.5,York,,10.08
2018,PM2.5,York,,10.62
2019,PM2.5,York,,11.09
2010,PM10,Aberdeen,,13.3
2013,PM10,Aberdeen,,13.48
2014,PM10,Aberdeen,,14.54
2015,PM10,Aberdeen,,11.71
2016,PM10,Aberdeen,,11.76
2017,PM10,Aberdeen,,11.41
2018,PM10,Aberdeen,,14.28
2019,PM10,Aberdeen,,13.71
2013,PM10,Armagh,,19.02
2017,PM10,Armagh,,14.46
2018,PM10,Armagh,,18.59
2019,PM10,Armagh,,17.17
2014,PM10,Barnstaple,,16.01
2015,PM10,Barnstaple,,17.72
2016,PM10,Barnstaple,,16.95
2019,PM10,Barnstaple,,16.61
2014,PM10,Belfast,,16.38
2015,PM10,Belfast,,17.63
2016,PM10,Belfast,,18.81
2017,PM10,Belfast,,16.4
2018,PM10,Belfast,,15.53
2019,PM10,Belfast,,16.75
2010,PM10,Biandrate,,21.46
2010,PM10,Birmingham,,20.48
2013,PM10,Birmingham,,18.54
2014,PM10,Birmingham,,19.41
2015,PM10,Birmingham,,15.95
2016,PM10,Birmingham,,16.19
2018,PM10,Birmingham,,17.51
2019,PM10,Birmingham,,15.27
2010,PM10,Bristol,,20.33
2013,PM10,Bristol,,17.7
2014,PM10,Bristol,,16.86
2015,PM10,Bristol,,14.91
2016,PM10,Bristol,,15.42
2017,PM10,Bristol,,14.73
2018,PM10,Bristol,,19.26
2019,PM10,Bristol,,18.44
2015,PM10,Bury,,17.1
2016,PM10,Bury,,15.24
2017,PM10,Bury,,14.85
2018,PM10,Bury,,15.92
2019,PM10,Bury,,17.73
2013,PM10,Cardiff,,18.95
2014,PM10,Cardiff,,15.92
2015,PM10,Cardiff,,16.01
2017,PM10,Cardiff,,15.91
2018,PM10,Cardiff,,17.43
2019,PM10,Cardiff,,18.77
2010,PM10,Carlisle,,22.47
2015,PM10,Carlisle,,17.28
2017,PM10,Carlisle,,14.59
2018,PM10,Carlisle,,16.19
2019,PM10,Carlisle,,18.59
2013,PM10,Chepstow,,19.39
2014,PM10,Chepstow,,17.56
2015,PM10,Chepstow,,16.86
2016,PM10,Chepstow,,17.74
2017,PM10,Chepstow,,15.31
2018,PM10,Chepstow,,17.63
2019,PM10,Chepstow,,19.6
2010,PM10,Chesterfield,,19.87
2013,PM10,Chesterfield,,16.62
2014,PM10,Chesterfield,,19.03
2015,PM10,Chesterfield,,15.44
2016,PM10,Chesterfield,,16.21
2017,PM10,Chesterfield,,13.15
2018,PM10,Chesterfield,,15.6
2019,PM10,Chesterfield,,13.41
2018,PM10,Coventry,,19.39
2019,PM10,Coventry,,19.5
2010,PM10,Didcot,,13.69
2013,PM10,Didcot,,13.27
2014,PM10,Didcot,,11.4
2015,PM10,Didcot,,13.34
2014,PM10,Eastbourne,,19.17
2015,PM10,Eastbourne,,18.07
2016,PM10,Eastbourne,,17.77
2019,PM10,Eastbourne,,15.55
2013,PM10,Eccles,,18.7
2014,PM10,Eccles,,17.65
2015,PM10,Eccles,,17.68
2016,PM10,Eccles,,17.34
2017,PM10,Eccles,,16.35
2018,PM10,Eccles,,16.85
2019,PM10,Eccles,,15.33
2010,PM10,Edinburgh,,14.21
2013,PM10,Edinburgh,,13.54
2015,PM10,Edinburgh,,10.48
2017,PM10,Edinburgh,,10.06
2018,PM10,Edinburgh,,10.69
2019,PM10,Edinburgh,,10.94
2010,PM10,Enniskillen,,10.34
2013,PM10,Enniskillen,,11.32
2014,PM10,Enniskillen,,6.94
2015,PM10,Enniskillen,,6.59
2016,PM10,Enniskillen,,5.42
2017,PM10,Enniskillen,,5.63
2018,PM10,Enniskillen,,7.57
2019,PM10,Enniskillen,,8.39
2013,PM10,Gillingham,,23.08
2014,PM10,Gillingham,,21.39
2015,PM10,Gillingham,,18.48
2016,PM10,Gillingham,,19.09
2017,PM10,Gillingham,,21.65
2018,PM10,Gillingham,,23.72
2019,PM10,Gillingham,,22.86
2010,PM10,Glasgow,,28.63
2013,PM10,Glasgow,,22.94
2014,PM10,Glasgow,,13.1
2015,PM10,Glasgow,,13.35
2016,PM10,Glasgow,,12.49
2017,PM10,Glasgow,,13.19
2018,PM10,Glasgow,,12.44
2019,PM10,Glasgow,,11.04
2010,PM10,Grangemouth,,14.4
2013,PM10,Grangemouth,,13.81
2014,PM10,Grangemouth,,12.34
2015,PM10,Grangemouth,,10.16
2016,PM10,Grangemouth,,10.7
2017,PM10,Grangemouth,,9.43
2018,PM10,Grangemouth,,11.8
2019,PM10,Grangemouth,,12.56
2013,PM10,Grays,,19.16
2014,PM10,Grays,,19.32
2015,PM10,Grays,,17.08
2016,PM10,Grays,,17.26
2017,PM10,Grays,,18.13
2018,PM10,Grays,,18.9
2019,PM10,Grays,,20.45
2017,PM10,Greenock,,10.07
2018,PM10,Greenock,,11.71
2019,PM10,Greenock,,11.79
2013,PM10,Harlington,,19.86
2014,PM10,Harlington,,19.63
2015,PM10,Harlington,,15.99
2016,PM10,Harlington,,15.35
2018,PM10,Harlington,,15.46
2019,PM10,Harlington,,15.07
2010,PM10,Hull,,18.54
2013,PM10,Hull,,14.26
2014,PM10,Hull,,14.9
2015,PM10,Hull,,15.91
2016,PM10,Hull,,16.5
2018,PM10,Hull,,20.44
2019,PM10,Hull,,21.02
2010,PM10,Inverness,,14.06
2013,PM10,Inverness,,11.65
2014,PM10,Inverness,,10.85
2015,PM10,Inverness,,9.31
2016,PM10,Inverness,,8.57
2017,PM10,Inverness,,9.71
2019,PM10,Inverness,,9.38
2010,PM10,Leamington Spa,,20.36
2010,PM10,Leeds,,20.97
2013,PM10,Leeds,,21.52
2014,PM10,Leeds,,20.35
2015,PM10,Leeds,,17.36
2016,PM10,Leeds,,17.9
2017,PM10,Leeds,,15.78
2018,PM10,Leeds,,17.49
2019,PM10,Leeds,,16.1
2010,PM10,Leicester,,18.73
2016,PM10,Leicester,,21.54
2017,PM10,Leicester,,21.27
2018,PM10,Leicester,,22.52
2019,PM10,Leicester,,22.47
2010,PM10,Liverpool,,17.46
2010,PM10,London,,22.71
2013,PM10,London,,23.84
2014,PM10,London,,22.61
2015,PM10,London,,21.33
2016,PM10,London,,23.48
2017,PM10,London,,21.58
2018,PM10,London,,21.0
2019,PM10,London,,20.51
2013,PM10,Londonderry,,14.77
2014,PM10,Londonderry,,14.56
2015,PM10,Londonderry,,15.99
2017,PM10,Londonderry,,11.11
2018,PM10,Londonderry,,12.41
2019,PM10,Londonderry,,11.51
2010,PM10,Middlesbrough,,15.1
2015,PM10,Middlesbrough,,14.81
2016,PM10,Middlesbrough,,13.86
2017,PM10,Middlesbrough,,13.41
2018,PM10,Middlesbrough,,15.65
2019,PM10,Middlesbrough,,17.68
2013,PM10,Narberth,,15.65
2014,PM10,Narberth,,13.63
2015,PM10,Narberth,,11.56
2016,PM10,Narberth,,11.74
2017,PM10,Narberth,,11.05
2018,PM10,Narberth,,11.92
2019,PM10,Narberth,,11.06
2010,PM10,Newcastle Upon Tyne,,14.85
2013,PM10,Newcastle Upon Tyne,,12.64
2014,PM10,Newcastle Upon Tyne,,12.34
2015,PM10,Newcastle Upon Tyne,,14.83
2016,PM10,Newcastle Upon Tyne,,11.36
2017,PM10,Newcastle Upon Tyne,,10.7
2018,PM10,Newcastle Upon Tyne,,13.86
2019,PM10,Newcastle Upon Tyne,,15.69
2014,PM10,Newport,,16.09
2016,PM10,Newport,,15.64
2019,PM10,Newport,,15.24
2010,PM10,Norwich,,17.8
2013,PM10,Norwich,,14.63
2014,PM10,Norwich,,15.57
2015,PM10,Norwich,,15.47
2016,PM10,Norwich,,15.67
2017,PM10,Norwich,,15.82
2018,PM10,Norwich,,15.75
2019,PM10,Norwich,,14.01
2010,PM10,Nottingham,,23.0
2013,PM10,Nottingham,,21.27
2014,PM10,Nottingham,,20.85
2015,PM10,Nottingham,,17.27
2016,PM10,Nottingham,,18.62
2017,PM10,Nottingham,,17.86
2018,PM10,Nottingham,,17.17
2019,PM10,Nottingham,,18.96
2010,PM10,Oxford,,16.67
2015,PM10,Oxford,,13.12
2017,PM10,Oxford,,12.54
2018,PM10,Oxford,,12.24
2019,PM10,Oxford,,14.23
2010,PM10,Penicuik,,7.79
2014,PM10,Penicuik,,7.42
2015,PM10,Penicuik,,6.07
2017,PM10,Penicuik,,6.42
2018,PM10,Penicuik,,6.96
2019,PM10,Penicuik,,6.71
2013,PM10,Plymouth,,18.33
2014,PM10,Plymouth,,17.43
2015,PM10,Plymouth,,17.92
2016,PM10,Plymouth,,15.38
2017,PM10,Plymouth,,14.21
2018,PM10,Plymouth,,16.28
2019,PM10,Plymouth,,16.93
2010,PM10,Port Talbot,,21.77
2013,PM10,Port Talbot,,24.03
2014,PM10,Port Talbot,,24.35
2015,PM10,Port Talbot,,26.49
2016,PM10,Port Talbot,,21.56
2017,PM10,Port Talbot,,23.03
2018,PM10,Port Talbot,,23.12
2019,PM10,Port Talbot,,22.32
2017,PM10,Portsmouth,,14.62
2018,PM10,Portsmouth,,19.3
2019,PM10,Portsmouth,,17.27
2013,PM10,Reading,,15.52
2014,PM10,Reading,,14.03
2015,PM10,Reading,,12.47
2016,PM10,Reading,,13.17
2017,PM10,Reading,,14.43
2018,PM10,Reading,,15.1
2019,PM10,Reading,,17.19
2013,PM10,Rochester,,17.87
2014,PM10,Rochester,,17.59
2015,PM10,Rochester,,14.59
2017,PM10,Rochester,,16.51
2018,PM10,Rochester,,17.46
2019,PM10,Rochester,,14.96
2013,PM10,Royal Leamington Spa,,17.84
2014,PM10,Royal Leamington Spa,,15.94
2015,PM10,Royal Leamington Spa,,15.26
2016,PM10,Royal Leamington Spa,,15.53
2017,PM10,Royal Leamington Spa,,15.64
2018,PM10,Royal Leamington Spa,,14.03
2019,PM10,Royal Leamington Spa,,13.87
2010,PM10,Salford,,18.52
2014,PM10,Saltash,,16.48
2015,PM10,Saltash,,16.17
2016,PM10,Saltash,,14.66
2018,PM10,Saltash,,16.52
2019,PM10,Saltash,,17.79
2016,PM10,Sandy,,18.77
2019,PM10,Sandy,,17.96
2010,PM10,Scunthorpe,,22.93
2013,PM10,Scunthorpe,,22.21
2014,PM10,Scunthorpe,,21.15
2015,PM10,Scunthorpe,,20.4
2016,PM10,Scunthorpe,,17.23
2017,PM10,Scunthorpe,,16.07
2018,PM10,Scunthorpe,,18.29
2019,PM10,Scunthorpe,,19.72
2010,PM10,Sheffield,,21.7
2016,PM10,Sheffield,,17.64
2017,PM10,Sheffield,,16.1
2018,PM10,Sheffield,,15.99
2019,PM10,Sheffield,,14.92
2010,PM10,Southampton,,17.75
2013,PM10,Southampton,,21.02
2014,PM10,Southampton,,20.93
2015,PM10,Southampton,,16.45
