Year,Value,Units,Series,Observation status,Unit multiplier,Unit measure
2010,479.002,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2011,501.489,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2012,450.204,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2013,473.688,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2014,597.305,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2015,572.917,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2016,575.183,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2017,509.668,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2018,516.322,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2019,539.923,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
1994,0.004,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
1995,0.008,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
1996,0.008,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
1997,0.008,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
1998,0.007,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
1999,0.007,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2000,0.005,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2001,0.004,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2002,0.061,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2003,0.091,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2004,0.082,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2005,0.076,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2006,0.071,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2007,0.071,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2008,0.069,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2009,0.061,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2010,0.06,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2011,0.058,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2012,0.052,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2013,0.053,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2014,0.061,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2015,0.06,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2016,0.065,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2017,0.058,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2018,0.055,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
2019,0.058,Percentage (%),(b) Tax revenue from biodiversity-relevant taxes out of total tax revenue,Undefined,Units,Percentage (%)
1994,0.001,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
1995,0.002,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
1996,0.002,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
1997,0.002,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
1998,0.002,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
1999,0.002,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2000,0.002,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2001,0.001,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2002,0.019,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2003,0.028,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2004,0.026,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2005,0.025,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2006,0.023,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2007,0.023,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2008,0.022,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2009,0.019,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2010,0.019,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2011,0.019,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2012,0.017,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2013,0.017,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2014,0.019,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2015,0.02,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2016,0.021,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2017,0.019,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2018,0.018,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
2019,0.019,Percent of GDP (%),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Units,% of GDP
