Year,Value,Units,Series,Observation status,Unit multiplier
1979,0.26,Percentage (%),Proportion of marine protected area,Normal value,Unit
1980,0.26,Percentage (%),Proportion of marine protected area,Normal value,Unit
1981,0.26,Percentage (%),Proportion of marine protected area,Normal value,Unit
1982,0.26,Percentage (%),Proportion of marine protected area,Normal value,Unit
1983,0.26,Percentage (%),Proportion of marine protected area,Normal value,Unit
1984,0.26,Percentage (%),Proportion of marine protected area,Normal value,Unit
1985,0.28,Percentage (%),Proportion of marine protected area,Normal value,Unit
1986,0.3,Percentage (%),Proportion of marine protected area,Normal value,Unit
1987,0.3,Percentage (%),Proportion of marine protected area,Normal value,Unit
1988,0.31,Percentage (%),Proportion of marine protected area,Normal value,Unit
1989,0.31,Percentage (%),Proportion of marine protected area,Normal value,Unit
1990,0.34,Percentage (%),Proportion of marine protected area,Normal value,Unit
1991,0.34,Percentage (%),Proportion of marine protected area,Normal value,Unit
1992,0.34,Percentage (%),Proportion of marine protected area,Normal value,Unit
1993,0.35,Percentage (%),Proportion of marine protected area,Normal value,Unit
1994,0.39,Percentage (%),Proportion of marine protected area,Normal value,Unit
1995,0.4,Percentage (%),Proportion of marine protected area,Normal value,Unit
1996,1.08,Percentage (%),Proportion of marine protected area,Normal value,Unit
1997,1.24,Percentage (%),Proportion of marine protected area,Normal value,Unit
1998,1.27,Percentage (%),Proportion of marine protected area,Normal value,Unit
1999,1.31,Percentage (%),Proportion of marine protected area,Normal value,Unit
2000,1.32,Percentage (%),Proportion of marine protected area,Normal value,Unit
2001,1.37,Percentage (%),Proportion of marine protected area,Normal value,Unit
2002,1.38,Percentage (%),Proportion of marine protected area,Normal value,Unit
2003,1.47,Percentage (%),Proportion of marine protected area,Normal value,Unit
2004,1.47,Percentage (%),Proportion of marine protected area,Normal value,Unit
2005,1.47,Percentage (%),Proportion of marine protected area,Normal value,Unit
2006,1.54,Percentage (%),Proportion of marine protected area,Normal value,Unit
2007,1.6,Percentage (%),Proportion of marine protected area,Normal value,Unit
2008,1.9,Percentage (%),Proportion of marine protected area,Normal value,Unit
2009,2.11,Percentage (%),Proportion of marine protected area,Normal value,Unit
2010,4.28,Percentage (%),Proportion of marine protected area,Normal value,Unit
2011,5.68,Percentage (%),Proportion of marine protected area,Normal value,Unit
2012,8.47,Percentage (%),Proportion of marine protected area,Normal value,Unit
2013,9.49,Percentage (%),Proportion of marine protected area,Normal value,Unit
2014,16.33,Percentage (%),Proportion of marine protected area,Normal value,Unit
2015,16.34,Percentage (%),Proportion of marine protected area,Normal value,Unit
2016,18.83,Percentage (%),Proportion of marine protected area,Normal value,Unit
2017,23.45,Percentage (%),Proportion of marine protected area,Normal value,Unit
2018,23.63,Percentage (%),Proportion of marine protected area,Normal value,Unit
2019,24.63,Percentage (%),Proportion of marine protected area,Normal value,Unit
2020,38.17,Percentage (%),Proportion of marine protected area,Normal value,Unit
2021,38.17,Percentage (%),Proportion of marine protected area,Normal value,Unit
2022,38.17,Percentage (%),Proportion of marine protected area,Normal value,Unit
1950,0.0,Million hectares,Marine protected area extent,Normal value,Unit
1951,0.01,Million hectares,Marine protected area extent,Normal value,Unit
1952,0.02,Million hectares,Marine protected area extent,Normal value,Unit
1953,0.02,Million hectares,Marine protected area extent,Normal value,Unit
1954,0.04,Million hectares,Marine protected area extent,Normal value,Unit
1955,0.04,Million hectares,Marine protected area extent,Normal value,Unit
1956,0.07,Million hectares,Marine protected area extent,Normal value,Unit
1957,0.08,Million hectares,Marine protected area extent,Normal value,Unit
1958,0.08,Million hectares,Marine protected area extent,Normal value,Unit
1959,0.08,Million hectares,Marine protected area extent,Normal value,Unit
1960,0.08,Million hectares,Marine protected area extent,Normal value,Unit
1961,0.08,Million hectares,Marine protected area extent,Normal value,Unit
1962,0.08,Million hectares,Marine protected area extent,Normal value,Unit
1963,0.08,Million hectares,Marine protected area extent,Normal value,Unit
1964,0.09,Million hectares,Marine protected area extent,Normal value,Unit
1965,0.09,Million hectares,Marine protected area extent,Normal value,Unit
1966,0.11,Million hectares,Marine protected area extent,Normal value,Unit
1967,0.11,Million hectares,Marine protected area extent,Normal value,Unit
1968,0.11,Million hectares,Marine protected area extent,Normal value,Unit
1969,0.11,Million hectares,Marine protected area extent,Normal value,Unit
1970,0.11,Million hectares,Marine protected area extent,Normal value,Unit
1971,0.12,Million hectares,Marine protected area extent,Normal value,Unit
1972,0.19,Million hectares,Marine protected area extent,Normal value,Unit
1973,0.19,Million hectares,Marine protected area extent,Normal value,Unit
1974,0.2,Million hectares,Marine protected area extent,Normal value,Unit
1975,0.2,Million hectares,Marine protected area extent,Normal value,Unit
1976,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1977,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1978,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1979,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1980,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1981,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1982,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1983,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1984,0.23,Million hectares,Marine protected area extent,Normal value,Unit
1985,0.25,Million hectares,Marine protected area extent,Normal value,Unit
1986,0.27,Million hectares,Marine protected area extent,Normal value,Unit
1987,0.27,Million hectares,Marine protected area extent,Normal value,Unit
1988,0.27,Million hectares,Marine protected area extent,Normal value,Unit
1989,0.27,Million hectares,Marine protected area extent,Normal value,Unit
1990,0.3,Million hectares,Marine protected area extent,Normal value,Unit
1991,0.3,Million hectares,Marine protected area extent,Normal value,Unit
1992,0.3,Million hectares,Marine protected area extent,Normal value,Unit
1993,0.31,Million hectares,Marine protected area extent,Normal value,Unit
1994,0.35,Million hectares,Marine protected area extent,Normal value,Unit
1995,0.35,Million hectares,Marine protected area extent,Normal value,Unit
1996,0.96,Million hectares,Marine protected area extent,Normal value,Unit
1997,1.1,Million hectares,Marine protected area extent,Normal value,Unit
1998,1.13,Million hectares,Marine protected area extent,Normal value,Unit
1999,1.16,Million hectares,Marine protected area extent,Normal value,Unit
2000,1.17,Million hectares,Marine protected area extent,Normal value,Unit
2001,1.21,Million hectares,Marine protected area extent,Normal value,Unit
2002,1.22,Million hectares,Marine protected area extent,Normal value,Unit
2003,1.3,Million hectares,Marine protected area extent,Normal value,Unit
2004,1.3,Million hectares,Marine protected area extent,Normal value,Unit
2005,1.3,Million hectares,Marine protected area extent,Normal value,Unit
2006,1.36,Million hectares,Marine protected area extent,Normal value,Unit
2007,1.41,Million hectares,Marine protected area extent,Normal value,Unit
2008,1.68,Million hectares,Marine protected area extent,Normal value,Unit
2009,1.87,Million hectares,Marine protected area extent,Normal value,Unit
2010,3.79,Million hectares,Marine protected area extent,Normal value,Unit
2011,5.04,Million hectares,Marine protected area extent,Normal value,Unit
2012,7.5,Million hectares,Marine protected area extent,Normal value,Unit
2013,8.41,Million hectares,Marine protected area extent,Normal value,Unit
2014,14.47,Million hectares,Marine protected area extent,Normal value,Unit
2015,14.48,Million hectares,Marine protected area extent,Normal value,Unit
2016,16.69,Million hectares,Marine protected area extent,Normal value,Unit
2017,20.78,Million hectares,Marine protected area extent,Normal value,Unit
2018,20.94,Million hectares,Marine protected area extent,Normal value,Unit
2019,21.83,Million hectares,Marine protected area extent,Normal value,Unit
2020,33.82,Million hectares,Marine protected area extent,Normal value,Unit
2021,33.82,Million hectares,Marine protected area extent,Normal value,Unit
2022,33.82,Million hectares,Marine protected area extent,Normal value,Unit
