Year,Industry sector,Observation status,Unit multiplier,Unit measure,Value
2000,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2000,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.04
2000,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.07
2000,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.11
2000,Education,Undefined,Thousand,Tonnes per million GBP (£),0.05
2000,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2000,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.07
2000,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2000,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
2001,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.74
2001,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.78
2001,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.67
2001,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.63
2001,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.3
2001,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
2001,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.09
2001,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.28
2001,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.09
2001,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2001,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2001,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2001,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.04
2001,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.06
2001,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.1
2001,Education,Undefined,Thousand,Tonnes per million GBP (£),0.04
2001,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.06
2001,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.07
2001,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2001,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
2002,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.66
2002,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.8
2002,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.65
2002,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.44
2002,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.25
2002,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
2002,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2002,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.28
2002,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.07
2002,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2002,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2002,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2002,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.03
2002,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.06
2002,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.09
2002,Education,Undefined,Thousand,Tonnes per million GBP (£),0.04
2002,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2002,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.06
2002,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2002,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2003,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.76
2003,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.78
2003,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.67
2003,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.67
2003,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.22
2003,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2003,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2003,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.27
2003,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.08
2003,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2003,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2003,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2003,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.03
2003,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.06
2003,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.09
2003,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2003,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2003,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2003,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2003,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2004,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.78
2004,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.82
2004,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.65
2004,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.57
2004,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.23
2004,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2004,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2004,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.3
2004,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.07
2004,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2004,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2004,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2004,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.03
2004,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.06
2004,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.09
2004,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2004,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2004,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2004,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2004,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
2005,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.72
2005,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.89
2005,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.65
2005,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.65
2005,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.22
2005,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2005,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2005,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.25
2005,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.07
2005,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2005,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2005,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2005,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.03
2005,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2005,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.09
2005,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2005,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2005,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2005,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2005,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2006,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.73
2006,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.86
2006,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.62
2006,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.92
2006,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.24
2006,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2006,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2006,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.18
2006,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2006,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2006,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2006,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2006,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2006,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2006,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.08
2006,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2006,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2006,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2006,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2006,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
2007,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.74
2007,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.88
2007,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.61
2007,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.74
2007,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.22
2007,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
2007,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.07
2007,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.17
2007,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2007,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2007,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2007,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2007,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2007,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2007,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.08
2007,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2007,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2007,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2007,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2007,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
2008,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.7
2008,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.91
2008,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.59
2008,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.5
2008,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.18
2008,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
2008,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2008,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.17
2008,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.07
2008,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.02
2008,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2008,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2008,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2008,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2008,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.07
2008,Education,Undefined,Thousand,Tonnes per million GBP (£),0.04
2008,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2008,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2008,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2008,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
2009,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.73
2009,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.98
2009,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.55
2009,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),4.97
2009,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.19
2009,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
2009,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2009,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.21
2009,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2009,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2009,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2009,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2009,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2009,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2009,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.07
2009,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2009,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2009,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2009,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2009,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2010,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.76
2010,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.01
2010,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.55
2010,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),4.98
2010,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.2
2010,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2010,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2010,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.21
2010,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2010,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2010,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2010,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2010,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2010,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
2010,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.07
2010,Education,Undefined,Thousand,Tonnes per million GBP (£),0.04
2010,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2010,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2010,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2010,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2011,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.68
2011,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.04
2011,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.52
2011,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),4.9
2011,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.19
2011,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2011,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.21
2011,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2011,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2011,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2011,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2011,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2011,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2011,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.07
2011,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2011,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2011,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2011,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2011,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2012,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.74
2012,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.09
2012,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.51
2012,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.4
2012,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.19
2012,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.08
2012,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.14
2012,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2012,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2012,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2012,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2012,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2012,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2012,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.07
