Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
1990,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.3
1991,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.6
1992,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.3
1993,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.9
1994,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.3
1995,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.7
1996,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.6
1997,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.2
1998,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.7
1999,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.1
2000,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.7
2001,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.8
2002,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.7
2003,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,17.1
2004,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.4
2005,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.1
2006,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.7
2007,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.4
2008,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.0
2009,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,20.8
2010,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,21.4
2011,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,21.8
2012,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,22.9
2013,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.1
2014,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.1
2015,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.5
2016,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.4
2017,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.0
2018,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.4
1990,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.7
1991,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.5
1992,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.8
1993,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.6
1994,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.8
1995,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.6
1996,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.7
1997,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.4
1998,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.2
1999,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.3
2000,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.9
2001,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.5
2002,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.4
2003,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.7
2004,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.2
2005,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.3
2006,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.8
2007,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.5
2008,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.3
2009,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.8
2010,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.7
2011,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.0
2012,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.7
2013,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.9
2014,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.1
2015,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.8
2016,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.4
2017,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.2
2018,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.0
1990,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,15.5
1991,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.3
1992,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.3
1993,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.2
1994,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.7
1995,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.3
1996,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.4
1997,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.5
1998,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.3
1999,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.2
2000,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.7
2001,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.8
2002,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.9
2003,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.6
2004,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.3
2005,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.5
2006,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.9
2007,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.2
2008,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.4
2009,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.5
2010,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.9
2011,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.0
2012,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.3
2013,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.5
2014,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.8
2015,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.6
2016,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.5
2017,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.8
2018,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.5
1990,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.2
1991,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.8
1992,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.7
1993,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.2
1994,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.1
1995,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.0
1996,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.8
1997,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.7
1998,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.4
1999,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.9
2000,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.5
2001,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.8
2002,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.9
2003,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,4.4
2004,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.2
2005,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.8
2006,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.6
2007,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.0
2008,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.8
2009,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.7
2010,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.1
2011,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.7
2012,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.8
2013,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.5
2014,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.3
2015,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.2
2016,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.2
2017,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.4
2018,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,5.4
1990,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1991,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
1992,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
1993,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1994,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1995,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
1996,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
1997,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1998,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1999,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2000,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2001,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
2002,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2003,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
2004,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
2005,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2006,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2007,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2008,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
2009,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
2010,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
2011,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2012,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
2013,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2014,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
2015,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2016,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2017,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2018,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.3
1991,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.5
1992,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.3
1993,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
1994,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
1995,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
1996,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
1997,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
1998,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
1999,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.2
2000,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.4
2001,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
2002,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
2003,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
2004,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
2005,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
2006,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
2007,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2008,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2009,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
2010,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1990,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.3
1991,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.0
1992,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.7
1993,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.0
1994,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,22.8
1995,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,22.5
1996,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,22.8
1997,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,20.9
1998,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,20.7
1999,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.5
2000,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.8
2001,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.5
2002,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.4
2003,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.2
2004,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.7
2005,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.6
2006,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.1
2007,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,17.9
2008,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,17.9
2009,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.6
2010,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.6
2011,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.4
2012,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,17.3
2013,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.4
2014,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.3
2015,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.6
2016,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.8
2017,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.7
2018,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.1
1990,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.1
1991,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.5
1992,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.6
1993,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.8
1994,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.7
1995,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.8
1996,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.1
1997,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.0
1998,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.8
1999,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.1
2000,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.3
2001,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.1
2002,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.6
2003,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.5
2004,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2005,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
2006,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2007,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2008,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
2009,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.2
2010,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.3
2011,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.2
2012,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.4
2013,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.6
2014,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.6
2015,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.4
2016,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.3
2017,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
2018,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
1990,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1991,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1992,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1993,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1994,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1995,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1996,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1997,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
1998,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
1999,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2000,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2001,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2002,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2003,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
