Year,Gas,Observation status,Unit multiplier,Unit measure,Value
2011,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),465.241744145487
2012,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),483.339250280699
2013,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),473.246203783023
2014,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),434.107306982398
2015,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),418.292219732625
2016,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),395.056045149868
2017,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),382.92125289959
2018,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),377.707669558618
2019,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),365.079723552922
1990,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),133.899840381011
1991,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),134.614420887308
1992,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),134.445662169958
1993,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),132.951987865198
1994,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),126.088949083252
1995,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),127.69144146034
1996,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),126.944455090461
1997,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),124.752003974817
1998,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),121.177903407593
1999,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),115.57897107707
2000,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),110.372860146981
2001,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),105.608522058648
2002,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),103.358360884137
2003,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),98.4477595619103
2004,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),93.9708535519302
2005,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),89.5864240811787
2006,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),85.3264822145838
2007,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),81.5681567102409
2008,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),75.825262745706
2009,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),71.5477000343236
2010,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),66.9338081904443
2011,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),64.2505815868657
2012,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),62.7450260700125
2013,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),58.6570415198116
2014,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),56.6904697235046
2015,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),55.8141153782768
2016,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),54.0956471747696
2017,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),54.5819646280309
2018,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),54.2880270060805
2019,Methane (CH4),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),54.0155990576212
1990,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),49.5646164601558
1991,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),49.7269323273413
1992,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),44.80075384992
1993,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),40.5634046370572
1994,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),41.1929990143184
1995,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.9436515678256
1996,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.930380168991
1997,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),40.1925991502441
1998,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),40.1219339434271
1999,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),30.5219358050376
2000,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),29.8304777500677
2001,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),28.2356442735726
2002,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.5991413074136
2003,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.1627717968704
2004,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.627505329616
2005,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),25.7539586755887
2006,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.5971724896872
2007,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.6100389164378
2008,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.8987624170107
2009,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.3736458712781
2010,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.8106372415455
2011,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.0109510947627
2012,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.8571564452893
2013,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.7975108092512
2014,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.4619387538986
2015,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.047185978529
2016,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.8131141523196
2017,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.2693045692969
2018,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.0587027678876
2019,Nitrous oxide (N2O),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.2360063129019
1990,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.3994624676955
1991,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.008499716203
1992,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.6258452206354
1993,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),16.3994970108901
1994,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),17.3009985614124
1995,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),18.5594779269102
1996,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.4699407846747
1997,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.6926831456823
1998,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),18.0282565473703
1999,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.73173884572633
2000,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),7.7542057194446
2001,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.41479341476965
2002,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.72060337676863
2003,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.4910792083752
2004,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.30409971005908
2005,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.06028111776314
2006,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.89274053550494
2007,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.2986967794803
2008,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.6956346273419
2009,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.2014706385565
2010,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.7676442814209
2011,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.3814822952613
2012,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.9839053508135
2013,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.4056347305309
2014,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.5837067114143
2015,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.5733573181531
2016,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.5644053907873
2017,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.4639942247657
2018,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.1284026301797
2019,Hydrofluorocarbons (HFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.500027155739
1990,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.65135287226148
1991,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.38497078942956
1992,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.690179258828982
1993,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.602557259987982
1994,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.611221598678569
1995,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.596759915547916
1996,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.59617603791117
1997,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.502924128296087
1998,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.493711495767756
1999,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.473931762543211
2000,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.596757965001835
2001,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.485554810252257
2002,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.408196652403339
2003,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.35658046011252
2004,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.433825497696184
2005,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.385127734882762
2006,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.387652636449561
2007,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.28782940619568
2008,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.266241798153327
2009,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.197330594346205
2010,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.28770808802358
2011,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.416892656085693
2012,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.25498113829624
2013,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.318713921549905
2014,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.278314968972197
2015,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.327229299220511
2016,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.353941154895156
2017,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.493195627040646
2018,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.256838691333409
2019,Perfluorocarbons (PFC),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.344685908542492
1990,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.31549829929851
1991,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.35751795331532
1992,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.39985835382989
1993,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.22708743626526
1994,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.27020554248366
1995,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.31379015401231
1996,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.35776138685983
1997,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.33022370109629
1998,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.37624815721754
1999,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.54240309168611
2000,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.85921007768802
2001,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.49201783379416
2002,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.52849373852995
2003,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.35158843748315
2004,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.14436497878698
2005,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.07950700943973
2006,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.902737991398776
2007,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.858097675371996
2008,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.700706459807319
2009,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.610534943302538
2010,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.708955245668065
2011,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.628031774614836
2012,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.608399162201964
2013,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.522073924280675
2014,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.500292271796103
2015,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.475950002348673
2016,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.49956370764534
2017,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.509632829476314
2018,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.615422703278946
2019,Sulphur hexafluoride (SF6),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.58938872690124
1990,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0004150065318378
1991,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0004772575116135
1992,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0005488461383555
1993,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0006311730591088
1994,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0007258490179752
1995,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0008347263706714
1996,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0009599353262722
1997,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.001103925625213
1998,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.001269514468995
1999,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0014599416393442
2000,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0016935323016393
2001,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.001033054704
2002,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.001033054704
2003,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0009544656520447
2004,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0005889515069567
2005,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002886730777727
2006,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002862402631334
2007,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002804341547884
2008,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002706044221431
2009,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002560044014209
2010,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002722310917531
2011,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002994542009284
2012,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003293996210213
2013,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003623395831234
2014,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003985735414357
2015,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0004384308955793
2016,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0004822739851373
2017,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000530501383651
2018,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0005835515220161
2019,Nitrogen trifluoride (NF3),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0006419066742177
1990,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),809.119904444554
1991,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),817.69166488953
1992,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),795.942404312094
1993,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),775.785709524419
1994,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),766.027618024588
1995,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),759.278120859869
1996,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),780.025680859885
1997,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),753.503091230646
1998,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),750.506747275369
1999,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),721.107410422542
2000,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),719.804551819694
2001,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),721.797011476453
2002,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),700.879758779749
2003,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),707.145335375263
2004,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),702.365991730711
2005,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),694.170335069645
2006,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),686.337796684806
2007,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),673.837479258507
2008,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),652.424322857973
2009,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),596.335447651361
2010,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),610.471898535679
2011,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),564.929983007278
2012,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),581.789047846934
2013,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),567.947541028031
2014,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),527.622427985526
2015,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),510.530496140049
2016,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),485.38319900427
2017,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),474.239875279584
2018,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),468.0556469089
2019,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),454.766072621302
