Year,Sex,Country,Region,Health Board,Birth weight,Age,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2016,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.6
2008,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.5
2009,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.3
2010,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.2
2011,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.3
2012,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.1
2013,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.0
2014,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.7
2015,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.0
2016,Male,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.9
2008,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.2
2009,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,3.1
2010,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.9
2011,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.9
2012,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.8
2013,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.7
2014,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.5
2015,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.6
2016,,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.8
2008,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,3.41984687911
2009,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,3.32323618504
2010,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,2.95676998369
2011,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,3.17904939754
2012,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,2.82357915081
2013,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,2.61445551667
2014,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,2.57514540692
2015,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,2.84892379129
2016,,England and Wales,,,,20 to 24,"Rate per 1,000 live births",Units,Undefined,K04000001,2.80682604501
2008,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,3.09390547264
2009,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,3.04436740518
2010,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,2.7405098553
2011,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,2.71702553007
2012,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,2.72767702723
2013,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,2.42001494715
2014,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,2.24064872115
2015,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,2.3513621249
2016,,England and Wales,,,,25 to 29,"Rate per 1,000 live births",Units,Undefined,K04000001,2.53910631615
2008,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.80072746168
2009,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.75574112735
2010,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.78577673284
2011,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.67920502435
2012,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.40008878941
2013,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.58117999491
2014,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.30010851318
2015,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.26860462446
2016,,England and Wales,,,,30 to 34,"Rate per 1,000 live births",Units,Undefined,K04000001,2.52124890405
2008,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,2.942694889
2009,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,3.01868962621
2010,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,2.90915996927
2011,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,2.80655555941
2012,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,2.76139620373
2013,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,2.61883408072
2014,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,3.03027671897
2015,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,2.87694629148
2016,,England and Wales,,,,35 to 39,"Rate per 1,000 live births",Units,Undefined,K04000001,2.57178227707
2008,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,3.55804534615
2009,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,3.85527876631
2010,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,3.75031553135
2011,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,4.19080068143
2012,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,3.63406014536
2013,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,3.84114136772
2014,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,2.82661151327
2015,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,3.21466434116
2016,,England and Wales,,,,40 and over,"Rate per 1,000 live births",Units,Undefined,K04000001,3.86775636498
2008,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,3.98290483543
2009,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,3.63064542238
2010,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,3.30122440935
2011,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,3.26609029779
2012,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,3.99231110454
2013,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,3.74107633169
2014,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,3.42610771067
2015,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,4.1757140471
2016,,England and Wales,,,,19 and under,"Rate per 1,000 live births",Units,Undefined,K04000001,4.31782773203
2008,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,45.2
2009,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,38.3
