Year,Value,Units,Observation status,Unit multiplier,Unit measure
1997,1.1,Marine protected area extent,Undefined,Million,Hectares
1998,1.13,Marine protected area extent,Undefined,Million,Hectares
1999,1.16,Marine protected area extent,Undefined,Million,Hectares
2000,1.17,Marine protected area extent,Undefined,Million,Hectares
2001,1.21,Marine protected area extent,Undefined,Million,Hectares
2002,1.22,Marine protected area extent,Undefined,Million,Hectares
2003,1.3,Marine protected area extent,Undefined,Million,Hectares
2004,1.3,Marine protected area extent,Undefined,Million,Hectares
2005,1.3,Marine protected area extent,Undefined,Million,Hectares
2006,1.36,Marine protected area extent,Undefined,Million,Hectares
2007,1.41,Marine protected area extent,Undefined,Million,Hectares
2008,1.68,Marine protected area extent,Undefined,Million,Hectares
2009,1.87,Marine protected area extent,Undefined,Million,Hectares
2010,3.79,Marine protected area extent,Undefined,Million,Hectares
2011,5.04,Marine protected area extent,Undefined,Million,Hectares
2012,7.5,Marine protected area extent,Undefined,Million,Hectares
2013,8.41,Marine protected area extent,Undefined,Million,Hectares
2014,14.47,Marine protected area extent,Undefined,Million,Hectares
2015,14.48,Marine protected area extent,Undefined,Million,Hectares
2016,16.69,Marine protected area extent,Undefined,Million,Hectares
2017,20.78,Marine protected area extent,Undefined,Million,Hectares
2018,20.94,Marine protected area extent,Undefined,Million,Hectares
2019,21.84,Marine protected area extent,Undefined,Million,Hectares
1950,0.0,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1951,0.01,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1952,0.02,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1953,0.03,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1954,0.04,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1955,0.05,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1956,0.08,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1957,0.09,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1958,0.09,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1959,0.09,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1960,0.09,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1961,0.09,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1962,0.09,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1963,0.09,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1964,0.1,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1965,0.1,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1966,0.12,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1967,0.12,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1968,0.13,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1969,0.13,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1970,0.13,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1971,0.13,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1972,0.21,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1973,0.22,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1974,0.23,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1975,0.23,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1976,0.25,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1977,0.25,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1978,0.25,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1979,0.26,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1980,0.26,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1981,0.26,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1982,0.26,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1983,0.26,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1984,0.26,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1985,0.28,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1986,0.3,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1987,0.3,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1988,0.31,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1989,0.31,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1990,0.34,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1991,0.34,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1992,0.34,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1993,0.35000000000000003,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1994,0.39,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1995,0.4,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1996,1.08,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1997,1.24,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1998,1.27,Proportion of marine protected area,Undefined,Unit,Percentage (%)
1999,1.31,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2000,1.32,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2001,1.37,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2002,1.38,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2003,1.47,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2004,1.47,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2005,1.47,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2006,1.54,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2007,1.6,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2008,1.9,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2009,2.11,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2010,4.28,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2011,5.68,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2012,8.47,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2013,9.49,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2014,16.330000000000002,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2015,16.34,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2016,18.83,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2017,23.45,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2018,23.63,Proportion of marine protected area,Undefined,Unit,Percentage (%)
2019,24.65,Proportion of marine protected area,Undefined,Unit,Percentage (%)
