Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
1997,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.99
1998,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.52
1999,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.43
2000,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.61
2001,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.38
2002,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.63
2003,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,4.31
2004,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.17
2005,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.65
2006,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.67
2007,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.12
2008,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.34
2009,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.61
2010,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,7.01
2011,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.55
2012,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.72
2013,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.44
2014,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.24
2015,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.31
2016,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.31
2017,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,6.46
1990,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.98
1991,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.21
1992,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.46
1993,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1994,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.58
1995,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.71
1996,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.75
1997,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.61
1998,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.63
