Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2013,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),0.831
2013,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.202
2013,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),0.56
2013,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),1.165
2013,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),4.036
2014,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),2.392
2014,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),1.818
2014,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.342
2014,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),1.192
2014,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),1.023
2014,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),6.767
2015,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),2.17
2015,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),20.642
2015,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.457
2015,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),1.076
2015,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),1.38
2015,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),25.725
2016,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),3.3
2016,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),1.661
2016,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.261
2016,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),1.621
2016,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),4.902
2016,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),11.745
2017,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),4.523
2017,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),2.57
2017,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.247
2017,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),1.584
2017,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),4.948
2017,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),13.872
2018,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),4.761
2018,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),3.63
2018,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.004
2018,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),1.967
2018,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),4.952
2018,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),15.313
2019,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),5.828
2019,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),4.175
2019,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.136
2019,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),2.354
2019,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),20.167
2019,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),32.66
2020,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),4.128
2020,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),4.414
2020,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.174
2020,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),1.421
2020,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),6.139
2020,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),16.276
2021,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),5.872
2021,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),4.807
2021,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.16
2021,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),4.526
2021,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),20.67
2021,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),36.035
1994,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),9.0
1995,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),19.0
1996,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),22.0
1997,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),22.0
1998,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
1999,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),23.0
2000,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),17.0
2001,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),15.0
2002,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),16.0
2003,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),17.0
2004,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),19.0
2005,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),20.0
2006,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),20.0
2007,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),20.0
2008,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),20.0
2009,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),20.0
2010,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),20.0
2011,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),23.0
2012,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2013,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2014,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2015,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2016,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2017,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2018,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2019,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),27.0
2020,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
2021,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,GBP (£ Millions),21.0
1994,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),13.77
1995,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),29.98
1996,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),34.32
1997,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),36.02
1998,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),34.78
1999,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),37.21
2000,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),25.72
2001,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),21.59
2002,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),23.98
2003,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),27.76
2004,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),34.79
2005,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),36.36
2006,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),36.8
2007,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),40.02
2008,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),36.77
2009,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),31.16
2010,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),30.9
2011,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),36.85
2012,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),33.17
2013,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),32.83
2014,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),34.56
2015,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),32.08
2016,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),28.35
2017,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),27.03
2018,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),28.02
2019,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),34.46
2020,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),26.92
2021,Tax revenue from biodiversity-relevant taxes,,Estimated value,Millions,USD ($ Millions),28.88
