Year,Series,Endangered species type,Units,Unit multiplier,Observation status,Value
2019,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,189.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,118.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,329.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,330.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,15.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,35.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,27.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,69.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,171.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,189.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,247.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,190.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,43.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of plants,Number of times seized,Units,Normal value,57.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,187.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,210.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,334.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,141.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,69.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,82.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,79.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,23.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,77.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Preparations of oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Normal value,77.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,142.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,33.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,26.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,18.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,401.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,433.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,117.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,80.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,105.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Timber or wood products,Number of times seized,Units,Normal value,70.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,569.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,512.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,858.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,689.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,1076.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,1116.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,792.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,489.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,715.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,,Number of times seized,Units,Normal value,749.0
