Year,Series,Treatment type,Economic activity,Unit measure,Observation status,Unit multiplier,Value
2012,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,31985.84620554017
2014,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,31516.39690506276
2016,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,31257.42257309561
2018,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,14633.215589295216
2010,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,51657.66552775386
2012,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,62423.5556118628
2014,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,54466.46320872354
2016,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,51493.73412791624
2018,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,47851.6078186318
2010,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,25643.930463963985
2012,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,30614.55832400281
2014,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,30996.80736007317
2016,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,50765.84165353879
2018,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,25150.68159659967
2010,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,9425.929424907135
2012,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,8203.032366251346
2014,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,10558.46116295605
2016,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,12437.938592211232
2018,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,32316.127961847444
2010,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,43409.562697677815
2012,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,41510.34580913834
2014,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,56466.3937822877
2016,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,45023.514068378805
2018,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,47533.39826033829
2010,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,52901.49454320876
2012,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,50502.77927458053
2014,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,43330.997161583415
2016,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,67550.83264981136
2018,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,56561.95101745211
2010,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,3472.338574099116
2012,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,4439.6704329908325
2014,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,3501.734203009619
2016,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,5076.058304838042
2018,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,5535.318291086361
2010,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,1703.599481297694
2012,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,12950.747587611408
2014,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,10791.286218877509
2016,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,12181.04529891626
2018,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,7892.143696635577
2010,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,34397.46
2012,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,122303.22800000002
2014,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,149384.552
2016,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,97795.78861
2018,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,96492.06222
2010,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1799479.5471023775
2012,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1491513.824539115
2014,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1465242.96537912
2016,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1629748.5257388682
2016,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1798954.179830392
2010,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,1353.3730139626286
2012,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,3477.0712571803324
2014,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,2210.4279372048163
2016,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,5994.974276152929
2018,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,3516.700520955945
2010,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4075524.78636676
2012,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4182830.49637335
2014,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4206810.731532314
2016,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4463193.895194106
2018,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4574432.128876306
2010,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.003869948648634
2012,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.0035835473098219
2014,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.0036684360684156
2016,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.0036085652971263
2018,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.0035951940754568
2010,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.010967392836203
2012,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.0145079562838109
2014,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.0114994400560349
2016,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.0121943395522894
2018,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.0128878717607378
2010,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0007116835090959
2012,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0008797404736665
2014,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0010968361637949
2016,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0012086501582014
2018,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0016088977769705
2010,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.0058187151080468
2012,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.0052407664669493
2014,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.0051271338439877
2016,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.0055361813723342
2018,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.0050592604862908
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.0027051596102378
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.0026742463425638
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.0022581645580166
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.002339576168507
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.0025703393423956
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.0083207389352045
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.0095772034961763
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.0127038952493771
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.0131345096367103
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.0109755775026135
2010,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.0003039023500253
2012,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.0005020929462797
2014,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.0004878944517994
2016,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.0004761363158319
2018,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.0002202618265265
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0008231056930728
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0009798842510844
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0008431764991639
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.000784390869041
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0007202711171749
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.0004086066403119
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.0004805673637388
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.0004798508655678
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.0007733030693269
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.0003785726406509
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.0001501913819155
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.0001287658504556
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.0001634518893915
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.000189463934334
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.0004864282445444
2010,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0006916816279873
2012,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0006516023273066
2014,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0008741367334117
2016,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0006858316633175
2018,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0007154813689408
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0008429246828272
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0007927596812148
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0006707921965114
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0010289845400415
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0008513807896141
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,5.532773537901788e-05
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,6.969105003154119e-05
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,5.420913737287625e-05
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,7.732229663407909e-05
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,8.331861918937016e-05
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,2.71449051645332e-05
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.0002032923866076
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.0001670561736428
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.0001855507445645
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.0001187939844952
2010,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0005480841006652
2012,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0019198362829434
2014,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0023125706382265
2016,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0014896982111609
2018,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0014524160968035
2010,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.0286726441207899
2012,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.0234128109591835
2014,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.0226829201161556
2016,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.0248255420600718
2018,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.0270781859987671
2010,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,2.156444781743533e-05
2012,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,5.458079616602225e-05
2014,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,3.421887120895515e-05
2016,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,9.131990837310926e-05
2018,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,5.293401681714e-05
2010,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.0649388163333786
2012,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.0656593442680012
2014,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.0651241835120799
2016,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.0686293657978666
2018,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.0688551856479897
2010,Hazardous waste treated,Deposit onto or into land,,Tonnes,Normal value,Units,1296853.8178376963
2012,Hazardous waste treated,Deposit onto or into land,,Tonnes,Normal value,Units,1034932.657844293
2014,Hazardous waste treated,Deposit onto or into land,,Tonnes,Normal value,Units,869204.952
2016,Hazardous waste treated,Deposit onto or into land,,Tonnes,Normal value,Units,844535.2090000005
2018,Hazardous waste treated,Deposit onto or into land,,Tonnes,Normal value,Units,817865.8329999999
2010,Hazardous waste treated,Energy recovery,,Tonnes,Normal value,Units,124219.09
2012,Hazardous waste treated,Energy recovery,,Tonnes,Normal value,Units,111958.35
2014,Hazardous waste treated,Energy recovery,,Tonnes,Normal value,Units,102776.9
2016,Hazardous waste treated,Energy recovery,,Tonnes,Normal value,Units,34173.770000000004
2018,Hazardous waste treated,Energy recovery,,Tonnes,Normal value,Units,22623.6488
2010,Hazardous waste treated,Incineration,,Tonnes,Normal value,Units,262758.87
2012,Hazardous waste treated,Incineration,,Tonnes,Normal value,Units,239518.77
2014,Hazardous waste treated,Incineration,,Tonnes,Normal value,Units,241230.00409
2016,Hazardous waste treated,Incineration,,Tonnes,Normal value,Units,300070.06
2016,Hazardous waste treated,Incineration,,Tonnes,Normal value,Units,310784.12878434284
2010,Hazardous waste treated,Land treatment and release into water bodies,,Tonnes,Normal value,Units,34800.82022042868
2012,Hazardous waste treated,Land treatment and release into water bodies,,Tonnes,Normal value,Units,0.0
2014,Hazardous waste treated,Land treatment and release into water bodies,,Tonnes,Normal value,Units,0.0
2016,Hazardous waste treated,Land treatment and release into water bodies,,Tonnes,Normal value,Units,0.0
2018,Hazardous waste treated,Land treatment and release into water bodies,,Tonnes,Normal value,Units,0.0
2010,Hazardous waste treated,Recovery other than energy recovery - Backfilling,,Tonnes,Normal value,Units,0.0
2012,Hazardous waste treated,Recovery other than energy recovery - Backfilling,,Tonnes,Normal value,Units,12804.243664921469
2014,Hazardous waste treated,Recovery other than energy recovery - Backfilling,,Tonnes,Normal value,Units,8549.046
2016,Hazardous waste treated,Recovery other than energy recovery - Backfilling,,Tonnes,Normal value,Units,481.0
2018,Hazardous waste treated,Recovery other than energy recovery - Backfilling,,Tonnes,Normal value,Units,0.0
2010,Hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Tonnes,Normal value,Units,254813.70061280896
2012,Hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Tonnes,Normal value,Units,513590.5866396102
2014,Hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Tonnes,Normal value,Units,674066.1272795326
2016,Hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Tonnes,Normal value,Units,751741.9672678713
2018,Hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Tonnes,Normal value,Units,876808.5501422985
2010,Hazardous waste treated,,,Tonnes,Normal value,Units,1973446.2986709345
2012,Hazardous waste treated,,,Tonnes,Normal value,Units,1912804.608148825
2014,Hazardous waste treated,,,Tonnes,Normal value,Units,1895827.0293695328
2016,Hazardous waste treated,,,Tonnes,Normal value,Units,1931002.006267872
2018,Hazardous waste treated,,,Tonnes,Normal value,Units,2028082.160726641
