Year,Series,Gas,Observation status,Unit multiplier,Unit measure,Value
1991,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.24305334298279
1991,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.30323989350845
1991,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),821.743941975871
1992,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.1022198557179
1992,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),150.991090084352
1992,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),594.589476509009
1992,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0001541296963375
1992,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.9519915006544
1992,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.617640551647897
1992,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.36946735803465
1992,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),800.622039989113
1993,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.7633397267128
1993,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),149.390458913707
1993,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),580.062085067303
1993,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0001825666253118
1993,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),36.1345452063035
1993,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.538700846476154
1993,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.19811226997546
1993,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),781.087424597103
1994,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.5340204303874
1994,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),141.742879966534
1994,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),573.657999262025
1994,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002162501676818
1994,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),36.7164511315625
1994,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.546409279966553
1994,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.24412964343852
1994,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),768.442105964082
1995,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.6143101885516
1995,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),143.619271750195
1995,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),565.746935599176
1995,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002561483236191
1995,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),35.5014682619805
1995,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.533270281772293
1995,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.29086675252127
1995,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),762.30637898252
1996,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),16.4212522545382
1996,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),142.771940054231
1996,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),585.298854528196
1996,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003034076893268
1996,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),35.5710601294764
1996,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.531928867885413
1996,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.33828753973338
1996,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),781.93362678175
1997,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),18.3446834463607
1997,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),140.012046022555
1997,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),561.124776561608
1997,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003593864080076
1997,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),35.8456311898309
1997,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.446925644020109
1997,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.31166502412523
1997,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),757.086087274908
1998,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.3579619612537
1998,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),136.154455425623
1998,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),565.501133099061
1998,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0004132943692088
1998,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),35.8428690853961
1998,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.435289107321389
1998,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.3605819695521
1998,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),754.652703942576
1999,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.50411896753847
1999,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),129.837292884306
1999,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),558.298291417343
1999,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0004752885245901
1999,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),27.3233212213356
1999,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.412312802276655
1999,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.53352781721543
1999,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),725.909340398541
2000,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),6.93589376320292
2000,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),123.801715032648
2000,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),565.993614585335
2000,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0005465818032786
2000,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.7324319687718
2000,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.518621613064723
2000,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.86192524317794
2000,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),725.844748788004
2001,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),7.59990661456965
2001,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),118.88405061452
2001,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),574.738169999409
2001,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003334149
2001,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),25.4453656300692
2001,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.432138729457178
2001,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.47575000986613
2001,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),728.575715012791
2002,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),7.96787090790334
2002,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),116.23115729369
2002,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),556.538580796256
2002,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003334149
2002,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.9785533128913
2002,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.365445878645358
2002,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.51267339461872
2002,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),706.594614998904
2003,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.72451222270623
2003,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),110.752283867024
2003,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),567.22632292745
2003,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003112261669571
2003,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.5922892822727
2003,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.321261492510902
2003,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.32990786156998
2003,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),711.946888879701
2004,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),7.82221454808752
2004,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),105.687136120751
2004,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),568.463887957449
2004,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0002890374339143
2004,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.0519964111491
2004,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.407051039055069
2004,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.11634318269277
2004,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),707.548918296619
2005,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.55780052048486
2005,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),100.776538689567
2005,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),564.828037227512
2005,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003300418610919
2005,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.1082061234381
2005,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.366113983000582
2005,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.05281482119418
2005,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),698.689841407058
2006,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.37577617513018
2006,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),96.0502253949996
2006,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),561.918185364303
2006,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003559020539709
2006,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.1437002391362
2006,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.362021516956661
2006,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.873189741631123
2006,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),690.723454334211
2007,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.79409438523111
2007,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),91.7551641834046
2007,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),552.875443194323
2007,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003682162879188
2007,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.1542471282778
2007,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.264924233058103
2007,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.830440539269595
2007,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),677.674681879853
2008,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.1954882758265
2008,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),85.2771464868294
2008,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),537.916229616649
2008,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003684240373436
2008,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.6092468965308
2008,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.238151734833396
2008,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.670200025316614
2008,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),655.906831460023
2009,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.6877841420528
2009,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),80.4279665063897
2009,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),487.113604420532
2009,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003578211548852
2009,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.1947692357046
2009,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.174220435071411
2009,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.574277901861541
2009,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),599.172980462767
2010,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.2316394104249
2010,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),75.2414998638731
2010,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),504.961657894117
2010,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2010,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.5829702090085
2010,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.25710069799553
2010,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.678535145765213
2010,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),612.953740794822
2011,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.8280685778907
2011,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),72.2898916461746
2011,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),461.942334857692
2011,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2011,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.8679574460841
2011,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.376372850149663
2011,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.565791151936841
2011,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),566.870754103566
2012,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.3957068864404
2012,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),70.5045478106481
2012,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),479.819357656948
2012,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2012,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.6111265217382
2012,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.221658798579021
2012,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.539714505825302
2012,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),583.092449753817
2013,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.7832054133963
2013,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),65.8135939690986
2013,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),469.654809080943
2013,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2013,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.6045948812441
