Year,Units,Sustainability level (Pressure),Sustainability level (State),Unit measure,Unit multiplier,Observation status,Value
2002,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.08771929824561
2003,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.08771929824561
2004,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
2005,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,42.10526315789473
2006,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,43.85964912280701
2007,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,42.10526315789473
2008,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
2009,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333333333
2010,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
2011,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,26.31578947368421
2012,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,28.07017543859649
2013,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.807017543859647
2014,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,21.052631578947366
2015,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,24.561403508771928
2016,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,28.07017543859649
2017,"B) State (biomass remaining, %)",,Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.807017543859647
1990,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,42.10526315789473
1991,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,38.59649122807017
1992,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,36.84210526315789
1993,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,29.82456140350877
1994,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.07017543859649
1995,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,29.82456140350877
1996,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,26.31578947368421
1997,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.07017543859649
1998,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,24.561403508771928
1999,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.807017543859647
2000,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.807017543859647
2001,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.052631578947366
2002,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.052631578947366
2003,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561403509
2004,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561403509
2005,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561403509
2006,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561403509
2007,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561403509
2008,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2009,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2010,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2011,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2012,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2013,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2014,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2015,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2016,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
2017,"B) State (biomass remaining, %)",,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.543859649122805
1990,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,7.017543859649122
1991,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,10.526315789473683
1992,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,12.280701754385964
1993,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,10.526315789473683
1994,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,12.280701754385964
1995,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,5.263157894736842
1996,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,5.263157894736842
1997,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,5.263157894736842
1998,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,3.508771929824561
1999,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,5.263157894736842
2000,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,8.771929824561402
2001,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,8.771929824561402
2002,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,14.035087719298245
2003,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,24.561403508771928
2004,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,21.052631578947366
2005,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,19.29824561403509
2006,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,15.789473684210526
2007,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,19.29824561403509
2008,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,21.052631578947366
2009,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,26.31578947368421
2010,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,29.82456140350877
2011,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,33.33333333333333
2012,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,40.35087719298245
2013,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,54.38596491228071
2014,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,49.122807017543856
2015,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,49.122807017543856
2016,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,52.63157894736842
2017,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,,Percentage (%),Units,Undefined,49.122807017543856
1990,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,49.122807017543856
1991,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,49.122807017543856
1992,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,49.122807017543856
1993,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,57.89473684210527
1994,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,57.89473684210527
1995,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,63.1578947368421
1996,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,66.66666666666666
1997,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,63.1578947368421
1998,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,68.42105263157895
1999,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,68.42105263157895
2000,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,64.91228070175438
2001,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,68.42105263157895
2002,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,63.1578947368421
2003,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,56.14035087719298
2004,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,57.89473684210527
2005,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,61.40350877192983
2006,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,64.91228070175438
2007,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,61.40350877192983
2008,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,59.64912280701754
2009,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,56.14035087719298
2010,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,50.877192982456144
2011,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,47.368421052631575
2012,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,42.10526315789473
2013,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,29.82456140350877
2014,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,35.08771929824561
2015,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,35.08771929824561
2016,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,31.57894736842105
2017,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,,Percentage (%),Units,Undefined,33.33333333333333
1990,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,43.85964912280701
1991,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,40.35087719298245
1992,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,38.59649122807017
1993,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,31.57894736842105
1994,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,29.82456140350877
1995,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,31.57894736842105
1996,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,28.07017543859649
1997,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,31.57894736842105
1998,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,28.07017543859649
1999,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,26.31578947368421
2000,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,26.31578947368421
2001,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,22.807017543859647
2002,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,22.807017543859647
2003,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,19.29824561403509
2004,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,21.052631578947366
2005,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,19.29824561403509
2006,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,19.29824561403509
2007,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,19.29824561403509
2008,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,19.29824561403509
2009,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,17.543859649122805
2010,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,19.29824561403509
2011,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,19.29824561403509
2012,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,17.543859649122805
2013,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,15.789473684210526
2014,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,15.789473684210526
2015,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,15.789473684210526
2016,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,15.789473684210526
2017,"A) Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,,Percentage (%),Units,Undefined,17.543859649122805
