Year,Series,Industry sector,Observation status,Unit multiplier,Unit measure,Value
1990,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.07
1990,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1990,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),11.51
1990,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1990,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1990,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1990,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.09
1990,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.47
1990,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1990,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1990,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.13
1990,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1990,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.38
1990,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.17
1990,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1991,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.44
1991,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.91
1991,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
1991,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.15
1991,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),10.67
1991,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.2
1991,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.07
1991,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1991,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.42
1991,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1991,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.12
1991,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1991,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
1991,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1991,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1991,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1991,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.06
1991,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1991,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.09
1991,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1991,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1992,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.42
1992,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.89
1992,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
1992,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.13
1992,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),9.8
1992,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.2
1992,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.08
1992,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1992,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.41
1992,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1992,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1992,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1992,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
1992,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1992,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1992,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1992,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1992,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1992,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.08
1992,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1992,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1993,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.4
1993,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.94
1993,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
1993,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.09
1993,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.48
1993,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.18
1993,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.08
1993,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1993,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.39
1993,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1993,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.12
1993,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1993,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
1993,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1993,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1993,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1993,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1993,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1993,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.08
1993,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1993,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1994,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.38
1994,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.03
1994,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.4
1994,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.06
1994,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.56
1994,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.16
1994,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1994,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1994,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.33
1994,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1994,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1994,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1994,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1994,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1994,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1994,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1994,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
1994,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1994,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1994,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1994,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1995,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.38
1995,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.06
1995,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.4
1995,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.03
1995,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.23
1995,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
1995,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1995,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1995,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.31
1995,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1995,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1995,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1995,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1995,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1995,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1995,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1995,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
1995,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1995,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1995,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1995,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1996,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.38
1996,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.13
1996,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.4
1996,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.03
1996,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.72
1996,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.16
1996,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1996,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1996,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.34
1996,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1996,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1996,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1996,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1996,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1996,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1996,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.13
1996,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1996,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1996,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1996,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1996,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1997,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.36
1997,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),1.01
1997,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.35
1997,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.99
1997,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.9
1997,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.12
1997,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1997,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1997,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.38
1997,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1997,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.1
1997,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1997,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1997,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1997,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1997,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1997,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1997,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1997,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.06
1997,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1997,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1998,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.36
1998,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.91
1998,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.37
1998,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.93
1998,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.24
1998,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.19
1998,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1998,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
1998,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.34
1998,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1998,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.08
1998,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1998,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1998,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1998,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1998,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1998,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1998,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1998,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1998,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1998,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1999,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.34
1999,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.81
1999,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.35
1999,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.9
1999,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.11
1999,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
