Year,Units,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2009,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1287.737978952719
2010,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1289.8530000000003
2011,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1292.385
2012,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1297.6843200000003
2013,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1298.224190199
2014,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1301.9131370081127
2015,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1305.0382400361796
2016,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1305.2808116413396
2017,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1306.1742485117677
2018,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1307.4834495674045
2019,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1308.986095455461
2020,"1) Woodland area net change (Area, 000s hectares)",England,Hectares,Thousands,Undefined,E92000001,1311.3253589350738
2004,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,301.2878791958369
2005,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,301.8041438756852
2006,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,302.2763121157883
2007,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,302.7707268907538
2008,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,302.9311792227956
2009,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,303.0879561170254
2010,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,303.26928
2011,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,303.5659999999999
2012,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,304.56394
2013,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,306.40639358
2014,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,305.8319742788516
2015,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,305.99434999999994
2016,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,306.5950179131377
2017,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,307.6674916261585
2018,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,308.54062177624746
2019,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,309.187805472486
2020,"1) Woodland area net change (Area, 000s hectares)",Wales,Hectares,Thousands,Undefined,W92000004,309.2638054724861
2004,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1352.2063694393214
2005,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1357.7842821920185
2006,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1361.700956363034
2007,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1368.1683248607983
2008,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1372.271613615094
2009,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1375.6423592803974
2010,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1378.304
2011,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1383.406
2012,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1403.02642
2013,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1410.6633639950005
2014,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1424.254544886537
2015,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1431.6393400000002
2016,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1435.0176547551662
2017,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1437.6561487574545
2018,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1445.9364286372102
2019,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1456.10552695637
2020,"1) Woodland area net change (Area, 000s hectares)",Scotland,Hectares,Thousands,Undefined,S92000003,1467.1506549563696
2004,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2005,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2006,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2007,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2008,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2009,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2010,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2011,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2012,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,
2013,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,111.016
2014,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,111.463
2015,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,111.912
2016,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,112.087
2017,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,112.378
2018,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,112.617
2019,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,113.005
2020,"1) Woodland area net change (Area, 000s hectares)",Northern Ireland,Hectares,Thousands,Undefined,N92000002,118.381
2004,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2005,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2006,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2007,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2008,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2009,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2010,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2011,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2012,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,
2013,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3126.3099477740006
2014,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3143.4626561735013
2015,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3154.58393003618
2016,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3158.9804843096435
2017,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3163.8758888953803
2018,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3174.5774999808623
2019,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3187.284427884317
2020,"1) Woodland area net change (Area, 000s hectares)",,Hectares,Thousands,Undefined,,3206.120819363929
1990,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,74.0
2000,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,89.0
2010,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,104.0
2015,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,109.0
2016,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,110.0
2017,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,112.0
2018,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,113.0
2019,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,114.0
2020,2) Above-ground biomass stock (Tonnes per hectare),,Tonnes per hectare,Units,Undefined,,115.0
2000,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2010,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2015,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2016,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2017,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2018,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2019,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2020,3) Percentage of woodland within protected areas (%),,Percentage (%),Units,Undefined,,9.19
2000,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,33.76
2010,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,52.87
2015,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,57.34
2016,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,57.27
2017,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,59.3
2018,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,59.94
2019,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,60.51
2020,4) Percentage of woodland under long-term management plan (%),,Percentage (%),Units,Undefined,,61.05
2004,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,23.45300891528711
2005,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,26.92108543527504
2006,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,27.621486115234266
2007,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,28.359836279481488
2008,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,26.860293497040672
2009,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,27.373431288818857
2010,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,27.69073142443363
2011,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,25.93798519790929
2012,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,27.354396175488965
2013,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,27.32495473872069
2014,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,26.82523939661312
2015,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,27.25397826089928
2016,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,25.832586468008365
2017,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,25.791287498004493
2018,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,25.40679590936526
2019,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,24.822688751517276
2020,5) Woodland area under certification scheme (%),England,Percentage (%),Units,Undefined,E92000001,24.653987702534625
2004,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,42.03719720701581
2005,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,43.48535386668404
2006,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,43.38140790492897
2007,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,43.79150104248018
2008,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,42.901682082943175
2009,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,44.12510866584682
2010,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,44.01157941219764
2011,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,44.0115164412352
2012,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,45.4075193537357
2013,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,45.50850390907174
2014,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,46.143262597699255
2015,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,46.19752946418784
2016,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,46.0609502865231
2017,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,47.16242114522895
2018,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,46.91851151777018
2019,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,47.32701146790447
2020,5) Woodland area under certification scheme (%),Wales,Percentage (%),Units,Undefined,W92000004,47.17983698492024
2004,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,49.54191195336677
2005,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,52.93176867501401
2006,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,53.19595956133743
2007,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,55.86400500184081
2008,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,56.11222164153187
2009,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,56.75561362755154
2010,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,57.49568310039006
2011,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,57.2337404926681
2012,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,57.57102920414001
2013,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,56.97308102153623
2014,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,57.69817157076338
2015,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,56.81093046800459
2016,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,56.19051143583992
2017,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,58.47750071711987
2018,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,57.627897800960845
2019,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,59.308142637121065
2020,5) Woodland area under certification scheme (%),Scotland,Percentage (%),Units,Undefined,S92000003,58.569701217735584
2004,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2005,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2006,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2007,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2008,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2009,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2010,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2011,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2012,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2013,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.26450241406644
2014,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.17087284569767
2015,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.189470298091365
2016,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.2238261350558
2017,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.147377600597984
2018,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.02387729443846
2019,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,57.97301889296934
2020,5) Woodland area under certification scheme (%),Northern Ireland,Percentage (%),Units,Undefined,N92000002,55.456369471458224
2004,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2005,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2006,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2007,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2008,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2009,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2010,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2011,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2012,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,
2013,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,43.58369650005985
2014,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,43.80424227233538
2015,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,43.60274853172501
2016,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,42.73573322805918
2017,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,43.87127963386168
2018,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,43.330485269560825
2019,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,43.9357226186651
2020,5) Woodland area under certification scheme (%),,Percentage (%),Units,Undefined,,43.4843161041556
2004,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,298.2625968890956
2005,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,343.7002328558997
2006,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,353.5774859875248
2007,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,363.86246933528014
2008,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,345.26607780629104
2009,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,352.4980708486472
2010,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,357.16973
2011,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,335.21863
2012,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,354.9737100000001
2013,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,354.739172379
2014,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,349.241315738382
