Year,Measure,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2011,Mean,Male,65 and over,Undefined,Units,Calories per day,1929.59953847564
2011,Mean,Female,65 and over,Undefined,Units,Calories per day,1481.52475122414
2011,Mean,,65 and over,Undefined,Units,Calories per day,1681.57671531796
2011,Mean,Male,65 to 74,Undefined,Units,Calories per day,2024.57810316297
2011,Mean,Female,65 to 74,Undefined,Units,Calories per day,1508.23288374556
2011,Mean,,65 to 74,Undefined,Units,Calories per day,1720.9806941431
2011,Mean,Male,75 and over,Undefined,Units,Calories per day,1811.12669404366
2011,Mean,Female,75 and over,Undefined,Units,Calories per day,1434.27835194188
2011,Mean,,75 and over,Undefined,Units,Calories per day,1622.11659749074
2013,Mean,,1.5 to 3,Undefined,Units,Calories per day,1108.43449810044
2013,Mean,Male,4 to 10,Undefined,Units,Calories per day,1520.15892282037
2013,Mean,Female,4 to 10,Undefined,Units,Calories per day,1400.05918308829
2013,Mean,,4 to 10,Undefined,Units,Calories per day,1461.54835128489
2013,Mean,Male,11 to 18,Undefined,Units,Calories per day,1933.04369957453
2013,Mean,Female,11 to 18,Undefined,Units,Calories per day,1616.962389847
2013,Mean,,11 to 18,Undefined,Units,Calories per day,1779.04571581068
2013,Mean,Male,19 to 64,Undefined,Units,Calories per day,2106.71332442765
2013,Mean,Female,19 to 64,Undefined,Units,Calories per day,1594.92152924256
2013,Mean,,19 to 64,Undefined,Units,Calories per day,1849.09322124678
2013,Mean,Male,65 and over,Undefined,Units,Calories per day,1835.0015696744
2013,Mean,Female,65 and over,Undefined,Units,Calories per day,1488.22961461167
2013,Mean,,65 and over,Undefined,Units,Calories per day,1643.44685934605
2013,Mean,Male,65 to 74,Undefined,Units,Calories per day,1905.8642376995
2013,Mean,Female,65 to 74,Undefined,Units,Calories per day,1521.47855239406
2013,Mean,,65 to 74,Undefined,Units,Calories per day,1703.24267179812
2013,Mean,Male,75 and over,Undefined,Units,Calories per day,1694.88336718492
2013,Mean,Female,75 and over,Undefined,Units,Calories per day,1438.37776944143
2013,Mean,,75 and over,Undefined,Units,Calories per day,1542.22138375103
2015,Mean,,1.5 to 3,Undefined,Units,Calories per day,1076.32050620127
2015,Mean,Male,4 to 10,Undefined,Units,Calories per day,1495.52255821513
2015,Mean,Female,4 to 10,Undefined,Units,Calories per day,1366.00119129482
2015,Mean,,4 to 10,Undefined,Units,Calories per day,1432.29223194992
2015,Mean,Male,11 to 18,Undefined,Units,Calories per day,1867.84043644513
2015,Mean,Female,11 to 18,Undefined,Units,Calories per day,1554.56231781489
2015,Mean,,11 to 18,Undefined,Units,Calories per day,1715.76907858313
2015,Mean,Male,19 to 64,Undefined,Units,Calories per day,2091.29044297588
2015,Mean,Female,19 to 64,Undefined,Units,Calories per day,1632.13610048351
2015,Mean,,19 to 64,Undefined,Units,Calories per day,1860.04917249156
2015,Mean,Male,65 and over,Undefined,Units,Calories per day,1890.86729193927
2015,Mean,Female,65 and over,Undefined,Units,Calories per day,1421.54876786892
2015,Mean,,65 and over,Undefined,Units,Calories per day,1633.43460281512
2015,Mean,Male,65 to 74,Undefined,Units,Calories per day,1940.36026290547
2015,Mean,Female,65 to 74,Undefined,Units,Calories per day,1483.24923192216
2015,Mean,,65 to 74,Undefined,Units,Calories per day,1693.21745371729
2015,Mean,Male,75 and over,Undefined,Units,Calories per day,1823.89743078623
2015,Mean,Female,75 and over,Undefined,Units,Calories per day,1343.94250143892
2015,Mean,,75 and over,Undefined,Units,Calories per day,1555.72558259353
2018,Mean,,1.5 to 3,Undefined,Units,Calories per day,1056.0076400229
2018,Mean,Male,4 to 10,Undefined,Units,Calories per day,1529.40213707735
2018,Mean,Female,4 to 10,Undefined,Units,Calories per day,1350.60643633843
2018,Mean,,4 to 10,Undefined,Units,Calories per day,1442.16586280477
2018,Mean,Male,11 to 18,Undefined,Units,Calories per day,1765.55309815831
2018,Mean,Female,11 to 18,Undefined,Units,Calories per day,1546.0989247611
2018,Mean,,11 to 18,Undefined,Units,Calories per day,1658.63501111013
2018,Mean,Male,19 to 64,Undefined,Units,Calories per day,2052.79511145984
2018,Mean,Female,19 to 64,Undefined,Units,Calories per day,1605.3879630312
2018,Mean,,19 to 64,Undefined,Units,Calories per day,1828.15637457093
2018,Mean,Male,65 and over,Undefined,Units,Calories per day,1835.28848931717
2018,Mean,Female,65 and over,Undefined,Units,Calories per day,1476.79849864251
2018,Mean,,65 and over,Undefined,Units,Calories per day,1639.86873100586
2018,Mean,Male,65 to 74,Undefined,Units,Calories per day,1878.05597061814
2018,Mean,Female,65 to 74,Undefined,Units,Calories per day,1490.09960004853
2018,Mean,,65 to 74,Undefined,Units,Calories per day,1672.71458961775
2018,Mean,Male,75 and over,Undefined,Units,Calories per day,1762.92522074848
2018,Mean,Female,75 and over,Undefined,Units,Calories per day,1457.67710433254
2018,Mean,,75 and over,Undefined,Units,Calories per day,1589.05332865058
