Year,Units,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2009 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,18.05297757214533
2009 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.880719809208992
2009 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,6.0635584388051615
2009 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.275676276364884
2010 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.46827364166007
2010 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.968487002304048
2010 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,18.03289079080528
2010 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.696983166661337
2010 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.7671010786282135
2010 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.093226908363775
2010 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.290982975887179
2010 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.801333279943924
2010 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.823139096640848
2010 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.862907459560736
2010 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.5762001775754975
2010 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,18.59300286777461
2011 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.294552255409455
2011 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.808415739311178
2011 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.798623255030112
2011 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.80257215399447
2011 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.915470951626142
2011 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,18.398546858248075
