Year,Country,Sustainably managed status,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2013,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.78298290196571
2013,Northern Ireland,,Normal value,percentage (%),Units,N92000002,7.97508837594184
2013,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.68956366739978
2013,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.28552470854206
2013,,,Normal value,percentage (%),Units,,12.8944087630956
2013,,Certified,Normal value,percentage (%),Units,,5.61735417628987
2013,,Non-certified,Normal value,percentage (%),Units,,7.2770545868057
2014,England,,Normal value,percentage (%),Units,E92000001,9.97617460053377
2014,England,Certified,Normal value,percentage (%),Units,E92000001,2.68007103348172
2014,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.29610356705205
2014,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2014,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.80542665650539
2014,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.14404571826334
2014,Scotland,,Normal value,percentage (%),Units,S92000003,18.2282800838803
2014,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.5488960662574
2014,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.67938401762285
2014,Northern Ireland,,Normal value,percentage (%),Units,N92000002,7.97508837594184
2014,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.70087959279721
2014,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.27420878314463
2014,,,Normal value,percentage (%),Units,,12.9356049572269
2014,,Certified,Normal value,percentage (%),Units,,5.67259233361852
2014,,Non-certified,Normal value,percentage (%),Units,,7.26301262360834
2015,England,,Normal value,percentage (%),Units,E92000001,10.0529144051533
2015,England,Certified,Normal value,percentage (%),Units,E92000001,2.72944175942906
2015,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.3234726457242
2015,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2015,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.81704765300566
2015,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.13242472176307
2015,Scotland,,Normal value,percentage (%),Units,S92000003,18.3566482534851
