Year,Units,Water type,Geography (HydroBASINs ID),Unit measure,Observation status,Unit multiplier,Value
2001-2005 (baseline),Spatial extent (square km),Permanent,2060048980 (Central South West England),square km,Undefined,Units,1.74574600144762
1984-1988,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,10.8018424678228
1985-1989,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,10.2008889487574
1986-1990,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,9.91166834254742
1998-2002,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,8.67724352815066
1999-2003,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,8.70371633318754
2009-2013,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,7.43687796616689
2010-2014,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,7.16005997334033
2011-2015,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,6.64081778950677
2012-2016,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,5.98452151660434
2013-2017,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,5.90551999606122
2014-2018,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,5.96711616841081
2015-2019,Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,6.00838873059428
1984-1988,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,6.57161329130013
1985-1989,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,7.64626326269872
1986-1990,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,7.85971328126378
1998-2002,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,5.15886182565102
1999-2003,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,5.78753883345592
2009-2013,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,6.0314221554492
2010-2014,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,7.56288434919675
2011-2015,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,8.51632222509185
2012-2016,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,10.4150685328156
2013-2017,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,11.5019126703138
2014-2018,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,12.0188619340261
2015-2019,Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,12.666194973727
1984-1988,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,19.6067599572734
1985-1989,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,20.9329015765223
1986-1990,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,21.2439049238847
1998-2002,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,22.3126141476963
1999-2003,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,23.9751896829257
2009-2013,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,25.4636075125779
2010-2014,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,26.6502978989947
2011-2015,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,27.669917787482
2012-2016,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,27.9526765278956
2013-2017,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,28.0432468726871
2014-2018,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,27.9490287004299
2015-2019,Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,27.911508189354
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060048990 (South West England),square km,Undefined,Units,8.01167135112113
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060048990 (South West England),square km,Undefined,Units,4.51184145687568
2001-2005 (baseline),Spatial extent (square km),Permanent,2060048990 (South West England),square km,Undefined,Units,25.7020712051935
1984-1988,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.27241390766881
1985-1989,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,2.89147649660665
1986-1990,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.30472323665082
1998-2002,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.97946709416557
1999-2003,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.87503500500434
2009-2013,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.8196922511674
2010-2014,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.90578097935819
2011-2015,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.48367522975444
2012-2016,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,3.11837136497391
2013-2017,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,2.70533307221349
2014-2018,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,2.71189916165177
2015-2019,Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,2.59068706614827
1984-1988,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,3.54933612413724
1985-1989,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,4.20896755357975
1986-1990,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,4.24825986656756
1998-2002,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,1.59941600825165
1999-2003,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,1.81067733033729
2009-2013,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,2.34690796779687
2010-2014,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,2.92190980003487
2011-2015,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,3.17819573541157
2012-2016,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,3.72536985526829
2013-2017,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,4.50934008947062
2014-2018,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,4.51486394249013
2015-2019,Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,4.87464395425116
1984-1988,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,12.3579014410535
1985-1989,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,12.3300737286722
1986-1990,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,11.9551812888389
1998-2002,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,11.9545559469877
1999-2003,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,12.7642694207337
2009-2013,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,12.8253444748739
2010-2014,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,13.2945593106063
2011-2015,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,13.7371971176599
2012-2016,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,13.7511630856715
2013-2017,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,14.0231867909717
2014-2018,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,14.1140698066888
2015-2019,Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,14.0204769762829
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060049660 (Severn),square km,Undefined,Units,4.0621164421744
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060049660 (Severn),square km,Undefined,Units,1.45027197672499
2001-2005 (baseline),Spatial extent (square km),Permanent,2060049660 (Severn),square km,Undefined,Units,13.5120740512046
1984-1988,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.169988759902154
1985-1989,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.171864785455948
1986-1990,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.170926772679051
1998-2002,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.114124887855829
1999-2003,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0978659997229445
2009-2013,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0476302043380038
2010-2014,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0521118209387351
2011-2015,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0550300829113042
2012-2016,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0547174119856718
2013-2017,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0462752969935967
2014-2018,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0498189008174307
2015-2019,Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0533625046412647
1984-1988,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0288699488000592
1985-1989,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0325177762657707
1986-1990,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0356444855220948
1998-2002,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0159462172072529
1999-2003,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0179264664029248
2009-2013,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0368951692246245
2010-2014,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0610750541401975
2011-2015,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0678495908622331
2012-2016,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0866098464001778
2013-2017,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.111519296808893
2014-2018,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.123609239266679
2015-2019,Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.129133092286185
1984-1988,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.0274108178137746
1985-1989,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.0286615015163043
1986-1990,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.0313713162051185
1998-2002,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.0488808880405335
1999-2003,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.0655566707409288
2009-2013,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.125902159387984
2010-2014,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.153938319053023
2011-2015,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.168633852557746
2012-2016,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.175512612921659
2013-2017,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.199067155985968
2014-2018,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.208343060113063
2015-2019,Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.213345794923181
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060049670 (South East Wye),square km,Undefined,Units,0.0953646323178853
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060049670 (South East Wye),square km,Undefined,Units,0.0093801277689723
2001-2005 (baseline),Spatial extent (square km),Permanent,2060049670 (South East Wye),square km,Undefined,Units,0.0885900955958497
1984-1988,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.19023399024071
1985-1989,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,0.997211805483635
1986-1990,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.07610910238488
1998-2002,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.83715013537416
1999-2003,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.7680498608094
2009-2013,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.2957083158207
2010-2014,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.27684383664088
2011-2015,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.16386540884571
2012-2016,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.08944972854519
2013-2017,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,0.798665767707054
2014-2018,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,0.83920876439739
2015-2019,Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,0.761249480273042
1984-1988,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.15031633540163
1985-1989,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.49091919705721
1986-1990,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.43140749754517
1998-2002,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,0.641183844830197
1999-2003,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,0.600745071781738
2009-2013,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.27434246923582
2010-2014,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.39003071171982
2011-2015,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.45464936968385
2012-2016,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.65548832758173
2013-2017,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.62505502415351
2014-2018,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.62276210403221
2015-2019,Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,1.78670589270547
1984-1988,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.9333477084425
1985-1989,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.87154308880916
1986-1990,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.87164731245104
1998-2002,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.24317875192989
1999-2003,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.38325532661321
2009-2013,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.89801589384604
2010-2014,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.89113713348213
2011-2015,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,6.01391258361379
2012-2016,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,5.92813652634863
2013-2017,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,6.35670414174879
2014-2018,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,6.32710462745558
2015-2019,Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,6.29385728569667
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060049680 (Wye),square km,Undefined,Units,1.49977820661679
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060049680 (Wye),square km,Undefined,Units,0.484639934730236
2001-2005 (baseline),Spatial extent (square km),Permanent,2060049680 (Wye),square km,Undefined,Units,6.1799408451246
1984-1988,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,10.5928740658585
1985-1989,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,9.39899224815214
1986-1990,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,9.40774703406985
1998-2002,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,12.9483283722894
1999-2003,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,13.3274939814396
2009-2013,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,11.293361162917
2010-2014,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,11.0438497642623
2011-2015,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,10.1939059647516
2012-2016,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,9.52135080371629
2013-2017,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,8.712679566389
2014-2018,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,8.91685368082697
2015-2019,Spatial extent (square km),Ephemeral,2060049690 (Wales & Dee),square km,Undefined,Units,8.31141854516074
1984-1988,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,10.1691007379847
1985-1989,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,12.3951092812037
1986-1990,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,12.8706817590906
1998-2002,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,7.12118455492003
1999-2003,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,7.45073971053659
2009-2013,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,10.0192271409649
2010-2014,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,10.8403009916756
2011-2015,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,11.2565702173343
2012-2016,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,12.8768309539614
2013-2017,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,14.7880840987105
2014-2018,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,15.4024824675781
2015-2019,Spatial extent (square km),Seasonal,2060049690 (Wales & Dee),square km,Undefined,Units,17.0202418368002
1984-1988,Spatial extent (square km),Permanent,2060049690 (Wales & Dee),square km,Undefined,Units,52.7119406686656
1985-1989,Spatial extent (square km),Permanent,2060049690 (Wales & Dee),square km,Undefined,Units,53.6748628959715
1986-1990,Spatial extent (square km),Permanent,2060049690 (Wales & Dee),square km,Undefined,Units,53.1772992296485
1998-2002,Spatial extent (square km),Permanent,2060049690 (Wales & Dee),square km,Undefined,Units,50.7596234090168
1999-2003,Spatial extent (square km),Permanent,2060049690 (Wales & Dee),square km,Undefined,Units,53.4908039444159
