Year,Status classification,Water body category,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2017,High,Estuaries and Coastal,,Percentage (%),Units,Undefined,,21.30492676431425
2018,High,Estuaries and Coastal,,Percentage (%),Units,Undefined,,21.03861517976032
2015,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,51.58311345646438
2016,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,49.33510638297872
2017,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,55.25965379494008
2018,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,54.72703062583223
2018,,,England,Percentage (%),Units,Undefined,E92000001,16.0
2018,High,,England,Percentage (%),Units,Undefined,E92000001,0.0
2018,Good,,England,Percentage (%),Units,Undefined,E92000001,16.0
2018,,Rivers and canals,England,Percentage (%),Units,Undefined,E92000001,15.0
2018,High,Rivers and canals,England,Percentage (%),Units,Undefined,E92000001,0.0
2018,Good,Rivers and canals,England,Percentage (%),Units,Undefined,E92000001,15.0
2018,,Lakes,England,Percentage (%),Units,Undefined,E92000001,16.0
2018,High,Lakes,England,Percentage (%),Units,Undefined,E92000001,0.0
2018,Good,Lakes,England,Percentage (%),Units,Undefined,E92000001,16.0
2018,,Estuaries and Coastal,England,Percentage (%),Units,Undefined,E92000001,29.0
2018,High,Estuaries and Coastal,England,Percentage (%),Units,Undefined,E92000001,1.0
2018,Good,Estuaries and Coastal,England,Percentage (%),Units,Undefined,E92000001,28.0
2018,,,Scotland,Percentage (%),Units,Undefined,S92000003,62.0
2018,High,,Scotland,Percentage (%),Units,Undefined,S92000003,13.0
2018,Good,,Scotland,Percentage (%),Units,Undefined,S92000003,49.0
2018,,Rivers and canals,Scotland,Percentage (%),Units,Undefined,S92000003,55.0
2018,High,Rivers and canals,Scotland,Percentage (%),Units,Undefined,S92000003,7.0
2018,Good,Rivers and canals,Scotland,Percentage (%),Units,Undefined,S92000003,48.0
2018,,Lakes,Scotland,Percentage (%),Units,Undefined,S92000003,62.0
2018,High,Lakes,Scotland,Percentage (%),Units,Undefined,S92000003,31.0
2018,Good,Lakes,Scotland,Percentage (%),Units,Undefined,S92000003,31.0
2018,,Estuaries and Coastal,Scotland,Percentage (%),Units,Undefined,S92000003,99.0
2018,High,Estuaries and Coastal,Scotland,Percentage (%),Units,Undefined,S92000003,31.0
2018,Good,Estuaries and Coastal,Scotland,Percentage (%),Units,Undefined,S92000003,68.0
2018,,,Wales,Percentage (%),Units,Undefined,W92000004,40.0
2018,High,,Wales,Percentage (%),Units,Undefined,W92000004,0.0
2018,Good,,Wales,Percentage (%),Units,Undefined,W92000004,40.0
2018,,Rivers and canals,Wales,Percentage (%),Units,Undefined,W92000004,44.0
2018,High,Rivers and canals,Wales,Percentage (%),Units,Undefined,W92000004,0.0
2018,Good,Rivers and canals,Wales,Percentage (%),Units,Undefined,W92000004,44.0
2018,,Lakes,Wales,Percentage (%),Units,Undefined,W92000004,20.0
2018,High,Lakes,Wales,Percentage (%),Units,Undefined,W92000004,1.0
2018,Good,Lakes,Wales,Percentage (%),Units,Undefined,W92000004,19.0
2018,,Estuaries and Coastal,Wales,Percentage (%),Units,Undefined,W92000004,24.0
2018,High,Estuaries and Coastal,Wales,Percentage (%),Units,Undefined,W92000004,2.0
2018,Good,Estuaries and Coastal,Wales,Percentage (%),Units,Undefined,W92000004,22.0
2018,,,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31.0
2018,High,,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.0
2018,Good,,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31.0
2018,,Rivers and canals,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31.0
2018,High,Rivers and canals,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.0
2018,Good,Rivers and canals,Northern Ireland,Percentage (%),Units,Undefined,N92000002,31.0
2018,,Lakes,Northern Ireland,Percentage (%),Units,Undefined,N92000002,24.0
2018,High,Lakes,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.0
2018,Good,Lakes,Northern Ireland,Percentage (%),Units,Undefined,N92000002,24.0
2018,,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Undefined,N92000002,40.0
2018,High,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Undefined,N92000002,0.0
2018,Good,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Undefined,N92000002,40.0
