Year,Series,Country income classification,Observation status,Units,Value
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),13353.4
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),20434.312
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),107735.26
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),164864.07
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),79195.3
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),118536.423
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),8122.68
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),12157.709
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),12532.43
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),18758.05
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),158.1
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),236.638
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),39143.88
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),58589.026
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),139152.39
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),208277.846
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),119066.08
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),175423.563
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),9842.48
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),14501.216
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),14467.59
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),21315.527
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),226.71
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),334.019
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),37244.15
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),54872.903
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),180847.01
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),266447.227
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),91435.57
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),134029.327
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),20573.65
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),30157.547
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),5869.18
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),8603.241
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),557.52
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),817.232
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),66725.72
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),97808.8
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),185161.64
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),271416.146
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),100842.46
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),145060.507
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),18903.37
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),27192.241
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),3537.2
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),5088.214
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),10843.19
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),15597.781
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),36420.67
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),52390.638
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),170546.89
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),245329.381
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),102733.674
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),145141.212
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),13759.702
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),19439.584
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),4652.922
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),6573.607
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),3593.513
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),5076.883
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),52477.857
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),74140.245
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),177217.668
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),250371.531
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),111666.29
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),154669.241
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),28408.073
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),39348.089
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),6385.607
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),8844.719
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),2484.399
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),3441.147
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),59198.005
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),81995.296
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),208142.374
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),288298.493
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),97574.858
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),132481.526
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),22123.679
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),30038.258
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),528.632
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),717.746
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),5876.912
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),7979.333
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),51474.376
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),69888.945
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),177578.457
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),241105.808
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),66070.484
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),84738.34
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),14417.272
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),18490.794
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),250.0
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),320.636
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),6441.031
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),8260.909
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),23915.013
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),30672.07
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),111093.8
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),142482.75
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,GBP (£ thousands),39612.658
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Constant USD ($ thousands),50400.338
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,GBP (£ thousands),7520.982
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Constant USD ($ thousands),9569.165
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,GBP (£ thousands),1000.0
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Constant USD ($ thousands),1272.329
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,GBP (£ thousands),3639.717
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Constant USD ($ thousands),4630.918
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,GBP (£ thousands),27255.735
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Constant USD ($ thousands),34678.265
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,GBP (£ thousands),79029.093
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Constant USD ($ thousands),100551.014
