Year,Country,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2002,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,5.39
2002,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,6.55
2002,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.85
2002,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.78
2002,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,5.33
2002,,Male,Normal value,Units,"Rate per 1,000 live births",,6.99
2002,,Female,Normal value,Units,"Rate per 1,000 live births",,5.35
2002,,,Normal value,Units,"Rate per 1,000 live births",,6.19
2003,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,6.62
2003,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,5.85
2003,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,6.24
2003,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,6.64
2003,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,5.87
2003,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,6.26
2003,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,6.73
2003,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,5.6
2003,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,6.18
2003,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.52
2003,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.84
2003,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,5.19
2003,,Male,Normal value,Units,"Rate per 1,000 live births",,6.67
2003,,Female,Normal value,Units,"Rate per 1,000 live births",,5.81
2003,,,Normal value,Units,"Rate per 1,000 live births",,6.25
2004,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,6.28
2004,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,5.26
2004,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,5.78
2004,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,6.33
2004,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,5.32
2004,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,5.84
2004,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,6.81
2004,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,4.77
2004,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,5.82
2004,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,6.13
2004,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,5.1
2004,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,5.63
2004,,Male,Normal value,Units,"Rate per 1,000 live births",,6.38
2004,,Female,Normal value,Units,"Rate per 1,000 live births",,5.3
2004,,,Normal value,Units,"Rate per 1,000 live births",,5.86
2005,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,6.49
2005,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,5.1
2005,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,5.81
2005,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,6.51
2005,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,5.1
2005,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,5.82
2005,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,6.84
2005,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,5.78
2005,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,6.33
2005,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.48
2005,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.86
2005,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.69
2005,,Male,Normal value,Units,"Rate per 1,000 live births",,6.58
2005,,Female,Normal value,Units,"Rate per 1,000 live births",,5.18
2005,,,Normal value,Units,"Rate per 1,000 live births",,5.9
2006,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,6.19
2006,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,5.28
2006,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,5.75
2006,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,6.24
2006,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,5.29
2006,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,5.77
2006,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,5.83
2006,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,4.74
2006,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,5.3
2006,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.51
2006,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.15
2006,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.85
2006,,Male,Normal value,Units,"Rate per 1,000 live births",,6.23
2006,,Female,Normal value,Units,"Rate per 1,000 live births",,5.25
2006,,,Normal value,Units,"Rate per 1,000 live births",,5.75
2007,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,6.02
2007,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,4.89
2007,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,5.47
2007,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,6.14
2007,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.9
2007,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,5.54
2007,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,6.03
2007,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,5.13
2007,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,5.59
2007,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,6.8
2007,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.11
2007,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,5.49
2007,,Male,Normal value,Units,"Rate per 1,000 live births",,6.15
2007,,Female,Normal value,Units,"Rate per 1,000 live births",,4.92
2007,,,Normal value,Units,"Rate per 1,000 live births",,5.55
2008,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,5.79
2008,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,4.81
2008,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,5.31
2008,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,5.84
2008,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.84
2008,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,5.35
2008,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,5.3
2008,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,4.41
2008,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.86
2008,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.85
2008,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.28
2008,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.57
2008,,Male,Normal value,Units,"Rate per 1,000 live births",,5.79
2008,,Female,Normal value,Units,"Rate per 1,000 live births",,4.83
2008,,,Normal value,Units,"Rate per 1,000 live births",,5.32
2009,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,5.45
2009,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,4.75
2009,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,5.11
2009,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,5.54
2009,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.81
2009,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,5.19
2009,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,5.4
2009,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.91
2009,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.67
2009,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.6
2009,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.74
2009,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,5.18
2009,,Male,Normal value,Units,"Rate per 1,000 live births",,5.55
2009,,Female,Normal value,Units,"Rate per 1,000 live births",,4.78
2009,,,Normal value,Units,"Rate per 1,000 live births",,5.18
2010,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,5.24
2010,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,4.48
2010,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.87
2010,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,5.26
2010,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.49
2010,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.88
2010,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.75
2010,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,4.08
2010,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.42
2010,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.71
2010,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.89
2010,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.31
2010,,Male,Normal value,Units,"Rate per 1,000 live births",,5.27
2010,,Female,Normal value,Units,"Rate per 1,000 live births",,4.51
2010,,,Normal value,Units,"Rate per 1,000 live births",,4.9
2011,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,5.38
2011,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,4.14
2011,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.78
2011,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,5.42
2011,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.16
2011,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.81
2011,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,5.25
2011,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,4.11
2011,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.69
2011,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.79
2011,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.5
2011,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.16
2011,,Male,Normal value,Units,"Rate per 1,000 live births",,5.43
2011,,Female,Normal value,Units,"Rate per 1,000 live births",,4.15
2011,,,Normal value,Units,"Rate per 1,000 live births",,4.81
2012,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,5.01
2012,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,4.08
2012,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.56
2012,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,5.08
2012,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.12
2012,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.61
2012,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,5.15
2012,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.57
2012,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.38
2012,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.39
2012,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.88
2012,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.65
2012,,Male,Normal value,Units,"Rate per 1,000 live births",,5.05
2012,,Female,Normal value,Units,"Rate per 1,000 live births",,4.08
2012,,,Normal value,Units,"Rate per 1,000 live births",,4.58
2013,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.87
2013,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.95
2013,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.42
2013,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,4.89
2013,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.03
2013,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.47
2013,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.13
2013,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.94
2013,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.03
2013,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.14
2013,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.22
2013,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.18
2013,,Male,Normal value,Units,"Rate per 1,000 live births",,4.86
2013,,Female,Normal value,Units,"Rate per 1,000 live births",,4.05
2013,,,Normal value,Units,"Rate per 1,000 live births",,4.47
2014,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.44
2014,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.91
2014,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.19
2014,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,4.49
2014,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,3.89
2014,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.2
2014,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.41
2014,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.79
2014,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.11
2014,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.45
2014,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,2.83
2014,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,3.67
2014,,Male,Normal value,Units,"Rate per 1,000 live births",,4.56
2014,,Female,Normal value,Units,"Rate per 1,000 live births",,3.88
2014,,,Normal value,Units,"Rate per 1,000 live births",,4.23
2015,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.78
2015,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.67
2015,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.24
2015,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,4.84
2015,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,3.68
2015,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.28
2015,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.27
2015,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.37
2015,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,3.83
2015,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.02
2015,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.24
2015,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.15
2015,,Male,Normal value,Units,"Rate per 1,000 live births",,4.85
2015,,Female,Normal value,Units,"Rate per 1,000 live births",,3.7
2015,,,Normal value,Units,"Rate per 1,000 live births",,4.29
2016,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.68
2016,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,4.11
2016,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.4
2016,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,4.71
2016,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,4.1
2016,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.41
2016,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.14
2016,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,4.04
2016,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.09
2016,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.4
2016,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,2.85
2016,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,3.64
2016,,Male,Normal value,Units,"Rate per 1,000 live births",,4.68
2016,,Female,Normal value,Units,"Rate per 1,000 live births",,4.13
2016,,,Normal value,Units,"Rate per 1,000 live births",,4.42
2017,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.88
2017,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.9
2017,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.4
2017,England and Wales,Male,Normal value,Units,"Rate per 1,000 live births",K04000001,4.92
2017,England and Wales,Female,Normal value,Units,"Rate per 1,000 live births",K04000001,3.9
2017,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.42
2017,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.41
2017,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.28
2017,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,3.86
2017,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.62
2017,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.37
2017,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.01
2017,,Male,Normal value,Units,"Rate per 1,000 live births",,4.88
2017,,Female,Normal value,Units,"Rate per 1,000 live births",,3.87
2017,,,Normal value,Units,"Rate per 1,000 live births",,4.38
2018,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.68
2018,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.94
2018,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.32
2018,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.34
2018,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,3.68
2018,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.76
2018,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,3.72
2018,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.5
2018,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.99
2018,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.25
2018,,Male,Normal value,Units,"Rate per 1,000 live births",,4.62
2018,,Female,Normal value,Units,"Rate per 1,000 live births",,3.98
2018,,,Normal value,Units,"Rate per 1,000 live births",,4.31
2019,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.49
2019,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.9
2019,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.2
2019,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.25
2019,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.63
2019,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.27
2019,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,3.97
2019,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.28
2019,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,4.48
2019,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.38
2019,,Male,Normal value,Units,"Rate per 1,000 live births",,4.57
2019,,Female,Normal value,Units,"Rate per 1,000 live births",,3.95
2019,,,Normal value,Units,"Rate per 1,000 live births",,4.27
2020,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.46
2020,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.53
2020,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.01
2020,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.05
2020,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,3.88
2020,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,3.72
2020,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,3.55
2020,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,5.38
2020,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.73
2020,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,4.57
2020,,Male,Normal value,Units,"Rate per 1,000 live births",,4.51
2020,,Female,Normal value,Units,"Rate per 1,000 live births",,3.58
2020,,,Normal value,Units,"Rate per 1,000 live births",,4.06
2021,England,Male,Normal value,Units,"Rate per 1,000 live births",E92000001,4.53015
2021,England,Female,Normal value,Units,"Rate per 1,000 live births",E92000001,3.77417
2021,England,,Normal value,Units,"Rate per 1,000 live births",E92000001,4.16144
2021,England and Wales,,Normal value,Units,"Rate per 1,000 live births",K04000001,4.17715
2021,Scotland,Male,Normal value,Units,"Rate per 1,000 live births",S92000003,4.35987
2021,Scotland,Female,Normal value,Units,"Rate per 1,000 live births",S92000003,4.60334
2021,Scotland,,Normal value,Units,"Rate per 1,000 live births",S92000003,4.4783
2021,Wales,Male,Normal value,Units,"Rate per 1,000 live births",W92000004,4.73581
2021,Wales,Female,Normal value,Units,"Rate per 1,000 live births",W92000004,3.14286
2021,Wales,,Normal value,Units,"Rate per 1,000 live births",W92000004,3.96095
2021,,Male,Normal value,Units,"Rate per 1,000 live births",K02000001,4.59711
2021,,Female,Normal value,Units,"Rate per 1,000 live births",K02000001,3.86419
2021,,,Normal value,Units,"Rate per 1,000 live births",K02000001,4.2398
