Year,Vaccination by age,Vaccine,Country,Region,GeoCode,Value
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,93.53614830552995
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,94.67015355419527
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,93.47182414667077
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,96.10969483957582
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,95.79529754494907
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,95.77584705426469
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,95.19509125235997
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,94.51434323100149
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,96.45495100190142
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,96.1905946062976
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,95.59220843016116
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,95.35852479958528
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,94.87078504182139
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,95.17508980722297
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,94.86965027430855
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,94.34712458222889
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,93.75504322766571
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,92.80740824265659
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,95.82615891829843
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,95.90093582147405
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,95.55473057514881
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,94.85124156855325
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,94.09032937784187
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,89.76186876322951
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,90.5543219666931
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,89.22235957040343
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,88.77009620609199
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,89.22513220456008
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,93.5687275215192
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,93.01817666721855
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,92.9131951060971
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,93.37376353094623
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,93.74799052991553
2013/14,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,96.02172348360924
2014/15,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,95.63166971561051
2015/16,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,94.79096104076564
2016/17,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,94.63879671893686
2017/18,By 1st birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,95.01690661275141
2009/10,By 1st birthday,Meningococcal group C,,,,93.3
2010/11,By 1st birthday,Meningococcal group C,,,,93.8
2011/12,By 1st birthday,Meningococcal group C,,,,94.3
2012/13,By 1st birthday,Meningococcal group C,,,,94.3
2007/08,By 1st birthday,Meningococcal group C,England,,E92000001,90.3
2008/09,By 1st birthday,Meningococcal group C,England,,E92000001,91.2
2009/10,By 1st birthday,Meningococcal group C,England,,E92000001,92.7
2010/11,By 1st birthday,Meningococcal group C,England,,E92000001,93.4
2011/12,By 1st birthday,Meningococcal group C,England,,E92000001,93.9
2012/13,By 1st birthday,Meningococcal group C,England,,E92000001,93.9
2009/10,By 1st birthday,Meningococcal group C,Wales,,W92000004,95.9
2010/11,By 1st birthday,Meningococcal group C,Wales,,W92000004,95.4
2011/12,By 1st birthday,Meningococcal group C,Wales,,W92000004,96.1
2012/13,By 1st birthday,Meningococcal group C,Wales,,W92000004,96.1
2014/15,By 1st birthday,Meningococcal group C,Wales,,W92000004,97.2
2009/10,By 1st birthday,Meningococcal group C,Scotland,,S92000003,97.0
2010/11,By 1st birthday,Meningococcal group C,Scotland,,S92000003,96.5
2011/12,By 1st birthday,Meningococcal group C,Scotland,,S92000003,96.8
2012/13,By 1st birthday,Meningococcal group C,Scotland,,S92000003,96.9
2014/15,By 1st birthday,Meningococcal group C,Scotland,,S92000003,97.7
2009/10,By 1st birthday,Meningococcal group C,Northern Ireland,,N92000002,97.5
2010/11,By 1st birthday,Meningococcal group C,Northern Ireland,,N92000002,97.2
2011/12,By 1st birthday,Meningococcal group C,Northern Ireland,,N92000002,97.2
2012/13,By 1st birthday,Meningococcal group C,Northern Ireland,,N92000002,97.4
2014/15,By 1st birthday,Meningococcal group C,Northern Ireland,,N92000002,97.5
2015/16,By 1st birthday,Rotavirus,,,,94.0
2016/17,By 1st birthday,Rotavirus,,,,90.2
2017/18,By 1st birthday,Rotavirus,,,,90.6
2016/17,By 1st birthday,Rotavirus,England,,E92000001,89.6
2017/18,By 1st birthday,Rotavirus,England,,E92000001,90.1
2015/16,By 1st birthday,Rotavirus,Wales,,W92000004,96.4
2016/17,By 1st birthday,Rotavirus,Wales,,W92000004,94.1
2017/18,By 1st birthday,Rotavirus,Wales,,W92000004,93.8
2015/16,By 1st birthday,Rotavirus,Scotland,,S92000003,97.1
2016/17,By 1st birthday,Rotavirus,Scotland,,S92000003,93.1
2017/18,By 1st birthday,Rotavirus,Scotland,,S92000003,93.4
2015/16,By 1st birthday,Rotavirus,Northern Ireland,,N92000002,97.1
2016/17,By 1st birthday,Rotavirus,Northern Ireland,,N92000002,94.4
2017/18,By 1st birthday,Rotavirus,Northern Ireland,,N92000002,94.1
2016/17,By 1st birthday,Rotavirus,England,North East,E12000001,93.3
2017/18,By 1st birthday,Rotavirus,England,North East,E12000001,93.8
2016/17,By 1st birthday,Rotavirus,England,North West,E12000002,87.5
2017/18,By 1st birthday,Rotavirus,England,North West,E12000002,88.5
2016/17,By 1st birthday,Rotavirus,England,Yorkshire and The Humber,E12000003,92.2
2017/18,By 1st birthday,Rotavirus,England,Yorkshire and The Humber,E12000003,92.1
2016/17,By 1st birthday,Rotavirus,England,East Midlands,E12000004,92.7
2017/18,By 1st birthday,Rotavirus,England,East Midlands,E12000004,92.2
2016/17,By 1st birthday,Rotavirus,England,West Midlands,E12000005,89.9
2017/18,By 1st birthday,Rotavirus,England,West Midlands,E12000005,89.2
2016/17,By 1st birthday,Rotavirus,England,East of England,E12000006,92.0
2017/18,By 1st birthday,Rotavirus,England,East of England,E12000006,92.0
2016/17,By 1st birthday,Rotavirus,England,London,E12000007,85.8
2017/18,By 1st birthday,Rotavirus,England,London,E12000007,86.5
2016/17,By 1st birthday,Rotavirus,England,South East,E12000008,89.8
2017/18,By 1st birthday,Rotavirus,England,South East,E12000008,90.9
2016/17,By 1st birthday,Rotavirus,England,South West,E12000009,90.3
2017/18,By 1st birthday,Rotavirus,England,South West,E12000009,91.9
2017/18,By 1st birthday,Meningococcal group B,,,,92.9
2017/18,By 1st birthday,Meningococcal group B,England,,E92000001,92.5
2017/18,By 1st birthday,Meningococcal group B,Wales,,W92000004,95.3
2017/18,By 1st birthday,Meningococcal group B,Scotland,,S92000003,95.9
2017/18,By 1st birthday,Meningococcal group B,Northern Ireland,,N92000002,95.8
2017/18,By 1st birthday,Meningococcal group B,England,North East,E12000001,94.8
2017/18,By 1st birthday,Meningococcal group B,England,North West,E12000002,92.6
2017/18,By 1st birthday,Meningococcal group B,England,Yorkshire and The Humber,E12000003,94.2
2017/18,By 1st birthday,Meningococcal group B,England,East Midlands,E12000004,94.4
2017/18,By 1st birthday,Meningococcal group B,England,West Midlands,E12000005,93.0
2017/18,By 1st birthday,Meningococcal group B,England,East of England,E12000006,93.8
2017/18,By 1st birthday,Meningococcal group B,England,London,E12000007,87.9
2017/18,By 1st birthday,Meningococcal group B,England,South East,E12000008,92.7
2017/18,By 1st birthday,Meningococcal group B,England,South West,E12000009,94.6
2009/10,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,95.7
2010/11,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,96.3
2011/12,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,96.4
2012/13,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,96.6
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,96.4
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,96.1
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,95.6
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,95.5
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,,,,95.4
2007/08,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,93.6
2008/09,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,93.9
2009/10,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,95.3
2010/11,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,96.0
2011/12,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,96.1
2012/13,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,96.3
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,96.1
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,95.7
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,95.2
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,95.1
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,,E92000001,95.1
2009/10,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.5
2010/11,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.4
2011/12,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.4
2012/13,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.7
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.7
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.8
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.0
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,97.0
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Wales,,W92000004,96.6
2009/10,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,98.4
2010/11,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,98.1
2011/12,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,98.1
2012/13,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,98.2
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,98.2
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,98.1
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.9
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.7
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Scotland,,S92000003,97.6
2009/10,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,98.5
2010/11,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,98.8
2011/12,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,98.4
2012/13,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,98.6
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,98.6
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.5
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,98.2
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.9
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,Northern Ireland,,N92000002,97.8
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,97.9
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,97.8
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,98.0
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,97.4
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North East,E12000001,97.2
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,97.3
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,96.6
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,95.5
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,96.4
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,North West,E12000002,95.7
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,97.3
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,97.0
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,97.1
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,96.7
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,Yorkshire and The Humber,E12000003,96.2
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,97.7
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,97.5
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,97.0
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,96.7
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East Midlands,E12000004,96.5
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,96.6
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,96.5
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,96.2
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,96.0
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,West Midlands,E12000005,95.6
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,97.0
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,96.9
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,96.4
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,96.2
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,East of England,E12000006,95.8
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,93.1
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,92.5
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,92.2
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,91.6
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,London,E12000007,91.7
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,95.2
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,94.7
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,93.7
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,93.8
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South East,E12000008,95.0
2013/14,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,97.4
2014/15,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,96.9
2015/16,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,96.5
2016/17,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,96.3
2017/18,By 2nd birthday,Diphtheria Tetanus Polio Pertussis Hib,England,South West,E12000009,96.5
2009/10,By 2nd birthday,Meningococcal group C,,,,94.5
2010/11,By 2nd birthday,Meningococcal group C,,,,95.0
2011/12,By 2nd birthday,Meningococcal group C,,,,95.1
2012/13,By 2nd birthday,Meningococcal group C,,,,95.3
2007/08,By 2nd birthday,Meningococcal group C,England,,E92000001,93.2
2008/09,By 2nd birthday,Meningococcal group C,England,,E92000001,91.9
2009/10,By 2nd birthday,Meningococcal group C,England,,E92000001,94.2
2010/11,By 2nd birthday,Meningococcal group C,England,,E92000001,94.8
2011/12,By 2nd birthday,Meningococcal group C,England,,E92000001,94.9
2012/13,By 2nd birthday,Meningococcal group C,England,,E92000001,95.1
2009/10,By 2nd birthday,Meningococcal group C,Wales,,W92000004,96.2
2010/11,By 2nd birthday,Meningococcal group C,Wales,,W92000004,96.0
2011/12,By 2nd birthday,Meningococcal group C,Wales,,W92000004,96.0
2012/13,By 2nd birthday,Meningococcal group C,Wales,,W92000004,96.6
2009/10,By 2nd birthday,Meningococcal group C,Scotland,,S92000003,96.4
2010/11,By 2nd birthday,Meningococcal group C,Scotland,,S92000003,96.2
2011/12,By 2nd birthday,Meningococcal group C,Scotland,,S92000003,96.1
2012/13,By 2nd birthday,Meningococcal group C,Scotland,,S92000003,96.2
2009/10,By 2nd birthday,Meningococcal group C,Northern Ireland,,N92000002,96.8
2010/11,By 2nd birthday,Meningococcal group C,Northern Ireland,,N92000002,96.7
2011/12,By 2nd birthday,Meningococcal group C,Northern Ireland,,N92000002,96.7
2012/13,By 2nd birthday,Meningococcal group C,Northern Ireland,,N92000002,97.0
2009/10,By 2nd birthday,Pneumococcal disease,,,,88.6
2010/11,By 2nd birthday,Pneumococcal disease,,,,89.8
2011/12,By 2nd birthday,Pneumococcal disease,,,,91.9
2012/13,By 2nd birthday,Pneumococcal disease,,,,92.9
2013/14,By 2nd birthday,Pneumococcal disease,,,,92.9
2014/15,By 2nd birthday,Pneumococcal disease,,,,92.7
2015/16,By 2nd birthday,Pneumococcal disease,,,,92.1
2016/17,By 2nd birthday,Pneumococcal disease,,,,92.0
2017/18,By 2nd birthday,Pneumococcal disease,,,,91.6
2008/09,By 2nd birthday,Pneumococcal disease,England,,E92000001,81.5
2009/10,By 2nd birthday,Pneumococcal disease,England,,E92000001,87.6
2010/11,By 2nd birthday,Pneumococcal disease,England,,E92000001,89.3
2011/12,By 2nd birthday,Pneumococcal disease,England,,E92000001,91.5
2012/13,By 2nd birthday,Pneumococcal disease,England,,E92000001,92.5
2013/14,By 2nd birthday,Pneumococcal disease,England,,E92000001,92.4
2014/15,By 2nd birthday,Pneumococcal disease,England,,E92000001,92.2
2015/16,By 2nd birthday,Pneumococcal disease,England,,E92000001,91.5
2016/17,By 2nd birthday,Pneumococcal disease,England,,E92000001,91.5
2017/18,By 2nd birthday,Pneumococcal disease,England,,E92000001,91.0
2009/10,By 2nd birthday,Pneumococcal disease,Wales,,W92000004,96.3
2010/11,By 2nd birthday,Pneumococcal disease,Wales,,W92000004,91.0
2011/12,By 2nd birthday,Pneumococcal disease,Wales,,W92000004,93.7
2012/13,By 2nd birthday,Pneumococcal disease,Wales,,W92000004,95.2
2013/14,By 2nd birthday,Pneumococcal disease,Wales,,W92000004,95.5
2014/15,By 2nd birthday,Pneumococcal disease,Wales,,W92000004,95.7
2015/16,By 2nd birthday,Pneumococcal disease,Wales,,W92000004,95.6
