Year,Manufacturing industry,Observation status,Unit multiplier,Unit measure,Value
2012,Electrical equipment,Undefined,Units,Percentage (%),2.973258071394104
2012,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),9.942094690891137
2012,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),7.013724456015531
2012,Other transport equipment,Undefined,Units,Percentage (%),3.6499422069104814
2012,Other,Undefined,Units,Percentage (%),0.3877186879285386
2012,,Undefined,Units,Percentage (%),45.92755103185914
2013,Chemicals and chemical products,Undefined,Units,Percentage (%),6.4223098527617815
2013,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.5690090499021245
2013,Weapons and ammunition,Undefined,Units,Percentage (%),0.7926465999035434
2013,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.020341002581634
2013,Electrical equipment,Undefined,Units,Percentage (%),2.86419472892848
2013,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.859258418678543
2013,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),7.65922437515958
2013,Other transport equipment,Undefined,Units,Percentage (%),3.994439558569037
2013,Other,Undefined,Units,Percentage (%),0.4533461942182757
2013,,Undefined,Units,Percentage (%),45.634769780703
2014,Chemicals and chemical products,Undefined,Units,Percentage (%),6.384985329480023
2014,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),6.994970107436742
2014,Weapons and ammunition,Undefined,Units,Percentage (%),0.6381124666328399
2014,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.076044033620862
2014,Electrical equipment,Undefined,Units,Percentage (%),2.691985263297227
2014,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.968872024531757
2014,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),8.098568245494057
2014,Other transport equipment,Undefined,Units,Percentage (%),3.742637163846544
2014,Other,Undefined,Units,Percentage (%),0.4379095060557259
2014,,Undefined,Units,Percentage (%),45.03408414039578
2015,Chemicals and chemical products,Undefined,Units,Percentage (%),6.714728904688829
2015,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.045386797972995
2015,Weapons and ammunition,Undefined,Units,Percentage (%),0.6607637700519999
2015,"Computer, electronic and optical products",Undefined,Units,Percentage (%),6.926151230444814
2015,Electrical equipment,Undefined,Units,Percentage (%),2.7032248804884236
2015,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),7.825386135553175
2015,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),8.60593748964969
2015,Other transport equipment,Undefined,Units,Percentage (%),4.055113328990803
2015,Other,Undefined,Units,Percentage (%),0.4134603707342924
2015,,Undefined,Units,Percentage (%),44.95015290857503
2016,Chemicals and chemical products,Undefined,Units,Percentage (%),6.28267060320468
2016,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.358425091023261
2016,Weapons and ammunition,Undefined,Units,Percentage (%),0.6169201363834159
2016,"Computer, electronic and optical products",Undefined,Units,Percentage (%),6.900141561138439
2016,Electrical equipment,Undefined,Units,Percentage (%),2.587759643508293
2016,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),7.757770715021454
2016,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),9.0230078161578
2016,Other transport equipment,Undefined,Units,Percentage (%),4.266112907401389
2016,Other,Undefined,Units,Percentage (%),0.4279883446159948
2016,,Undefined,Units,Percentage (%),45.22079681845472
2017,Chemicals and chemical products,Undefined,Units,Percentage (%),6.305971355597944
2017,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.0711152780920985
2017,Weapons and ammunition,Undefined,Units,Percentage (%),0.6239694804564999
2017,"Computer, electronic and optical products",Undefined,Units,Percentage (%),7.0813531193085675
2017,Electrical equipment,Undefined,Units,Percentage (%),2.5982563339907108
2017,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.138544933346267
2017,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),8.932785878245127
2017,Other transport equipment,Undefined,Units,Percentage (%),4.2869613009602014
2017,Other,Undefined,Units,Percentage (%),0.492494045887082
2017,,Undefined,Units,Percentage (%),45.5314517258845
2018,Chemicals and chemical products,Undefined,Units,Percentage (%),6.3944822280515226
2018,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.2022737836379465
2018,Weapons and ammunition,Undefined,Units,Percentage (%),0.5716514315327204
2018,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.023421681082612
2018,Electrical equipment,Undefined,Units,Percentage (%),2.42444317410793
2018,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),8.300165084385368
2018,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),8.711006159944864
2018,Other transport equipment,Undefined,Units,Percentage (%),4.033080987514492
2018,Other,Undefined,Units,Percentage (%),0.6443099312415521
2018,,Undefined,Units,Percentage (%),46.304834461499006
2019,Chemicals and chemical products,Undefined,Units,Percentage (%),6.338196214545258
2019,Basic pharmaceutical products and pharmaceutical preparations,Undefined,Units,Percentage (%),7.786214002928575
2019,Weapons and ammunition,Undefined,Units,Percentage (%),0.5846304029502685
2019,"Computer, electronic and optical products",Undefined,Units,Percentage (%),8.212484408048159
2019,Electrical equipment,Undefined,Units,Percentage (%),2.481696404360324
2019,Machinery and equipment n.e.c.,Undefined,Units,Percentage (%),7.781875372851022
2019,"Motor vehicles, trailers and semi-trailers",Undefined,Units,Percentage (%),8.042735506263897
2019,Other transport equipment,Undefined,Units,Percentage (%),3.8830739194099464
2019,Other,Undefined,Units,Percentage (%),0.6757416345788817
2019,,Undefined,Units,Percentage (%),45.786647865936324
