Year,Status classification,Water body category,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2020,High,,England,Percentage (%),Units,Normal value,E92000001,0.0
2018,Good,,England,Percentage (%),Units,Normal value,E92000001,16.0
2019,Good,,England,Percentage (%),Units,Normal value,E92000001,16.0
2020,Good,,England,Percentage (%),Units,Normal value,E92000001,16.0
2018,,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,15.0
2019,,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,15.0
2020,,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,16.0
2018,High,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,0.0
2019,High,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,0.0
2020,High,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,0.0
2018,Good,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,15.0
2019,Good,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,15.0
2020,Good,Rivers and canals,England,Percentage (%),Units,Normal value,E92000001,16.0
2018,,Lakes,England,Percentage (%),Units,Normal value,E92000001,16.0
2019,,Lakes,England,Percentage (%),Units,Normal value,E92000001,16.0
2020,,Lakes,England,Percentage (%),Units,Normal value,E92000001,14.0
2018,High,Lakes,England,Percentage (%),Units,Normal value,E92000001,0.0
2019,High,Lakes,England,Percentage (%),Units,Normal value,E92000001,0.0
2020,High,Lakes,England,Percentage (%),Units,Normal value,E92000001,0.0
2018,Good,Lakes,England,Percentage (%),Units,Normal value,E92000001,16.0
2019,Good,Lakes,England,Percentage (%),Units,Normal value,E92000001,16.0
2020,Good,Lakes,England,Percentage (%),Units,Normal value,E92000001,14.0
2018,,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,29.0
2019,,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,29.0
2020,,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,29.0
2018,High,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,1.0
2019,High,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,1.0
2020,High,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,0.0
2018,Good,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,28.0
2019,Good,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,28.0
2020,Good,Estuaries and Coastal,England,Percentage (%),Units,Normal value,E92000001,29.0
2018,,,Scotland,Percentage (%),Units,Normal value,S92000003,62.0
2019,,,Scotland,Percentage (%),Units,Normal value,S92000003,63.0
2020,,,Scotland,Percentage (%),Units,Normal value,S92000003,63.0
2018,High,,Scotland,Percentage (%),Units,Normal value,S92000003,13.0
2019,High,,Scotland,Percentage (%),Units,Normal value,S92000003,13.0
2020,High,,Scotland,Percentage (%),Units,Normal value,S92000003,14.0
2018,Good,,Scotland,Percentage (%),Units,Normal value,S92000003,49.0
2019,Good,,Scotland,Percentage (%),Units,Normal value,S92000003,50.0
2020,Good,,Scotland,Percentage (%),Units,Normal value,S92000003,49.0
2018,,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,55.0
2019,,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,55.0
2020,,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,55.0
2018,High,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,7.0
2019,High,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,7.0
2020,High,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,8.0
2018,Good,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,48.0
2019,Good,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,48.0
2020,Good,Rivers and canals,Scotland,Percentage (%),Units,Normal value,S92000003,47.0
2018,,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,62.0
2019,,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,69.0
2020,,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,69.0
2018,High,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,31.0
2019,High,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,31.0
2020,High,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,31.0
2018,Good,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,31.0
2019,Good,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,38.0
2020,Good,Lakes,Scotland,Percentage (%),Units,Normal value,S92000003,38.0
2018,,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,99.0
2019,,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,98.0
2020,,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,98.0
2018,High,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,31.0
2019,High,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,30.0
2020,,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,30.0
2018,Good,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,68.0
2019,Good,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,68.0
2020,Good,Estuaries and Coastal,Scotland,Percentage (%),Units,Normal value,S92000003,68.0
2018,,,Wales,Percentage (%),Units,Normal value,W92000004,40.0
2019,,,Wales,Percentage (%),Units,Normal value,W92000004,40.0
2020,,,Wales,Percentage (%),Units,Normal value,W92000004,40.0
2018,High,,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2019,High,,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2020,High,,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2018,Good,,Wales,Percentage (%),Units,Normal value,W92000004,40.0
2019,Good,,Wales,Percentage (%),Units,Normal value,W92000004,40.0
2020,Good,,Wales,Percentage (%),Units,Normal value,W92000004,40.0
2018,,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,44.0
2019,,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,44.0
2020,,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,44.0
2018,High,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2019,High,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2020,High,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2018,Good,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,44.0
2019,Good,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,44.0
2020,Good,Rivers and canals,Wales,Percentage (%),Units,Normal value,W92000004,44.0
2018,,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,20.0
2019,,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,20.0
2020,,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,20.0
2018,High,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,1.0
2019,High,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,1.0
2020,High,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,1.0
2018,Good,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,19.0
2019,Good,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,19.0
2020,Good,Lakes,Wales,Percentage (%),Units,Normal value,W92000004,19.0
2018,,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,24.0
2019,,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,24.0
2020,,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,24.0
2018,High,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,2.0
2019,High,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,2.0
2020,High,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,2.0
2018,Good,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,22.0
2019,Good,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,22.0
2020,,Estuaries and Coastal,Wales,Percentage (%),Units,Normal value,W92000004,22.0
2018,,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2019,,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2020,,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2018,High,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2019,High,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2020,High,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2018,Good,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2019,Good,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2020,Good,,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2018,,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2019,,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2020,,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2018,High,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2019,High,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2020,High,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2018,Good,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2019,Good,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2020,Good,Rivers and canals,Northern Ireland,Percentage (%),Units,Normal value,N92000002,31.0
2018,,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,24.0
2019,,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,24.0
2020,,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,24.0
2018,High,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2019,High,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2020,High,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2018,Good,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,24.0
2019,Good,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,24.0
2020,Good,Lakes,Northern Ireland,Percentage (%),Units,Normal value,N92000002,24.0
2018,,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,40.0
2019,,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,40.0
2020,,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,40.0
2018,High,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2019,High,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2020,High,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2018,Good,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,40.0
2019,Good,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,40.0
2020,Good,Estuaries and Coastal,Northern Ireland,Percentage (%),Units,Normal value,N92000002,40.0
