Year,Country income classification,Observation status,Unit multiplier,Units,Value
2011,LDCs,Definition differs,Thousands,Constant USD ($ thousands),17169.495015
2012,LDCs,Definition differs,Thousands,Constant USD ($ thousands),20444.319595
2013,LDCs,Definition differs,Thousands,Constant USD ($ thousands),29021.44953
2014,LDCs,Definition differs,Thousands,Constant USD ($ thousands),23723.790445
2015,LDCs,Definition differs,Thousands,Constant USD ($ thousands),38953.981135
2016,LDCs,Definition differs,Thousands,Constant USD ($ thousands),30517.458625000003
2017,LDCs,Definition differs,Thousands,Constant USD ($ thousands),18185.98145216185
2018,LDCs,Definition differs,Thousands,Constant USD ($ thousands),17755.865946388752
2019,LDCs,Definition differs,Thousands,Constant USD ($ thousands),25337.67570317975
2020,LDCs,Definition differs,Thousands,Constant USD ($ thousands),21743.041837616252
2009,LMICs,Definition differs,Thousands,Constant USD ($ thousands),3504.26304
2010,LMICs,Definition differs,Thousands,Constant USD ($ thousands),1206.28464
2011,LMICs,Definition differs,Thousands,Constant USD ($ thousands),3796.888205
2012,LMICs,Definition differs,Thousands,Constant USD ($ thousands),13528.346700000002
2013,LMICs,Definition differs,Thousands,Constant USD ($ thousands),8314.74403
2014,LMICs,Definition differs,Thousands,Constant USD ($ thousands),6271.450535
2015,LMICs,Definition differs,Thousands,Constant USD ($ thousands),423.362475
2016,LMICs,Definition differs,Thousands,Constant USD ($ thousands),1177.4829
2017,LMICs,Definition differs,Thousands,Constant USD ($ thousands),29295.557947898254
2018,LMICs,Definition differs,Thousands,Constant USD ($ thousands),27866.788187970502
2019,LMICs,Definition differs,Thousands,Constant USD ($ thousands),22237.423319666254
2020,LMICs,Definition differs,Thousands,Constant USD ($ thousands),12145.142081463
2009,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),4801.201285000001
2010,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),6367.533345
2011,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),208.709935
2012,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),6023.478335000001
2013,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),5998.00086
2014,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),1936.67315
2015,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),2310.3
2016,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),124.69202500000002
2017,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),4920.5989170374505
2019,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),86.8053960475
2020,Other LICs,Definition differs,Thousands,Constant USD ($ thousands),91.6663596595
2009,UMICs,Definition differs,Thousands,Constant USD ($ thousands),340.30719
2010,UMICs,Definition differs,Thousands,Constant USD ($ thousands),332.593355
2011,UMICs,Definition differs,Thousands,Constant USD ($ thousands),258.77927000000005
2012,UMICs,Definition differs,Thousands,Constant USD ($ thousands),5417.80752
2013,UMICs,Definition differs,Thousands,Constant USD ($ thousands),3976.71939
2014,UMICs,Definition differs,Thousands,Constant USD ($ thousands),10011.107475
2015,UMICs,Definition differs,Thousands,Constant USD ($ thousands),1065.22799
2016,UMICs,Definition differs,Thousands,Constant USD ($ thousands),2318.15502
2017,UMICs,Definition differs,Thousands,Constant USD ($ thousands),7502.960761841501
2018,UMICs,Definition differs,Thousands,Constant USD ($ thousands),1753.3505639134999
2019,UMICs,Definition differs,Thousands,Constant USD ($ thousands),1573.1732980271
2020,UMICs,Definition differs,Thousands,Constant USD ($ thousands),5652.4772125693
2009,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),42158.94481
2010,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),146884.15072
2011,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),40244.1425
2012,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),31978.043120000002
2013,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),51042.086814999995
2014,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),35073.33172
2015,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),26747.896135000003
2016,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),25380.994305000004
2017,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),42221.564825106805
2018,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),44124.92270146805
2019,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),67304.81986307896
2020,Unspecified,Definition differs,Thousands,Constant USD ($ thousands),57411.64025846805
2009,,Definition differs,Thousands,Constant USD ($ thousands),60737.09391
2010,,Definition differs,Thousands,Constant USD ($ thousands),173411.37470000001
2011,,Definition differs,Thousands,Constant USD ($ thousands),61678.01492500001
2012,,Definition differs,Thousands,Constant USD ($ thousands),77391.99527
2013,,Definition differs,Thousands,Constant USD ($ thousands),98353.000625
2014,,Definition differs,Thousands,Constant USD ($ thousands),77016.353325
2015,,Definition differs,Thousands,Constant USD ($ thousands),69500.76773500002
2016,,Definition differs,Thousands,Constant USD ($ thousands),59518.782875000004
2017,,Definition differs,Thousands,Constant USD ($ thousands),102126.66390404587
2018,,Definition differs,Thousands,Constant USD ($ thousands),91500.92739974082
2019,,Definition differs,Thousands,Constant USD ($ thousands),116539.89757999957
2020,,Definition differs,Thousands,Constant USD ($ thousands),97043.9677497761
