Year,Age,Number of previous live births,Value
2015,30 to 34,3,95.42402568968033
2015,35 to 39,3,95.89841781719238
2015,40 to 44,3,97.07052441229656
2015,45 and over,3,98.49246231155779
2015,,4 and over,95.46159659520306
2015,19 and under,4 and over,83.33333333333334
2015,20 to 24,4 and over,94.7080291970803
2015,25 to 29,4 and over,94.78984238178634
2015,30 to 34,4 and over,95.01020639600817
2015,35 to 39,4 and over,95.74927039715773
2015,40 to 44,4 and over,97.04239237594479
2015,45 and over,4 and over,97.41697416974169
2015,,Not stated,97.88007268322228
2015,19 and under,Not stated,100.0
2015,20 to 24,Not stated,98.3451536643026
2015,25 to 29,Not stated,98.15384615384616
2015,30 to 34,Not stated,97.8866474543708
2015,35 to 39,Not stated,97.35973597359737
2015,40 to 44,Not stated,95.54140127388536
2015,45 and over,Not stated,100.0
2016,,,97.54056173894638
2016,19 and under,,98.80459770114942
2016,20 to 24,,98.15153852587754
2016,25 to 29,,97.71952964662385
2016,30 to 34,,97.22716060874018
2016,35 to 39,,96.88670648982485
2016,40 to 44,,97.95648560852158
2016,45 and over,,98.89558232931726
2016,,0,99.08068277212946
2016,19 and under,0,99.1198591774684
2016,20 to 24,0,99.25100962479318
2016,25 to 29,0,99.19117006582631
2016,30 to 34,0,98.88469365895457
2016,35 to 39,0,98.84484711211779
2016,40 to 44,0,99.4549135648653
2016,45 and over,0,99.56647398843931
2016,,1,97.0420093533301
2016,19 and under,1,97.83701114266987
2016,20 to 24,1,97.2572315431752
2016,25 to 29,1,97.35357296290992
2016,30 to 34,1,96.80387230268992
2016,35 to 39,1,96.58274956217163
2016,40 to 44,1,97.71164468492842
2016,45 and over,1,98.84393063583815
2016,,2,96.01082707905472
2016,19 and under,2,95.90517241379311
2016,20 to 24,2,96.24342599549212
2016,25 to 29,2,95.96715207128133
2016,30 to 34,2,95.93271049140535
2016,35 to 39,2,95.69042458243018
2016,40 to 44,2,97.60398696568909
2016,45 and over,2,98.98648648648648
2016,,3,95.61164165529786
2016,19 and under,3,97.5
2016,20 to 24,3,95.54908485856906
2016,25 to 29,3,95.15593895155939
2016,30 to 34,3,95.42402568968033
2016,35 to 39,3,95.89841781719238
2016,40 to 44,3,97.07052441229656
2016,45 and over,3,98.49246231155779
2016,,4 and over,95.46159659520306
2016,19 and under,4 and over,83.33333333333334
2016,20 to 24,4 and over,94.7080291970803
2016,25 to 29,4 and over,94.78984238178634
2016,30 to 34,4 and over,95.01020639600817
2016,35 to 39,4 and over,95.74927039715773
2016,40 to 44,4 and over,97.04239237594479
2016,45 and over,4 and over,97.41697416974169
2016,,Not stated,97.88007268322228
2016,19 and under,Not stated,100.0
2016,20 to 24,Not stated,98.3451536643026
2016,25 to 29,Not stated,98.15384615384616
2016,30 to 34,Not stated,97.8866474543708
2016,35 to 39,Not stated,97.35973597359737
2016,40 to 44,Not stated,95.54140127388536
2016,45 and over,Not stated,100.0
2017,,,97.70424050274585
2017,19 and under,,98.72558185307287
2017,20 to 24,,98.29737645408795
2017,25 to 29,,97.88469096200623
2017,30 to 34,,97.48127310195937
2017,35 to 39,,97.10232123257043
2017,40 to 44,,97.94033015296077
2017,45 and over,,99.18367346938776
2017,,0,99.15671973290155
2017,19 and under,0,99.0578734858681
2017,20 to 24,0,99.32095066906331
2017,25 to 29,0,99.20736627272296
2017,30 to 34,0,99.04457804275701
2017,35 to 39,0,99.01980511081089
2017,40 to 44,0,99.39148073022312
2017,45 and over,0,99.76218787158146
2017,,1,96.96533509969768
2017,19 and under,1,97.135955831608
2017,20 to 24,1,97.37547892720306
2017,25 to 29,1,97.20200675110712
2017,30 to 34,1,96.76174918321186
2017,35 to 39,1,96.58969357578809
2017,40 to 44,1,97.44800449690838
2017,45 and over,1,99.10394265232975
2017,,2,96.2952853858509
2017,19 and under,2,96.36363636363636
2017,20 to 24,2,95.7806942229854
2017,25 to 29,2,96.40784432727688
2017,30 to 34,2,96.34859856026956
2017,35 to 39,2,96.00177698800533
2017,40 to 44,2,97.31946389277856
2017,45 and over,2,99.35897435897436
2017,,3,96.11453646614453
2017,19 and under,3,86.66666666666667
2017,20 to 24,3,95.2354260089686
2017,25 to 29,3,95.87827864198933
2017,30 to 34,3,96.04804339403333
2017,35 to 39,3,96.11428571428571
2017,40 to 44,3,97.70417764395935
2017,45 and over,3,98.12206572769952
2017,,4 and over,96.08503472953063
2017,19 and under,4 and over,100.0
2017,20 to 24,4 and over,95.84415584415584
2017,25 to 29,4 and over,95.16546018614271
2017,30 to 34,4 and over,95.92628516003879
2017,35 to 39,4 and over,96.17810760667903
2017,40 to 44,4 and over,97.3337950138504
2017,45 and over,4 and over,98.18840579710145
2017,,Not stated,96.70184696569922
2017,19 and under,Not stated,92.6829268292683
2017,20 to 24,Not stated,95.98393574297188
2017,25 to 29,Not stated,97.23618090452261
2017,30 to 34,Not stated,97.97752808988764
2017,35 to 39,Not stated,95.43973941368078
2017,40 to 44,Not stated,95.77464788732394
2017,45 and over,Not stated,100.0
2018,,,97.41327290863639
2018,19 and under,,98.60128787079067
2018,20 to 24,,98.2320612708853
2018,25 to 29,,97.76364245061934
2018,30 to 34,,97.13439910905083
2018,35 to 39,,96.54375999738843
2018,40 to 44,,97.52097929016861
2018,45 and over,,98.67821330902461
2018,,0,98.78945438305381
2018,19 and under,0,98.97704590818364
2018,20 to 24,0,99.15635012417768
2018,25 to 29,0,98.90359032184543
2018,30 to 34,0,98.54555365593795
2018,35 to 39,0,98.43089921544961
2018,40 to 44,0,98.79518072289156
2018,45 and over,0,99.07407407407408
2018,,1,96.55955130320027
2018,19 and under,1,96.64250286150325
2018,20 to 24,1,97.18093643151211
2018,25 to 29,1,97.1074037872136
2018,30 to 34,1,96.32155193290592
2018,35 to 39,1,95.78628821872066
2018,40 to 44,1,96.97594501718213
2018,45 and over,1,98.26989619377161
2018,,2,96.21557316334089
2018,19 and under,2,96.17021276595744
2018,20 to 24,2,96.34366745446962
2018,25 to 29,2,96.34458077709611
2018,30 to 34,2,96.34871861924687
2018,35 to 39,2,95.60410045212409
2018,40 to 44,2,97.20603015075376
2018,45 and over,2,98.64406779661017
2018,,3,96.1594310268188
2018,19 and under,3,76.92307692307693
2018,20 to 24,3,95.42662116040955
2018,25 to 29,3,95.92527582748245
2018,30 to 34,3,96.30517440899322
2018,35 to 39,3,96.00973751058424
2018,40 to 44,3,97.109375
2018,45 and over,3,98.37837837837839
2018,,4 and over,95.82817200495487
2018,19 and under,4 and over,100.0
2018,20 to 24,4 and over,95.97701149425288
2018,25 to 29,4 and over,95.7371707846864
2018,30 to 34,4 and over,95.08344030808729
2018,35 to 39,4 and over,96.06603895266349
2018,40 to 44,4 and over,97.10039869517941
2018,45 and over,4 and over,98.51301115241635
2018,,Not stated,97.35191637630662
2018,19 and under,Not stated,97.67441860465115
2018,20 to 24,Not stated,97.48743718592965
2018,25 to 29,Not stated,97.80821917808218
2018,30 to 34,Not stated,96.94323144104804
2018,35 to 39,Not stated,97.85714285714285
2018,40 to 44,Not stated,93.84615384615384
2018,45 and over,Not stated,100.0
