Year,Country income classification,Observation status,Unit multiplier,Units,Value
2010,,Definition differs,Thousands,USD ($ thousands),10891254.15428
2011,LDCs,Definition differs,Thousands,USD ($ thousands),2598027.1289999997
2011,LMICs,Definition differs,Thousands,USD ($ thousands),1148054.13326
2011,Other LICs,Definition differs,Thousands,USD ($ thousands),264106.94356
2011,UMICs,Definition differs,Thousands,USD ($ thousands),297329.46495
2011,Unspecified,Definition differs,Thousands,USD ($ thousands),6711234.79413
2011,,Definition differs,Thousands,USD ($ thousands),11018752.464899998
2012,LDCs,Definition differs,Thousands,USD ($ thousands),2447620.1407299996
2012,LMICs,Definition differs,Thousands,USD ($ thousands),1288687.98513
2012,Other LICs,Definition differs,Thousands,USD ($ thousands),324251.97069
2012,UMICs,Definition differs,Thousands,USD ($ thousands),362528.96024
2012,Unspecified,Definition differs,Thousands,USD ($ thousands),6816962.821519999
2012,,Definition differs,Thousands,USD ($ thousands),11240051.878309999
2013,LDCs,Definition differs,Thousands,USD ($ thousands),2897512.7956799995
2013,LMICs,Definition differs,Thousands,USD ($ thousands),1738009.09319
2013,Other LICs,Definition differs,Thousands,USD ($ thousands),341818.12729
2013,UMICs,Definition differs,Thousands,USD ($ thousands),316054.5629
2013,Unspecified,Definition differs,Thousands,USD ($ thousands),9273168.32264
2013,,Definition differs,Thousands,USD ($ thousands),14566562.9017
2014,LDCs,Definition differs,Thousands,USD ($ thousands),2950745.98369
2014,LMICs,Definition differs,Thousands,USD ($ thousands),1566413.87829
2014,Other LICs,Definition differs,Thousands,USD ($ thousands),323011.0204
2014,UMICs,Definition differs,Thousands,USD ($ thousands),305838.6906
2014,Unspecified,Definition differs,Thousands,USD ($ thousands),9795494.42248
2014,,Definition differs,Thousands,USD ($ thousands),14941503.99546
2015,LDCs,Definition differs,Thousands,USD ($ thousands),3199058.1228899998
2015,LMICs,Definition differs,Thousands,USD ($ thousands),1699068.8681499998
2015,Other LICs,Definition differs,Thousands,USD ($ thousands),333648.14946
2015,UMICs,Definition differs,Thousands,USD ($ thousands),670689.1985299999
2015,Unspecified,Definition differs,Thousands,USD ($ thousands),9594694.97101
2015,,Definition differs,Thousands,USD ($ thousands),15497159.310039999
2016,LDCs,Definition differs,Thousands,USD ($ thousands),3005177.41911
2016,LMICs,Definition differs,Thousands,USD ($ thousands),1793398.20199
2016,Other LICs,Definition differs,Thousands,USD ($ thousands),304136.27082
2016,UMICs,Definition differs,Thousands,USD ($ thousands),1077433.4537199999
2016,Unspecified,Definition differs,Thousands,USD ($ thousands),10902452.882399999
2016,,Definition differs,Thousands,USD ($ thousands),17082598.22804
2017,LDCs,Definition differs,Thousands,USD ($ thousands),3290931.1752193626
2017,LMICs,Definition differs,Thousands,USD ($ thousands),1737882.4596940447
2017,Other LICs,Definition differs,Thousands,USD ($ thousands),317606.0346122083
2017,UMICs,Definition differs,Thousands,USD ($ thousands),886268.9298860016
2017,Unspecified,Definition differs,Thousands,USD ($ thousands),11712083.500097636
2017,,Definition differs,Thousands,USD ($ thousands),17944772.099509303
2018,LDCs,Definition differs,Thousands,USD ($ thousands),3052160.26995093
2018,LMICs,Definition differs,Thousands,USD ($ thousands),1860426.416515192
2018,Other LICs,Definition differs,Thousands,USD ($ thousands),120119.27870223549
2018,UMICs,Definition differs,Thousands,USD ($ thousands),713413.0577399364
2018,Unspecified,Definition differs,Thousands,USD ($ thousands),12827630.344745956
2018,,Definition differs,Thousands,USD ($ thousands),18573749.367654253
2019,LDCs,Definition differs,Thousands,USD ($ thousands),3463634.1768835215
2019,LMICs,Definition differs,Thousands,USD ($ thousands),1897977.6961837145
2019,Other LICs,Definition differs,Thousands,USD ($ thousands),126817.46753347298
2019,UMICs,Definition differs,Thousands,USD ($ thousands),887089.0037121885
2019,Unspecified,Definition differs,Thousands,USD ($ thousands),13013978.24089009
2019,,Definition differs,Thousands,USD ($ thousands),19389496.585202966
