Year,Gas,Observation status,Unit multiplier,Unit measure,Value
1993,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),16.40212188893192
1994,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),17.304335421513308
1995,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),18.563692283569154
1996,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.475233812887115
1997,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.699299028762255
1998,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),18.035864812912227
1999,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.740488351099541
2000,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),7.7641270896318595
2001,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.420868066560654
2002,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.726667784507015
2003,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.497043210297202
2004,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),8.31095072177263
2005,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.070192635260199
2006,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.904978334217892
2007,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.313024199451709
2008,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.711912496365205
2009,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.219496592317398
2010,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.787281561963573
2011,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.400887464194117
2012,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.002962243214867
2013,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.423884384203044
2014,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.600558606698735
2015,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.588665585191446
2016,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.577201016169031
2017,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.473940478034516
2018,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.135930023320686
2019,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.503460872607635
2020,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.677725136561657
1990,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.6486399436156194
1991,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.3810234351996762
1992,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.68557546559314
1993,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.5971866919270061
1994,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.604955179591253
1995,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.5894466137370373
1996,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.5876390942539391
1997,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.4929566302225134
1998,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.47853167918107564
1999,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.45429483930361436
2000,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.5719098622004246
2001,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.4719336927662574
2002,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.39763846926993923
2003,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.34844336250073815
2004,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.43973371963687635
2005,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.391949401951882
2006,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.38999972552449674
2007,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.2865624511758996
2008,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.2621441646769224
2009,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.19113468455696894
2010,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.2800225094766996
2011,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.40579680754147607
2012,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.2335724481475788
2013,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.2861179433583675
2014,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.23357922738069845
2015,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.2693163250609927
2016,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.27951966655895083
2017,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.4007045451042477
2018,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.14455756154929306
2019,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.21071766654068427
2020,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.1597929550689272
1990,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.200600177973824
1991,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.258841633620714
1992,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.3227231560062833
1993,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.1560964700068517
1994,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.2003646023039796
1995,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.245328169350701
1996,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.2909520370813465
1997,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.2653940487196524
1998,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.3131868985844053
1999,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.4813754858580064
2000,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.8004463070650698
2001,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.4262905455541612
2002,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.462766450289949
2003,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.2857796795156209
2004,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.078951524673526
2005,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.017797270884612
2006,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.8441777746804409
2007,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.802383366815651
2008,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.647564046102311
2009,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.554532803059404
2010,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.655059742622008
2011,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.54595068191378
2012,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.5207949158281674
2013,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.4601382109931926
2014,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.42162295758989576
2015,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.40254307058939903
2016,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.4320121410723349
2017,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.43735544603302556
2018,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.5351903728503545
2019,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.47449766391447723
2020,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.4069438786252129
1990,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000117359638619367
1991,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00013901249194464
1992,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000164660296708427
1993,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000195040121451131
1994,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000231025023858865
1995,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000273649140760826
1996,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000324137407231198
1997,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000383940758865354
1998,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000441531872695157
1999,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00050776165359943
2000,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000583925901639345
2001,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003561948
2002,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003561948
2003,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00033249006656296
2004,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00030878533312592
2005,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000352591305017449
2006,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000380218343372721
2007,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000393373922497184
2008,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00039359586598205
2009,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00038226856298301
2010,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2011,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2012,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2013,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2014,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2015,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2016,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2017,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2018,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2019,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
2020,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00036063767565894
1990,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),806.2583102800191
1991,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),814.5722614341378
1992,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),793.0383954243886
1993,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),773.0709618985804
1994,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),761.7568798758939
1995,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),755.4367034586885
1996,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),775.1856888467769
1997,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),750.4664653566082
1998,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),748.2968698276289
1999,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),718.4759195626154
2000,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),718.2359629414157
2001,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),720.7963914944175
2002,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),698.4867232890492
2003,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),704.9441658672791
2004,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),700.6207451428259
2005,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),692.3341062202084
2006,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),684.6170562192586
2007,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),672.065323489816
2008,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),650.5268626485811
2009,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),594.3044804340451
2010,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),608.576398805018
2011,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),562.8291531093079
2012,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),579.2778574522922
2013,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),565.6222224225413
2014,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),525.2353852520912
2015,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),507.9111653882104
