Year,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2011,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.0183946630254765
2012,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.8204114470763457
2013,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.5331076359381766
2014,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.411221036428522
2015,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.1617750534120668
2016,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,2.954518718869931
2017,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.381710987466804
2018,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.285869777766269
2011,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.710682493809491
2012,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.39832463935546
2013,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.148730723417212
2014,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.240711732569971
2015,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.2258515844986135
2016,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.20183278097667
2017,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.229103986150016
2018,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.152020829022042
2011,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.5289693307304602
2012,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.3222837034699966
2013,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.3969635259460529
2014,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.4592715887384782
2015,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.28688110094205
2016,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.4540524379571294
2017,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.3965860914421817
2018,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.4102212037495243
2010,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.373636
2011,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.289414
2012,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.387698
2013,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.257271125175266
2014,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.23074029948552605
2015,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.2819228987004893
2016,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.4113591692601577
2017,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.3126840275787313
2018,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",K03000001,0.3428006071262445
2010,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.4398878579220871
2011,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.3795557963626219
2012,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.3682632566716643
2013,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.2666177275015741
2014,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.4355425357373539
2015,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.4707890381480357
2016,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.337860095513049
2017,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.3312024595094643
2018,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",K03000001,0.2468645121154931
2010,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.479009
2011,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.373501
2012,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.44699099999999997
2013,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.367399874349243
2014,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.3560762815096352
2015,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.41372719242658573
2016,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.6668760657513126
2017,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.32499652253720884
2018,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",K03000001,0.2232694623192913
2010,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.6491899999999999
2011,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,1.06303
2012,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.9042129999999999
2013,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.7810311670487211
2014,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.8681262038468842
2015,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.7315492310686033
2016,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.9105315355313081
2017,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.6464272683132846
2018,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",K03000001,0.7658383196950292
2010,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,6.815364999999999
2011,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,4.990581
2012,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,5.627182
2013,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,4.846256629398844
2014,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,4.2578982349015915
2015,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,3.9341385203504986
2016,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,3.569402141978021
2017,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,3.7760500251107327
2018,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",K03000001,3.699873261888548
2010,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.448068
2011,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.722812
2012,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.189451
2013,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.632807810581356
2014,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.621434211874675
2015,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.616625741221639
2016,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.2832286719562
2017,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,4.313112201911943
2018,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",K03000001,3.9300400934901063
2010,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,3.3112410000000003
2011,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,3.359225
2012,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,3.0239119999999997
2013,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,2.5076645152063777
2014,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,2.8230928004846345
2015,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,2.3967035957731877
2016,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,3.0679588845572616
2017,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,3.2157598716438907
2018,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",K03000001,3.1096461222712857
2010,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.839732
2011,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,3.3290870000000004
2012,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.625206
2013,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.8470038087082448
2014,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.680386002842572
2015,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.9739132479535906
2016,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.821184874234856
2017,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.6230077362036357
2018,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",K03000001,2.519025606985258
2010,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,3.01748
2011,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.750916
2012,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.52062
2013,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.7059181478816026
2014,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.5168901305546867
2015,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.6467601299305423
2016,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.614745936613826
2017,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.522729560833473
2018,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",K03000001,2.685321002584105
2010,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,2.412579863264746
2011,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,2.3305830461437522
2012,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,2.25331668333581
2013,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,1.912037795878727
2014,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,2.7426501691663723
2015,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,1.9906477062761805
2016,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,2.1906159453646064
2017,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,2.644003777148253
2018,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",K03000001,2.7626233347742595
2010,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.308822008813415
2011,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.9947874910806034
2012,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.9491503766104983
2013,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.4363430747378017
2014,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.1622131447822515
2015,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.5724830543469235
2016,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.4464854157251232
2017,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.3385585656931283
2018,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",K03000001,3.852379798269945
2010,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,5.989701300410777
2011,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,6.4292211262098276
2012,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,5.82135935974692
2013,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,5.888519769088335
2014,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,6.636892920236219
2015,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,6.062658897676816
2016,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,6.850255672867979
2017,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,6.508331140078652
2018,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",K03000001,5.994704053637613
