Year,Series,Renewable and waste source,Observation status,Unit multiplier,Units,Value
1993,Renewable energy share in the total final energy consumption,Biodiesel,Normal,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Biomass,Normal,Units,Percentage (%),0.02819173851945664
1993,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal,Units,Percentage (%),0.18974674441373454
1994,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal,Units,Percentage (%),0.012996352357105105
1994,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal,Units,Percentage (%),0.00043321174523683684
1994,Renewable energy share in the total final energy consumption,Landfill gas,Normal,Units,Percentage (%),0.08144380810452533
1994,Renewable energy share in the total final energy consumption,Sewage gas,Normal,Units,Percentage (%),0.07364599669026227
1994,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal,Units,Percentage (%),0.16678652191618218
1994,Renewable energy share in the total final energy consumption,Poultry litter,Normal,Units,Percentage (%),0.043754386268920524
1994,Renewable energy share in the total final energy consumption,Straw,Normal,Units,Percentage (%),0.0030324822166578583
1994,Renewable energy share in the total final energy consumption,Wood,Normal,Units,Percentage (%),0.42498072207733695
1994,Renewable energy share in the total final energy consumption,Charcoal,Normal,Units,Percentage (%),0.014729199338052454
1994,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Bioethanol,Normal,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Biodiesel,Normal,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Biomass,Normal,Units,Percentage (%),0.028158763440394394
1994,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal,Units,Percentage (%),0.1802762213063959
1995,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal,Units,Percentage (%),0.014734114241388128
1995,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal,Units,Percentage (%),0.0004333563012172978
