Year,Region,County,Local authority,Age,GeoCode,Value
2014,North East,County Durham,,4,E12000001,94.0
2015,North East,County Durham,,4,E12000001,96.0
2016,North East,County Durham,,4,E12000001,98.0
2017,North East,County Durham,,4,E12000001,97.0
2018,North East,County Durham,,4,E12000001,97.0
2011,North East,County Durham,,3 to 4,E12000001,95.0
2012,North East,County Durham,,3 to 4,E12000001,96.0
2013,North East,County Durham,,3 to 4,E12000001,95.0
2014,North East,County Durham,,3 to 4,E12000001,93.0
2015,North East,County Durham,,3 to 4,E12000001,95.0
2016,North East,County Durham,,3 to 4,E12000001,96.0
2017,North East,County Durham,,3 to 4,E12000001,96.0
2018,North East,County Durham,,3 to 4,E12000001,96.0
2015,North East,,Gateshead,2,E12000001,58.0
2016,North East,,Gateshead,2,E12000001,75.0
2017,North East,,Gateshead,2,E12000001,78.0
2018,North East,,Gateshead,2,E12000001,82.0
2011,North East,,Gateshead,3,E12000001,95.0
2012,North East,,Gateshead,3,E12000001,97.0
2013,North East,,Gateshead,3,E12000001,94.0
2014,North East,,Gateshead,3,E12000001,96.0
2015,North East,,Gateshead,3,E12000001,96.0
2016,North East,,Gateshead,3,E12000001,99.0
2017,North East,,Gateshead,3,E12000001,100.0
2018,North East,,Gateshead,3,E12000001,96.0
2011,North East,,Gateshead,4,E12000001,97.0
2012,North East,,Gateshead,4,E12000001,95.0
2013,North East,,Gateshead,4,E12000001,97.0
2014,North East,,Gateshead,4,E12000001,96.0
2015,North East,,Gateshead,4,E12000001,99.0
2016,North East,,Gateshead,4,E12000001,98.0
2017,North East,,Gateshead,4,E12000001,100.0
2018,North East,,Gateshead,4,E12000001,104.0
2011,North East,,Gateshead,3 to 4,E12000001,96.0
2012,North East,,Gateshead,3 to 4,E12000001,96.0
2013,North East,,Gateshead,3 to 4,E12000001,96.0
2014,North East,,Gateshead,3 to 4,E12000001,96.0
2015,North East,,Gateshead,3 to 4,E12000001,97.0
2016,North East,,Gateshead,3 to 4,E12000001,99.0
2017,North East,,Gateshead,3 to 4,E12000001,100.0
2018,North East,,Gateshead,3 to 4,E12000001,100.0
2015,North East,,Hartlepool,2,E12000001,71.0
2016,North East,,Hartlepool,2,E12000001,84.0
2017,North East,,Hartlepool,2,E12000001,85.0
2018,North East,,Hartlepool,2,E12000001,101.0
2011,North East,,Hartlepool,3,E12000001,97.0
2012,North East,,Hartlepool,3,E12000001,97.0
2013,North East,,Hartlepool,3,E12000001,98.0
2014,North East,,Hartlepool,3,E12000001,91.0
2015,North East,,Hartlepool,3,E12000001,99.0
2016,North East,,Hartlepool,3,E12000001,99.0
2017,North East,,Hartlepool,3,E12000001,93.0
2018,North East,,Hartlepool,3,E12000001,96.0
2011,North East,,Hartlepool,4,E12000001,102.0
2012,North East,,Hartlepool,4,E12000001,98.0
2013,North East,,Hartlepool,4,E12000001,101.0
2014,North East,,Hartlepool,4,E12000001,100.0
2015,North East,,Hartlepool,4,E12000001,94.0
2016,North East,,Hartlepool,4,E12000001,103.0
2017,North East,,Hartlepool,4,E12000001,102.0
2018,North East,,Hartlepool,4,E12000001,95.0
2011,North East,,Hartlepool,3 to 4,E12000001,99.0
2012,North East,,Hartlepool,3 to 4,E12000001,98.0
2013,North East,,Hartlepool,3 to 4,E12000001,100.0
2014,North East,,Hartlepool,3 to 4,E12000001,95.0
2015,North East,,Hartlepool,3 to 4,E12000001,97.0
2016,North East,,Hartlepool,3 to 4,E12000001,101.0
2017,North East,,Hartlepool,3 to 4,E12000001,97.0
2018,North East,,Hartlepool,3 to 4,E12000001,95.0
2015,North East,,Middlesbrough,2,E12000001,69.0
2016,North East,,Middlesbrough,2,E12000001,84.0
2017,North East,,Middlesbrough,2,E12000001,75.0
2018,North East,,Middlesbrough,2,E12000001,81.0
2011,North East,,Middlesbrough,3,E12000001,103.0
2012,North East,,Middlesbrough,3,E12000001,100.0
2013,North East,,Middlesbrough,3,E12000001,101.0
2014,North East,,Middlesbrough,3,E12000001,99.0
2015,North East,,Middlesbrough,3,E12000001,95.0
2016,North East,,Middlesbrough,3,E12000001,102.0
2017,North East,,Middlesbrough,3,E12000001,94.0
2018,North East,,Middlesbrough,3,E12000001,98.0
2011,North East,,Middlesbrough,4,E12000001,97.0
2012,North East,,Middlesbrough,4,E12000001,101.0
2013,North East,,Middlesbrough,4,E12000001,99.0
2014,North East,,Middlesbrough,4,E12000001,102.0
2015,North East,,Middlesbrough,4,E12000001,101.0
2016,North East,,Middlesbrough,4,E12000001,99.0
2017,North East,,Middlesbrough,4,E12000001,102.0
2018,North East,,Middlesbrough,4,E12000001,97.0
2011,North East,,Middlesbrough,3 to 4,E12000001,100.0
2012,North East,,Middlesbrough,3 to 4,E12000001,101.0
2013,North East,,Middlesbrough,3 to 4,E12000001,100.0
2014,North East,,Middlesbrough,3 to 4,E12000001,101.0
2015,North East,,Middlesbrough,3 to 4,E12000001,98.0
2016,North East,,Middlesbrough,3 to 4,E12000001,100.0
2017,North East,,Middlesbrough,3 to 4,E12000001,98.0
2018,North East,,Middlesbrough,3 to 4,E12000001,97.0
2015,North East,,Newcastle upon Tyne,2,E12000001,76.0
2016,North East,,Newcastle upon Tyne,2,E12000001,88.0
2017,North East,,Newcastle upon Tyne,2,E12000001,92.0
2018,North East,,Newcastle upon Tyne,2,E12000001,103.0
2011,North East,,Newcastle upon Tyne,3,E12000001,91.0
2012,North East,,Newcastle upon Tyne,3,E12000001,89.0
2013,North East,,Newcastle upon Tyne,3,E12000001,92.0
2014,North East,,Newcastle upon Tyne,3,E12000001,91.0
2015,North East,,Newcastle upon Tyne,3,E12000001,91.0
2016,North East,,Newcastle upon Tyne,3,E12000001,91.0
2017,North East,,Newcastle upon Tyne,3,E12000001,94.0
2018,North East,,Newcastle upon Tyne,3,E12000001,93.0
2011,North East,,Newcastle upon Tyne,4,E12000001,97.0
2012,North East,,Newcastle upon Tyne,4,E12000001,98.0
2013,North East,,Newcastle upon Tyne,4,E12000001,95.0
2014,North East,,Newcastle upon Tyne,4,E12000001,97.0
2015,North East,,Newcastle upon Tyne,4,E12000001,96.0
2016,North East,,Newcastle upon Tyne,4,E12000001,95.0
2017,North East,,Newcastle upon Tyne,4,E12000001,94.0
2018,North East,,Newcastle upon Tyne,4,E12000001,96.0
2011,North East,,Newcastle upon Tyne,3 to 4,E12000001,94.0
2012,North East,,Newcastle upon Tyne,3 to 4,E12000001,93.0
2013,North East,,Newcastle upon Tyne,3 to 4,E12000001,94.0
2014,North East,,Newcastle upon Tyne,3 to 4,E12000001,94.0
2015,North East,,Newcastle upon Tyne,3 to 4,E12000001,93.0
2016,North East,,Newcastle upon Tyne,3 to 4,E12000001,93.0
2017,North East,,Newcastle upon Tyne,3 to 4,E12000001,94.0
2018,North East,,Newcastle upon Tyne,3 to 4,E12000001,95.0
2015,North East,,North Tyneside,2,E12000001,66.0
2016,North East,,North Tyneside,2,E12000001,82.0
2017,North East,,North Tyneside,2,E12000001,83.0
2018,North East,,North Tyneside,2,E12000001,85.0
2011,North East,,North Tyneside,3,E12000001,95.0
2012,North East,,North Tyneside,3,E12000001,99.0
2013,North East,,North Tyneside,3,E12000001,96.0
2014,North East,,North Tyneside,3,E12000001,96.0
2015,North East,,North Tyneside,3,E12000001,100.0
2016,North East,,North Tyneside,3,E12000001,97.0
2017,North East,,North Tyneside,3,E12000001,95.0
2018,North East,,North Tyneside,3,E12000001,103.0
2011,North East,,North Tyneside,4,E12000001,102.0
2012,North East,,North Tyneside,4,E12000001,97.0
2013,North East,,North Tyneside,4,E12000001,103.0
2014,North East,,North Tyneside,4,E12000001,100.0
2015,North East,,North Tyneside,4,E12000001,99.0
2016,North East,,North Tyneside,4,E12000001,103.0
2017,North East,,North Tyneside,4,E12000001,99.0
2018,North East,,North Tyneside,4,E12000001,99.0
2011,North East,,North Tyneside,3 to 4,E12000001,99.0
2012,North East,,North Tyneside,3 to 4,E12000001,98.0
2013,North East,,North Tyneside,3 to 4,E12000001,99.0
2014,North East,,North Tyneside,3 to 4,E12000001,98.0
2015,North East,,North Tyneside,3 to 4,E12000001,100.0
2016,North East,,North Tyneside,3 to 4,E12000001,100.0
2017,North East,,North Tyneside,3 to 4,E12000001,97.0
2018,North East,,North Tyneside,3 to 4,E12000001,101.0
2015,North East,,Northumberland,2,E12000001,65.0
2016,North East,,Northumberland,2,E12000001,78.0
2017,North East,,Northumberland,2,E12000001,81.0
2018,North East,,Northumberland,2,E12000001,85.0
2011,North East,,Northumberland,3,E12000001,98.0
2012,North East,,Northumberland,3,E12000001,99.0
2013,North East,,Northumberland,3,E12000001,98.0
2014,North East,,Northumberland,3,E12000001,97.0
2015,North East,,Northumberland,3,E12000001,100.0
2016,North East,,Northumberland,3,E12000001,106.0
2017,North East,,Northumberland,3,E12000001,104.0
2018,North East,,Northumberland,3,E12000001,113.0
2011,North East,,Northumberland,4,E12000001,103.0
2012,North East,,Northumberland,4,E12000001,102.0
2013,North East,,Northumberland,4,E12000001,102.0
2014,North East,,Northumberland,4,E12000001,101.0
2015,North East,,Northumberland,4,E12000001,100.0
2016,North East,,Northumberland,4,E12000001,102.0
2017,North East,,Northumberland,4,E12000001,107.0
2018,North East,,Northumberland,4,E12000001,107.0
2011,North East,,Northumberland,3 to 4,E12000001,100.0
2012,North East,,Northumberland,3 to 4,E12000001,100.0
2013,North East,,Northumberland,3 to 4,E12000001,100.0
2014,North East,,Northumberland,3 to 4,E12000001,99.0
2015,North East,,Northumberland,3 to 4,E12000001,100.0
2016,North East,,Northumberland,3 to 4,E12000001,104.0
2017,North East,,Northumberland,3 to 4,E12000001,105.0
2018,North East,,Northumberland,3 to 4,E12000001,110.0
2015,North East,,Redcar and Cleveland,2,E12000001,67.0
2016,North East,,Redcar and Cleveland,2,E12000001,72.0
2017,North East,,Redcar and Cleveland,2,E12000001,82.0
2018,North East,,Redcar and Cleveland,2,E12000001,79.0
2011,North East,,Redcar and Cleveland,3,E12000001,106.0
2012,North East,,Redcar and Cleveland,3,E12000001,105.0
2013,North East,,Redcar and Cleveland,3,E12000001,102.0
2014,North East,,Redcar and Cleveland,3,E12000001,96.0
2015,North East,,Redcar and Cleveland,3,E12000001,102.0
2016,North East,,Redcar and Cleveland,3,E12000001,95.0
2017,North East,,Redcar and Cleveland,3,E12000001,99.0
2018,North East,,Redcar and Cleveland,3,E12000001,97.0
2011,North East,,Redcar and Cleveland,4,E12000001,99.0
2012,North East,,Redcar and Cleveland,4,E12000001,104.0
2013,North East,,Redcar and Cleveland,4,E12000001,107.0
2014,North East,,Redcar and Cleveland,4,E12000001,103.0
2015,North East,,Redcar and Cleveland,4,E12000001,100.0
2016,North East,,Redcar and Cleveland,4,E12000001,103.0
2017,North East,,Redcar and Cleveland,4,E12000001,98.0
2018,North East,,Redcar and Cleveland,4,E12000001,103.0
2011,North East,,Redcar and Cleveland,3 to 4,E12000001,102.0
2012,North East,,Redcar and Cleveland,3 to 4,E12000001,105.0
2013,North East,,Redcar and Cleveland,3 to 4,E12000001,104.0
2014,North East,,Redcar and Cleveland,3 to 4,E12000001,99.0
2015,North East,,Redcar and Cleveland,3 to 4,E12000001,101.0
2016,North East,,Redcar and Cleveland,3 to 4,E12000001,99.0
2017,North East,,Redcar and Cleveland,3 to 4,E12000001,99.0
2018,North East,,Redcar and Cleveland,3 to 4,E12000001,100.0
2015,North East,,South Tyneside,2,E12000001,73.0
2016,North East,,South Tyneside,2,E12000001,83.0
2017,North East,,South Tyneside,2,E12000001,83.0
2018,North East,,South Tyneside,2,E12000001,79.0
2011,North East,,South Tyneside,3,E12000001,93.0
2012,North East,,South Tyneside,3,E12000001,91.0
2013,North East,,South Tyneside,3,E12000001,88.0
2014,North East,,South Tyneside,3,E12000001,95.0
2015,North East,,South Tyneside,3,E12000001,91.0
2016,North East,,South Tyneside,3,E12000001,93.0
2017,North East,,South Tyneside,3,E12000001,95.0
2018,North East,,South Tyneside,3,E12000001,95.0
2011,North East,,South Tyneside,4,E12000001,97.0
2012,North East,,South Tyneside,4,E12000001,102.0
2013,North East,,South Tyneside,4,E12000001,98.0
2014,North East,,South Tyneside,4,E12000001,96.0
2015,North East,,South Tyneside,4,E12000001,103.0
2016,North East,,South Tyneside,4,E12000001,96.0
2017,North East,,South Tyneside,4,E12000001,97.0
2018,North East,,South Tyneside,4,E12000001,100.0
2011,North East,,South Tyneside,3 to 4,E12000001,95.0
2012,North East,,South Tyneside,3 to 4,E12000001,96.0
2013,North East,,South Tyneside,3 to 4,E12000001,93.0
2014,North East,,South Tyneside,3 to 4,E12000001,96.0
2015,North East,,South Tyneside,3 to 4,E12000001,97.0
2016,North East,,South Tyneside,3 to 4,E12000001,94.0
2017,North East,,South Tyneside,3 to 4,E12000001,96.0
2018,North East,,South Tyneside,3 to 4,E12000001,97.0
2015,North East,,Stockton-on-Tees,2,E12000001,58.0
2016,North East,,Stockton-on-Tees,2,E12000001,74.0
2017,North East,,Stockton-on-Tees,2,E12000001,78.0
2018,North East,,Stockton-on-Tees,2,E12000001,82.0
2011,North East,,Stockton-on-Tees,3,E12000001,96.0
2012,North East,,Stockton-on-Tees,3,E12000001,101.0
2013,North East,,Stockton-on-Tees,3,E12000001,97.0
2014,North East,,Stockton-on-Tees,3,E12000001,98.0
2015,North East,,Stockton-on-Tees,3,E12000001,95.0
2016,North East,,Stockton-on-Tees,3,E12000001,97.0
2017,North East,,Stockton-on-Tees,3,E12000001,100.0
2018,North East,,Stockton-on-Tees,3,E12000001,98.0
2011,North East,,Stockton-on-Tees,4,E12000001,102.0
2012,North East,,Stockton-on-Tees,4,E12000001,98.0
2013,North East,,Stockton-on-Tees,4,E12000001,101.0
2014,North East,,Stockton-on-Tees,4,E12000001,100.0
2015,North East,,Stockton-on-Tees,4,E12000001,101.0
2016,North East,,Stockton-on-Tees,4,E12000001,99.0
2017,North East,,Stockton-on-Tees,4,E12000001,99.0
2018,North East,,Stockton-on-Tees,4,E12000001,103.0
2011,North East,,Stockton-on-Tees,3 to 4,E12000001,99.0
2012,North East,,Stockton-on-Tees,3 to 4,E12000001,100.0
2013,North East,,Stockton-on-Tees,3 to 4,E12000001,99.0
2014,North East,,Stockton-on-Tees,3 to 4,E12000001,99.0
2015,North East,,Stockton-on-Tees,3 to 4,E12000001,98.0
2016,North East,,Stockton-on-Tees,3 to 4,E12000001,98.0
2017,North East,,Stockton-on-Tees,3 to 4,E12000001,99.0
2018,North East,,Stockton-on-Tees,3 to 4,E12000001,100.0
2015,North East,,Sunderland,2,E12000001,59.0
2016,North East,,Sunderland,2,E12000001,69.0
2017,North East,,Sunderland,2,E12000001,75.0
2018,North East,,Sunderland,2,E12000001,77.0
2011,North East,,Sunderland,3,E12000001,95.0
2012,North East,,Sunderland,3,E12000001,101.0
2013,North East,,Sunderland,3,E12000001,99.0
2014,North East,,Sunderland,3,E12000001,99.0
2015,North East,,Sunderland,3,E12000001,97.0
2016,North East,,Sunderland,3,E12000001,92.0
2017,North East,,Sunderland,3,E12000001,97.0
2018,North East,,Sunderland,3,E12000001,94.0
2011,North East,,Sunderland,4,E12000001,102.0
2012,North East,,Sunderland,4,E12000001,102.0
2013,North East,,Sunderland,4,E12000001,105.0
2014,North East,,Sunderland,4,E12000001,103.0
2015,North East,,Sunderland,4,E12000001,102.0
2016,North East,,Sunderland,4,E12000001,100.0
2017,North East,,Sunderland,4,E12000001,94.0
2018,North East,,Sunderland,4,E12000001,98.0
2011,North East,,Sunderland,3 to 4,E12000001,98.0
2012,North East,,Sunderland,3 to 4,E12000001,101.0
2013,North East,,Sunderland,3 to 4,E12000001,102.0
2014,North East,,Sunderland,3 to 4,E12000001,101.0
2015,North East,,Sunderland,3 to 4,E12000001,100.0
2016,North East,,Sunderland,3 to 4,E12000001,96.0
2017,North East,,Sunderland,3 to 4,E12000001,96.0
2018,North East,,Sunderland,3 to 4,E12000001,96.0
2015,North West,,,2,E12000002,62.0
2016,North West,,,2,E12000002,72.0
2017,North West,,,2,E12000002,79.0
2018,North West,,,2,E12000002,83.0
2011,North West,,,3,E12000002,93.0
2012,North West,,,3,E12000002,94.0
2013,North West,,,3,E12000002,95.0
2014,North West,,,3,E12000002,95.0
2015,North West,,,3,E12000002,95.0
2016,North West,,,3,E12000002,95.0
2017,North West,,,3,E12000002,96.0
2018,North West,,,3,E12000002,95.0
2011,North West,,,4,E12000002,99.0
2012,North West,,,4,E12000002,98.0
2013,North West,,,4,E12000002,100.0
2014,North West,,,4,E12000002,100.0
2015,North West,,,4,E12000002,100.0
2016,North West,,,4,E12000002,99.0
2017,North West,,,4,E12000002,98.0
2018,North West,,,4,E12000002,99.0
2011,North West,,,3 to 4,E12000002,96.0
2012,North West,,,3 to 4,E12000002,96.0
2013,North West,,,3 to 4,E12000002,97.0
2014,North West,,,3 to 4,E12000002,97.0
2015,North West,,,3 to 4,E12000002,97.0
2016,North West,,,3 to 4,E12000002,97.0
2017,North West,,,3 to 4,E12000002,97.0
2018,North West,,,3 to 4,E12000002,97.0
2015,North West,,Blackburn with Darwen,2,E12000002,57.0
2016,North West,,Blackburn with Darwen,2,E12000002,67.0
2017,North West,,Blackburn with Darwen,2,E12000002,67.0
2018,North West,,Blackburn with Darwen,2,E12000002,64.0
2011,North West,,Blackburn with Darwen,3,E12000002,89.0
2012,North West,,Blackburn with Darwen,3,E12000002,87.0
2013,North West,,Blackburn with Darwen,3,E12000002,92.0
2014,North West,,Blackburn with Darwen,3,E12000002,94.0
2015,North West,,Blackburn with Darwen,3,E12000002,98.0
2016,North West,,Blackburn with Darwen,3,E12000002,94.0
2017,North West,,Blackburn with Darwen,3,E12000002,96.0
2018,North West,,Blackburn with Darwen,3,E12000002,95.0
2011,North West,,Blackburn with Darwen,4,E12000002,98.0
2012,North West,,Blackburn with Darwen,4,E12000002,97.0
2013,North West,,Blackburn with Darwen,4,E12000002,95.0
2014,North West,,Blackburn with Darwen,4,E12000002,99.0
2015,North West,,Blackburn with Darwen,4,E12000002,98.0
2016,North West,,Blackburn with Darwen,4,E12000002,103.0
2017,North West,,Blackburn with Darwen,4,E12000002,95.0
2018,North West,,Blackburn with Darwen,4,E12000002,98.0
2011,North West,,Blackburn with Darwen,3 to 4,E12000002,93.0
2012,North West,,Blackburn with Darwen,3 to 4,E12000002,92.0
2013,North West,,Blackburn with Darwen,3 to 4,E12000002,94.0
2014,North West,,Blackburn with Darwen,3 to 4,E12000002,97.0
2015,North West,,Blackburn with Darwen,3 to 4,E12000002,98.0
2016,North West,,Blackburn with Darwen,3 to 4,E12000002,98.0
2017,North West,,Blackburn with Darwen,3 to 4,E12000002,95.0
2018,North West,,Blackburn with Darwen,3 to 4,E12000002,97.0
2015,North West,,Blackpool,2,E12000002,59.0
2016,North West,,Blackpool,2,E12000002,67.0
2017,North West,,Blackpool,2,E12000002,62.0
2018,North West,,Blackpool,2,E12000002,78.0
2011,North West,,Blackpool,3,E12000002,96.0
2012,North West,,Blackpool,3,E12000002,99.0
2013,North West,,Blackpool,3,E12000002,88.0
2014,North West,,Blackpool,3,E12000002,84.0
2015,North West,,Blackpool,3,E12000002,92.0
2016,North West,,Blackpool,3,E12000002,85.0
2017,North West,,Blackpool,3,E12000002,81.0
2018,North West,,Blackpool,3,E12000002,93.0
2011,North West,,Blackpool,4,E12000002,100.0
2012,North West,,Blackpool,4,E12000002,102.0
2013,North West,,Blackpool,4,E12000002,101.0
2014,North West,,Blackpool,4,E12000002,100.0
2015,North West,,Blackpool,4,E12000002,102.0
2016,North West,,Blackpool,4,E12000002,100.0
2017,North West,,Blackpool,4,E12000002,93.0
2018,North West,,Blackpool,4,E12000002,97.0
2011,North West,,Blackpool,3 to 4,E12000002,98.0
2012,North West,,Blackpool,3 to 4,E12000002,101.0
2013,North West,,Blackpool,3 to 4,E12000002,95.0
2014,North West,,Blackpool,3 to 4,E12000002,92.0
2015,North West,,Blackpool,3 to 4,E12000002,97.0
2016,North West,,Blackpool,3 to 4,E12000002,92.0
2017,North West,,Blackpool,3 to 4,E12000002,87.0
2018,North West,,Blackpool,3 to 4,E12000002,95.0
2015,North West,,Bolton,2,E12000002,50.0
2016,North West,,Bolton,2,E12000002,65.0
2017,North West,,Bolton,2,E12000002,65.0
2018,North West,,Bolton,2,E12000002,72.0
2011,North West,,Bolton,3,E12000002,93.0
2012,North West,,Bolton,3,E12000002,98.0
2013,North West,,Bolton,3,E12000002,95.0
2014,North West,,Bolton,3,E12000002,93.0
2015,North West,,Bolton,3,E12000002,97.0
2016,North West,,Bolton,3,E12000002,97.0
2017,North West,,Bolton,3,E12000002,98.0
2018,North West,,Bolton,3,E12000002,99.0
2011,North West,,Bolton,4,E12000002,99.0
2012,North West,,Bolton,4,E12000002,101.0
2013,North West,,Bolton,4,E12000002,103.0
2014,North West,,Bolton,4,E12000002,103.0
2015,North West,,Bolton,4,E12000002,99.0
2016,North West,,Bolton,4,E12000002,98.0
2017,North West,,Bolton,4,E12000002,100.0
2018,North West,,Bolton,4,E12000002,102.0
2011,North West,,Bolton,3 to 4,E12000002,96.0
2012,North West,,Bolton,3 to 4,E12000002,100.0
2013,North West,,Bolton,3 to 4,E12000002,99.0
2014,North West,,Bolton,3 to 4,E12000002,98.0
2015,North West,,Bolton,3 to 4,E12000002,98.0
2016,North West,,Bolton,3 to 4,E12000002,98.0
2017,North West,,Bolton,3 to 4,E12000002,99.0
2018,North West,,Bolton,3 to 4,E12000002,100.0
2015,North West,,Bury,2,E12000002,58.0
2016,North West,,Bury,2,E12000002,75.0
2017,North West,,Bury,2,E12000002,89.0
2018,North West,,Bury,2,E12000002,86.0
2011,North West,,Bury,3,E12000002,92.0
2012,North West,,Bury,3,E12000002,93.0
2013,North West,,Bury,3,E12000002,95.0
2014,North West,,Bury,3,E12000002,96.0
2015,North West,,Bury,3,E12000002,94.0
2016,North West,,Bury,3,E12000002,95.0
2017,North West,,Bury,3,E12000002,99.0
2018,North West,,Bury,3,E12000002,97.0
2011,North West,,Bury,4,E12000002,98.0
2012,North West,,Bury,4,E12000002,98.0
2013,North West,,Bury,4,E12000002,97.0
2014,North West,,Bury,4,E12000002,98.0
2015,North West,,Bury,4,E12000002,98.0
2016,North West,,Bury,4,E12000002,96.0
2017,North West,,Bury,4,E12000002,96.0
2018,North West,,Bury,4,E12000002,97.0
2011,North West,,Bury,3 to 4,E12000002,95.0
2012,North West,,Bury,3 to 4,E12000002,96.0
2013,North West,,Bury,3 to 4,E12000002,96.0
2014,North West,,Bury,3 to 4,E12000002,97.0
2015,North West,,Bury,3 to 4,E12000002,96.0
2016,North West,,Bury,3 to 4,E12000002,95.0
2017,North West,,Bury,3 to 4,E12000002,97.0
2018,North West,,Bury,3 to 4,E12000002,97.0
2015,North West,,Cheshire East,2,E12000002,65.0
2016,North West,,Cheshire East,2,E12000002,79.0
2017,North West,,Cheshire East,2,E12000002,76.0
2018,North West,,Cheshire East,2,E12000002,85.0
2011,North West,,Cheshire East,3,E12000002,97.0
2012,North West,,Cheshire East,3,E12000002,102.0
2013,North West,,Cheshire East,3,E12000002,106.0
2014,North West,,Cheshire East,3,E12000002,101.0
2015,North West,,Cheshire East,3,E12000002,102.0
2016,North West,,Cheshire East,3,E12000002,102.0
2017,North West,,Cheshire East,3,E12000002,99.0
2018,North West,,Cheshire East,3,E12000002,99.0
2011,North West,,Cheshire East,4,E12000002,100.0
2012,North West,,Cheshire East,4,E12000002,98.0
2013,North West,,Cheshire East,4,E12000002,103.0
2014,North West,,Cheshire East,4,E12000002,104.0
2015,North West,,Cheshire East,4,E12000002,104.0
2016,North West,,Cheshire East,4,E12000002,102.0
2017,North West,,Cheshire East,4,E12000002,101.0
2018,North West,,Cheshire East,4,E12000002,99.0
2011,North West,,Cheshire East,3 to 4,E12000002,99.0
2012,North West,,Cheshire East,3 to 4,E12000002,100.0
