Year,Performing/Funding,Country,Region,Sector,Source,Source sub-category,Product group,Unit measure,GeoCode,Value
2007,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00128308185998112
2012,Performing research and development,England,North East,Private Non-Profit,,,,Percentage (%),E12000001,0.00128603454171866
2013,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.0012911555842479
2002,Performing research and development,,,Business Enterprise,,,Non-ferrous metals,Percentage (%),,0.00133264924005677
2011,Performing research and development,England,North East,Private Non-Profit,,,,Percentage (%),E12000001,0.00133303441046553
2003,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00134022365967779
2008,Performing research and development,,,Business Enterprise,,,Construction,Percentage (%),,0.0013430931435095
2008,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.0013430931435095
2007,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00134723595298018
2010,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.0013693497207149
2001,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00140181552633354
2006,Performing research and development,,,Business Enterprise,,,"Electricity, gas and water supply",Percentage (%),,0.00141173623389108
2006,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00141173623389108
2005,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00141548927448389
2007,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,0.00147554413897829
2005,Performing research and development,,,Business Enterprise,,,Other transport equipment,Percentage (%),,0.00148626373820808
2009,Funding research and development,,,Higher Education,,,,Percentage (%),,0.00148661689300947
2013,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.0015157043815084
2009,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00155125241009684
2009,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.00155125241009684
2003,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00157673371726799
2004,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00158142175840544
2004,Performing research and development,,,Business Enterprise,,,"Electricity, gas and water supply",Percentage (%),,0.00158142175840544
2004,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),N92000002,0.00158142175840544
2002,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00158252097256741
2006,Performing research and development,,,Business Enterprise,,,Other manufactured goods,Percentage (%),,0.00161341283873266
2012,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),,0.00163677123491466
2016,Performing research and development,Scotland,,Private Non-Profit,,,,Percentage (%),S92000003,0.00165901925819718
2007,Funding research and development,,,Higher Education,,,,Percentage (%),,0.00166800641797546
2015,Performing research and development,Scotland,,Private Non-Profit,,,,Percentage (%),S92000003,0.00167322711129888
2009,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),,0.00168052344427158
2010,Funding research and development,,,Higher Education,,,,Percentage (%),,0.00168056556633192
2006,Performing research and development,,,Business Enterprise,,,Other transport equipment,Percentage (%),,0.00168063837367985
2012,Performing research and development,England,South East,Private Non-Profit,,,,Percentage (%),E12000008,0.00169522735044733
2004,Performing research and development,,,Business Enterprise,,,Other transport equipment,Percentage (%),,0.00173203335444405
2007,Performing research and development,,,Business Enterprise,,,Other manufactured goods,Percentage (%),,0.00173216051097451
2007,Funding research and development,,,Business Enterprise,Overseas,European Commission grants,,Percentage (%),,0.00173216051097451
2010,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),,0.00174280873545532
2010,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00174280873545532
2011,Performing research and development,England,South East,Private Non-Profit,,,,Percentage (%),E12000008,0.00175718172288638
2016,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.0017595658799061
2007,Performing research and development,,,Business Enterprise,,,Other transport equipment,Percentage (%),,0.00179631460397357
2013,Performing research and development,Scotland,,Private Non-Profit,,,,Percentage (%),S92000003,0.00179639037808403
2016,Performing research and development,England,North East,Private Non-Profit,,,,Percentage (%),E12000001,0.00180983919076056
2012,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.00181213958151266
2015,Performing research and development,England,North East,Private Non-Profit,,,,Percentage (%),E12000001,0.00183009215298315
