Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2007,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),11.7
2008,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),10.9
2009,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),9.5
2010,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),9.2
2011,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),9.2
2012,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),8.8
2013,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),8.9
2014,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),9.1
2015,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),8.7
2016,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),8.5
2017,Domestic material consumption per capita (tonnes),,Undefined,Units,DMC per capita (tonnes),8.5
2000,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.9763051042605984
2001,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.8569993064131407
2002,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.952418652521574
2003,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.8612146547344173
2004,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.900062384904855
2005,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.852853593496796
2006,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.75613501219029
2007,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.641111823232892
2008,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.7364024857740867
2009,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.6276885023409706
2010,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.5584684390411017
2011,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.6074194399629613
2012,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.498720665567852
2013,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.648347962817659
2014,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.8029298664949343
2015,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.6820749500844725
2016,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.56026602445463
2017,Domestic material consumption per capita (tonnes),Biomass,Undefined,Units,DMC per capita (tonnes),2.6873495234720672
2000,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.2881070405409766
2001,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.3434895877387377
2002,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.3181416204980317
2003,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.291810244362951
2004,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.3218076943606715
2005,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.285887379103608
2006,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.2972112758951191
2007,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.3348043268736821
2008,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.2496967187393852
2009,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.10045213257201596
2010,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.15038042049410846
2011,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.1418564559430261
2012,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.15465505062396984
2013,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.19743018171551047
2014,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.2304107943427538
2015,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.20939179849485487
2016,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.1857052984016293
2017,Domestic material consumption per capita (tonnes),Metal ores,Undefined,Units,DMC per capita (tonnes),0.17146223058076748
2000,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),5.061277618996674
2001,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),5.140316004939692
2002,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.880466329884092
2003,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.7590242250158035
2004,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.922060570071259
2005,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.712861240819488
2006,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.671639778980092
2007,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.721809354670894
2008,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.1453744350881045
2009,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.3067386224010407
2010,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.2370748651598564
2011,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.2642233321903578
2012,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.0082819244957224
2013,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.0506990798010167
2014,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.3295519282688923
2015,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.1700030717247736
2016,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.3393137044331818
2017,Domestic material consumption per capita (tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.3207485743531966
2000,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.085575373475234
2001,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.097724696767209
2002,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.8997013426945184
2003,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.096781009009552
2004,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.239518001547946
2005,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.151943363464667
2006,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.0393163573473005
2007,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.904108181626932
2008,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.660528793118508
2009,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.3525670368853446
2010,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.080655518288068
2011,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.0451686099887647
2012,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.0481720430107524
2013,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.8591638497044727
2014,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.641909506353256
2015,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.4707571801566584
2016,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.2702728639518894
2017,Domestic material consumption per capita (tonnes),Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.1862865345653097
2000,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),491.44909432436174
2001,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),480.11586927145373
2002,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),455.758754126923
2003,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),441.90123391899004
2004,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),448.93042493452276
2005,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),423.92926349020087
2006,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),407.69979881359694
2007,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),395.0904051953105
2008,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),371.9591232090364
2009,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),340.5109678102596
2010,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),324.81334552009486
2011,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),323.1131050042728
2012,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),308.05099046462755
2013,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),305.4508637498626
2014,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),308.4195651969348
2015,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),287.6620597368636
2016,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),279.25579735782605
2017,Domestic material consumption per GDP (tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),277.19219725816106
2000,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),116.57713674531463
2001,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),109.09061548041372
2002,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),110.64408405981906
2003,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),104.28837118903976
2004,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),103.79627357671083
2005,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),99.72400193719395
2006,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.37167808824506
2007,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),89.0014019248852
2008,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),93.23360480918983
2009,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.16178210801131
2010,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),90.64884343379885
2011,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),91.74387010363043
2012,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),87.21271704423175
2013,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),91.0681210456724
2014,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.6539381221685
2015,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),89.19154000163441
2016,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),84.22874118381661
2017,Domestic material consumption per GDP (tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),87.28611660045033
2000,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.284694507412492
2001,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),13.115680656071474
2002,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.922593759271766
2003,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),10.636187337616102
2004,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.51783480824902
2005,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),9.993444322742993
2006,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),10.176688271406878
2007,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.28239031765057
2008,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),8.507566163284517
2009,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),3.599647298796856
2010,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.328113876592667
2011,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),4.991318262006678
2012,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.397917164327934
2013,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.7889854124033455
2014,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),7.780890036207451
2015,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.963256925717088
2016,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.109413383660457
2017,Domestic material consumption per GDP (tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.569157312931025
2000,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),198.24219373583225
2001,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),196.27594430420302
2002,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),182.899104228873
2003,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),173.4616045164039
2004,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),176.16570876250958
2005,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),164.7422021868073
2006,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),159.9596839110547
2007,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),159.11770508578337
2008,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),141.2395303236217
2009,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),118.49517222961495
2010,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),114.6924809224302
2011,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),114.8539727777614
2012,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),104.99790708326306
2013,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),104.9036746582415
2014,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),112.4377766137304
2015,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),105.41743278581352
2016,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),109.85818936615688
