Year,Skill,Age,Sex,Disability status,Observation status,Unit multiplier,Unit measure,Value
2017,Copying or moving a file or folder,35 to 44,,,Undefined,Units,Percentage (%),74
2017,Using word processing software,35 to 44,,,Undefined,Units,Percentage (%),70
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",35 to 44,,,Undefined,Units,Percentage (%),54
2017,"Using software to edit photos, video or audio files",35 to 44,,,Undefined,Units,Percentage (%),60
2017,Using spreadsheet software,35 to 44,,,Undefined,Units,Percentage (%),57
2017,Writing computer code using a programming language,35 to 44,,,Undefined,Units,Percentage (%),13
2017,Installing software or applications,35 to 44,,,Undefined,Units,Percentage (%),72
2017,Transferring files between computers or other devices,35 to 44,,,Undefined,Units,Percentage (%),66
2017,"Changing the settings of any software, including operating system or security programs",35 to 44,,,Undefined,Units,Percentage (%),52
2017,Copying or moving a file or folder,45 to 54,,,Undefined,Units,Percentage (%),66
2017,Using word processing software,45 to 54,,,Undefined,Units,Percentage (%),63
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",45 to 54,,,Undefined,Units,Percentage (%),52
2017,"Using software to edit photos, video or audio files",45 to 54,,,Undefined,Units,Percentage (%),47
2017,Using spreadsheet software,45 to 54,,,Undefined,Units,Percentage (%),49
2017,Writing computer code using a programming language,45 to 54,,,Undefined,Units,Percentage (%),7
2017,Installing software or applications,45 to 54,,,Undefined,Units,Percentage (%),63
2017,Transferring files between computers or other devices,45 to 54,,,Undefined,Units,Percentage (%),56
2017,"Changing the settings of any software, including operating system or security programs",45 to 54,,,Undefined,Units,Percentage (%),43
2017,Copying or moving a file or folder,55 to 64,,,Undefined,Units,Percentage (%),55
2017,Using word processing software,55 to 64,,,Undefined,Units,Percentage (%),56
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",55 to 64,,,Undefined,Units,Percentage (%),36
2017,"Using software to edit photos, video or audio files",55 to 64,,,Undefined,Units,Percentage (%),38
2017,Using spreadsheet software,55 to 64,,,Undefined,Units,Percentage (%),41
2017,Writing computer code using a programming language,55 to 64,,,Undefined,Units,Percentage (%),4
2017,Installing software or applications,55 to 64,,,Undefined,Units,Percentage (%),50
2017,Transferring files between computers or other devices,55 to 64,,,Undefined,Units,Percentage (%),45
2017,"Changing the settings of any software, including operating system or security programs",55 to 64,,,Undefined,Units,Percentage (%),33
2017,Copying or moving a file or folder,65 and over,,,Undefined,Units,Percentage (%),28
2017,Using word processing software,65 and over,,,Undefined,Units,Percentage (%),30
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",65 and over,,,Undefined,Units,Percentage (%),14
2017,"Using software to edit photos, video or audio files",65 and over,,,Undefined,Units,Percentage (%),18
2017,Using spreadsheet software,65 and over,,,Undefined,Units,Percentage (%),15
2017,Writing computer code using a programming language,65 and over,,,Undefined,Units,Percentage (%),1
2017,Installing software or applications,65 and over,,,Undefined,Units,Percentage (%),21
2017,Transferring files between computers or other devices,65 and over,,,Undefined,Units,Percentage (%),19
2017,"Changing the settings of any software, including operating system or security programs",65 and over,,,Undefined,Units,Percentage (%),15
2017,Copying or moving a file or folder,,Male,,Undefined,Units,Percentage (%),67
2017,Using word processing software,,Male,,Undefined,Units,Percentage (%),65
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,Male,,Undefined,Units,Percentage (%),51
2017,"Using software to edit photos, video or audio files",,Male,,Undefined,Units,Percentage (%),51
2017,Using spreadsheet software,,Male,,Undefined,Units,Percentage (%),51
2017,Writing computer code using a programming language,,Male,,Undefined,Units,Percentage (%),15
2017,Installing software or applications,,Male,,Undefined,Units,Percentage (%),65
2017,Transferring files between computers or other devices,,Male,,Undefined,Units,Percentage (%),61
2017,"Changing the settings of any software, including operating system or security programs",,Male,,Undefined,Units,Percentage (%),48
2017,Copying or moving a file or folder,,Female,,Undefined,Units,Percentage (%),56
2017,Using word processing software,,Female,,Undefined,Units,Percentage (%),56
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,Female,,Undefined,Units,Percentage (%),42
2017,"Using software to edit photos, video or audio files",,Female,,Undefined,Units,Percentage (%),42
2017,Using spreadsheet software,,Female,,Undefined,Units,Percentage (%),40
2017,Writing computer code using a programming language,,Female,,Undefined,Units,Percentage (%),4
2017,Installing software or applications,,Female,,Undefined,Units,Percentage (%),52
2017,Transferring files between computers or other devices,,Female,,Undefined,Units,Percentage (%),46
2017,"Changing the settings of any software, including operating system or security programs",,Female,,Undefined,Units,Percentage (%),31
2017,Copying or moving a file or folder,,,Equality Act disabled,Undefined,Units,Percentage (%),43
2017,Using word processing software,,,Equality Act disabled,Undefined,Units,Percentage (%),43
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Equality Act disabled,Undefined,Units,Percentage (%),27
2017,"Using software to edit photos, video or audio files",,,Equality Act disabled,Undefined,Units,Percentage (%),31
2017,Using spreadsheet software,,,Equality Act disabled,Undefined,Units,Percentage (%),26
2017,Writing computer code using a programming language,,,Equality Act disabled,Undefined,Units,Percentage (%),4
2017,Installing software or applications,,,Equality Act disabled,Undefined,Units,Percentage (%),43
2017,Transferring files between computers or other devices,,,Equality Act disabled,Undefined,Units,Percentage (%),33
2017,"Changing the settings of any software, including operating system or security programs",,,Equality Act disabled,Undefined,Units,Percentage (%),28
2017,Copying or moving a file or folder,,,Not Equality Act disabled,Undefined,Units,Percentage (%),67
2017,Using word processing software,,,Not Equality Act disabled,Undefined,Units,Percentage (%),65
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Not Equality Act disabled,Undefined,Units,Percentage (%),53
2017,"Using software to edit photos, video or audio files",,,Not Equality Act disabled,Undefined,Units,Percentage (%),51
2017,Using spreadsheet software,,,Not Equality Act disabled,Undefined,Units,Percentage (%),51
2017,Writing computer code using a programming language,,,Not Equality Act disabled,Undefined,Units,Percentage (%),11
2017,Installing software or applications,,,Not Equality Act disabled,Undefined,Units,Percentage (%),63
2017,Transferring files between computers or other devices,,,Not Equality Act disabled,Undefined,Units,Percentage (%),60
2017,"Changing the settings of any software, including operating system or security programs",,,Not Equality Act disabled,Undefined,Units,Percentage (%),43.0
