Year,Flow of Official Development Assistance (ODA),Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",228291.2331196067
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),4543.101357533258
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19956.884051552373
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0.0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),171469.2527693109
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),5774.36250127971
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),2.7830743324518576
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),84252.20705927117
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),225.93189178303268
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",84480.92202538665
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),0.0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),3621.6060040770794
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),3621.6060040770794
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,292544.96940462803
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),705.1148451638783
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),456.83547902021047
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)","Energy generation, distribution and efficiency – general (231)",44618.89049693837
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),43395.13941531904
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy research (23182),61.80075743523507
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),41.62110766810692
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",14147.769694689036
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",8378.158823630183
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),328.8950997431086
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),5282.001605786051
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),1.0
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),117.093057861586
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),810.1685617259056
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",48811.78907943275
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",97882.07122419158
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),4337.502630231261
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19058.53098773506
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),1.0
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),16938.36647179378
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),7924.713493272822
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),104711.07693965416
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),21513.858500761504
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),1.0
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",126225.93544041566
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),1.0
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),1.0
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),9669.302548393445
2016,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),9669.302548393445
2010,,"Energy Generation, Distribution and Efficiency (230)",,,204679.66140288816
2011,,"Energy Generation, Distribution and Efficiency (230)",,,351855.40486065275
2012,,"Energy Generation, Distribution and Efficiency (230)",,,472870.72471878683
2013,,"Energy Generation, Distribution and Efficiency (230)",,,546814.3589248436
2014,,"Energy Generation, Distribution and Efficiency (230)",,,569230.6277607075
2015,,"Energy Generation, Distribution and Efficiency (230)",,,547970.3644130665
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),477.1489572626482
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),2716.8186100645366
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)","Energy generation, distribution and efficiency – general (231)",147851.9398315893
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),136098.60484153236
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy research (23182),8559.367422729763
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),4.28011753382141
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",16396.298632406808
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",2733.749501343039
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),1207.7940940384015
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7995.96746515409
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),4453.60016
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.9072943374569166
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1208.1187605154382
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",65233.526559415026
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",284422.8002096067
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),20780.655567533257
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19956.884051552373
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0.0
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),171469.2527693109
2015,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),5774.36250127971
2015,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),2.7830743324518576
2015,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),95449.00476927117
2015,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),225.93189178303268
2015,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2015,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",95677.71973538665
2015,,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),0.0
2015,,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2015,,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),3621.6060040770794
2015,,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),3621.6060040770794
2016,,"Energy Generation, Distribution and Efficiency (230)",,,492630.70133462804
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),705.1148451638783
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),602.6578990202105
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)","Energy generation, distribution and efficiency – general (231)",151440.5663669384
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),138550.17663531905
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy research (23182),11582.616987435234
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),41.62110766810692
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",14179.127174689036
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",8409.516303630184
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),328.8950997431086
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),5282.001605786051
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),1.0
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),117.093057861586
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),839.8085617259056
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",121266.33195943275
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",177181.85148419157
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),11057.027070231261
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19084.647847735057
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),1.0
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),16951.61859179378
2016,,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),7981.417453272822
2016,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2016,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),118643.99525965416
2016,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),21513.858500761504
2016,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),1.0
2016,,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)","Heating, cooling and energy distribution (236)",140158.85376041566
2016,,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (234),1.0
2016,,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),1.0
2016,,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (235),9669.302548393445
2016,,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),9669.302548393445
2009,Bilateral,Transport and Storage (210),,Air transport (21050),1458.13
2009,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2009,Bilateral,Transport and Storage (210),,Rail transport (21030),0.0
2009,Bilateral,Transport and Storage (210),,Road transport (21020),30250.579999999998
2009,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2009,Bilateral,Transport and Storage (210),,,90284.13
2009,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),57716.82000000001
2009,Bilateral,Transport and Storage (210),,Water transport (21040),858.6
2010,Bilateral,Transport and Storage (210),,Air transport (21050),0.0
2010,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2010,Bilateral,Transport and Storage (210),,Rail transport (21030),0.0
2010,Bilateral,Transport and Storage (210),,Road transport (21020),46313.67104
2010,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2010,Bilateral,Transport and Storage (210),,,111122.44198
2010,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),64808.77093999999
2010,Bilateral,Transport and Storage (210),,Water transport (21040),0.0
2011,Bilateral,Transport and Storage (210),,Air transport (21050),20889.298533999998
2011,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2011,Bilateral,Transport and Storage (210),,Rail transport (21030),1568.69562
2011,Bilateral,Transport and Storage (210),,Road transport (21020),44079.63316
2011,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2011,Bilateral,Transport and Storage (210),,,87957.59878999999
2011,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),17884.322476
2011,Bilateral,Transport and Storage (210),,Water transport (21040),3535.649
2012,Bilateral,Transport and Storage (210),,Air transport (21050),0.0
2012,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2012,Bilateral,Transport and Storage (210),,Rail transport (21030),0.0
2012,Bilateral,Transport and Storage (210),,Road transport (21020),39897.96012
2012,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2012,Bilateral,Transport and Storage (210),,,157639.09427100007
2012,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),117741.13415100008
2012,Bilateral,Transport and Storage (210),,Water transport (21040),0.0
2013,Bilateral,Transport and Storage (210),,Air transport (21050),0.0
2013,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2013,Bilateral,Transport and Storage (210),,Rail transport (21030),0.0
2013,Bilateral,Transport and Storage (210),,Road transport (21020),42569.70423
2013,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2013,Bilateral,Transport and Storage (210),,,187397.05711000002
2013,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),144827.35288
2013,Bilateral,Transport and Storage (210),,Water transport (21040),0.0
2014,Bilateral,Transport and Storage (210),,Air transport (21050),0.0
2014,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2014,Bilateral,Transport and Storage (210),,Rail transport (21030),0.0
2014,Bilateral,Transport and Storage (210),,Road transport (21020),41097.156859999996
2014,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2014,Bilateral,Transport and Storage (210),,,125093.59210999997
2014,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),83996.43524999995
2014,Bilateral,Transport and Storage (210),,Water transport (21040),0.0
2015,Bilateral,Transport and Storage (210),,Air transport (21050),16368.22888
2015,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),70.195
2015,Bilateral,Transport and Storage (210),,Rail transport (21030),58.261
2015,Bilateral,Transport and Storage (210),,Road transport (21020),93012.03706999999
2015,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2015,Bilateral,Transport and Storage (210),,,146605.69001999998
2015,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),37096.96807
2015,Bilateral,Transport and Storage (210),,Water transport (21040),0.0
2016,Bilateral,Transport and Storage (210),,Air transport (21050),28485.37236
2016,Bilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2016,Bilateral,Transport and Storage (210),,Rail transport (21030),0.0
2016,Bilateral,Transport and Storage (210),,Road transport (21020),38867.187430000005
2016,Bilateral,Transport and Storage (210),,Storage (21061),0.0
2016,Bilateral,Transport and Storage (210),,,135031.64111
2016,Bilateral,Transport and Storage (210),,Transport policy & administrative management (21010),67645.78876
2016,Bilateral,Transport and Storage (210),,Water transport (21040),33.29256
2010,Multilateral,Transport and Storage (210),,Air transport (21050),6028.2545457596425
2010,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),138.07123693129645
2010,Multilateral,Transport and Storage (210),,Rail transport (21030),12757.883110840057
2010,Multilateral,Transport and Storage (210),,Road transport (21020),170342.2898492968
2010,Multilateral,Transport and Storage (210),,Storage (21061),141.30323082072655
2010,Multilateral,Transport and Storage (210),,,220869.67916221995
2010,Multilateral,Transport and Storage (210),,Transport policy & administrative management (21010),26898.251354874137
2010,Multilateral,Transport and Storage (210),,Water transport (21040),4563.625833697339
2011,Multilateral,Transport and Storage (210),,Air transport (21050),6954.191780101939
2011,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2011,Multilateral,Transport and Storage (210),,Rail transport (21030),37207.47370353636
2011,Multilateral,Transport and Storage (210),,Road transport (21020),219087.34392898736
2011,Multilateral,Transport and Storage (210),,Storage (21061),78.76928231675214
2011,Multilateral,Transport and Storage (210),,,292763.08689725894
2011,Multilateral,Transport and Storage (210),,Transport policy & administrative management (21010),23666.19321628671
2011,Multilateral,Transport and Storage (210),,Water transport (21040),5769.1149860298865
2012,Multilateral,Transport and Storage (210),,Air transport (21050),4816.32032304763
2012,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),44.99807432606463
2012,Multilateral,Transport and Storage (210),,Rail transport (21030),46128.165927621834
2012,Multilateral,Transport and Storage (210),,Road transport (21020),202540.3888679384
2012,Multilateral,Transport and Storage (210),,Storage (21061),0.0027581971135231427
2012,Multilateral,Transport and Storage (210),,,289661.11957618763
2012,Multilateral,Transport and Storage (210),,Transport policy & administrative management (21010),24794.895845907868
2012,Multilateral,Transport and Storage (210),,Water transport (21040),11336.347779148638
2013,Multilateral,Transport and Storage (210),,Air transport (21050),8845.379049898642
2013,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),22.14565729405557
2013,Multilateral,Transport and Storage (210),,Rail transport (21030),27658.94928435255
2013,Multilateral,Transport and Storage (210),,Road transport (21020),289491.22928942915
2013,Multilateral,Transport and Storage (210),,Storage (21061),50.373695467215754
2013,Multilateral,Transport and Storage (210),,,384960.17991429724
2013,Multilateral,Transport and Storage (210),,Transport policy & administrative management (21010),40727.929628409074
2013,Multilateral,Transport and Storage (210),,Water transport (21040),18164.173309446538
2014,Multilateral,Transport and Storage (210),,Air transport (21050),11352.418753750984
2014,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),4.999494293386178
2014,Multilateral,Transport and Storage (210),,Rail transport (21030),24206.764428126662
2014,Multilateral,Transport and Storage (210),,Road transport (21020),316331.6140158561
2014,Multilateral,Transport and Storage (210),,Storage (21061),218.9815261178966
2014,Multilateral,Transport and Storage (210),,,404643.64700739563
2014,Multilateral,Transport and Storage (210),,Transport policy & administrative management (21010),39499.657957016774
2014,Multilateral,Transport and Storage (210),,Water transport (21040),13029.210832233755
2015,Multilateral,Transport and Storage (210),,Air transport (21050),10427.634586271794
2015,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),10.896721793416724
2015,Multilateral,Transport and Storage (210),,Rail transport (21030),39696.85120376074
2015,Multilateral,Transport and Storage (210),,Road transport (21020),256562.54082868077
2015,Multilateral,Transport and Storage (210),,Storage (21061),111.88243907428415
2015,Multilateral,Transport and Storage (210),,,348091.862308509
2015,Multilateral,Transport and Storage (210),,Transport policy & administrative management (21010),28421.331389520717
2015,Multilateral,Transport and Storage (210),,Water transport (21040),12860.725139407334
2016,Multilateral,Transport and Storage (210),,Air transport (21050),5974.616286218171
2016,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),16.961415867648814
2016,Multilateral,Transport and Storage (210),,Rail transport (21030),54422.03873846444
2016,Multilateral,Transport and Storage (210),,Road transport (21020),240283.6429100873
2016,Multilateral,Transport and Storage (210),,Storage (21061),229.39564025675742
2016,Multilateral,Transport and Storage (210),,,343744.827334392
2016,Multilateral,Transport and Storage (210),,Transport policy & administrative management (21010),31096.127860296758
2016,Multilateral,Transport and Storage (210),,Water transport (21040),11722.044483200965
2010,,Transport and Storage (210),,Air transport (21050),6028.2545457596425
2010,,Transport and Storage (210),,Education and training in transport and storage (21081),138.07123693129645
2010,,Transport and Storage (210),,Rail transport (21030),12757.883110840057
2010,,Transport and Storage (210),,Road transport (21020),216655.96088929678
2010,,Transport and Storage (210),,Storage (21061),141.30323082072655
2010,,Transport and Storage (210),,,331992.12114222
2010,,Transport and Storage (210),,Transport policy & administrative management (21010),91707.02229487413
2010,,Transport and Storage (210),,Water transport (21040),4563.625833697339
2011,,Transport and Storage (210),,Air transport (21050),27843.49031410194
2011,,Transport and Storage (210),,Education and training in transport and storage (21081),0.0
2011,,Transport and Storage (210),,Rail transport (21030),38776.16932353636
2011,,Transport and Storage (210),,Road transport (21020),263166.97708898736
2011,,Transport and Storage (210),,Storage (21061),78.76928231675214
2011,,Transport and Storage (210),,,380720.68568725896
2011,,Transport and Storage (210),,Transport policy & administrative management (21010),41550.51569228671
2011,,Transport and Storage (210),,Water transport (21040),9304.763986029886
2012,,Transport and Storage (210),,Air transport (21050),4816.32032304763
2012,,Transport and Storage (210),,Education and training in transport and storage (21081),44.99807432606463
2012,,Transport and Storage (210),,Rail transport (21030),46128.165927621834
2012,,Transport and Storage (210),,Road transport (21020),242438.3489879384
2012,,Transport and Storage (210),,Storage (21061),0.0027581971135231427
2012,,Transport and Storage (210),,,447300.2138471877
2012,,Transport and Storage (210),,Transport policy & administrative management (21010),142536.02999690795
2012,,Transport and Storage (210),,Water transport (21040),11336.347779148638
2013,,Transport and Storage (210),,Air transport (21050),8845.379049898642
2013,,Transport and Storage (210),,Education and training in transport and storage (21081),22.14565729405557
2013,,Transport and Storage (210),,Rail transport (21030),27658.94928435255
2013,,Transport and Storage (210),,Road transport (21020),332060.9335194292
2013,,Transport and Storage (210),,Storage (21061),50.373695467215754
2013,,Transport and Storage (210),,,572357.2370242972
2013,,Transport and Storage (210),,Transport policy & administrative management (21010),185555.28250840906
2013,,Transport and Storage (210),,Water transport (21040),18164.173309446538
2014,,Transport and Storage (210),,Air transport (21050),11352.418753750984
2014,,Transport and Storage (210),,Education and training in transport and storage (21081),4.999494293386178
2014,,Transport and Storage (210),,Rail transport (21030),24206.764428126662
2014,,Transport and Storage (210),,Road transport (21020),357428.7708758561
2014,,Transport and Storage (210),,Storage (21061),218.9815261178966
2014,,Transport and Storage (210),,,529737.2391173956
2014,,Transport and Storage (210),,Transport policy & administrative management (21010),123496.09320701673
2014,,Transport and Storage (210),,Water transport (21040),13029.210832233755
2015,,Transport and Storage (210),,Air transport (21050),26795.863466271796
2015,,Transport and Storage (210),,Education and training in transport and storage (21081),81.09172179341672
2015,,Transport and Storage (210),,Rail transport (21030),39755.11220376074
2015,,Transport and Storage (210),,Road transport (21020),349574.57789868076
2015,,Transport and Storage (210),,Storage (21061),111.88243907428415
2015,,Transport and Storage (210),,,494697.552328509
2015,,Transport and Storage (210),,Transport policy & administrative management (21010),65518.29945952072
2015,,Transport and Storage (210),,Water transport (21040),12860.725139407334
2016,,Transport and Storage (210),,Air transport (21050),34459.988646218175
2016,,Transport and Storage (210),,Education and training in transport and storage (21081),16.961415867648814
2016,,Transport and Storage (210),,Rail transport (21030),54422.03873846444
2016,,Transport and Storage (210),,Road transport (21020),279150.8303400873
2016,,Transport and Storage (210),,Storage (21061),229.39564025675742
2016,,Transport and Storage (210),,,478776.46844439197
2016,,Transport and Storage (210),,Transport policy & administrative management (21010),98741.91662029675
2016,,Transport and Storage (210),,Water transport (21040),11755.337043200965
