Year,Flow of Official Development Assistance (ODA),Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2014,Multilateral,Business and Other Services (250),,Privatisation (25020),10990.788756135082
2015,Multilateral,Business and Other Services (250),,,57915.10210980678
2015,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),53656.19680230226
2015,Multilateral,Business and Other Services (250),,Privatisation (25020),4258.905307504526
2016,Multilateral,Business and Other Services (250),,,33666.50734304634
2016,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),30540.401676913607
2016,Multilateral,Business and Other Services (250),,Privatisation (25020),3126.1056661327275
2010,,Business and Other Services (250),,,66010.37841633057
2010,,Business and Other Services (250),,Business support services & institutions (25010),62708.06674715529
2010,,Business and Other Services (250),,Privatisation (25020),3302.3116691752766
2011,,Business and Other Services (250),,,144402.2795296589
2011,,Business and Other Services (250),,Business support services & institutions (25010),142251.20288336277
2011,,Business and Other Services (250),,Privatisation (25020),2151.0766462961283
2012,,Business and Other Services (250),,,47100.61049396396
2012,,Business and Other Services (250),,Business support services & institutions (25010),46235.52486382956
2012,,Business and Other Services (250),,Privatisation (25020),865.0856301344011
2013,,Business and Other Services (250),,,97858.01175957272
2013,,Business and Other Services (250),,Business support services & institutions (25010),94484.87234895858
2013,,Business and Other Services (250),,Privatisation (25020),3373.1394106141283
2014,,Business and Other Services (250),,,81462.88216528887
2014,,Business and Other Services (250),,Business support services & institutions (25010),70472.0934091538
2014,,Business and Other Services (250),,Privatisation (25020),10990.788756135082
2015,,Business and Other Services (250),,,147803.2524598068
2015,,Business and Other Services (250),,Business support services & institutions (25010),143451.21127230226
2015,,Business and Other Services (250),,Privatisation (25020),4352.041187504526
2016,,Business and Other Services (250),,,123426.5516030463
2016,,Business and Other Services (250),,Business support services & institutions (25010),118794.91981691358
2016,,Business and Other Services (250),,Privatisation (25020),4631.631786132728
2009,Bilateral,Communications (220),,,47628.7
2009,Bilateral,Communications (220),,Communications policy and administrative management (22010),20073.9
2009,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),1515.26
2009,Bilateral,Communications (220),,Radio/television/print media (22030),1409.06
2009,Bilateral,Communications (220),,Telecommunications (22020),24630.48
2010,Bilateral,Communications (220),,,61651.40287899999
2010,Bilateral,Communications (220),,Communications policy and administrative management (22010),7111.44124
2010,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),24495.518051
2010,Bilateral,Communications (220),,Radio/television/print media (22030),10949.3798
2010,Bilateral,Communications (220),,Telecommunications (22020),19095.063788
2011,Bilateral,Communications (220),,,52957.84695000001
2011,Bilateral,Communications (220),,Communications policy and administrative management (22010),9150.55049
2011,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),5291.052280000002
2011,Bilateral,Communications (220),,Radio/television/print media (22030),4301.26738
