Year,Age at which FGM took place,Country of birth,Units,Local Authority,FGM type,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015/16,,,Percentage,,,%,,,,0.0218656554349
2016/17,,,Percentage,,,%,,,,0.023686511841105835
2017/18,,,Percentage,,,%,,,,0.022383405786796918
2018/19,,,Percentage,,,%,,,,0.02311125310511304
2015/16,Not Recorded,,Individuals,,,,,,,3060.0
2016/17,Not Recorded,,Individuals,,,,,,,2855.0
2017/18,Not Recorded,,Individuals,,,,,,,2730.0
2018/19,Not Recorded,,Individuals,,,,,,,2695.0
2015/16,Not Known,,Individuals,,,,,,,1235.0
2016/17,Not Known,,Individuals,,,,,,,1355.0
2017/18,Not Known,,Individuals,,,,,,,1230.0
2018/19,Not Known,,Individuals,,,,,,,1200.0
2015/16,under 1,,Individuals,,,,,,,305.0
2016/17,under 1,,Individuals,,,,,,,430.0
2017/18,under 1,,Individuals,,,,,,,390.0
2018/19,under 1,,Individuals,,,,,,,380.0
2015/16,1 to 4,,Individuals,,,,,,,450.0
2016/17,1 to 4,,Individuals,,,,,,,545.0
2017/18,1 to 4,,Individuals,,,,,,,505.0
2018/19,1 to 4,,Individuals,,,,,,,685.0
2015/16,5 to 9,,Individuals,,,,,,,825.0
2016/17,5 to 9,,Individuals,,,,,,,1050.0
2017/18,5 to 9,,Individuals,,,,,,,885.0
2018/19,5 to 9,,Individuals,,,,,,,805.0
2015/16,10 to 14,,Individuals,,,,,,,175.0
2016/17,10 to 14,,Individuals,,,,,,,235.0
2017/18,10 to 14,,Individuals,,,,,,,210.0
2018/19,10 to 14,,Individuals,,,,,,,170.0
2015/16,15 to 17,,Individuals,,,,,,,20.0
2016/17,15 to 17,,Individuals,,,,,,,30.0
2017/18,15 to 17,,Individuals,,,,,,,20.0
2018/19,15 to 17,,Individuals,,,,,,,25.0
2015/16,18 and over,,Individuals,,,,,,,130.0
2016/17,18 and over,,Individuals,,,,,,,160.0
2017/18,18 and over,,Individuals,,,,,,,295.0
2018/19,18 and over,,Individuals,,,,,,,455.0
2015/16,,Not recorded,Individuals,,,,,,,2225.0
2016/17,,Not recorded,Individuals,,,,,,,2070.0
2017/18,,Not recorded,Individuals,,,,,,,1690.0
2018/19,,Not recorded,Individuals,,,,,,,1580.0
2015/16,,Not known,Individuals,,,,,,,1135.0
2016/17,,Not known,Individuals,,,,,,,1200.0
2017/18,,Not known,Individuals,,,,,,,1045.0
2018/19,,Not known,Individuals,,,,,,,1120.0
2015/16,,Eastern Africa,Individuals,,,,,,,1585.0
2016/17,,Eastern Africa,Individuals,,,,,,,1915.0
2017/18,,Eastern Africa,Individuals,,,,,,,1780.0
2018/19,,Eastern Africa,Individuals,,,,,,,1920.0
2015/16,,Northern Africa,Individuals,,,,,,,325.0
2016/17,,Northern Africa,Individuals,,,,,,,420.0
2017/18,,Northern Africa,Individuals,,,,,,,440.0
2018/19,,Northern Africa,Individuals,,,,,,,540.0
2015/16,,Western Africa,Individuals,,,,,,,665.0
2016/17,,Western Africa,Individuals,,,,,,,665.0
2017/18,,Western Africa,Individuals,,,,,,,805.0
2018/19,,Western Africa,Individuals,,,,,,,745.0
2015/16,,Rest of Africa,Individuals,,,,,,,15.0
2016/17,,Rest of Africa,Individuals,,,,,,,25.0
2017/18,,Rest of Africa,Individuals,,,,,,,40.0
2018/19,,Rest of Africa,Individuals,,,,,,,15.0
2015/16,,United Kingdom,Individuals,,,,,,,45.0
2016/17,,United Kingdom,Individuals,,,,,,,120.0
2017/18,,United Kingdom,Individuals,,,,,,,145.0
2018/19,,United Kingdom,Individuals,,,,,,,150.0
2015/16,,Western Asia,Individuals,,,,,,,135.0
2016/17,,Western Asia,Individuals,,,,,,,175.0
2017/18,,Western Asia,Individuals,,,,,,,235.0
2018/19,,Western Asia,Individuals,,,,,,,240.0
2015/16,,Rest of Asia,Individuals,,,,,,,35.0
2016/17,,Rest of Asia,Individuals,,,,,,,60.0
2017/18,,Rest of Asia,Individuals,,,,,,,45.0
2018/19,,Rest of Asia,Individuals,,,,,,,70.0
2015/16,,Other,Individuals,,,,,,,20.0
2016/17,,Other,Individuals,,,,,,,25.0
2017/18,,Other,Individuals,,,,,,,35.0
2018/19,,Other,Individuals,,,,,,,35.0
2015/16,,,Individuals,,Not recorded,,,,,230.0
2016/17,,,Individuals,,Not recorded,,,,,280.0
2017/18,,,Individuals,,Not recorded,,,,,190.0
2018/19,,,Individuals,,Not recorded,,,,,250.0
2015/16,,,Individuals,,Not known,,,,,2655.0
2016/17,,,Individuals,,Not known,,,,,2740.0
2017/18,,,Individuals,,Not known,,,,,2620.0
2018/19,,,Individuals,,Not known,,,,,2365.0
2015/16,,,Individuals,,Type 1,,,,,1185.0
2016/17,,,Individuals,,Type 1,,,,,1315.0
2017/18,,,Individuals,,Type 1,,,,,1350.0
2018/19,,,Individuals,,Type 1,,,,,1435.0
2015/16,,,Individuals,,Type 2,,,,,1040.0
2016/17,,,Individuals,,Type 2,,,,,1075.0
2017/18,,,Individuals,,Type 2,,,,,905.0
2018/19,,,Individuals,,Type 2,,,,,1050.0
2015/16,,,Individuals,,Type 3,,,,,720.0
2016/17,,,Individuals,,Type 3,,,,,780.0
2017/18,,,Individuals,,Type 3,,,,,685.0
2018/19,,,Individuals,,Type 3,,,,,830.0
2015/16,,,Individuals,,Type 4,,,,,140.0
2016/17,,,Individuals,,Type 4,,,,,275.0
2017/18,,,Individuals,,Type 4,,,,,345.0
2018/19,,,Individuals,,Type 4,,,,,320.0
2015/16,,,Individuals,,History of type 3,,,,,140.0
2016/17,,,Individuals,,History of type 3,,,,,150.0
2017/18,,,Individuals,,History of type 3,,,,,125.0
2018/19,,,Individuals,,History of type 3,,,,,120.0
2015/16,,,Individuals,,Type 3 reinfibulation identified,,,,,85.0
2016/17,,,Individuals,,Type 3 reinfibulation identified,,,,,50.0
2017/18,,,Individuals,,Type 3 reinfibulation identified,,,,,40.0
2018/19,,,Individuals,,Type 3 reinfibulation identified,,,,,50.0
2018/2019,,,Individuals,Adur District Council,,,,,,0.0
2018/2019,,,Individuals,Allerdale Borough Council,,,,,,0.0
2018/2019,,,Individuals,Amber Valley Borough Council,,,,,,0.0
2018/2019,,,Individuals,Arun District Council,,,,,,0.0
2018/2019,,,Individuals,Ashfield District Council,,,,,,0.0
2018/2019,,,Individuals,Ashford Borough Council,,,,,,0.0
2018/2019,,,Individuals,Aylesbury Vale District Council,,,,,,0.0
2018/2019,,,Individuals,Babergh District Council,,,,,,0.0
2018/2019,,,Individuals,Barnsley Metropolitan Borough Council,,,,,,5.0
2018/2019,,,Individuals,Barrow-In-Furness Borough Council,,,,,,0.0
2018/2019,,,Individuals,Basildon District Council,,,,,,0.0
2018/2019,,,Individuals,Basingstoke and Deane Borough Council,,,,,,0.0
2018/2019,,,Individuals,Bassetlaw District Council,,,,,,0.0
2018/2019,,,Individuals,Bath and North East Somerset Council,,,,,,5.0
2018/2019,,,Individuals,Bedford Borough Council,,,,,,10.0
2018/2019,,,Individuals,Birmingham City Council,,,,,,620.0
2018/2019,,,Individuals,Blaby District Council,,,,,,0.0
2018/2019,,,Individuals,Blackburn with Darwen Borough Council,,,,,,10.0
2018/2019,,,Individuals,Blackpool Borough Council,,,,,,5.0
2018/2019,,,Individuals,Bolsover District Council,,,,,,0.0
2018/2019,,,Individuals,Bolton Metropolitan Borough Council,,,,,,150.0
2018/2019,,,Individuals,Borough of Poole Council,,,,,,0.0
2018/2019,,,Individuals,Boston Borough Council,,,,,,0.0
2018/2019,,,Individuals,Bournemouth Borough Council,,,,,,5.0
2018/2019,,,Individuals,Bracknell Forest Borough Council,,,,,,0.0
2018/2019,,,Individuals,Braintree District Council,,,,,,0.0
2018/2019,,,Individuals,Breckland District Council,,,,,,0.0
2018/2019,,,Individuals,Brentwood Borough Council,,,,,,0.0
2018/2019,,,Individuals,Brighton & Hove City Council,,,,,,5.0
2018/2019,,,Individuals,Bristol City Council,,,,,,425.0
2018/2019,,,Individuals,Broadland District Council,,,,,,0.0
2018/2019,,,Individuals,Bromsgrove District Council,,,,,,0.0
2018/2019,,,Individuals,Broxbourne Borough Council,,,,,,0.0
2018/2019,,,Individuals,Broxtowe Borough Council,,,,,,0.0
2018/2019,,,Individuals,Buckinghamshire County Council,,,,,,5.0
2018/2019,,,Individuals,Burnley Borough Council,,,,,,0.0
2018/2019,,,Individuals,Bury Metropolitan Borough Council,,,,,,25.0
2018/2019,,,Individuals,Calderdale Metropolitan Borough Council,,,,,,10.0
2018/2019,,,Individuals,Cambridge City Council,,,,,,0.0
2018/2019,,,Individuals,Cambridgeshire County Council,,,,,,5.0
2018/2019,,,Individuals,Cannock Chase District Council,,,,,,0.0
2018/2019,,,Individuals,Canterbury City Council,,,,,,0.0
2018/2019,,,Individuals,Carlisle City Council,,,,,,0.0
2018/2019,,,Individuals,Castle Point Borough Council,,,,,,0.0
2018/2019,,,Individuals,Central Bedfordshire Council,,,,,,5.0
2018/2019,,,Individuals,Charnwood Borough Council,,,,,,0.0
2018/2019,,,Individuals,Chelmsford Borough Council,,,,,,0.0
2018/2019,,,Individuals,Cheltenham Borough Council,,,,,,0.0
2018/2019,,,Individuals,Cherwell District Council,,,,,,0.0
2018/2019,,,Individuals,Cheshire East Council,,,,,,5.0
2018/2019,,,Individuals,Cheshire West and Chester Council,,,,,,5.0
2018/2019,,,Individuals,Chesterfield Borough Council,,,,,,0.0
2018/2019,,,Individuals,Chichester District Council,,,,,,0.0
2018/2019,,,Individuals,Chiltern District Council,,,,,,0.0
2018/2019,,,Individuals,Chorley Borough Council,,,,,,0.0
2018/2019,,,Individuals,Christchurch Borough Council,,,,,,0.0
2018/2019,,,Individuals,City of Bradford Metropolitan District Council,,,,,,65.0
2018/2019,,,Individuals,City of Lincoln Council,,,,,,0.0
2018/2019,,,Individuals,Colchester Borough Council,,,,,,0.0
2018/2019,,,Individuals,Copeland Borough Council,,,,,,0.0
2018/2019,,,Individuals,Corby Borough Council,,,,,,0.0
2018/2019,,,Individuals,Cornwall Council,,,,,,0.0
2018/2019,,,Individuals,Corporation of The City of London,,,,,,0.0
2018/2019,,,Individuals,Cotswold District Council,,,,,,0.0
2018/2019,,,Individuals,Coventry City Council,,,,,,60.0
2018/2019,,,Individuals,Craven District Council,,,,,,0.0
2018/2019,,,Individuals,Crawley Borough Council,,,,,,0.0
2018/2019,,,Individuals,Cumbria County Council,,,,,,10.0
2018/2019,,,Individuals,Dacorum Borough Council,,,,,,0.0
2018/2019,,,Individuals,Darlington Borough Council (Unitary),,,,,,0.0
2018/2019,,,Individuals,Dartford Borough Council,,,,,,0.0
2018/2019,,,Individuals,Daventry District Council,,,,,,0.0
2018/2019,,,Individuals,Derby City Council,,,,,,10.0
2018/2019,,,Individuals,Derbyshire County Council,,,,,,5.0
2018/2019,,,Individuals,Derbyshire Dales District Council,,,,,,0.0
2018/2019,,,Individuals,Devon County Council,,,,,,5.0
2018/2019,,,Individuals,Doncaster Council,,,,,,5.0
2018/2019,,,Individuals,Dorset Council,,,,,,0.0
2018/2019,,,Individuals,Dover District Council,,,,,,0.0
2018/2019,,,Individuals,Dudley Metropolitan Borough Council,,,,,,20.0
2018/2019,,,Individuals,Durham County Council,,,,,,0.0
2018/2019,,,Individuals,East Cambridgeshire District Council,,,,,,0.0
2018/2019,,,Individuals,East Devon District Council,,,,,,0.0
2018/2019,,,Individuals,East Dorset District Council,,,,,,0.0
2018/2019,,,Individuals,East Hampshire District Council,,,,,,0.0
2018/2019,,,Individuals,East Hertfordshire District Council,,,,,,0.0
2018/2019,,,Individuals,East Lindsey District Council,,,,,,0.0
2018/2019,,,Individuals,East Northamptonshire Council,,,,,,0.0
2018/2019,,,Individuals,East Riding of Yorkshire Council,,,,,,5.0
2018/2019,,,Individuals,East Staffordshire Borough Council,,,,,,0.0
2018/2019,,,Individuals,East Sussex County Council,,,,,,10.0
2018/2019,,,Individuals,Eastbourne Borough Council,,,,,,0.0
2018/2019,,,Individuals,Eastleigh Borough Council,,,,,,0.0
2018/2019,,,Individuals,Eden District Council,,,,,,0.0
2018/2019,,,Individuals,Elmbridge Borough Council,,,,,,0.0
2018/2019,,,Individuals,Epping Forest District Council,,,,,,0.0
2018/2019,,,Individuals,Epsom and Ewell Borough Council,,,,,,0.0
2018/2019,,,Individuals,Erewash Borough Council,,,,,,0.0
2018/2019,,,Individuals,Essex County Council,,,,,,20.0
2018/2019,,,Individuals,Exeter City Council,,,,,,0.0
2018/2019,,,Individuals,Fareham Borough Council,,,,,,0.0
2018/2019,,,Individuals,Fenland District Council,,,,,,0.0
2018/2019,,,Individuals,Forest Heath District Council,,,,,,0.0
2018/2019,,,Individuals,Forest of Dean District Council,,,,,,0.0
2018/2019,,,Individuals,Fylde Borough Council,,,,,,0.0
2018/2019,,,Individuals,Gateshead Metropolitan Borough Council,,,,,,15.0
2018/2019,,,Individuals,Gedling Borough Council,,,,,,0.0
2018/2019,,,Individuals,Gloucester City Council,,,,,,0.0
2018/2019,,,Individuals,Gloucestershire County Council,,,,,,5.0
2018/2019,,,Individuals,Gosport Borough Council,,,,,,0.0
2018/2019,,,Individuals,Gravesham Borough Council,,,,,,0.0
2018/2019,,,Individuals,Great Yarmouth Borough Council,,,,,,0.0
2018/2019,,,Individuals,Greater London Authority,,,,,,0.0
2018/2019,,,Individuals,Guildford Borough Council,,,,,,0.0
2018/2019,,,Individuals,Halton Borough Council (Unitary),,,,,,0.0
2018/2019,,,Individuals,Hambleton District Council,,,,,,0.0
2018/2019,,,Individuals,Hampshire County Council,,,,,,10.0
2018/2019,,,Individuals,Harborough District Council,,,,,,0.0
2018/2019,,,Individuals,Harlow District Council,,,,,,0.0
2018/2019,,,Individuals,Harrogate Borough Council,,,,,,0.0
2018/2019,,,Individuals,Hart District Council,,,,,,0.0
2018/2019,,,Individuals,Hartlepool Borough Council,,,,,,5.0
2018/2019,,,Individuals,Hastings Borough Council,,,,,,0.0
2018/2019,,,Individuals,Havant Borough Council,,,,,,0.0
2018/2019,,,Individuals,Herefordshire Council,,,,,,0.0
2018/2019,,,Individuals,Hertfordshire County Council,,,,,,35.0
2018/2019,,,Individuals,Hertsmere Borough Council,,,,,,0.0
2018/2019,,,Individuals,High Peak Borough Council,,,,,,0.0
2018/2019,,,Individuals,Hinckley & Bosworth Borough Council,,,,,,0.0
2018/2019,,,Individuals,Horsham District Council,,,,,,0.0
2018/2019,,,Individuals,Huntingdonshire District Council,,,,,,0.0
2018/2019,,,Individuals,Hyndburn Borough Council,,,,,,0.0
2018/2019,,,Individuals,Ipswich Borough Council,,,,,,0.0
2018/2019,,,Individuals,Isle of Wight Council,,,,,,0.0
2018/2019,,,Individuals,Kent County Council,,,,,,35.0
2018/2019,,,Individuals,Kettering Borough Council,,,,,,0.0
2018/2019,,,Individuals,Kings Lynn & West Norfolk Borough Council,,,,,,0.0
2018/2019,,,Individuals,Kingston-Upon-Hull City Council,,,,,,65.0
2018/2019,,,Individuals,Kirklees Council,,,,,,45.0
2018/2019,,,Individuals,Knowsley Metropolitan Borough Council,,,,,,0.0
2018/2019,,,Individuals,Lancashire County Council,,,,,,20.0
2018/2019,,,Individuals,Lancaster City Council,,,,,,0.0
2018/2019,,,Individuals,Leeds City Council,,,,,,40.0
2018/2019,,,Individuals,Leicester City Council,,,,,,20.0
2018/2019,,,Individuals,Leicestershire County Council,,,,,,5.0
2018/2019,,,Individuals,Lewes District Council,,,,,,0.0
2018/2019,,,Individuals,Lichfield District Council,,,,,,0.0
2018/2019,,,Individuals,Lincolnshire County Council,,,,,,25.0
2018/2019,,,Individuals,Liverpool City Council,,,,,,5.0
2018/2019,,,Individuals,London Borough of Barking and Dagenham,,,,,,115.0
2018/2019,,,Individuals,London Borough of Barnet,,,,,,95.0
2018/2019,,,Individuals,London Borough of Bexley,,,,,,20.0
2018/2019,,,Individuals,London Borough of Brent,,,,,,265.0
2018/2019,,,Individuals,London Borough of Bromley,,,,,,30.0
2018/2019,,,Individuals,London Borough of Camden,,,,,,125.0
2018/2019,,,Individuals,London Borough of Croydon,,,,,,30.0
2018/2019,,,Individuals,London Borough of Ealing,,,,,,235.0
2018/2019,,,Individuals,London Borough of Enfield,,,,,,205.0
2018/2019,,,Individuals,London Borough of Greenwich,,,,,,35.0
2018/2019,,,Individuals,London Borough of Hackney,,,,,,85.0
2018/2019,,,Individuals,London Borough of Hammersmith and Fulham,,,,,,110.0
2018/2019,,,Individuals,London Borough of Haringey,,,,,,90.0
2018/2019,,,Individuals,London Borough of Harrow,,,,,,75.0
2018/2019,,,Individuals,London Borough of Havering,,,,,,20.0
2018/2019,,,Individuals,London Borough of Hillingdon,,,,,,125.0
2018/2019,,,Individuals,London Borough of Hounslow,,,,,,85.0
2018/2019,,,Individuals,London Borough of Islington,,,,,,75.0
2018/2019,,,Individuals,London Borough of Lambeth Council,,,,,,150.0
2018/2019,,,Individuals,London Borough of Lewisham Council,,,,,,45.0
2018/2019,,,Individuals,London Borough of Merton Council,,,,,,5.0
2018/2019,,,Individuals,London Borough of Newham Council,,,,,,120.0
2018/2019,,,Individuals,London Borough of Redbridge Council,,,,,,55.0
2018/2019,,,Individuals,London Borough of Richmond Upon Thames Council,,,,,,5.0
2018/2019,,,Individuals,London Borough of Southwark Council,,,,,,195.0
2018/2019,,,Individuals,London Borough of Sutton Council,,,,,,0.0
2018/2019,,,Individuals,London Borough of Tower Hamlets Council,,,,,,130.0
2018/2019,,,Individuals,London Borough of Waltham Forest Council,,,,,,105.0
2018/2019,,,Individuals,London Borough of Wandsworth,,,,,,50.0
2018/2019,,,Individuals,Luton Borough Council,,,,,,10.0
2018/2019,,,Individuals,Maidstone Borough Council,,,,,,0.0
2018/2019,,,Individuals,Maldon District Council,,,,,,0.0
2018/2019,,,Individuals,Malvern Hills District Council,,,,,,0.0
2018/2019,,,Individuals,Manchester City Council,,,,,,360.0
2018/2019,,,Individuals,Mansfield District Council,,,,,,0.0
2018/2019,,,Individuals,Medway Council,,,,,,15.0
2018/2019,,,Individuals,Melton Borough Council,,,,,,0.0
2018/2019,,,Individuals,Mendip District Council,,,,,,0.0
2018/2019,,,Individuals,Mid Devon District Council,,,,,,0.0
2018/2019,,,Individuals,Mid Suffolk District Council,,,,,,0.0
2018/2019,,,Individuals,Mid Sussex District Council,,,,,,0.0
2018/2019,,,Individuals,Middlesbrough Council,,,,,,15.0
2018/2019,,,Individuals,Milton Keynes Council,,,,,,5.0
2018/2019,,,Individuals,Mole Valley District Council,,,,,,0.0
2018/2019,,,Individuals,New Forest District Council,,,,,,0.0
2018/2019,,,Individuals,Newark and Sherwood District Council,,,,,,0.0
