Year,Country,Type of Neglected Tropical Disease (NTD),World region of travel,GeoCode,Value
2013,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2013,United Kingdom,Rabies,Western Africa,K02000001,0.0
2013,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2013,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2013,United Kingdom,Rabies,No travel,K02000001,0.0
2013,United Kingdom,Rabies,,K02000001,0.0
2014,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2014,United Kingdom,Rabies,Western Africa,K02000001,0.0
2014,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2014,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2014,United Kingdom,Rabies,No travel,K02000001,0.0
2014,United Kingdom,Rabies,,K02000001,0.0
2015,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2015,United Kingdom,Rabies,Western Africa,K02000001,0.0
2015,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2015,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2015,United Kingdom,Rabies,No travel,K02000001,0.0
2015,United Kingdom,Rabies,,K02000001,0.0
2016,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2016,United Kingdom,Rabies,Western Africa,K02000001,0.0
2016,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2016,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2016,United Kingdom,Rabies,No travel,K02000001,0.0
2016,United Kingdom,Rabies,,K02000001,0.0
2017,United Kingdom,Rabies,South-Eastern Asia,K02000001,0.0
2017,United Kingdom,Rabies,Western Africa,K02000001,0.0
2017,United Kingdom,Rabies,Southern Asia,K02000001,0.0
2017,United Kingdom,Rabies,Southern Africa,K02000001,0.0
2017,United Kingdom,Rabies,No travel,K02000001,0.0
2017,United Kingdom,Rabies,,K02000001,0.0
