Year,Flow of Official Development Assistance (ODA),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),28992.2010649867
2011,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),690.408334295412
2011,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),10028.7785579529
2011,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),20947.5789994135
2011,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),71.7366279412523
2011,Multilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),31738.502519603197
2011,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),1477.2902114138299
2011,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),43181.3005245931
2011,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),1891.48211903888
2011,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),19894.2066921649
2011,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),5404.38057082152
2011,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),1227.26441586303
2011,Multilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),73075.9245338953
2011,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),66440.4733209645
2011,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),1572.9319850848099
2011,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),68013.4053060493
2011,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2011,Multilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2011,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),2483.23718411806
2011,Multilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),2483.23718411806
2011,Multilateral,,,Undefined,Thousands,GBP (£),204303.270608652
2011,,,,Undefined,Thousands,GBP (£),351855.40486065205
2012,Bilateral,,,Undefined,Thousands,GBP (£),284465.041998
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),270.635993308937
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),35435.4929403448
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),139.906539641155
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),35846.035473294905
2012,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),376.792794264938
2012,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),67047.2769370669
2012,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),2123.9605981309696
2012,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),69548.0303294628
2012,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),1168.2845745056
2012,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),6900.90824201004
2012,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),1466.3317526028302
2012,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),8918.915421864209
2012,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),1687.69167553943
2012,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),263.912715768207
2012,Multilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),20406.0443822903
2012,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),58785.028851172596
2012,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),1803.7144747132002
2012,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),60588.7433258858
2012,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2012,Multilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2012,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),2016.8292098528
2012,Multilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),2016.8292098528
2012,Multilateral,,,Undefined,Thousands,GBP (£),188405.68272078602
2012,,,,Undefined,Thousands,GBP (£),472870.724718786
2013,Bilateral,,,Undefined,Thousands,GBP (£),137754.39949
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),582.555107914648
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),59800.3080170875
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),25.25703735029
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),60408.1201623524
2013,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),103.41189676771299
2013,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),43604.4841578188
2013,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2013,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),1028.48643867381
2013,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2013,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),34.3072244672623
2013,Multilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),44770.6897177276
2013,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),1226.27914095616
2013,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),17570.5936221031
2013,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),7802.677167065709
2013,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),18978.366740908703
2013,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2013,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),146538.086841361
2013,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),7791.82051149197
2013,Multilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),199907.824023886
2013,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2013,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),99100.6259258123
2013,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),650.397888673062
2013,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2013,Multilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),99751.0238144854
2013,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2013,Multilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2013,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),4222.30171639124
2013,Multilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),4222.30171639124
2013,Multilateral,,,Undefined,Thousands,GBP (£),409059.959434843
2013,,,,Undefined,Thousands,GBP (£),546814.358924843
2014,Bilateral,,,Undefined,Thousands,GBP (£),108587.98704100001
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),2888.15878677914
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),148934.39623101
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),36.9701712977663
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),151859.525189087
2014,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),76.9010024063064
2014,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),32214.8957864758
2014,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2014,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),7210.6115362934
2014,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2014,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),833.384284032667
2014,Multilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),40335.7926092082
2014,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),707.955201556669
2014,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),12943.233249637
2014,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),8209.60477102885
2014,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),20647.1011639076
2014,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2014,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),116131.41441371199
2014,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),1862.0836378968802
2014,Multilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),160501.392437739
2014,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2014,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),102150.58337526
2014,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),2980.08344762828
2014,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2014,Multilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),105130.666822888
2014,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2014,Multilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2014,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),2815.2636607836102
2014,Multilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),2815.2636607836102
2014,Multilateral,,,Undefined,Thousands,GBP (£),460642.640719707
2014,,,,Undefined,Thousands,GBP (£),569230.627760707
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),32435.114488
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),8503.88692
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),40939.001408
2015,Bilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),-209.12648000000002
2015,Bilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),4453.60016
2015,Bilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),4244.47368
2015,Bilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),39894.01288
2015,Bilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),16237.55421
2015,Bilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),56131.56709
2015,Bilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),11196.797709999999
2015,Bilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),11196.797709999999
2015,Bilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2015,Bilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),0.0
2015,Bilateral,,,Undefined,Thousands,GBP (£),112511.83988800002
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),477.148957262648
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),2716.81861006453
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),103663.49035353199
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),55.4805027297625
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),106912.938423589
2015,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),4.28011753382141
2015,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),2942.8759813430297
2015,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),1207.7940940383999
2015,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),7995.967465154091
2015,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2015,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),0.9072943374569158
2015,Multilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),12151.8249524068
2015,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),1208.11876051543
2015,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),25339.513679415
2015,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),4543.10135753325
2015,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),19956.8840515523
2015,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2015,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),171469.25276931
2015,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),5774.362501279711
2015,Multilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),228291.233119606
2015,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),2.78307433245185
2015,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),84252.20705927111
2015,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),225.931891783032
2015,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2015,Multilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),84480.92202538661
2015,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2015,Multilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2015,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),3621.6060040770703
2015,Multilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),3621.6060040770703
2015,Multilateral,,,Undefined,Thousands,GBP (£),435458.524525066
2015,,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),477.148957262648
2015,,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),2716.81861006453
2015,,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),136098.60484153198
2015,,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),8559.36742272976
2015,,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),147851.939831589
2015,,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),4.28011753382141
2015,,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),2733.7495013430303
2015,,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),1207.7940940383999
2015,,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),7995.967465154091
2015,,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),4453.60016
2015,,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),0.9072943374569158
2015,,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),16396.2986324068
2015,,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),1208.11876051543
2015,,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),65233.526559415
