Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2014,Multilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),185148.60285651198
2014,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),407.626514094715
2014,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),5075.732058045251
2014,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),161128.549315721
2014,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),6399.96796654753
2014,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),12136.7270021032
2015,Multilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),216883.690749679
2015,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),256.037068145697
2015,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),14818.0413313139
2015,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),193882.810744051
2015,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),6712.601888171121
2015,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),1214.19971799748
2016,Multilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),177096.07803443802
2016,Multilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),85.467783227447
2016,Multilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),9540.46463938796
2016,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),163262.305435224
2016,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),3758.1097245670794
2016,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),449.73045203162496
2010,,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),109258.351494351
2010,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),1440.26440225412
2010,,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),44830.762423106105
2010,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),48556.477907977
2010,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),13932.124756726298
2010,,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),498.72200428733396
2011,,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),264273.710583455
2011,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),1823.9895394166101
2011,,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),44003.4102675771
2011,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),125026.801516041
2011,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),27478.316940523102
2011,,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),65941.1923198967
2012,,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),259310.222172407
2012,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),2815.0250777931105
2012,,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),24468.6030331246
2012,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),203790.06814834801
2012,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),21946.849743031
2012,,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),6289.67617011002
2013,,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),270529.197075685
2013,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),601.6264218642599
2013,,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),40455.3780488644
