Year,Units,Sex,Disability status,Value
2012 Q3,Seasonally adjusted percentage (%),Male,,13.8972152634
2012 Q4,Seasonally adjusted percentage (%),Male,,13.56594954
2013 Q1,Seasonally adjusted percentage (%),Male,,13.589138650599999
2013 Q2,Seasonally adjusted percentage (%),Male,,13.592879484600001
2013 Q3,Seasonally adjusted percentage (%),Male,,13.8882160031
2013 Q4,Seasonally adjusted percentage (%),Male,,13.5681468275
2014 Q1,Seasonally adjusted percentage (%),Male,,12.4024316868
2014 Q2,Seasonally adjusted percentage (%),Male,,12.2237489127
2014 Q3,Seasonally adjusted percentage (%),Male,,12.0315839834
2014 Q4,Seasonally adjusted percentage (%),Male,,11.3444347874
2015 Q1,Seasonally adjusted percentage (%),Male,,11.3606712502
2015 Q2,Seasonally adjusted percentage (%),Male,,11.507713356300002
2015 Q3,Seasonally adjusted percentage (%),Male,,10.6076297324
2015 Q4,Seasonally adjusted percentage (%),Male,,10.7427149549
2016 Q1,Seasonally adjusted percentage (%),Male,,11.1117087898
2016 Q2,Seasonally adjusted percentage (%),Male,,11.2795633898
2016 Q3,Seasonally adjusted percentage (%),Male,,11.656247076300001
2016 Q4,Seasonally adjusted percentage (%),Male,,11.4629957576
2017 Q1,Seasonally adjusted percentage (%),Male,,10.8764204906
2017 Q2,Seasonally adjusted percentage (%),Male,,10.7615345097
2017 Q3,Seasonally adjusted percentage (%),Male,,11.446110806300002
2017 Q4,Seasonally adjusted percentage (%),Male,,11.3256186125
2018 Q1,Seasonally adjusted percentage (%),Male,,11.2907607076
2018 Q2,Seasonally adjusted percentage (%),Male,,11.0187737214
2001 Q4,Seasonally adjusted percentage (%),Female,,15.3368751468
2002 Q1,Seasonally adjusted percentage (%),Female,,15.3201255096
2002 Q2,Seasonally adjusted percentage (%),Female,,15.4786423818
2002 Q3,Seasonally adjusted percentage (%),Female,,15.3479112021
2002 Q4,Seasonally adjusted percentage (%),Female,,15.0212467959
2003 Q1,Seasonally adjusted percentage (%),Female,,15.709789983
2003 Q2,Seasonally adjusted percentage (%),Female,,16.1524700545
2003 Q3,Seasonally adjusted percentage (%),Female,,15.5600398578
2003 Q4,Seasonally adjusted percentage (%),Female,,14.9381189366
2004 Q1,Seasonally adjusted percentage (%),Female,,14.5315091794
2004 Q2,Seasonally adjusted percentage (%),Female,,15.5216261102
2004 Q3,Seasonally adjusted percentage (%),Female,,16.0486642818
2004 Q4,Seasonally adjusted percentage (%),Female,,15.492071555699999
2005 Q1,Seasonally adjusted percentage (%),Female,,15.7172391192
2005 Q2,Seasonally adjusted percentage (%),Female,,15.861388460999999
2005 Q3,Seasonally adjusted percentage (%),Female,,15.1759151452
2005 Q4,Seasonally adjusted percentage (%),Female,,16.1137684343
2006 Q1,Seasonally adjusted percentage (%),Female,,16.0444395893
2006 Q2,Seasonally adjusted percentage (%),Female,,15.9925075447
2006 Q3,Seasonally adjusted percentage (%),Female,,16.429096123
2006 Q4,Seasonally adjusted percentage (%),Female,,15.6785878704
2007 Q1,Seasonally adjusted percentage (%),Female,,15.9532153754
2007 Q2,Seasonally adjusted percentage (%),Female,,15.9051463377
2007 Q3,Seasonally adjusted percentage (%),Female,,15.8584224901
2007 Q4,Seasonally adjusted percentage (%),Female,,15.5579383473
2008 Q1,Seasonally adjusted percentage (%),Female,,15.5789395799
2008 Q2,Seasonally adjusted percentage (%),Female,,16.0369373214
2008 Q3,Seasonally adjusted percentage (%),Female,,16.1062104405
2008 Q4,Seasonally adjusted percentage (%),Female,,16.0805585993
2009 Q1,Seasonally adjusted percentage (%),Female,,16.4966108549
2009 Q2,Seasonally adjusted percentage (%),Female,,16.837972550499998
2009 Q3,Seasonally adjusted percentage (%),Female,,16.8573928842
2009 Q4,Seasonally adjusted percentage (%),Female,,16.6056682956
2010 Q1,Seasonally adjusted percentage (%),Female,,17.0691488423
2010 Q2,Seasonally adjusted percentage (%),Female,,16.2188727302
2010 Q3,Seasonally adjusted percentage (%),Female,,17.1344434068
2010 Q4,Seasonally adjusted percentage (%),Female,,17.245021793699998
2011 Q1,Seasonally adjusted percentage (%),Female,,16.3495566237
2011 Q2,Seasonally adjusted percentage (%),Female,,17.198792068499998
2011 Q3,Seasonally adjusted percentage (%),Female,,17.9918102864
2011 Q4,Seasonally adjusted percentage (%),Female,,17.2887836898
2012 Q1,Seasonally adjusted percentage (%),Female,,17.1647644456
2012 Q2,Seasonally adjusted percentage (%),Female,,16.9771340116
2012 Q3,Seasonally adjusted percentage (%),Female,,16.1372875825
2012 Q4,Seasonally adjusted percentage (%),Female,,16.0047226003
2013 Q1,Seasonally adjusted percentage (%),Female,,16.5112554789
2013 Q2,Seasonally adjusted percentage (%),Female,,16.2300948707
2013 Q3,Seasonally adjusted percentage (%),Female,,15.968267454600001
2013 Q4,Seasonally adjusted percentage (%),Female,,14.894435717999999
2014 Q1,Seasonally adjusted percentage (%),Female,,14.463130646199998
2014 Q2,Seasonally adjusted percentage (%),Female,,14.2585688826
2014 Q3,Seasonally adjusted percentage (%),Female,,14.4710648575
2014 Q4,Seasonally adjusted percentage (%),Female,,15.445689021
2015 Q1,Seasonally adjusted percentage (%),Female,,14.3981934448
2015 Q2,Seasonally adjusted percentage (%),Female,,13.8562825725
2015 Q3,Seasonally adjusted percentage (%),Female,,12.8648966494
2015 Q4,Seasonally adjusted percentage (%),Female,,13.076549686300002
2016 Q1,Seasonally adjusted percentage (%),Female,,12.9556763049
2016 Q2,Seasonally adjusted percentage (%),Female,,12.223464583299998
2016 Q3,Seasonally adjusted percentage (%),Female,,12.13192228
2016 Q4,Seasonally adjusted percentage (%),Female,,11.6672056557
2017 Q1,Seasonally adjusted percentage (%),Female,,11.5614428125
2017 Q2,Seasonally adjusted percentage (%),Female,,11.457362011099999
2017 Q3,Seasonally adjusted percentage (%),Female,,10.813762085799999
2017 Q4,Seasonally adjusted percentage (%),Female,,11.1518618192
2018 Q1,Seasonally adjusted percentage (%),Female,,11.672165868599999
2018 Q2,Seasonally adjusted percentage (%),Female,,11.304032716099998
2018 Q3,Seasonally adjusted percentage (%),,,10.863680311400001
2018 Q3,Seasonally adjusted percentage (%),Male,,9.69943573799
2018 Q3,Seasonally adjusted percentage (%),Female,,12.081091224100001
2014 Q1,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,29.3
2014 Q2,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,30.2
2014 Q3,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,32.2
2014 Q4,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,32.8
2015 Q1,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,32.2
2015 Q2,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,31.7
2015 Q3,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,31.2
2015 Q4,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,28.9
2016 Q1,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,28.6
2016 Q2,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,29.4
2016 Q3,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,31.2
2016 Q4,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,29.1
2017 Q1,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,28.5
2017 Q2,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,28.9
2017 Q3,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,31.5
2017 Q4,Not seasonally adjusted percentage (%),,Limiting long term illness or disability,29.6
2014 Q1,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,10.6
2014 Q2,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,10.7
2014 Q3,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,12.8
2014 Q4,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,10.5
2015 Q1,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,9.5
2015 Q2,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,9.7
2015 Q3,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,11.0
2015 Q4,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,9.3
2016 Q1,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,8.9
2016 Q2,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,8.8
2016 Q3,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,11.1
2016 Q4,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,8.5
2017 Q1,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,7.8
2017 Q2,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,8.2
2017 Q3,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,9.8
2017 Q4,Not seasonally adjusted percentage (%),,No limiting long term illness or disability,7.9
2001 Q4,Not seasonally adjusted percentage (%),,,12.479071536400099
2002 Q1,Not seasonally adjusted percentage (%),,,12.8499522340965
2002 Q2,Not seasonally adjusted percentage (%),,,12.563657937523901
2002 Q3,Not seasonally adjusted percentage (%),,,14.9935454739098
2002 Q4,Not seasonally adjusted percentage (%),,,12.223288801754999
2003 Q1,Not seasonally adjusted percentage (%),,,13.023718020063301
2003 Q2,Not seasonally adjusted percentage (%),,,12.5610209769664
2003 Q3,Not seasonally adjusted percentage (%),,,14.841969398025999
2003 Q4,Not seasonally adjusted percentage (%),,,12.1007772370881
2004 Q1,Not seasonally adjusted percentage (%),,,11.803688311438501
2004 Q2,Not seasonally adjusted percentage (%),,,12.138961094758502
2004 Q3,Not seasonally adjusted percentage (%),,,15.1996743642136
2004 Q4,Not seasonally adjusted percentage (%),,,12.949777566337499
2005 Q1,Not seasonally adjusted percentage (%),,,12.7909394073824
2005 Q2,Not seasonally adjusted percentage (%),,,12.9508570976785
2005 Q3,Not seasonally adjusted percentage (%),,,15.243480214955802
2005 Q4,Not seasonally adjusted percentage (%),,,13.9202801347918
2006 Q1,Not seasonally adjusted percentage (%),,,13.3881825678513
2006 Q2,Not seasonally adjusted percentage (%),,,13.883090609129901
2006 Q3,Not seasonally adjusted percentage (%),,,16.0555046759001
2006 Q4,Not seasonally adjusted percentage (%),,,13.355782800755
2007 Q1,Not seasonally adjusted percentage (%),,,13.3704720010361
2007 Q2,Not seasonally adjusted percentage (%),,,13.445915340909501
2007 Q3,Not seasonally adjusted percentage (%),,,15.4816246459433
2007 Q4,Not seasonally adjusted percentage (%),,,12.9614665600426
2008 Q1,Not seasonally adjusted percentage (%),,,12.712992395782301
2008 Q2,Not seasonally adjusted percentage (%),,,13.2330108802176
2008 Q3,Not seasonally adjusted percentage (%),,,16.0566426314349
2008 Q4,Not seasonally adjusted percentage (%),,,13.7006304569816
2009 Q1,Not seasonally adjusted percentage (%),,,14.423288678181699
2009 Q2,Not seasonally adjusted percentage (%),,,14.9737456629079
2009 Q3,Not seasonally adjusted percentage (%),,,17.2037114720776
2009 Q4,Not seasonally adjusted percentage (%),,,14.4457128291856
2010 Q1,Not seasonally adjusted percentage (%),,,14.7314809898912
2010 Q2,Not seasonally adjusted percentage (%),,,14.1163608094062
2010 Q3,Not seasonally adjusted percentage (%),,,17.0406984532333
2010 Q4,Not seasonally adjusted percentage (%),,,15.4539489901684
2011 Q1,Not seasonally adjusted percentage (%),,,14.5118024134406
2011 Q2,Not seasonally adjusted percentage (%),,,15.2489929304435
2011 Q3,Not seasonally adjusted percentage (%),,,18.6429396206708
2011 Q4,Not seasonally adjusted percentage (%),,,16.0777336848655
2012 Q1,Not seasonally adjusted percentage (%),,,15.4256156829688
2012 Q2,Not seasonally adjusted percentage (%),,,15.6645109850295
2012 Q3,Not seasonally adjusted percentage (%),,,16.7700133245751
2012 Q4,Not seasonally adjusted percentage (%),,,14.390685366879302
2013 Q1,Not seasonally adjusted percentage (%),,,14.187087716968
2013 Q2,Not seasonally adjusted percentage (%),,,14.3869899413541
2013 Q3,Not seasonally adjusted percentage (%),,,16.6684999776039
2013 Q4,Not seasonally adjusted percentage (%),,,13.827343894804
2014 Q1,Not seasonally adjusted percentage (%),,,12.579304916713
2014 Q2,Not seasonally adjusted percentage (%),,,12.7511152760289
2014 Q3,Not seasonally adjusted percentage (%),,,14.9839663497604
2014 Q4,Not seasonally adjusted percentage (%),,,12.950041530450099
2015 Q1,Not seasonally adjusted percentage (%),,,12.0324230764839
2015 Q2,Not seasonally adjusted percentage (%),,,12.2071245223996
2015 Q3,Not seasonally adjusted percentage (%),,,13.4406176504466
2015 Q4,Not seasonally adjusted percentage (%),,,11.466317224580902
2016 Q1,Not seasonally adjusted percentage (%),,,11.2028662392611
2016 Q2,Not seasonally adjusted percentage (%),,,11.283541241367303
2016 Q3,Not seasonally adjusted percentage (%),,,13.6086078932001
2016 Q4,Not seasonally adjusted percentage (%),,,11.129477959489998
2017 Q1,Not seasonally adjusted percentage (%),,,10.390545913186699
2017 Q2,Not seasonally adjusted percentage (%),,,10.6667265638296
2017 Q3,Not seasonally adjusted percentage (%),,,12.8586015642676
2017 Q4,Not seasonally adjusted percentage (%),,,10.8877886286291
2018 Q1,Not seasonally adjusted percentage (%),,,10.6318491509725
2018 Q2,Not seasonally adjusted percentage (%),,,10.669706096352499
2001 Q4,Not seasonally adjusted percentage (%),Male,,10.215249465002401
2002 Q1,Not seasonally adjusted percentage (%),Male,,10.987374261895198
2002 Q2,Not seasonally adjusted percentage (%),Male,,10.4790950483565
2002 Q3,Not seasonally adjusted percentage (%),Male,,12.804934192668199
2002 Q4,Not seasonally adjusted percentage (%),Male,,10.046519404735
2003 Q1,Not seasonally adjusted percentage (%),Male,,11.011086091129998
2003 Q2,Not seasonally adjusted percentage (%),Male,,9.79369637301788
2003 Q3,Not seasonally adjusted percentage (%),Male,,12.2335357807304
2003 Q4,Not seasonally adjusted percentage (%),Male,,9.87889714588054
2004 Q1,Not seasonally adjusted percentage (%),Male,,9.829417468597642
2004 Q2,Not seasonally adjusted percentage (%),Male,,9.542133738466461
2004 Q3,Not seasonally adjusted percentage (%),Male,,12.4656996290293
2004 Q4,Not seasonally adjusted percentage (%),Male,,10.9812590997751
2005 Q1,Not seasonally adjusted percentage (%),Male,,10.7022834783132
2005 Q2,Not seasonally adjusted percentage (%),Male,,10.7323093102074
2005 Q3,Not seasonally adjusted percentage (%),Male,,13.422240982464302
2005 Q4,Not seasonally adjusted percentage (%),Male,,12.2328972209354
2006 Q1,Not seasonally adjusted percentage (%),Male,,11.6373401110039
2006 Q2,Not seasonally adjusted percentage (%),Male,,12.3724622901219
2006 Q3,Not seasonally adjusted percentage (%),Male,,13.8053505030051
2006 Q4,Not seasonally adjusted percentage (%),Male,,11.4952983887101
2007 Q1,Not seasonally adjusted percentage (%),Male,,11.7428970925772
2007 Q2,Not seasonally adjusted percentage (%),Male,,11.478347977153199
2007 Q3,Not seasonally adjusted percentage (%),Male,,13.2417111088133
2007 Q4,Not seasonally adjusted percentage (%),Male,,10.7977296180144
2008 Q1,Not seasonally adjusted percentage (%),Male,,10.837391346882
2008 Q2,Not seasonally adjusted percentage (%),Male,,10.8027779235858
2008 Q3,Not seasonally adjusted percentage (%),Male,,14.1288001349689
2008 Q4,Not seasonally adjusted percentage (%),Male,,11.731954753303
2009 Q1,Not seasonally adjusted percentage (%),Male,,13.388065147211499
2009 Q2,Not seasonally adjusted percentage (%),Male,,13.3979068755549
2009 Q3,Not seasonally adjusted percentage (%),Male,,15.677557127555401
2009 Q4,Not seasonally adjusted percentage (%),Male,,12.7047196258119
2010 Q1,Not seasonally adjusted percentage (%),Male,,13.4610404041591
2010 Q2,Not seasonally adjusted percentage (%),Male,,12.2774083975966
2010 Q3,Not seasonally adjusted percentage (%),Male,,15.1095756433042
2010 Q4,Not seasonally adjusted percentage (%),Male,,14.1280020445626
2011 Q1,Not seasonally adjusted percentage (%),Male,,13.7353754744009
2011 Q2,Not seasonally adjusted percentage (%),Male,,13.5427781365384
2011 Q3,Not seasonally adjusted percentage (%),Male,,17.4967486236834
2011 Q4,Not seasonally adjusted percentage (%),Male,,15.3572580095997
2012 Q1,Not seasonally adjusted percentage (%),Male,,14.7389915298934
2012 Q2,Not seasonally adjusted percentage (%),Male,,14.5777051840751
2012 Q3,Not seasonally adjusted percentage (%),Male,,15.6127580158725
2012 Q4,Not seasonally adjusted percentage (%),Male,,13.3141897158977
2013 Q1,Not seasonally adjusted percentage (%),Male,,12.8492721803882
2013 Q2,Not seasonally adjusted percentage (%),Male,,12.885412374026199
2013 Q3,Not seasonally adjusted percentage (%),Male,,15.6313129177115
2013 Q4,Not seasonally adjusted percentage (%),Male,,13.315985939355901
2014 Q1,Not seasonally adjusted percentage (%),Male,,11.598197588108
2014 Q2,Not seasonally adjusted percentage (%),Male,,11.5903480681126
2014 Q3,Not seasonally adjusted percentage (%),Male,,13.8058531471879
2014 Q4,Not seasonally adjusted percentage (%),Male,,11.074688481461301
2015 Q1,Not seasonally adjusted percentage (%),Male,,10.511157645174901
2015 Q2,Not seasonally adjusted percentage (%),Male,,10.9218314529732
2015 Q3,Not seasonally adjusted percentage (%),Male,,12.3993470247454
2015 Q4,Not seasonally adjusted percentage (%),Male,,10.4494120215216
2016 Q1,Not seasonally adjusted percentage (%),Male,,10.245337643550801
2016 Q2,Not seasonally adjusted percentage (%),Male,,10.702268789717301
2016 Q3,Not seasonally adjusted percentage (%),Male,,13.473116735788699
2016 Q4,Not seasonally adjusted percentage (%),Male,,11.1437498433365
2017 Q1,Not seasonally adjusted percentage (%),Male,,9.991918201263061
2017 Q2,Not seasonally adjusted percentage (%),Male,,10.2341165008124
2017 Q3,Not seasonally adjusted percentage (%),Male,,13.352045713571801
2017 Q4,Not seasonally adjusted percentage (%),Male,,11.079859120105901
2018 Q1,Not seasonally adjusted percentage (%),Male,,10.3240464333188
2018 Q2,Not seasonally adjusted percentage (%),Male,,10.4330535610291
2001 Q4,Not seasonally adjusted percentage (%),Female,,14.760206901713099
2002 Q1,Not seasonally adjusted percentage (%),Female,,14.728112118789301
2002 Q2,Not seasonally adjusted percentage (%),Female,,14.6671059097365
2002 Q3,Not seasonally adjusted percentage (%),Female,,17.2019233477095
2002 Q4,Not seasonally adjusted percentage (%),Female,,14.4189095572251
2003 Q1,Not seasonally adjusted percentage (%),Female,,15.0530540506654
2003 Q2,Not seasonally adjusted percentage (%),Female,,15.350222387934801
2003 Q3,Not seasonally adjusted percentage (%),Female,,17.4709503175824
2003 Q4,Not seasonally adjusted percentage (%),Female,,14.3408642981284
2004 Q1,Not seasonally adjusted percentage (%),Female,,13.794601856605198
2004 Q2,Not seasonally adjusted percentage (%),Female,,14.7582881795453
2004 Q3,Not seasonally adjusted percentage (%),Female,,17.954456070322
2004 Q4,Not seasonally adjusted percentage (%),Female,,14.9300085145174
2005 Q1,Not seasonally adjusted percentage (%),Female,,14.8885430259602
2005 Q2,Not seasonally adjusted percentage (%),Female,,15.175382437261
2005 Q3,Not seasonally adjusted percentage (%),Female,,17.0688789701847
2005 Q4,Not seasonally adjusted percentage (%),Female,,15.611857428254302
2006 Q1,Not seasonally adjusted percentage (%),Female,,15.143788939402599
2006 Q2,Not seasonally adjusted percentage (%),Female,,15.398174460993301
2006 Q3,Not seasonally adjusted percentage (%),Female,,18.3146519597079
2006 Q4,Not seasonally adjusted percentage (%),Female,,15.2265404240694
2007 Q1,Not seasonally adjusted percentage (%),Female,,15.0094473418154
2007 Q2,Not seasonally adjusted percentage (%),Female,,15.4301580357966
2007 Q3,Not seasonally adjusted percentage (%),Female,,17.7394174728883
2007 Q4,Not seasonally adjusted percentage (%),Female,,15.139077572436399
2008 Q1,Not seasonally adjusted percentage (%),Female,,14.597788271012499
2008 Q2,Not seasonally adjusted percentage (%),Female,,15.6713294435926
2008 Q3,Not seasonally adjusted percentage (%),Female,,17.9891638521415
2008 Q4,Not seasonally adjusted percentage (%),Female,,15.6727173949107
2009 Q1,Not seasonally adjusted percentage (%),Female,,15.4595849461706
2009 Q2,Not seasonally adjusted percentage (%),Female,,16.5501761257596
2009 Q3,Not seasonally adjusted percentage (%),Female,,18.732589987241003
2009 Q4,Not seasonally adjusted percentage (%),Female,,16.194037011770302
2010 Q1,Not seasonally adjusted percentage (%),Female,,16.0102774074598
2010 Q2,Not seasonally adjusted percentage (%),Female,,15.9719472477385
2010 Q3,Not seasonally adjusted percentage (%),Female,,18.993034197720302
2010 Q4,Not seasonally adjusted percentage (%),Female,,16.796762660436197
2011 Q1,Not seasonally adjusted percentage (%),Female,,15.299444414884501
2011 Q2,Not seasonally adjusted percentage (%),Female,,16.9827605878193
2011 Q3,Not seasonally adjusted percentage (%),Female,,19.809592553390697
2011 Q4,Not seasonally adjusted percentage (%),Female,,16.812327402588902
2012 Q1,Not seasonally adjusted percentage (%),Female,,16.126870222829098
