Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,,Female,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Female,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Female,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Female,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,Female,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",,0.0
2013,,,,Undefined,Units,"Rate per 1,000,000 population",,1.59794258044442
2014,England,,,Undefined,Units,"Rate per 1,000,000 population",E92000001,1.17827660035829
2014,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",E92000001,1.0678131690747
2014,England,,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0368211437611966
2014,England,,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0368211437611966
2014,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0368211437611966
2014,England,Male,,Undefined,Units,"Rate per 1,000,000 population",E92000001,1.26992683279202
2014,England,Male,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,Male,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",E92000001,1.12052367599296
2014,England,Male,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,Male,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0747015783995306
2014,England,Male,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,Male,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,Male,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0373507891997653
2014,England,Male,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,Male,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2014,England,Male,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0373507891997653
2014,England,Female,,Undefined,Units,"Rate per 1,000,000 population",E92000001,1.0891892808380799
