Year,Country,Suspected source,Units,Observation status,GeoCode,Value
2014,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2014,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.0
2014,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,46.5
2014,Northern Ireland,Public,Median count,Low reliability,N92000002,163.0
2014,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,25.5
2014,Northern Ireland,Shipping,Median count,Low reliability,N92000002,24.5
2015,Northern Ireland,Fishing,Median count,Low reliability,N92000002,442.0
2015,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2015,Northern Ireland,Medical,Median count,Low reliability,N92000002,1.0
2015,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,92.0
2015,Northern Ireland,Public,Median count,Low reliability,N92000002,130.0
2015,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,8.0
2015,Northern Ireland,Shipping,Median count,Low reliability,N92000002,66.0
2016,Northern Ireland,Fishing,Median count,Low reliability,N92000002,301.0
2016,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,1.0
2016,Northern Ireland,Medical,Median count,Low reliability,N92000002,1.0
2016,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,125.0
2016,Northern Ireland,Public,Median count,Low reliability,N92000002,182.0
2016,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,2.0
2016,Northern Ireland,Shipping,Median count,Low reliability,N92000002,122.0
2017,Northern Ireland,Fishing,Median count,Low reliability,N92000002,42.0
2017,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2017,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.0
2017,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,128.0
2017,Northern Ireland,Public,Median count,Low reliability,N92000002,103.0
2017,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,21.0
2017,Northern Ireland,Shipping,Median count,Low reliability,N92000002,15.0
2018,Northern Ireland,Fishing,Median count,Low reliability,N92000002,18.0
2018,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2018,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.0
2018,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,17.0
2018,Northern Ireland,Public,Median count,Low reliability,N92000002,35.0
2018,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,6.0
2018,Northern Ireland,Shipping,Median count,Low reliability,N92000002,4.0
2019,Northern Ireland,Fishing,Median count,Low reliability,N92000002,52.0
2019,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2019,Northern Ireland,Medical,Median count,Low reliability,N92000002,0.0
2019,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,23.0
2019,Northern Ireland,Public,Median count,Low reliability,N92000002,66.0
2019,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,4.0
2019,Northern Ireland,Shipping,Median count,Low reliability,N92000002,13.0
2020,Northern Ireland,Fishing,Median count,Low reliability; Time series break,N92000002,191.0
2020,Northern Ireland,Fly-tipped,Median count,Low reliability; Time series break,N92000002,4.0
2020,Northern Ireland,Medical,Median count,Low reliability; Time series break,N92000002,4.5
2020,Northern Ireland,Non-sourced,Median count,Low reliability; Time series break,N92000002,240.5
2020,Northern Ireland,Public,Median count,Low reliability; Time series break,N92000002,447.5
2020,Northern Ireland,Sewage related debris,Median count,Low reliability; Time series break,N92000002,33.0
2020,Northern Ireland,Shipping,Median count,Low reliability; Time series break,N92000002,33.5
2021,Northern Ireland,Fishing,Median count,Low reliability,N92000002,36.0
2021,Northern Ireland,Fly-tipped,Median count,Low reliability,N92000002,0.0
2021,Northern Ireland,Medical,Median count,Low reliability,N92000002,3.0
2021,Northern Ireland,Non-sourced,Median count,Low reliability,N92000002,51.0
2021,Northern Ireland,Public,Median count,Low reliability,N92000002,352.0
2021,Northern Ireland,Sewage related debris,Median count,Low reliability,N92000002,7.0
2021,Northern Ireland,Shipping,Median count,Low reliability,N92000002,10.0
2008,Scotland,Fishing,Median count,Low reliability,S92000003,30.0
2008,Scotland,Fly-tipped,Median count,Low reliability,S92000003,0.0
2008,Scotland,Medical,Median count,Low reliability,S92000003,0.0
2008,Scotland,Non-sourced,Median count,Low reliability,S92000003,65.0
2008,Scotland,Public,Median count,Low reliability,S92000003,79.5
2008,Scotland,Sewage related debris,Median count,Low reliability,S92000003,15.5
2008,Scotland,Shipping,Median count,Low reliability,S92000003,5.5
2009,Scotland,Fishing,Median count,Normal value,S92000003,22.5
2009,Scotland,Fly-tipped,Median count,Normal value,S92000003,0.0
2009,Scotland,Medical,Median count,Normal value,S92000003,0.0
2009,Scotland,Non-sourced,Median count,Normal value,S92000003,27.5
2009,Scotland,Public,Median count,Normal value,S92000003,112.5
2009,Scotland,Sewage related debris,Median count,Normal value,S92000003,4.5
2009,Scotland,Shipping,Median count,Normal value,S92000003,4.0
2010,Scotland,Fishing,Median count,Low reliability,S92000003,42.5
2010,Scotland,Fly-tipped,Median count,Low reliability,S92000003,0.0
2010,Scotland,Medical,Median count,Low reliability,S92000003,0.0
2010,Scotland,Non-sourced,Median count,Low reliability,S92000003,74.0
2010,Scotland,Public,Median count,Low reliability,S92000003,143.0
2010,Scotland,Sewage related debris,Median count,Low reliability,S92000003,13.5
2010,Scotland,Shipping,Median count,Low reliability,S92000003,11.0
2011,Scotland,Fishing,Median count,Low reliability,S92000003,32.5
2011,Scotland,Fly-tipped,Median count,Low reliability,S92000003,0.0
2011,Scotland,Medical,Median count,Low reliability,S92000003,0.0
2011,Scotland,Non-sourced,Median count,Low reliability,S92000003,68.0
2011,Scotland,Public,Median count,Low reliability,S92000003,116.5
2011,Scotland,Sewage related debris,Median count,Low reliability,S92000003,6.0
2011,Scotland,Shipping,Median count,Low reliability,S92000003,6.0
2012,Scotland,Fishing,Median count,Low reliability,S92000003,24.0
2012,Scotland,Fly-tipped,Median count,Low reliability,S92000003,0.0
2012,Scotland,Medical,Median count,Low reliability,S92000003,0.0
2012,Scotland,Non-sourced,Median count,Low reliability,S92000003,33.0
2012,Scotland,Public,Median count,Low reliability,S92000003,83.0
2012,Scotland,Sewage related debris,Median count,Low reliability,S92000003,9.0
2012,Scotland,Shipping,Median count,Low reliability,S92000003,8.0
2013,Scotland,Fishing,Median count,Low reliability,S92000003,28.0
2013,Scotland,Fly-tipped,Median count,Low reliability,S92000003,0.0
2013,Scotland,Medical,Median count,Low reliability,S92000003,0.5
2013,Scotland,Non-sourced,Median count,Low reliability,S92000003,56.5
2013,Scotland,Public,Median count,Low reliability,S92000003,94.0
2013,Scotland,Sewage related debris,Median count,Low reliability,S92000003,13.5
2013,Scotland,Shipping,Median count,Low reliability,S92000003,9.5
2014,Scotland,Fishing,Median count,Low reliability,S92000003,12.0
2014,Scotland,Fly-tipped,Median count,Low reliability,S92000003,0.0
2014,Scotland,Medical,Median count,Low reliability,S92000003,0.0
2014,Scotland,Non-sourced,Median count,Low reliability,S92000003,66.0
2014,Scotland,Public,Median count,Low reliability,S92000003,85.0
2014,Scotland,Sewage related debris,Median count,Low reliability,S92000003,56.0
2014,Scotland,Shipping,Median count,Low reliability,S92000003,10.0
2015,Scotland,Fishing,Median count,Normal value,S92000003,12.0
2015,Scotland,Fly-tipped,Median count,Normal value,S92000003,0.0
2015,Scotland,Medical,Median count,Normal value,S92000003,0.0
2015,Scotland,Non-sourced,Median count,Normal value,S92000003,40.0
2015,Scotland,Public,Median count,Normal value,S92000003,71.0
2015,Scotland,Sewage related debris,Median count,Normal value,S92000003,12.0
2015,Scotland,Shipping,Median count,Normal value,S92000003,8.0
2016,Scotland,Fishing,Median count,Normal value,S92000003,13.0
2016,Scotland,Fly-tipped,Median count,Normal value,S92000003,0.0
2016,Scotland,Medical,Median count,Normal value,S92000003,0.0
2016,Scotland,Non-sourced,Median count,Normal value,S92000003,28.0
2016,Scotland,Public,Median count,Normal value,S92000003,69.0
2016,Scotland,Sewage related debris,Median count,Normal value,S92000003,7.0
2016,Scotland,Shipping,Median count,Normal value,S92000003,8.0
2017,Scotland,Fishing,Median count,Normal value,S92000003,12.5
2017,Scotland,Fly-tipped,Median count,Normal value,S92000003,0.0
2017,Scotland,Medical,Median count,Normal value,S92000003,0.0
2017,Scotland,Non-sourced,Median count,Normal value,S92000003,27.0
2017,Scotland,Public,Median count,Normal value,S92000003,58.0
2017,Scotland,Sewage related debris,Median count,Normal value,S92000003,6.0
2017,Scotland,Shipping,Median count,Normal value,S92000003,8.0
2018,Scotland,Fishing,Median count,Normal value,S92000003,15.0
2018,Scotland,Fly-tipped,Median count,Normal value,S92000003,0.0
2018,Scotland,Medical,Median count,Normal value,S92000003,0.0
2018,Scotland,Non-sourced,Median count,Normal value,S92000003,41.0
2018,Scotland,Public,Median count,Normal value,S92000003,46.0
2018,Scotland,Sewage related debris,Median count,Normal value,S92000003,9.0
2018,Scotland,Shipping,Median count,Normal value,S92000003,6.0
2019,Scotland,Fishing,Median count,Normal value,S92000003,8.0
2019,Scotland,Fly-tipped,Median count,Normal value,S92000003,0.0
2019,Scotland,Medical,Median count,Normal value,S92000003,0.0
2019,Scotland,Non-sourced,Median count,Normal value,S92000003,21.0
2019,Scotland,Public,Median count,Normal value,S92000003,32.0
2019,Scotland,Sewage related debris,Median count,Normal value,S92000003,5.5
2019,Scotland,Shipping,Median count,Normal value,S92000003,3.0
2020,Scotland,Fishing,Median count,Time series break,S92000003,11.0
2020,Scotland,Fly-tipped,Median count,Time series break,S92000003,0.0
2020,Scotland,Medical,Median count,Time series break,S92000003,0.0
2020,Scotland,Non-sourced,Median count,Time series break,S92000003,18.0
2020,Scotland,Public,Median count,Time series break,S92000003,36.0
2020,Scotland,Sewage related debris,Median count,Time series break,S92000003,9.0
2020,Scotland,Shipping,Median count,Time series break,S92000003,4.0
2021,Scotland,Fishing,Median count,Normal value,S92000003,15.0
2021,Scotland,Fly-tipped,Median count,Normal value,S92000003,0.0
2021,Scotland,Medical,Median count,Normal value,S92000003,1.0
2021,Scotland,Non-sourced,Median count,Normal value,S92000003,22.0
2021,Scotland,Public,Median count,Normal value,S92000003,32.5
2021,Scotland,Sewage related debris,Median count,Normal value,S92000003,4.0
2021,Scotland,Shipping,Median count,Normal value,S92000003,5.0
2008,Wales,Fishing,Median count,Low reliability,W92000004,36.0
2008,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2008,Wales,Medical,Median count,Low reliability,W92000004,0.0
2008,Wales,Non-sourced,Median count,Low reliability,W92000004,92.0
2008,Wales,Public,Median count,Low reliability,W92000004,201.0
2008,Wales,Sewage related debris,Median count,Low reliability,W92000004,9.0
2008,Wales,Shipping,Median count,Low reliability,W92000004,12.0
2009,Wales,Fishing,Median count,Low reliability,W92000004,115.0
2009,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2009,Wales,Medical,Median count,Low reliability,W92000004,0.0
2009,Wales,Non-sourced,Median count,Low reliability,W92000004,72.5
2009,Wales,Public,Median count,Low reliability,W92000004,177.5
2009,Wales,Sewage related debris,Median count,Low reliability,W92000004,15.0
2009,Wales,Shipping,Median count,Low reliability,W92000004,8.5
2010,Wales,Fishing,Median count,Low reliability,W92000004,46.0
2010,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2010,Wales,Medical,Median count,Low reliability,W92000004,0.0
2010,Wales,Non-sourced,Median count,Low reliability,W92000004,58.0
2010,Wales,Public,Median count,Low reliability,W92000004,111.0
2010,Wales,Sewage related debris,Median count,Low reliability,W92000004,6.0
2010,Wales,Shipping,Median count,Low reliability,W92000004,5.0
2011,Wales,Fishing,Median count,Low reliability,W92000004,45.0
2011,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2011,Wales,Medical,Median count,Low reliability,W92000004,0.0
2011,Wales,Non-sourced,Median count,Low reliability,W92000004,50.0
2011,Wales,Public,Median count,Low reliability,W92000004,118.5
2011,Wales,Sewage related debris,Median count,Low reliability,W92000004,8.0
2011,Wales,Shipping,Median count,Low reliability,W92000004,15.5
2012,Wales,Fishing,Median count,Low reliability,W92000004,104.0
2012,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2012,Wales,Medical,Median count,Low reliability,W92000004,1.0
2012,Wales,Non-sourced,Median count,Low reliability,W92000004,52.0
2012,Wales,Public,Median count,Low reliability,W92000004,112.0
2012,Wales,Sewage related debris,Median count,Low reliability,W92000004,14.0
2012,Wales,Shipping,Median count,Low reliability,W92000004,15.0
2013,Wales,Fishing,Median count,Low reliability,W92000004,58.0
2013,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2013,Wales,Medical,Median count,Low reliability,W92000004,0.5
2013,Wales,Non-sourced,Median count,Low reliability,W92000004,110.0
2013,Wales,Public,Median count,Low reliability,W92000004,215.0
2013,Wales,Sewage related debris,Median count,Low reliability,W92000004,54.0
2013,Wales,Shipping,Median count,Low reliability,W92000004,14.5
2014,Wales,Fishing,Median count,Low reliability,W92000004,72.0
2014,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2014,Wales,Medical,Median count,Low reliability,W92000004,0.0
2014,Wales,Non-sourced,Median count,Low reliability,W92000004,71.0
2014,Wales,Public,Median count,Low reliability,W92000004,118.0
2014,Wales,Sewage related debris,Median count,Low reliability,W92000004,26.0
2014,Wales,Shipping,Median count,Low reliability,W92000004,16.0
2015,Wales,Fishing,Median count,Normal value,W92000004,43.5
2015,Wales,Fly-tipped,Median count,Normal value,W92000004,0.0
2015,Wales,Medical,Median count,Normal value,W92000004,0.0
2015,Wales,Non-sourced,Median count,Normal value,W92000004,41.0
2015,Wales,Public,Median count,Normal value,W92000004,105.0
2015,Wales,Sewage related debris,Median count,Normal value,W92000004,8.5
2015,Wales,Shipping,Median count,Normal value,W92000004,10.5
2016,Wales,Fishing,Median count,Low reliability,W92000004,60.5
2016,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2016,Wales,Medical,Median count,Low reliability,W92000004,0.5
2016,Wales,Non-sourced,Median count,Low reliability,W92000004,74.5
2016,Wales,Public,Median count,Low reliability,W92000004,106.0
2016,Wales,Sewage related debris,Median count,Low reliability,W92000004,15.0
2016,Wales,Shipping,Median count,Low reliability,W92000004,9.0
2017,Wales,Fishing,Median count,Low reliability,W92000004,57.0
2017,Wales,Fly-tipped,Median count,Low reliability,W92000004,0.0
2017,Wales,Medical,Median count,Low reliability,W92000004,1.0
2017,Wales,Non-sourced,Median count,Low reliability,W92000004,73.0
2017,Wales,Public,Median count,Low reliability,W92000004,96.0
2017,Wales,Sewage related debris,Median count,Low reliability,W92000004,12.0
2017,Wales,Shipping,Median count,Low reliability,W92000004,11.0
2018,Wales,Fishing,Median count,Normal value,W92000004,25.0
2018,Wales,Fly-tipped,Median count,Normal value,W92000004,0.0
2018,Wales,Medical,Median count,Normal value,W92000004,0.0
2018,Wales,Non-sourced,Median count,Normal value,W92000004,26.5
2018,Wales,Public,Median count,Normal value,W92000004,82.5
2018,Wales,Sewage related debris,Median count,Normal value,W92000004,6.0
2018,Wales,Shipping,Median count,Normal value,W92000004,6.5
2019,Wales,Fishing,Median count,Normal value,W92000004,33.0
2019,Wales,Fly-tipped,Median count,Normal value,W92000004,0.0
2019,Wales,Medical,Median count,Normal value,W92000004,0.0
2019,Wales,Non-sourced,Median count,Normal value,W92000004,35.0
2019,Wales,Public,Median count,Normal value,W92000004,84.0
2019,Wales,Sewage related debris,Median count,Normal value,W92000004,7.0
2019,Wales,Shipping,Median count,Normal value,W92000004,9.0
2020,Wales,Fishing,Median count,Time series break,W92000004,10.0
2020,Wales,Fly-tipped,Median count,Time series break,W92000004,0.0
2020,Wales,Medical,Median count,Time series break,W92000004,0.0
2020,Wales,Non-sourced,Median count,Time series break,W92000004,18.0
2020,Wales,Public,Median count,Time series break,W92000004,30.0
2020,Wales,Sewage related debris,Median count,Time series break,W92000004,3.0
2020,Wales,Shipping,Median count,Time series break,W92000004,1.0
2021,Wales,Fishing,Median count,Normal value,W92000004,15.5
2021,Wales,Fly-tipped,Median count,Normal value,W92000004,0.0
2021,Wales,Medical,Median count,Normal value,W92000004,1.0
2021,Wales,Non-sourced,Median count,Normal value,W92000004,48.0
2021,Wales,Public,Median count,Normal value,W92000004,77.5
2021,Wales,Sewage related debris,Median count,Normal value,W92000004,4.0
2021,Wales,Shipping,Median count,Normal value,W92000004,4.0
2008,England,Fishing,Median count,Normal value,E92000001,26.5
2008,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2008,England,Medical,Median count,Normal value,E92000001,0.0
2008,England,Non-sourced,Median count,Normal value,E92000001,71.0
2008,England,Public,Median count,Normal value,E92000001,67.0
2008,England,Sewage related debris,Median count,Normal value,E92000001,2.5
2008,England,Shipping,Median count,Normal value,E92000001,6.5
2009,England,Fishing,Median count,Normal value,E92000001,68.0
2009,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2009,England,Medical,Median count,Normal value,E92000001,0.0
2009,England,Non-sourced,Median count,Normal value,E92000001,62.0
2009,England,Public,Median count,Normal value,E92000001,164.0
2009,England,Sewage related debris,Median count,Normal value,E92000001,8.0
2009,England,Shipping,Median count,Normal value,E92000001,11.0
2010,England,Fishing,Median count,Normal value,E92000001,51.0
2010,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2010,England,Medical,Median count,Normal value,E92000001,0.0
2010,England,Non-sourced,Median count,Normal value,E92000001,73.0
2010,England,Public,Median count,Normal value,E92000001,122.0
2010,England,Sewage related debris,Median count,Normal value,E92000001,12.0
2010,England,Shipping,Median count,Normal value,E92000001,7.0
2011,England,Fishing,Median count,Normal value,E92000001,33.0
2011,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2011,England,Medical,Median count,Normal value,E92000001,1.0
2011,England,Non-sourced,Median count,Normal value,E92000001,51.0
2011,England,Public,Median count,Normal value,E92000001,113.0
2011,England,Sewage related debris,Median count,Normal value,E92000001,6.0
2011,England,Shipping,Median count,Normal value,E92000001,13.0
2012,England,Fishing,Median count,Normal value,E92000001,28.0
2012,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2012,England,Medical,Median count,Normal value,E92000001,1.0
2012,England,Non-sourced,Median count,Normal value,E92000001,70.0
2012,England,Public,Median count,Normal value,E92000001,114.0
2012,England,Sewage related debris,Median count,Normal value,E92000001,14.0
2012,England,Shipping,Median count,Normal value,E92000001,13.0
2013,England,Fishing,Median count,Normal value,E92000001,55.5
2013,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2013,England,Medical,Median count,Normal value,E92000001,0.5
2013,England,Non-sourced,Median count,Normal value,E92000001,82.0
2013,England,Public,Median count,Normal value,E92000001,139.5
2013,England,Sewage related debris,Median count,Normal value,E92000001,11.0
2013,England,Shipping,Median count,Normal value,E92000001,19.5
2014,England,Fishing,Median count,Normal value,E92000001,39.0
2014,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2014,England,Medical,Median count,Normal value,E92000001,1.0
2014,England,Non-sourced,Median count,Normal value,E92000001,73.0
2014,England,Public,Median count,Normal value,E92000001,188.0
2014,England,Sewage related debris,Median count,Normal value,E92000001,15.0
2014,England,Shipping,Median count,Normal value,E92000001,17.0
2015,England,Fishing,Median count,Normal value,E92000001,34.0
2015,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2015,England,Medical,Median count,Normal value,E92000001,1.0
2015,England,Non-sourced,Median count,Normal value,E92000001,74.0
2015,England,Public,Median count,Normal value,E92000001,154.0
2015,England,Sewage related debris,Median count,Normal value,E92000001,17.0
2015,England,Shipping,Median count,Normal value,E92000001,13.0
2016,England,Fishing,Median count,Normal value,E92000001,33.0
2016,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2016,England,Medical,Median count,Normal value,E92000001,0.0
2016,England,Non-sourced,Median count,Normal value,E92000001,63.0
2016,England,Public,Median count,Normal value,E92000001,111.0
2016,England,Sewage related debris,Median count,Normal value,E92000001,7.0
2016,England,Shipping,Median count,Normal value,E92000001,9.0
2017,England,Fishing,Median count,Normal value,E92000001,28.0
2017,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2017,England,Medical,Median count,Normal value,E92000001,0.0
2017,England,Non-sourced,Median count,Normal value,E92000001,65.0
2017,England,Public,Median count,Normal value,E92000001,112.0
2017,England,Sewage related debris,Median count,Normal value,E92000001,10.0
2017,England,Shipping,Median count,Normal value,E92000001,10.0
2018,England,Fishing,Median count,Normal value,E92000001,15.0
2018,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2018,England,Medical,Median count,Normal value,E92000001,0.0
2018,England,Non-sourced,Median count,Normal value,E92000001,28.0
2018,England,Public,Median count,Normal value,E92000001,73.0
2018,England,Sewage related debris,Median count,Normal value,E92000001,6.0
2018,England,Shipping,Median count,Normal value,E92000001,5.0
2019,England,Fishing,Median count,Normal value,E92000001,18.0
2019,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2019,England,Medical,Median count,Normal value,E92000001,0.0
2019,England,Non-sourced,Median count,Normal value,E92000001,30.0
2019,England,Public,Median count,Normal value,E92000001,82.0
2019,England,Sewage related debris,Median count,Normal value,E92000001,5.0
2019,England,Shipping,Median count,Normal value,E92000001,5.0
2020,England,Fishing,Median count,Time series break,E92000001,13.5
2020,England,Fly-tipped,Median count,Time series break,E92000001,0.0
2020,England,Medical,Median count,Time series break,E92000001,0.0
2020,England,Non-sourced,Median count,Time series break,E92000001,28.5
2020,England,Public,Median count,Time series break,E92000001,54.0
2020,England,Sewage related debris,Median count,Time series break,E92000001,6.5
2020,England,Shipping,Median count,Time series break,E92000001,3.0
2021,England,Fishing,Median count,Normal value,E92000001,16.0
2021,England,Fly-tipped,Median count,Normal value,E92000001,0.0
2021,England,Medical,Median count,Normal value,E92000001,1.0
2021,England,Non-sourced,Median count,Normal value,E92000001,30.0
2021,England,Public,Median count,Normal value,E92000001,72.0
2021,England,Sewage related debris,Median count,Normal value,E92000001,6.0
2021,England,Shipping,Median count,Normal value,E92000001,4.0
2008,,Fishing,Median count,Normal value,,28.0
2008,,Fly-tipped,Median count,Normal value,,0.0
2008,,Medical,Median count,Normal value,,0.0
2008,,Non-sourced,Median count,Normal value,,73.5
2008,,Public,Median count,Normal value,,92.5
2008,,Sewage related debris,Median count,Normal value,,3.5
2008,,Shipping,Median count,Normal value,,7.0
2009,,Fishing,Median count,Normal value,,60.5
2009,,Fly-tipped,Median count,Normal value,,0.0
2009,,Medical,Median count,Normal value,,0.0
2009,,Non-sourced,Median count,Normal value,,57.5
2009,,Public,Median count,Normal value,,157.5
2009,,Sewage related debris,Median count,Normal value,,8.5
2009,,Shipping,Median count,Normal value,,9.0
2010,,Fishing,Median count,Normal value,,47.0
2010,,Fly-tipped,Median count,Normal value,,0.0
2010,,Medical,Median count,Normal value,,0.0
2010,,Non-sourced,Median count,Normal value,,67.0
2010,,Public,Median count,Normal value,,129.0
2010,,Sewage related debris,Median count,Normal value,,11.0
2010,,Shipping,Median count,Normal value,,7.0
2011,,Fishing,Median count,Normal value,,35.0
2011,,Fly-tipped,Median count,Normal value,,0.0
2011,,Medical,Median count,Normal value,,0.0
2011,,Non-sourced,Median count,Normal value,,52.0
2011,,Public,Median count,Normal value,,119.0
2011,,Sewage related debris,Median count,Normal value,,8.0
2011,,Shipping,Median count,Normal value,,12.0
2012,,Fishing,Median count,Normal value,,28.0
2012,,Fly-tipped,Median count,Normal value,,0.0
2012,,Medical,Median count,Normal value,,0.0
2012,,Non-sourced,Median count,Normal value,,54.0
2012,,Public,Median count,Normal value,,111.5
2012,,Sewage related debris,Median count,Normal value,,14.0
2012,,Shipping,Median count,Normal value,,12.0
2013,,Fishing,Median count,Normal value,,43.5
2013,,Fly-tipped,Median count,Normal value,,0.0
2013,,Medical,Median count,Normal value,,0.5
2013,,Non-sourced,Median count,Normal value,,76.5
2013,,Public,Median count,Normal value,,132.0
2013,,Sewage related debris,Median count,Normal value,,12.5
2013,,Shipping,Median count,Normal value,,18.5
2014,,Fishing,Median count,Normal value,,36.0
2014,,Fly-tipped,Median count,Normal value,,0.0
2014,,Medical,Median count,Normal value,,1.0
2014,,Non-sourced,Median count,Normal value,,71.0
2014,,Public,Median count,Normal value,,158.0
2014,,Sewage related debris,Median count,Normal value,,19.0
2014,,Shipping,Median count,Normal value,,16.0
2015,,Fishing,Median count,Normal value,,29.0
2015,,Fly-tipped,Median count,Normal value,,0.0
2015,,Medical,Median count,Normal value,,1.0
2015,,Non-sourced,Median count,Normal value,,50.0
2015,,Public,Median count,Normal value,,109.0
2015,,Sewage related debris,Median count,Normal value,,15.0
2015,,Shipping,Median count,Normal value,,12.0
2016,,Fishing,Median count,Normal value,,22.5
