Year,Speed (mb/sec),Units,Unit multiplier,Observation status,Value
2014,10 mbps and over,Number,Units,Normal value,20663411.0
2015,10 mbps and over,Number,Units,Normal value,22936692.0
2016,10 mbps and over,Number,Units,Normal value,24301833.0
2017,10 mbps and over,Number,Units,Normal value,25256352.0
2018,10 mbps and over,Number,Units,Normal value,26166022.0
2019,10 mbps and over,Number,Units,Normal value,26603230.0
2020,10 mbps and over,Number,Units,Normal value,27056994.0
2008,Between 256 kbps and 2 mbps,Number,Units,Normal value,837991.0
2009,Between 256 kbps and 2 mbps,Number,Units,Normal value,396005.0
2010,Between 256 kbps and 2 mbps,Number,Units,Normal value,242891.0
2011,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2012,Between 256 kbps and 2 mbps,Number,Units,Estimated value,0.0
2013,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2014,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2015,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2016,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2017,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2018,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2019,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2020,Between 256 kbps and 2 mbps,Number,Units,Normal value,0.0
2008,Between 2 mbps and 10 mbps,Number,Units,Normal value,15266549.0
2009,Between 2 mbps and 10 mbps,Number,Units,Normal value,11457811.0
2010,Between 2 mbps and 10 mbps,Number,Units,Normal value,6301828.0
2011,Between 2 mbps and 10 mbps,Number,Units,Normal value,5485439.0
2012,Between 2 mbps and 10 mbps,Number,Units,Normal value,4789579.0
2013,Between 2 mbps and 10 mbps,Number,Units,Normal value,3774383.0
2014,Between 2 mbps and 10 mbps,Number,Units,Normal value,3066389.0
2015,Between 2 mbps and 10 mbps,Number,Units,Normal value,1726418.0
2016,Between 2 mbps and 10 mbps,Number,Units,Normal value,1171786.0
2017,Between 2 mbps and 10 mbps,Number,Units,Normal value,787079.0
2018,Between 2 mbps and 10 mbps,Number,Units,Normal value,421087.0
2019,Between 2 mbps and 10 mbps,Number,Units,Normal value,267883.0
2020,Between 2 mbps and 10 mbps,Number,Units,Normal value,273303.0
2000,,Number,Units,Normal value,52890.0
2001,,Number,Units,Normal value,330960.0
2002,,Number,Units,Normal value,1356481.0
2003,,Number,Units,Normal value,3113702.33
2004,,Number,Units,Normal value,6123907.0
2005,,Number,Units,Normal value,9898653.0
2006,,Number,Units,Normal value,13013000.0
2007,,Number,Units,Normal value,15606000.0
2008,,Number,Units,Normal value,17310023.0
2009,,Number,Units,Normal value,17877223.0
2010,,Number,Units,Normal value,19151508.0
2011,,Number,Units,Normal value,20588901.0
2012,,Number,Units,Normal value,21685668.0
2013,,Number,Units,Normal value,23039803.0
2014,,Number,Units,Normal value,23729800.0
2015,,Number,Units,Normal value,24663109.0
2016,,Number,Units,Normal value,25473619.0
2017,,Number,Units,Normal value,26043431.0
2018,,Number,Units,Normal value,26587110.0
2019,,Number,Units,Normal value,26871963.0
2020,,Number,Units,Normal value,27330297.0
