Year,Units,Sex,Age,Occupation major group,Occupation sub-major group,Disability status,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2004,Annual survey of hours and earnings (ASHE),,60 and over,Associate professional and technical occupations,,,,,Undefined,Units,GBP (£),,13.18
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",,,,Undefined,Units,GBP (£),,7.15
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",,,,Undefined,Units,GBP (£),,10.67
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",,,,Undefined,Units,GBP (£),,13.12
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",,,,Undefined,Units,GBP (£),,13.51
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",,,,Undefined,Units,GBP (£),,12.56
2004,Annual survey of hours and earnings (ASHE),,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",,,,Undefined,Units,GBP (£),,11.7
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,,,,Undefined,Units,GBP (£),,9.45
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,,,,Undefined,Units,GBP (£),,10.98
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,,,,Undefined,Units,GBP (£),,12.28
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Associate professional and technical occupations,Health and social care associate professionals,,,,Undefined,Units,GBP (£),,12.78
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,,,,Undefined,Units,GBP (£),,12.86
2004,Annual survey of hours and earnings (ASHE),,60 and over,Associate professional and technical occupations,Health and social care associate professionals,,,,Undefined,Units,GBP (£),,11.72
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Associate professional and technical occupations,Protective service occupations,,,,Undefined,Units,GBP (£),,10.76
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Associate professional and technical occupations,Protective service occupations,,,,Undefined,Units,GBP (£),,11.6
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Associate professional and technical occupations,Protective service occupations,,,,Undefined,Units,GBP (£),,13.45
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Associate professional and technical occupations,Protective service occupations,,,,Undefined,Units,GBP (£),,14.77
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Associate professional and technical occupations,Protective service occupations,,,,Undefined,Units,GBP (£),,13.58
2004,Annual survey of hours and earnings (ASHE),,60 and over,Associate professional and technical occupations,Protective service occupations,,,,Undefined,Units,GBP (£),,9.71
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",,,,Undefined,Units,GBP (£),,9.16
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",,,,Undefined,Units,GBP (£),,16.37
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",,,,Undefined,Units,GBP (£),,15.45
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",,,,Undefined,Units,GBP (£),,18.49
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",,,,Undefined,Units,GBP (£),,15.71
2004,Annual survey of hours and earnings (ASHE),,60 and over,Associate professional and technical occupations,"Culture, media and sports occupations",,,,Undefined,Units,GBP (£),,22.94
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,,,,Undefined,Units,GBP (£),,7.16
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,,,,Undefined,Units,GBP (£),,11.6
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,,,,Undefined,Units,GBP (£),,15.71
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Associate professional and technical occupations,Business and public service associate professionals,,,,Undefined,Units,GBP (£),,15.78
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,,,,Undefined,Units,GBP (£),,15.61
2004,Annual survey of hours and earnings (ASHE),,60 and over,Associate professional and technical occupations,Business and public service associate professionals,,,,Undefined,Units,GBP (£),,13.94
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Administrative and secretarial occupations,,,,,Undefined,Units,GBP (£),,6.64
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Administrative and secretarial occupations,,,,,Undefined,Units,GBP (£),,8.48
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Administrative and secretarial occupations,,,,,Undefined,Units,GBP (£),,9.43
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Administrative and secretarial occupations,,,,,Undefined,Units,GBP (£),,9.3
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Administrative and secretarial occupations,,,,,Undefined,Units,GBP (£),,8.95
2004,Annual survey of hours and earnings (ASHE),,60 and over,Administrative and secretarial occupations,,,,,Undefined,Units,GBP (£),,8.47
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Administrative and secretarial occupations,Administrative occupations,,,,Undefined,Units,GBP (£),,6.69
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Administrative and secretarial occupations,Administrative occupations,,,,Undefined,Units,GBP (£),,8.5
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Administrative and secretarial occupations,Administrative occupations,,,,Undefined,Units,GBP (£),,9.4
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Administrative and secretarial occupations,Administrative occupations,,,,Undefined,Units,GBP (£),,9.32
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Administrative and secretarial occupations,Administrative occupations,,,,Undefined,Units,GBP (£),,8.92
2004,Annual survey of hours and earnings (ASHE),,60 and over,Administrative and secretarial occupations,Administrative occupations,,,,Undefined,Units,GBP (£),,8.44
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,,,,Undefined,Units,GBP (£),,6.29
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,,,,Undefined,Units,GBP (£),,8.38
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,,,,Undefined,Units,GBP (£),,9.54
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Administrative and secretarial occupations,Secretarial and related occupations,,,,Undefined,Units,GBP (£),,9.2
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,,,,Undefined,Units,GBP (£),,9.06
2004,Annual survey of hours and earnings (ASHE),,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,,,,Undefined,Units,GBP (£),,8.55
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Skilled trades occupations,,,,,Undefined,Units,GBP (£),,6.95
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Skilled trades occupations,,,,,Undefined,Units,GBP (£),,8.82
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Skilled trades occupations,,,,,Undefined,Units,GBP (£),,10.03
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Skilled trades occupations,,,,,Undefined,Units,GBP (£),,10.45
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Skilled trades occupations,,,,,Undefined,Units,GBP (£),,10.0
2004,Annual survey of hours and earnings (ASHE),,60 and over,Skilled trades occupations,,,,,Undefined,Units,GBP (£),,8.91
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Skilled trades occupations,Skilled agricultural and related trades,,,,Undefined,Units,GBP (£),,6.68
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,,,,Undefined,Units,GBP (£),,6.83
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,,,,Undefined,Units,GBP (£),,7.83
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Skilled trades occupations,Skilled agricultural and related trades,,,,Undefined,Units,GBP (£),,7.9
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,,,,Undefined,Units,GBP (£),,7.19
2004,Annual survey of hours and earnings (ASHE),,60 and over,Skilled trades occupations,Skilled agricultural and related trades,,,,Undefined,Units,GBP (£),,7.32
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",,,,Undefined,Units,GBP (£),,7.38
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",,,,Undefined,Units,GBP (£),,9.88
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",,,,Undefined,Units,GBP (£),,10.9
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",,,,Undefined,Units,GBP (£),,11.32
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",,,,Undefined,Units,GBP (£),,10.79
2004,Annual survey of hours and earnings (ASHE),,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",,,,Undefined,Units,GBP (£),,9.53
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Skilled trades occupations,Skilled construction and building trades,,,,Undefined,Units,GBP (£),,7.42
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Skilled trades occupations,Skilled construction and building trades,,,,Undefined,Units,GBP (£),,8.63
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Skilled trades occupations,Skilled construction and building trades,,,,Undefined,Units,GBP (£),,9.89
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Skilled trades occupations,Skilled construction and building trades,,,,Undefined,Units,GBP (£),,10.2
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Skilled trades occupations,Skilled construction and building trades,,,,Undefined,Units,GBP (£),,10.02
2004,Annual survey of hours and earnings (ASHE),,60 and over,Skilled trades occupations,Skilled construction and building trades,,,,Undefined,Units,GBP (£),,9.26
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",,,,Undefined,Units,GBP (£),,6.0
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",,,,Undefined,Units,GBP (£),,7.15
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",,,,Undefined,Units,GBP (£),,8.21
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",,,,Undefined,Units,GBP (£),,8.4
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",,,,Undefined,Units,GBP (£),,7.99
2004,Annual survey of hours and earnings (ASHE),,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",,,,Undefined,Units,GBP (£),,7.48
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Caring, leisure and other service occupations",,,,,Undefined,Units,GBP (£),,6.01
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Caring, leisure and other service occupations",,,,,Undefined,Units,GBP (£),,7.21
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Caring, leisure and other service occupations",,,,,Undefined,Units,GBP (£),,7.88
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Caring, leisure and other service occupations",,,,,Undefined,Units,GBP (£),,7.57
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Caring, leisure and other service occupations",,,,,Undefined,Units,GBP (£),,7.55
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Caring, leisure and other service occupations",,,,,Undefined,Units,GBP (£),,7.27
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,,,,Undefined,Units,GBP (£),,6.01
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,,,,Undefined,Units,GBP (£),,7.09
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,,,,Undefined,Units,GBP (£),,7.38
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,,,,Undefined,Units,GBP (£),,7.33
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,,,,Undefined,Units,GBP (£),,7.46
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,,,,Undefined,Units,GBP (£),,7.09
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",,,,Undefined,Units,GBP (£),,6.0
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",,,,Undefined,Units,GBP (£),,7.55
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",,,,Undefined,Units,GBP (£),,9.63
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",,,,Undefined,Units,GBP (£),,8.83
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",,,,Undefined,Units,GBP (£),,7.88
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",,,,Undefined,Units,GBP (£),,7.6
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Sales and customer service occupations,,,,,Undefined,Units,GBP (£),,5.66
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Sales and customer service occupations,,,,,Undefined,Units,GBP (£),,6.91
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Sales and customer service occupations,,,,,Undefined,Units,GBP (£),,7.26
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Sales and customer service occupations,,,,,Undefined,Units,GBP (£),,6.9
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Sales and customer service occupations,,,,,Undefined,Units,GBP (£),,6.42
2004,Annual survey of hours and earnings (ASHE),,60 and over,Sales and customer service occupations,,,,,Undefined,Units,GBP (£),,6.43
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Sales and customer service occupations,Sales occupations,,,,Undefined,Units,GBP (£),,5.49
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Sales and customer service occupations,Sales occupations,,,,Undefined,Units,GBP (£),,6.72
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Sales and customer service occupations,Sales occupations,,,,Undefined,Units,GBP (£),,7.11
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Sales and customer service occupations,Sales occupations,,,,Undefined,Units,GBP (£),,6.76
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Sales and customer service occupations,Sales occupations,,,,Undefined,Units,GBP (£),,6.3
2004,Annual survey of hours and earnings (ASHE),,60 and over,Sales and customer service occupations,Sales occupations,,,,Undefined,Units,GBP (£),,6.43
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Sales and customer service occupations,Customer service occupations,,,,Undefined,Units,GBP (£),,6.23
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Sales and customer service occupations,Customer service occupations,,,,Undefined,Units,GBP (£),,7.37
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Sales and customer service occupations,Customer service occupations,,,,Undefined,Units,GBP (£),,7.72
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Sales and customer service occupations,Customer service occupations,,,,Undefined,Units,GBP (£),,7.55
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Sales and customer service occupations,Customer service occupations,,,,Undefined,Units,GBP (£),,7.18
2004,Annual survey of hours and earnings (ASHE),,60 and over,Sales and customer service occupations,Customer service occupations,,,,Undefined,Units,GBP (£),,6.49
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,6.66
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,7.94
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,8.7
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,8.89
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,8.47
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,7.74
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,6.55
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,8.11
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,9.13
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,9.31
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,8.9
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",,,,Undefined,Units,GBP (£),,8.07
2004,Annual survey of hours and earnings (ASHE),,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,,,,Undefined,Units,GBP (£),,7.14
2004,Annual survey of hours and earnings (ASHE),,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,,,,Undefined,Units,GBP (£),,7.62
2004,Annual survey of hours and earnings (ASHE),,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,,,,Undefined,Units,GBP (£),,8.09
2004,Annual survey of hours and earnings (ASHE),,40 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,,,,Undefined,Units,GBP (£),,8.34
2004,Annual survey of hours and earnings (ASHE),,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,,,,Undefined,Units,GBP (£),,7.98
2004,Annual survey of hours and earnings (ASHE),,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,,,,Undefined,Units,GBP (£),,7.51
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Elementary occupations,,,,,Undefined,Units,GBP (£),,5.78
2004,Annual survey of hours and earnings (ASHE),,22 to 29,Elementary occupations,,,,,Undefined,Units,GBP (£),,6.73
2004,Annual survey of hours and earnings (ASHE),,30 to 39,Elementary occupations,,,,,Undefined,Units,GBP (£),,7.38
2004,Annual survey of hours and earnings (ASHE),,40 to 49,Elementary occupations,,,,,Undefined,Units,GBP (£),,7.35
2004,Annual survey of hours and earnings (ASHE),,50 to 59,Elementary occupations,,,,,Undefined,Units,GBP (£),,6.98
2004,Annual survey of hours and earnings (ASHE),,60 and over,Elementary occupations,,,,,Undefined,Units,GBP (£),,6.61
2004,Annual survey of hours and earnings (ASHE),,18 to 21,Elementary occupations,Elementary trades and related occupations,,,,Undefined,Units,GBP (£),,6.2
