Year,Corruption offence type,Observation status,Unit multiplier,Unit measure,Value
2020 Q1,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number of offences,1
2020 Q2,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number of offences,0
2020 Q3,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number of offences,1
2020 Q4,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number of offences,0
2021 Q1,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number of offences,0
2021 Q2,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number of offences,0
2017 Q3,,Undefined,Units,Number of offences,30
2017 Q4,,Undefined,Units,Number of offences,30
2018 Q1,,Undefined,Units,Number of offences,36
2018 Q2,,Undefined,Units,Number of offences,42
2018 Q3,,Undefined,Units,Number of offences,40
2018 Q4,,Undefined,Units,Number of offences,33
2019 Q1,,Undefined,Units,Number of offences,22
2019 Q2,,Undefined,Units,Number of offences,41
2019 Q3,,Undefined,Units,Number of offences,22
2019 Q4,,Undefined,Units,Number of offences,21
2020 Q1,,Undefined,Units,Number of offences,36
2020 Q2,,Undefined,Units,Number of offences,24
2020 Q3,,Undefined,Units,Number of offences,28
2020 Q4,,Undefined,Units,Number of offences,42
2021 Q1,,Undefined,Units,Number of offences,32
2021 Q2,,Undefined,Units,Number of offences,37
