Year,Units,Unit measure,Observation status,Unit multiplier,Value
1996,Marine protected area extent,Hectares,Undefined,Million,1.35
1997,Marine protected area extent,Hectares,Undefined,Million,1.49
1998,Marine protected area extent,Hectares,Undefined,Million,1.52
1999,Marine protected area extent,Hectares,Undefined,Million,1.55
2000,Marine protected area extent,Hectares,Undefined,Million,1.56
2001,Marine protected area extent,Hectares,Undefined,Million,1.59
2002,Marine protected area extent,Hectares,Undefined,Million,1.6
2003,Marine protected area extent,Hectares,Undefined,Million,1.68
2004,Marine protected area extent,Hectares,Undefined,Million,1.68
2005,Marine protected area extent,Hectares,Undefined,Million,1.68
2006,Marine protected area extent,Hectares,Undefined,Million,1.74
2007,Marine protected area extent,Hectares,Undefined,Million,1.79
2008,Marine protected area extent,Hectares,Undefined,Million,2.05
2009,Marine protected area extent,Hectares,Undefined,Million,2.22
2010,Marine protected area extent,Hectares,Undefined,Million,3.92
2011,Marine protected area extent,Hectares,Undefined,Million,5.16
2012,Marine protected area extent,Hectares,Undefined,Million,7.62
2013,Marine protected area extent,Hectares,Undefined,Million,8.54
2014,Marine protected area extent,Hectares,Undefined,Million,14.56
2015,Marine protected area extent,Hectares,Undefined,Million,14.57
2016,Marine protected area extent,Hectares,Undefined,Million,16.64
2017,Marine protected area extent,Hectares,Undefined,Million,20.96
2018,Marine protected area extent,Hectares,Undefined,Million,21.13
1950,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.0
1951,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.02
1952,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.03
1953,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.03
1954,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.05
1955,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.06
1956,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.1
1957,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.11
1958,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.11
1959,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.12
1960,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.12
1961,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.12
1962,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.12
1963,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.13
1964,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.13
1965,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.14
1966,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.16
1967,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.16
1968,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.17
1969,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.17
1970,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.17
1971,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.18
1972,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1973,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.26
1974,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.28
1975,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.28
1976,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.32
1977,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.32
1978,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.32
1979,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.32
1980,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.74
1981,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.75
1982,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.75
1983,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.75
1984,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.75
1985,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.76
1986,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.79
1987,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.79
1988,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.79
1989,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.8
1990,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.82
1991,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.82
1992,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.82
1993,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.83
1994,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.86
1995,Proportion of marine protected area,Percentage (%),Undefined,Unit,0.87
1996,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.53
1997,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.68
1998,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.71
1999,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.75
2000,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.76
2001,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.8
2002,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.81
2003,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.89
2004,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.89
2005,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.89
2006,Proportion of marine protected area,Percentage (%),Undefined,Unit,1.96
2007,Proportion of marine protected area,Percentage (%),Undefined,Unit,2.02
2008,Proportion of marine protected area,Percentage (%),Undefined,Unit,2.32
2009,Proportion of marine protected area,Percentage (%),Undefined,Unit,2.5
2010,Proportion of marine protected area,Percentage (%),Undefined,Unit,4.42
2011,Proportion of marine protected area,Percentage (%),Undefined,Unit,5.83
2012,Proportion of marine protected area,Percentage (%),Undefined,Unit,8.59
2013,Proportion of marine protected area,Percentage (%),Undefined,Unit,9.64
2014,Proportion of marine protected area,Percentage (%),Undefined,Unit,16.43
2015,Proportion of marine protected area,Percentage (%),Undefined,Unit,16.44
2016,Proportion of marine protected area,Percentage (%),Undefined,Unit,18.77
2017,Proportion of marine protected area,Percentage (%),Undefined,Unit,23.66
2018,Proportion of marine protected area,Percentage (%),Undefined,Unit,23.84
