Year,Units,Country,Region,Organic land category,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2002,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,204.3082222
2003,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,66.026133096
2004,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,52.7462324799394
2005,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,85.9505900752826
2006,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,121.136910935789
2007,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,157.892815441036
2008,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,149.1028145
2009,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,119.44111901
2010,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,50.794461
2011,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,36.9137529999999
2012,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,32.2227319
2013,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,24.3502865
2014,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,19.6748815
2015,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,20.6353507499999
2016,Land use (000s hectares),,,In Conversion,Hectares,Thousands,Undefined,,25.1872242499999
2002,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,251.835778111599
2003,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,256.983516689999
2004,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,258.458263750212
2005,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,291.578243304849
2006,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,296.385788493006
2007,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,347.78108349293
2008,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,375.0674795
2009,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,378.76351296
2010,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,391.76112725
2011,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,350.98411645
2012,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,323.93938095
2013,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,316.366532299999
2014,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,308.148672199999
2015,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,303.7387702
2016,Land use (000s hectares),England,,,Hectares,Thousands,Undefined,E92000001,296.5165076
2002,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,184.044672311599
2003,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,220.197264009999
2004,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,229.626146150212
2005,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,238.355077904849
2006,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,229.860674691583
2007,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,258.743938991516
2008,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,283.9930465
2009,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,311.17593795
2010,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,361.99186125
2011,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,325.566358449999
2012,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,304.75810405
2013,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,302.414861799999
2014,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,295.682979999999
2015,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,293.72311845
2016,Land use (000s hectares),England,,Fully Organic,Hectares,Thousands,Undefined,E92000001,281.76942285
2002,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,67.7911058
2003,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,36.78625268
2004,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,28.8321176
2005,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,53.2231654
2006,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,66.5251138014232
2007,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,89.0371445014136
2008,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,91.0744330000001
2009,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,67.58757501
2010,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,29.769266
2011,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,25.4177579999999
2012,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,19.1812769
2013,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,13.9516705
2014,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,12.4656922
2015,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,10.01565175
2016,Land use (000s hectares),England,,In Conversion,Hectares,Thousands,Undefined,E92000001,14.7470847499999
2002,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,27.747679
2003,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,27.2815574
2004,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,29.9149264402498
2005,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,35.9389709461312
2006,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,29.5404276431664
2007,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,30.5574216431569
2008,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,35.4215199999999
2009,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,33.3025426
2010,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,34.5588719999999
2011,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,31.0757559999999
2012,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,29.9605909999999
2013,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,27.931931
2014,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,27.06325
2015,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,27.86879
2016,Land use (000s hectares),England,North East,,Hectares,Thousands,Undefined,E12000001,25.23469
2002,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,12.415477
2003,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,20.4695264
2004,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,25.3055054402498
2005,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,29.2964239461312
2006,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,22.6175676417431
2007,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,25.8026576417431
2008,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,25.64176
2009,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,26.7543376
2010,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,30.5529419999999
2011,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,28.1400359999999
2012,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,27.2677809999999
2013,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,26.934461
2014,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,26.3040099999999
2015,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,27.59365
2016,Land use (000s hectares),England,North East,Fully Organic,Hectares,Thousands,Undefined,E12000001,24.86061
2002,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,15.332202
2003,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,6.81203099999999
2004,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,4.609421
2005,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,6.642547
2006,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,6.92286000142336
2007,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,4.75476400141383
2008,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,9.77975999999998
2009,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,6.548205
2010,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,4.00593
2011,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,2.93571999999999
2012,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,2.69280999999999
2013,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,0.99747
2014,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,0.75924
2015,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,0.27514
2016,Land use (000s hectares),England,North East,In Conversion,Hectares,Thousands,Undefined,E12000001,0.37408
2002,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,22.80360276
2003,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,22.4913307599999
2004,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,22.3336447599629
2005,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,22.0942797599438
2006,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,21.2189209997735
2007,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,23.7204959997735
2008,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,24.965926
2009,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,23.195719
2010,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,22.39078
2011,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,17.811027
2012,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,16.5853279999999
2013,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,14.9248469999999
2014,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,14.210527
2015,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,14.083671
2016,Land use (000s hectares),England,North West,,Hectares,Thousands,Undefined,E12000002,12.5325436
2002,Land use (000s hectares),England,North West,Fully Organic,Hectares,Thousands,Undefined,E12000002,15.09598576
2003,Land use (000s hectares),England,North West,Fully Organic,Hectares,Thousands,Undefined,E12000002,19.8528497599999
2004,Land use (000s hectares),England,North West,Fully Organic,Hectares,Thousands,Undefined,E12000002,19.8152177599629
2005,Land use (000s hectares),England,North West,Fully Organic,Hectares,Thousands,Undefined,E12000002,18.8580197599438
2006,Land use (000s hectares),England,North West,Fully Organic,Hectares,Thousands,Undefined,E12000002,19.4380989997735
2007,Land use (000s hectares),England,North West,Fully Organic,Hectares,Thousands,Undefined,E12000002,20.4420009997735
2008,Land use (000s hectares),England,North West,Fully Organic,Hectares,Thousands,Undefined,E12000002,21.1796849999999
