Year,Units,Sex,Sex by disability,Working Pattern,Age,Occupation,Disability status,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
1998,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.63
1998,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,5.7
1999,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,11.14
1999,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.64
1999,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,8.92
1999,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,6.48
1999,1. Annual survey of hours and earnings (ASHE),Men,,,,,,England,,Undefined,Units,GBP (£),E92000001,11.02
1999,1. Annual survey of hours and earnings (ASHE),Women,,,,,,England,,Undefined,Units,GBP (£),E92000001,8.29
1999,1. Annual survey of hours and earnings (ASHE),,,,,,,England,,Undefined,Units,GBP (£),E92000001,9.89
1999,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,10.36
1999,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,6.67
1999,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.41
1999,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.62
1999,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.0
1999,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,5.95
1999,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.3
1999,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,7.47
1999,1. Annual survey of hours and earnings (ASHE),,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.51
1999,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.89
1999,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.07
1999,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,10.26
1999,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.42
1999,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,8.38
1999,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.39
1999,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,10.11
1999,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,7.86
1999,1. Annual survey of hours and earnings (ASHE),,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.11
1999,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.54
1999,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.4
1999,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,,,Undefined,Units,GBP (£),,11.03
1999,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,,,Undefined,Units,GBP (£),,7.48
1999,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,,,Undefined,Units,GBP (£),,8.83
1999,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,,,Undefined,Units,GBP (£),,6.48
1999,1. Annual survey of hours and earnings (ASHE),Men,,,,,,,,Undefined,Units,GBP (£),,10.91
1999,1. Annual survey of hours and earnings (ASHE),Women,,,,,,,,Undefined,Units,GBP (£),,8.21
1999,1. Annual survey of hours and earnings (ASHE),,,,,,,,,Undefined,Units,GBP (£),,9.79
1999,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,,,Undefined,Units,GBP (£),,10.26
1999,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,,,Undefined,Units,GBP (£),,6.64
1999,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.46
1999,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.26
1999,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.05
1999,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.06
1999,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.34
1999,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,7.47
1999,1. Annual survey of hours and earnings (ASHE),,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.57
1999,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.98
1999,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.09
2000,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,11.72
2000,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.69
2000,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,9.36
2000,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,6.87
2000,1. Annual survey of hours and earnings (ASHE),Men,,,,,,England,,Undefined,Units,GBP (£),E92000001,11.59
2000,1. Annual survey of hours and earnings (ASHE),Women,,,,,,England,,Undefined,Units,GBP (£),E92000001,8.7
2000,1. Annual survey of hours and earnings (ASHE),,,,,,,England,,Undefined,Units,GBP (£),E92000001,10.41
2000,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,10.91
2000,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.0
2000,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.76
2000,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.13
2000,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.3
2000,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.37
2000,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.63
2000,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,7.8
2000,1. Annual survey of hours and earnings (ASHE),,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.86
2000,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.24
2000,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.33
2000,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,10.6
2000,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.8
2000,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,8.6
2000,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.75
2000,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,10.46
2000,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,8.09
2000,1. Annual survey of hours and earnings (ASHE),,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.41
2000,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.85
2000,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.76
2000,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,,,Undefined,Units,GBP (£),,11.5
2000,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,,,Undefined,Units,GBP (£),,7.53
2000,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,,,Undefined,Units,GBP (£),,9.22
2000,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,,,Undefined,Units,GBP (£),,6.81
2000,1. Annual survey of hours and earnings (ASHE),Men,,,,,,,,Undefined,Units,GBP (£),,11.36
2000,1. Annual survey of hours and earnings (ASHE),Women,,,,,,,,Undefined,Units,GBP (£),,8.57
2000,1. Annual survey of hours and earnings (ASHE),,,,,,,,,Undefined,Units,GBP (£),,10.22
2000,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,,,Undefined,Units,GBP (£),,10.71
2000,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,,,Undefined,Units,GBP (£),,6.92
2000,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.89
2000,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.72
2000,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.42
2000,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.13
2000,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.78
2000,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,7.79
2000,1. Annual survey of hours and earnings (ASHE),,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.94
2000,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.37
2000,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.22
2001,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,12.42
2001,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.84
2001,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,9.94
2001,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.07
2001,1. Annual survey of hours and earnings (ASHE),Men,,,,,,England,,Undefined,Units,GBP (£),E92000001,12.25
2001,1. Annual survey of hours and earnings (ASHE),Women,,,,,,England,,Undefined,Units,GBP (£),E92000001,9.18
2001,1. Annual survey of hours and earnings (ASHE),,,,,,,England,,Undefined,Units,GBP (£),E92000001,10.99
2001,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,11.56
2001,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.19
2001,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,10.18
2001,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.62
2001,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.62
2001,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.61
2001,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,10.02
2001,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.11
2001,1. Annual survey of hours and earnings (ASHE),,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.2
2001,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.6
2001,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.61
2001,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,11.15
2001,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,7.27
2001,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.28
2001,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,7.03
2001,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,11.02
2001,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,8.66
2001,1. Annual survey of hours and earnings (ASHE),,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.95
2001,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,10.43
2001,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,7.06
2001,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,,,Undefined,Units,GBP (£),,12.16
2001,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,,,Undefined,Units,GBP (£),,7.72
2001,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,,,Undefined,Units,GBP (£),,9.79
2001,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,,,Undefined,Units,GBP (£),,7.03
2001,1. Annual survey of hours and earnings (ASHE),Men,,,,,,,,Undefined,Units,GBP (£),,12.0
2001,1. Annual survey of hours and earnings (ASHE),Women,,,,,,,,Undefined,Units,GBP (£),,9.06
2001,1. Annual survey of hours and earnings (ASHE),,,,,,,,,Undefined,Units,GBP (£),,10.78
2001,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,,,Undefined,Units,GBP (£),,11.33
2001,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,,,Undefined,Units,GBP (£),,7.14
2001,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,10.16
2001,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,7.1
2001,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.81
2001,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.65
2001,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,10.05
2001,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.18
2001,1. Annual survey of hours and earnings (ASHE),,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.29
2001,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.71
2001,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.72
2002,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,13.09
2002,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,8.95
2002,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,10.49
2002,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.43
2002,1. Annual survey of hours and earnings (ASHE),Men,,,,,,England,,Undefined,Units,GBP (£),E92000001,12.93
