Year,Series,Activity,Units,Unit multiplier,Observation status,Value
2020,"Number of companies publishing sustainability reports, by activity",Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Units,Estimated Value,433.0
2021,"Number of companies publishing sustainability reports, by activity",,Number,Units,Estimated Value,492.0
2021,"Number of companies publishing sustainability reports, by activity",Accommodation and food service activities,Number,Units,Estimated Value,13.0
2021,"Number of companies publishing sustainability reports, by activity",Administrative and support service activities,Number,Units,Estimated Value,15.0
2021,"Number of companies publishing sustainability reports, by activity","Agriculture, forestry and fishing",Number,Units,Estimated Value,3.0
2021,"Number of companies publishing sustainability reports, by activity","Arts, entertainment and recreation",Number,Units,Estimated Value,8.0
2021,"Number of companies publishing sustainability reports, by activity",Construction,Number,Units,Estimated Value,21.0
2021,"Number of companies publishing sustainability reports, by activity",Financial and insurance activities,Number,Units,Estimated Value,67.0
2021,"Number of companies publishing sustainability reports, by activity",Human health and social work activities,Number,Units,Estimated Value,3.0
2021,"Number of companies publishing sustainability reports, by activity",Information and communication,Number,Units,Estimated Value,42.0
2021,"Number of companies publishing sustainability reports, by activity",Manufacturing,Number,Units,Estimated Value,126.0
2021,"Number of companies publishing sustainability reports, by activity",Mining and quarrying,Number,Units,Estimated Value,25.0
2021,"Number of companies publishing sustainability reports, by activity",Other service activities,Number,Units,Estimated Value,2.0
2021,"Number of companies publishing sustainability reports, by activity","Professional, scientific and technical activities",Number,Units,Estimated Value,41.0
2021,"Number of companies publishing sustainability reports, by activity",Real estate activities,Number,Units,Estimated Value,40.0
2021,"Number of companies publishing sustainability reports, by activity",Transportation and storage,Number,Units,Estimated Value,19.0
2021,"Number of companies publishing sustainability reports, by activity",Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Units,Estimated Value,492.0
